date,open,high,low,close,volume
2023-10-26,18,18.25,18,18.25,2000
2023-10-30,19.62,19.62,19.62,19.62,3000
2023-10-31,21.09,21.09,20.95,21.09,11500
2023-11-01,21.08,22.65,21.08,22.65,6000
2023-11-02,21.25,21.25,21.25,21.25,1500
2023-11-06,22,22.8,22,22.4,2000
2023-11-07,21.25,21.25,20.8,20.8,3000
2023-11-08,22.35,22.35,22.35,22.35,500
2023-11-10,20.67,23.95,20.67,23.48,9000
2023-11-13,21.73,21.73,21.72,21.72,1500
2023-11-14,21.72,21.72,21.72,21.72,500
2023-11-16,20.75,22.74,20.09,20.24,42000
2023-11-17,21.5,21.5,21.5,21.5,500
2023-11-20,22.45,22.45,20,22.4,4000
2023-11-21,21.6,21.85,20.72,20.75,16000
2023-11-22,22.15,22.28,20.12,21.25,8500
2023-11-23,21,21,20.06,20.08,2000
2023-11-24,20,21.58,20,20.8,14500
2023-11-27,22.13,22.13,21.3,21.84,1500
2023-11-28,20.5,23.15,20.5,21.78,24500
2023-11-29,22.95,23.41,21.75,22.9,18500
2023-11-30,23.2,24.55,22.31,23.62,3000
2023-12-01,25.35,25.35,22.51,22.8,3500
2023-12-04,22.3,22.3,22.3,22.3,500
2023-12-05,21.7,23.85,20.63,21.42,42000
2023-12-06,22.4,22.4,19.81,20.14,24000
2023-12-07,19.5,19.5,19.5,19.5,500
2023-12-08,18.5,19.99,18.2,18.32,3000
2023-12-11,19.3,19.34,19,19.25,5000
2023-12-12,20.55,20.62,20.55,20.59,1000
2023-12-13,19.05,22.13,19.05,21.19,55000
2023-12-14,22.78,22.78,19.6,19.65,24000
2023-12-15,18.95,19.5,18.18,18.63,28500
2023-12-18,18.3,18.99,18.3,18.94,2500
2023-12-20,17.53,17.7,17.53,17.55,6000
2023-12-22,18.35,18.35,18.35,18.35,500
2023-12-26,18.5,18.5,16.97,16.97,4500
2023-12-27,16.11,17.6,16.11,16.73,2500
2023-12-28,15.72,15.72,15.72,15.72,500
2023-12-29,15.5,16.9,15.5,16.9,7000
2024-01-02,17.5,17.5,17.5,17.5,500
2024-01-03,18.8,18.8,18.5,18.5,2500
2024-01-05,18.5,19.8,18.5,19.8,1000
2024-01-08,18.7,19,18.32,18.32,6500
2024-01-09,17.17,17.17,17.17,17.17,500
2024-01-12,16.01,16.01,16.01,16.01,500
2024-01-15,17.21,17.21,16.01,16.01,1000
2024-01-17,16.6,16.6,16.01,16.01,1000
2024-01-18,17.21,17.21,17.21,17.21,500
2024-01-19,16.01,16.01,16.01,16.01,500
2024-01-22,16.8,16.8,16.8,16.8,1000
2024-01-23,16.5,16.5,16.01,16.01,1000
2024-01-26,14.83,17.21,14.83,16.02,1000
2024-01-29,16.99,16.99,14.83,15.21,3000
2024-01-30,16.35,16.35,16.35,16.35,2500
2024-02-01,15.26,15.26,15.26,15.26,500
2024-02-02,16.35,16.4,15.52,15.52,5000
2024-02-12,14.54,16.68,14.36,14.79,6000
2024-02-13,15.9,15.9,14.64,14.64,7000
2024-02-15,15.74,15.74,15.74,15.74,500
2024-02-16,14.58,14.58,14.58,14.58,500
2024-02-22,15.67,15.67,15.67,15.67,500
2024-02-23,16.85,16.85,15.27,15.27,1500
2024-02-26,15,15,15,15,500
2024-02-27,14.13,14.13,14.13,14.13,500
2024-03-04,15.19,15.19,15.19,15.19,500
2024-03-05,16.33,16.33,16.33,16.33,1500
2024-03-06,15.6,15.6,15.6,15.6,500
2024-03-07,16.77,16.77,16.77,16.77,500
2024-03-08,17.94,17.94,15.61,15.61,1000
2024-03-11,16.77,16.77,16.77,16.77,500
2024-03-12,17.99,18.01,16.02,16.02,1500
2024-03-18,15.04,15.04,15.04,15.04,500
2024-03-19,16.17,16.17,16.17,16.17,500
2024-03-20,15.15,17.37,15.15,17.37,1000
2024-03-25,16.25,16.25,16.25,16.25,500
2024-03-26,15.06,16.99,15.03,16.97,4500
2024-03-27,17.85,17.85,15.75,15.75,3000
2024-03-28,15.85,15.85,15.85,15.85,1500
2024-04-03,15.94,15.94,15.94,15.94,500
2024-04-18,17.05,17.05,17.05,17.05,1000
2024-04-19,15.78,17.34,15.78,16.33,3500
2024-04-22,15.51,17.4,15.51,17.4,1500
2024-04-23,16.11,16.15,16.1,16.15,5500
2024-04-24,15.56,15.56,15.56,15.56,500
2024-04-25,15.66,15.66,15.05,15.05,1000
2024-04-26,15,15.01,15,15.01,1500
2024-04-30,16.14,16.14,15.12,15.12,8000
2024-05-02,14.7,16.25,14.7,16.25,2500
2024-05-03,15.75,15.75,15.75,15.75,500
2024-05-06,16.93,16.93,16.93,16.93,500
2024-05-07,17.97,18,17.94,17.94,1500
2024-05-09,16.6,18.6,16.6,16.61,4500
2024-05-10,15.85,15.85,15.85,15.85,500
2024-05-13,16,16,16,16,8000
2024-05-14,16.5,17.19,15.7,16.6,2000
2024-05-15,15.8,15.87,15.8,15.85,1500
2024-05-17,15.51,15.51,15.51,15.51,3000
2024-05-22,15.01,15.01,15.01,15.01,500
2024-05-23,16.14,16.14,16.14,16.14,2000
2024-05-24,15.1,17.34,15.1,16.7,2500
2024-05-27,18.04,18.04,15.56,16.08,5565
2024-05-29,17.3,17.35,15.55,15.55,9998
2024-05-30,15.65,15.65,15.62,15.64,1000
2024-05-31,16.89,16.89,15.5,15.64,53
2024-06-03,16.24,16.25,15.84,15.84,841
2024-06-04,17,17,17,15.84,1
2024-06-05,17.11,17.11,15.9,15.84,97
2024-06-07,17.1,17.1,15.1,15.84,30
2024-06-10,16.2,16.2,15.13,15.13,880
2024-06-11,16,16.42,15.85,15.13,107
2024-06-12,13.85,16.42,13.85,16.37,8525
2024-06-13,15,17.41,15,17.37,1022
2024-06-14,18.6,18.6,15.89,15.94,10025
2024-06-20,16,16.88,14.6,15.89,981961
2024-06-21,16.68,17.24,16,16.95,16917
2024-06-24,15.6,16.67,15.6,15.67,982759
2024-06-26,15.5,15.5,15.5,15.5,1000
2024-06-27,14.33,16.25,14.33,15.01,1500
2024-07-02,15.51,15.51,15.51,15.51,1000
2024-07-03,16.46,16.9,15.27,16.1,6551
2024-07-04,16,16.98,16,16.01,1510
2024-07-05,15.01,15.01,15.01,15.01,500
2024-07-08,15.02,16.44,15.02,15.05,618
2024-07-10,13.65,16.48,13.65,16.47,2415
2024-07-11,17.74,17.74,15.65,17.66,2813
2024-07-12,18.78,18.78,16.5,18.59,602
2024-07-15,17.02,19.5,17.02,18.59,5
2024-07-18,17.92,18.65,17.92,18.13,1307
2024-07-22,17.98,17.98,17.98,18.13,200
2024-07-26,16.6,16.6,16.6,18.13,10
2024-07-29,17.7,17.7,17,17,1505
2024-07-30,17,18.65,16,16.25,3965
2024-07-31,17,17,17,16.25,1110
2024-08-01,17.86,17.87,17.86,17.86,880
2024-08-02,19.65,19.65,18.01,19.11,37816
2024-08-05,20,20,17.35,18.98,7651
2024-08-06,17.08,19.45,17.08,17.08,7439
2024-08-07,17.94,18.4,16.03,17.04,7924
2024-08-08,18.65,18.65,16.21,17.04,104
2024-08-09,17.04,18.74,17.04,18.73,16353
2024-08-12,19.9,19.9,17.5,18.09,1553
2024-08-13,16.65,18,16.65,18,5055
2024-08-15,19.6,19.6,18.5,19,20874
2024-08-16,19.99,20,18.02,19.1,1506
2024-08-19,18.51,20,18.5,19.24,1765
2024-08-20,20,20,18.51,19.55,1978
2024-08-21,19.55,19.55,18.54,19.1,1016
2024-08-22,18.51,19.3,17.52,18.26,4964
2024-08-23,17.76,20.09,17.5,19.44,8132
2024-08-26,21.38,21.38,17.62,19.43,3607
2024-08-27,19.4,20.99,17.51,20.12,16546
2024-08-28,18.12,20.99,18.12,20.92,3241
2024-08-29,19.1,21,19.1,20.9,5757
2024-08-30,20,20,19,19.98,9856
2024-09-02,19.75,19.75,19,19.98,50
2024-09-03,19,19,18.88,19.98,3
2024-09-04,20,20,18.05,18.7,2624
2024-09-05,19.19,19.19,19.19,19.19,500
2024-09-06,20.7,20.7,17.33,18.79,7258
2024-09-09,18,19.4,17.8,18,6101
2024-09-11,17.1,18.55,16.78,18.55,4706
2024-09-12,17.2,19.99,17.03,19.95,8111
2024-09-13,19.5,19.5,18,19,2559
2024-09-18,19.2,19.2,17.1,17.24,44933
2024-09-19,17.7,17.7,16.4,17,1308
2024-09-23,16.61,17,16.61,16.92,3085
2024-09-24,18.2,18.2,16.5,16.51,1502
2024-09-25,17.2,17.2,17.2,17.2,1001
2024-09-26,17.2,17.21,17.2,17.21,1202
2024-09-27,17.99,18,16.01,16.51,4500
2024-09-30,17,18.16,16.99,18.02,31859
2024-10-01,19,19.82,18,19.01,26869
2024-10-02,19.6,19.6,18.11,18.13,600
2024-10-03,19.6,19.9,18.36,19.39,2250
2024-10-04,19.75,19.75,17.6,19.6,1556
2024-10-07,18.01,19.9,18.01,19.6,240
2024-10-08,17.72,20.6,17.72,19.6,205
2024-10-09,19.5,19.5,17.9,19.5,2506
2024-10-10,21.1,21.1,18.2,19,2363
2024-10-11,19.5,20.5,17.3,19.16,1850
2024-10-14,19,19,18.51,18.95,560
2024-10-15,18,19,17.62,17.89,660
2024-10-16,19.45,19.5,19.45,17.89,22
2024-10-17,18.3,18.58,17.01,18.29,2946
2024-10-18,19.5,19.5,17.31,18.29,46
2024-10-21,18.01,19.5,16.8,19.15,2937
2024-10-23,18.2,19.49,18.01,18.25,1834
2024-10-24,18.52,19,18.3,18.57,1699
2024-10-25,18.99,19.9,18.01,19.67,1233
2024-10-28,19.05,19.1,18.74,19.04,2129
2024-10-29,17.76,19.25,17.76,18.43,2314
2024-10-30,19.95,20.27,17,20.26,53645
2024-10-31,22.29,22.29,22,22.29,62130
2024-11-01,22.76,24.52,22.25,24.52,38710
2024-11-04,26.97,26.97,26.95,26.97,12671
2024-11-05,29.67,29.67,29.67,29.67,13256
2024-11-06,32.64,32.64,32.64,32.64,13383
2024-11-07,35.9,35.9,29.56,30,137790
2024-11-08,30.95,32.88,28.55,29.35,21514
2024-11-11,29.99,29.99,28.4,28.49,15250
2024-11-12,29.25,29.25,25.64,25.64,44278
2024-11-13,25.7,26.99,24.5,26,58196
2024-11-14,26,28.6,26,27.91,52095
2024-11-15,29.4,29.4,26.92,27.36,35544
2024-11-18,28,30.1,28,30.1,53939
2024-11-19,31.5,33,31,32.72,36194
2024-11-20,34.49,34.49,29.45,29.45,31640
2024-11-21,30,30,26.51,27.95,40501
2024-11-22,28,29.5,27.8,29,7000
2024-11-25,29,29,27.51,28.01,9286
2024-11-26,29.95,29.95,27.51,27.51,6807
2024-11-27,28.97,28.97,26,27.17,14234
