date,open,high,low,close,volume
2023-11-28,8.31,8.31,7.85,8,41500
2023-11-29,7.85,7.92,7.7,7.74,6500
2023-11-30,7.7,7.99,7.7,7.8,2500
2023-12-01,8,8,7.85,8,22000
2023-12-04,7.51,7.89,7.5,7.89,6000
2023-12-06,7.51,8.45,7.51,8.02,94000
2023-12-07,8.05,8.05,7.5,7.89,30000
2023-12-08,7.87,8.88,7.87,8.48,69500
2023-12-11,8.1,8.2,8.09,8.1,33500
2023-12-12,8,8.3,8,8.19,161000
2023-12-13,7.71,8.24,7.71,7.9,47000
2023-12-14,8,8.49,8,8.1,408500
2023-12-15,8.1,8.5,8.1,8.5,116500
2023-12-18,8.21,8.45,7.9,8.24,70000
2023-12-19,7.75,8.15,7.26,8,257500
2023-12-20,8.3,8.45,7.4,7.8,102500
2023-12-21,7.61,7.89,7.6,7.89,25000
2023-12-22,7.89,7.9,7.6,7.9,6000
2023-12-26,7.6,7.6,7.5,7.53,50000
2023-12-27,8.05,8.05,7.5,7.88,87500
2023-12-28,8,8.14,7.8,7.81,54000
2023-12-29,7.7,7.7,7.7,7.7,1000
2024-01-01,7.9,8.16,7.9,8.12,10500
2024-01-02,7.8,7.9,7.7,7.9,2000
2024-01-04,7.7,8,7.7,8,31000
2024-01-05,7.71,7.99,7.71,7.99,2000
2024-01-08,7.72,7.72,7.5,7.5,8500
2024-01-09,7.5,7.5,7.5,7.5,2000
2024-01-10,7.31,7.31,7.3,7.3,4000
2024-01-11,7.11,7.11,7,7.01,33500
2024-01-12,7.3,7.35,7.3,7.31,9000
2024-01-17,7.07,7.07,7.07,7.07,1000
2024-01-23,7.01,7.01,7.01,7.01,500
2024-01-29,7,7,7,7,500
2024-02-02,6.7,7,6.6,6.77,1500
2024-02-06,7,7,7,7,500
2024-02-07,7.2,7.2,6.06,6.98,11500
2024-02-14,6.9,7,6.9,7,6000
2024-02-15,7,7,7,7,1000
2024-02-22,6.7,6.7,6.22,6.6,13500
2024-02-27,6.95,6.95,6.95,6.95,500
2024-02-28,6.97,7,6.97,7,5000
2024-03-01,7.1,7.1,7.1,7.1,500
2024-03-04,7,7.45,7,7.3,10500
2024-03-05,7.4,7.4,7.4,7.4,500
2024-03-06,7.1,7.1,7.1,7.1,2000
2024-03-07,7.1,7.1,7.1,7.1,500
2024-03-08,7.45,7.45,7.15,7.39,3500
2024-03-11,7.4,7.4,7.4,7.4,500
2024-03-13,7.1,7.1,7.1,7.1,1000
2024-03-15,7.1,7.1,7.1,7.1,500
2024-03-19,6.8,7.4,6.8,7.3,1500
2024-03-20,7.3,7.4,7.3,7.4,10500
2024-03-22,7.15,7.15,7.15,7.15,500
2024-03-28,7.1,7.1,7.1,7.1,500
2024-04-04,7.1,7.1,7.1,7.1,1000
2024-04-08,7,7,7,7,5000
2024-04-09,6.8,7.51,6.8,7.51,8500
2024-04-15,7.5,8.17,7,7.89,70500
