date,open,high,low,close,volume
2023-01-13,38.0,38.0,38.0,38.0,1000
2023-01-16,40.4,40.85,40.4,40.85,1500
2023-02-16,40.0,40.0,40.0,40.0,2000
2023-02-27,40.0,40.0,40.0,40.0,500
2023-03-13,42.74,42.74,40.0,40.0,1000
2023-03-14,40.0,43.0,37.5,43.0,5000
2023-03-15,46.0,46.22,40.55,46.22,4000
2023-03-16,49.68,49.68,49.68,49.68,500
2023-03-17,53.4,53.4,49.68,53.4,1000
2023-03-20,57.38,57.4,57.38,57.39,3500
2023-03-22,61.69,61.69,53.3,53.38,3000
2023-03-24,57.38,57.38,50.1,54.46,3000
2023-03-27,55.08,58.54,55.08,58.54,1000
2023-03-28,62.9,62.9,62.9,62.9,500
2023-03-29,60.0,67.61,60.0,67.61,1000
2023-03-30,72.0,72.67,67.61,72.67,3000
2023-03-31,67.26,67.26,67.26,67.26,500
2023-04-03,69.45,69.5,69.45,69.5,2000
2023-04-05,71.5,72.7,71.5,72.7,4000
2023-04-06,68.19,72.7,68.19,68.19,1500
2023-04-07,71.0,71.5,71.0,71.0,2000
2023-04-11,73.7,74.0,73.7,73.85,3500
2023-04-12,69.51,73.5,69.51,73.5,2500
2023-04-13,72.0,72.0,72.0,72.0,500
2023-04-20,76.9,76.95,76.9,76.95,6000
2023-05-02,76.99,81.75,76.99,81.44,8000
2023-05-16,75.33,75.33,75.33,75.33,1500
2023-05-17,69.68,80.97,69.68,80.97,22500
2023-05-18,74.9,87.04,74.9,87.04,1500
2023-05-19,93.56,93.56,93.56,93.56,500
2023-06-05,86.54,100.57,86.54,100.57,7500
2023-06-06,101.0,108.11,101.0,108.11,3500
2023-06-07,112.99,116.21,112.99,116.21,2500
2023-06-12,136.36,136.36,136.36,136.36,500
2023-06-13,146.59,146.59,146.59,146.59,500
2023-06-14,157.58,157.58,157.58,157.58,500
2023-06-15,169.39,169.39,166.0,166.0,3000
2023-06-16,178.45,178.45,178.0,178.0,1500
2023-06-19,191.35,191.35,191.35,191.35,2500
2023-06-21,177.0,177.0,177.0,177.0,500
2023-06-22,190.28,190.28,190.28,190.28,2000
2023-06-23,204.55,204.55,204.55,204.55,500
2023-06-27,219.7,219.7,219.7,219.7,500
2023-07-03,236.0,236.18,236.0,236.18,1500
2023-07-04,253.4,253.89,253.4,253.6,1500
2023-07-05,272.62,272.62,272.62,272.62,1500
2023-07-07,292.5,292.5,292.5,292.5,1000
