date,open,high,low,close,volume
2024-01-01,94.0,99.0,94.0,95.04,4615
2024-01-02,97.0,97.0,91.2,95.99,10074
2024-01-03,97.0,98.0,96.0,96.0,111510
2024-01-04,90.26,98.0,90.26,96.78,5976
2024-01-05,97.0,98.0,94.25,97.48,11515
2024-01-08,92.51,98.5,92.51,98.0,2064
2024-01-09,97.0,97.0,94.0,94.07,1278
2024-01-10,96.7,97.99,95.66,94.07,122
2024-01-11,96.49,96.5,95.0,95.89,2092
2024-01-12,95.0,95.0,92.52,92.52,1036
2024-01-15,88.51,88.51,88.51,92.52,20
2024-01-16,94.99,97.99,94.0,92.52,229
2024-01-17,88.0,93.93,86.21,89.12,14362
2024-01-18,85.07,89.99,85.0,88.04,1210
2024-01-19,88.88,89.94,84.25,88.48,10418
2024-01-22,85.0,89.95,85.0,89.62,361
2024-01-23,85.01,89.49,85.01,87.01,546
2024-01-24,88.99,89.0,84.0,88.9,53296
2024-01-25,87.02,87.5,86.5,86.5,610
2024-01-26,83.5,86.0,83.5,86.0,4295
2024-01-29,85.0,86.84,85.0,85.0,2278
2024-01-30,85.01,85.01,85.0,85.0,5170
2024-01-31,89.49,89.49,80.55,81.63,92127
2024-02-01,83.0,87.75,79.01,84.8,138763
2024-02-02,89.49,89.49,80.26,81.79,16454
2024-02-06,84.5,85.98,80.1,83.27,4405
2024-02-07,85.2,89.49,82.25,87.33,5451
2024-02-09,88.95,88.95,82.16,87.33,3
2024-02-12,82.02,84.89,82.0,82.03,25242
2024-02-13,81.99,83.0,81.99,83.0,2077
2024-02-14,82.5,84.99,82.5,83.5,725
2024-02-16,78.5,85.0,77.51,78.24,9434
2024-02-19,78.99,84.0,78.99,82.22,18525
2024-02-20,85.0,85.0,85.0,82.22,25
2024-02-21,82.0,85.0,82.0,82.04,12020
2024-02-22,82.02,82.6,82.01,82.35,2022
2024-02-23,79.0,84.0,79.0,82.23,5789
2024-02-26,88.4,88.4,81.01,83.32,1052
2024-02-27,81.5,84.99,81.5,81.57,3051
2024-02-28,81.13,81.13,81.0,81.0,4002
2024-02-29,83.99,84.0,83.99,84.0,25000
2024-03-01,85.99,85.99,79.15,80.5,2720
2024-03-04,78.15,82.8,78.15,82.01,2059
2024-03-05,82.0,82.0,82.0,82.0,1501
2024-03-06,82.0,86.0,80.1,83.79,4725
2024-03-07,83.9,89.0,83.9,88.14,9120
2024-03-08,89.0,89.49,88.99,89.07,385
2024-03-11,85.0,87.0,84.01,89.07,150
2024-03-12,83.33,89.49,83.33,88.44,5005
2024-03-13,82.13,89.5,82.13,85.55,527
2024-03-14,87.99,89.5,82.01,89.18,29802
2024-03-15,85.0,88.35,82.51,83.34,9232
2024-03-18,84.95,84.95,80.21,83.34,144
2024-03-19,80.0,88.88,80.0,85.85,29570
2024-03-20,82.15,82.15,82.15,85.85,50
2024-03-21,80.31,85.99,80.31,85.85,100
2024-03-22,84.99,84.99,82.0,85.85,60
2024-03-25,81.0,86.99,81.0,85.63,4095
2024-03-26,82.98,87.0,82.0,85.84,40774
2024-03-27,86.74,92.28,82.8,92.05,16867
2024-03-28,96.96,98.95,94.0,98.51,8016
2024-03-29,95.0,105.85,94.0,101.18,7868
2024-04-01,108.0,108.0,95.51,98.12,2304
2024-04-02,105.48,105.48,93.11,96.1,1948
2024-04-03,97.0,102.8,93.95,96.1,243
2024-04-04,95.99,95.99,94.0,95.79,1334
2024-04-08,96.0,98.0,94.0,95.02,12708
2024-04-09,92.01,97.95,92.01,97.95,5101
2024-04-15,92.0,96.0,92.0,95.86,4750
2024-04-16,95.0,98.0,91.1,97.8,2816
2024-04-17,90.5,95.99,90.5,94.5,5797
2024-04-18,92.0,97.99,92.0,96.59,1851
2024-04-19,92.17,95.97,92.17,92.52,4010
2024-04-22,92.52,96.88,91.06,91.29,2742
2024-04-23,94.95,96.0,92.0,95.96,9501
2024-04-24,95.0,98.7,95.0,96.12,30187
2024-04-25,94.01,98.0,94.01,97.63,2059
2024-04-26,96.99,96.99,96.95,97.57,65
2024-04-29,92.26,96.96,92.0,92.09,6651
2024-04-30,95.0,95.0,88.01,91.0,1355
2024-05-02,90.0,91.01,87.5,91.0,3641
2024-05-03,91.01,91.21,91.01,91.18,3420
2024-05-06,91.2,92.99,91.01,91.01,1306
2024-05-07,93.8,93.8,91.5,92.93,1112
2024-05-08,91.0,91.0,91.0,91.0,17400
2024-05-09,92.0,92.0,91.0,91.0,10740
2024-05-10,91.01,91.5,91.0,91.02,4955
2024-05-13,92.99,93.0,92.0,92.29,6701
2024-05-14,91.0,92.0,91.0,92.0,7020
2024-05-15,92.0,92.0,90.0,90.0,58909
2024-05-16,89.51,90.5,89.51,90.0,17050
2024-05-17,87.01,89.99,87.01,88.02,508
2024-05-20,87.01,87.99,87.0,87.01,1429
2024-05-21,86.99,86.99,86.95,87.01,70
2024-05-22,89.99,89.99,89.99,87.01,30
2024-05-23,87.0,87.0,83.0,87.01,208
2024-05-24,87.0,88.88,87.0,88.27,300
2024-05-27,87.0,87.01,87.0,88.27,172
2024-05-29,84.05,84.05,82.0,82.46,97507
2024-05-30,82.05,86.99,82.05,86.06,97208
2024-05-31,83.11,87.5,83.11,87.01,1202
2024-06-03,84.05,85.0,84.05,87.01,120
2024-06-04,89.0,89.0,84.16,87.01,102
2024-06-05,84.01,86.99,83.55,84.09,6959
2024-06-06,82.12,85.0,82.12,84.09,124
2024-06-10,84.0,84.0,84.0,84.09,24
2024-06-12,78.0,83.74,78.0,83.44,1305
2024-06-13,82.99,82.99,79.0,79.93,11538
2024-06-14,86.72,86.72,79.95,81.01,5053
2024-06-20,84.0,87.9,82.0,86.78,5757
2024-06-21,93.99,94.16,85.0,86.83,9208
2024-06-24,86.83,86.83,85.0,86.5,1620
2024-06-25,89.0,89.0,89.0,89.0,550
2024-06-26,89.99,89.99,84.56,89.0,18554
2024-06-27,90.0,90.0,80.99,82.99,92132
2024-06-28,84.95,84.95,77.51,82.96,318458
2024-07-01,82.96,83.0,82.96,83.0,635
2024-07-02,82.0,82.0,80.81,80.93,1620
2024-07-03,82.1,82.1,82.1,80.93,300
2024-07-04,81.25,81.25,81.25,80.93,217
2024-07-05,80.95,81.25,80.5,80.91,2331
2024-07-08,73.55,80.0,73.55,78.55,1613
2024-07-09,78.5,80.0,78.5,79.94,526
2024-07-10,77.5,79.25,77.5,78.27,3265
2024-07-11,78.1,78.5,77.06,78.43,483
2024-07-12,77.77,79.94,77.0,77.06,1674
2024-07-15,81.8,81.8,77.8,79.98,1643
2024-07-18,77.2,81.8,77.0,81.76,3270
2024-07-19,80.0,80.0,77.01,78.05,2448
2024-07-22,78.31,78.31,77.0,77.25,1526
2024-07-23,75.01,82.0,75.01,78.22,1063
2024-07-24,80.0,80.0,76.1,78.22,29
2024-07-25,76.11,79.77,76.11,77.14,410
2024-07-26,78.5,78.5,76.5,77.14,199
2024-07-29,74.25,78.0,71.61,72.41,10310
2024-07-30,74.37,79.65,72.0,74.97,10031
2024-07-31,75.0,79.97,75.0,74.97,3
2024-08-01,74.02,75.5,74.0,74.01,738
2024-08-02,74.0,74.7,74.0,74.01,13
2024-08-05,71.01,74.35,71.01,71.57,604
2024-08-06,73.0,73.1,70.01,71.93,4379
2024-08-07,73.5,75.8,73.49,73.62,5370
2024-08-08,75.0,75.0,70.75,73.62,43
2024-08-09,79.1,79.1,74.0,74.0,2122
2024-08-12,71.2,73.0,71.2,73.0,5197
2024-08-15,76.99,77.0,76.0,76.89,715
2024-08-19,76.89,76.89,73.0,76.58,184
2024-08-20,71.01,72.6,71.01,72.52,12609
2024-08-21,73.5,74.95,73.5,73.75,2288
