date,open,high,low,close,volume
2024-01-10,765.0,788.99,764.0,765.08,2103
2024-01-11,770.1,770.1,764.0,764.05,1264
2024-01-12,765.0,784.99,764.0,764.31,3092
2024-01-15,774.76,774.76,766.0,767.29,176
2024-01-16,765.0,765.0,761.0,761.04,464
2024-01-17,752.0,764.0,750.0,753.61,281
2024-01-18,750.0,752.2,732.0,740.0,648
2024-01-19,747.99,795.5,736.11,736.7,383
2024-01-22,742.0,742.0,706.01,733.94,580
2024-01-23,730.1,739.99,725.0,729.38,2377
2024-01-24,730.0,745.0,730.0,739.09,1054
2024-01-25,780.0,794.52,762.0,794.52,37506
2024-01-26,839.0,847.0,780.2,805.97,42529
2024-01-29,806.0,806.0,770.11,790.22,16855
2024-01-30,791.0,796.0,785.0,787.92,9415
2024-01-31,800.0,800.0,770.5,776.87,2067
2024-02-01,785.18,795.5,780.0,784.66,16710
2024-02-02,780.11,784.99,748.0,760.77,6100
2024-02-06,760.77,784.0,760.0,760.42,59
2024-02-07,756.01,786.0,750.0,778.6,3729
2024-02-09,750.11,775.01,750.0,756.34,31199
2024-02-12,760.0,760.0,736.01,739.86,31071
2024-02-13,736.0,755.02,735.5,751.01,1615
2024-02-14,768.0,780.0,750.01,771.3,1573
2024-02-15,775.0,775.0,740.0,749.36,1983
2024-02-16,750.0,765.0,733.0,742.26,725
2024-02-19,745.0,749.0,731.11,738.03,1951
2024-02-20,738.0,766.0,738.0,765.0,13319
2024-02-21,775.0,780.0,758.0,770.0,1077
2024-02-22,760.1,774.99,752.0,755.53,292
2024-02-23,750.0,769.9,750.0,768.9,113
2024-02-26,779.0,780.0,751.02,777.18,3241
2024-02-27,778.0,778.0,752.1,755.84,339
2024-02-28,762.0,769.95,762.0,755.84,3
2024-02-29,777.94,780.0,760.0,774.71,2366
2024-03-01,773.0,799.0,772.99,783.9,2032
2024-03-04,789.93,814.0,765.11,801.56,3165
2024-03-05,780.12,801.0,780.0,799.99,1643
2024-03-06,780.12,799.89,776.2,781.12,500
2024-03-07,775.0,790.0,745.2,781.07,2464
2024-03-08,784.99,786.8,766.01,766.64,419
2024-03-11,779.98,790.0,772.11,778.05,262
2024-03-12,788.0,788.0,750.0,750.12,1049
2024-03-13,749.99,755.0,742.57,749.99,1122
2024-03-14,750.0,800.0,750.0,791.48,7694
2024-03-15,778.0,802.0,778.0,800.0,7339
2024-03-18,802.0,802.0,770.0,799.81,15734
2024-03-19,799.0,815.0,799.0,807.48,15030
2024-03-20,810.0,810.01,791.01,809.78,1603
2024-03-21,815.0,835.0,810.0,818.62,2226
2024-03-22,844.99,844.99,791.01,799.32,6881
2024-03-25,786.23,818.78,786.22,811.4,3663
2024-03-26,811.0,818.96,811.0,818.95,1719
2024-03-27,818.95,825.0,816.0,825.0,5291
2024-03-28,824.99,830.0,815.0,829.56,3665
2024-03-29,801.01,880.0,801.01,857.47,3327
2024-04-01,802.01,856.99,802.01,845.55,1151
2024-04-02,830.0,849.9,830.0,835.81,153
2024-04-03,849.59,849.59,807.01,839.65,360
2024-04-04,850.0,860.0,807.0,831.0,1044
2024-04-08,831.0,849.47,831.0,833.31,35
2024-04-09,828.0,850.0,800.55,835.0,1452
2024-04-15,827.0,849.0,827.0,835.22,879
2024-04-16,830.11,842.05,830.0,840.02,4518
2024-04-17,839.99,841.0,835.0,841.0,1055
2024-04-18,844.9,844.9,822.05,833.9,8710
2024-04-19,890.0,890.0,823.01,840.0,1017
2024-04-22,810.13,850.0,810.13,848.51,9665
2024-04-23,840.05,850.0,840.0,850.0,811
2024-04-24,835.0,888.0,830.11,856.93,12915
2024-04-25,842.0,878.98,793.0,851.05,1880
2024-04-26,840.12,850.0,826.11,845.2,1878
2024-04-29,831.11,847.85,821.0,821.62,1316
2024-04-30,821.0,821.0,800.0,802.13,1576
2024-05-02,801.99,802.0,780.0,795.07,1819
2024-05-03,780.11,810.0,780.0,803.28,542
2024-05-06,790.11,814.0,780.11,808.0,9887
2024-05-07,795.05,809.0,795.05,805.06,11
2024-05-08,809.9,809.9,790.01,795.0,286
2024-05-09,819.99,819.99,780.12,795.91,691
2024-05-10,835.36,855.6,835.36,855.6,26332
2024-05-13,918.0,918.0,821.0,884.57,10554
2024-05-14,880.0,884.0,880.0,881.01,1337
2024-05-15,889.9,900.0,887.0,888.32,4220
2024-05-16,888.89,899.0,880.0,880.0,827
2024-05-17,882.01,938.0,880.0,899.02,8713
2024-05-20,900.0,910.0,890.0,903.3,4070
2024-05-21,903.3,924.99,902.0,914.89,18850
2024-05-22,915.0,915.0,881.0,886.55,1051
2024-05-23,881.0,894.99,880.0,890.02,15620
2024-05-24,860.12,899.49,860.12,890.0,17797
2024-05-27,890.0,895.01,870.0,877.37,7169
2024-05-29,889.99,925.0,889.0,920.37,15231
2024-05-30,894.01,924.89,894.01,913.79,3581
2024-05-31,910.0,924.97,890.0,917.23,7852
2024-06-03,924.0,924.0,881.1,908.0,2331
2024-06-04,900.11,915.0,900.0,914.83,7016
2024-06-05,915.0,915.0,904.91,908.44,12162
2024-06-06,910.0,915.0,890.0,895.79,5406
