date,open,high,low,close,volume
2023-11-06,11.1,11.45,10.4,11.45,2500
2023-11-07,11.55,11.55,10.45,10.51,2500
2023-11-08,10.36,10.36,10.36,10.36,500
2023-11-10,10.5,10.5,9.47,9.47,1000
2023-11-13,9.99,9.99,9.15,9.15,1000
2023-11-14,9.15,9.15,9.15,9.15,3000
2023-11-15,9.4,9.4,9.4,9.4,1000
2023-11-17,9.5,9.9,9.5,9.9,3500
2023-11-20,9.12,9.12,9.12,9.12,1000
2023-11-21,10.12,10.12,9.6,10.12,7500
2023-11-22,10.15,10.95,10.15,10.95,1000
2023-11-23,11.45,11.45,11.45,11.45,500
2023-11-24,12.43,12.43,12.43,12.43,500
2023-11-27,12.89,12.89,11.5,11.77,12000
2023-11-28,11.01,11.76,10.79,10.8,2500
2023-11-29,10.35,10.35,10.35,10.35,1000
2023-11-30,10.12,10.12,10.12,10.12,500
2023-12-01,9.7,9.76,9.7,9.76,1000
2023-12-06,10.7,10.75,10.7,10.75,1500
2023-12-07,11.35,11.35,11.35,11.35,500
2023-12-08,10.54,10.54,10.54,10.54,500
2023-12-11,10.54,10.55,10.54,10.55,3000
2023-12-13,10.1,10.1,10.1,10.1,1000
2023-12-14,9.7,9.7,9.7,9.7,500
2023-12-15,9.9,10.06,9.9,10.06,3000
2023-12-20,9.66,9.66,9.65,9.65,5500
2023-12-21,9.2,10.63,9.2,10.41,5000
2023-12-22,9.6,9.6,9.6,9.6,500
2023-12-26,8.8,10.56,8.8,10.56,5500
2023-12-28,9.56,9.99,9.56,9.99,3000
2023-12-29,10.65,10.65,10.65,10.65,500
2024-01-01,10.98,10.98,10.8,10.8,1000
2024-01-02,9.81,9.81,9.8,9.81,6500
2024-01-03,9.04,9.71,9.04,9.71,1500
2024-01-04,10.39,10.39,10,10,1500
2024-01-08,9.22,9.22,9.22,9.22,500
2024-01-09,8.68,8.68,8.68,8.68,500
2024-01-10,9.68,9.68,9.68,9.68,1000
2024-01-11,10,10.67,10,10.02,4000
2024-01-12,10,10.89,9.51,10.43,2000
2024-01-15,9.82,9.82,9.82,9.82,500
2024-01-18,9.51,10.7,9.51,10.11,1000
2024-01-19,9.65,10,9.65,9.91,2000
2024-01-23,9.26,10.4,9,10.4,6000
2024-01-31,9.4,9.41,9.4,9.41,1000
2024-02-01,9,9.1,9,9.1,1000
2024-02-02,9,9,9,9,500
2024-02-09,8.49,8.49,8.49,8.49,500
2024-02-12,9.45,9.49,8.8,8.8,1500
2024-02-13,8.26,8.26,8.12,8.2,3500
2024-02-14,8.89,8.89,8.89,8.89,500
2024-02-15,9.19,9.19,9.19,9.19,500
2024-02-16,10.18,10.18,9.8,9.8,2500
2024-02-19,8.85,9.69,8.85,9.67,3000
2024-02-22,9.93,9.93,9.64,9.64,1000
2024-02-23,9.93,9.93,8.85,8.85,3000
2024-02-26,9.59,9.59,8.9,8.9,4000
2024-02-27,8.3,8.3,8.3,8.3,3000
2024-02-28,9.16,9.2,9.16,9.2,1500
2024-02-29,9.49,9.49,9.49,9.49,500
2024-03-05,9.92,10.49,9.11,10.49,10000
2024-03-06,10.99,11.49,9.5,10.89,30000
2024-03-07,10.88,10.88,10.88,10.88,1500
2024-03-12,10.75,11.8,10.75,11.8,2500
2024-03-13,11.3,11.5,11,11.49,3500
2024-03-14,11,11.1,10.49,10.53,3000
2024-03-18,10,10,10,10,500
2024-03-21,9.66,9.66,9.66,9.66,1000
2024-03-22,9.52,9.52,9.52,9.52,1000
2024-03-26,9.5,10.52,9.5,10.52,1000
2024-03-27,11.45,11.45,11.45,11.45,500
2024-03-28,10.51,10.51,10.45,10.48,1500
2024-03-29,10.01,10.01,9.75,9.8,5000
2024-04-01,9.75,10.77,9.75,10.77,1500
2024-04-04,11.25,11.25,11.25,11.25,500
2024-04-08,12.09,12.09,12.09,12.09,500
2024-04-09,11.1,11.3,11.09,11.1,10000
2024-04-15,10.2,10.2,10.2,10.2,500
2024-04-16,10.11,10.11,10.11,10.11,500
2024-04-22,9.92,9.92,9.92,9.92,500
2024-04-24,9.83,9.83,9.83,9.83,500
2024-04-25,10,10,10,10,500
2024-04-29,9.76,9.76,9.76,9.76,500
2024-04-30,9.99,9.99,9.71,9.71,2000
2024-05-02,9.53,9.53,9.02,9.15,22000
2024-05-03,9.4,9.89,9.4,9.75,2000
2024-05-06,9.5,10.74,9.5,10.73,11500
2024-05-07,10.99,10.99,10.12,10.53,30500
2024-05-08,10.56,10.56,10.56,10.56,4500
2024-05-09,10.99,11.56,10.99,11.33,4000
2024-05-10,11.69,11.8,11.01,11.01,12000
2024-05-13,11.25,12.01,11.11,12.01,27500
2024-05-14,12.85,13.01,12.61,12.61,9500
2024-05-15,13,13.61,13,13.61,11000
2024-05-16,14.01,14.63,14.01,14.63,7000
2024-05-17,15.73,15.73,14.61,14.61,9500
2024-05-20,14.11,15.7,13.85,13.85,15500
