date,open,high,low,close,volume
2023-02-08,11.6,11.6,11.6,11.6,2000
2023-02-21,11.26,11.26,10.7,11.01,1500
2023-03-07,10.5,10.5,10.02,10.06,2000
2023-03-09,10.06,10.06,10.06,10.06,500
2023-03-27,10.49,10.49,10.49,10.49,2000
2023-03-29,10.49,10.49,10.49,10.49,2000
2023-04-20,10,11.48,10,11.48,8500
2023-05-02,12.48,12.48,12.48,12.48,500
2023-05-03,13.44,13.48,13.44,13.47,5500
2023-05-10,14.44,14.44,14.44,14.44,500
2023-05-12,15.4,15.4,13.36,13.36,2000
2023-05-17,12.36,14.34,12.36,14.34,1500
2023-06-21,15.4,15.4,15.3,15.3,1000
2023-07-03,15.39,15.39,15.39,15.39,500
2023-07-04,15.98,15.98,15.98,15.98,500
2023-07-21,17,17,17,17,3000
2023-07-27,15.73,15.73,15.73,15.73,10500
2023-07-31,14.55,14.55,14.55,14.55,3000
2023-08-01,15.64,15.64,13.46,14.23,2500
2023-08-02,13.21,14.96,13.2,14.96,3000
2023-08-15,13.84,13.84,13.84,13.84,9500
2023-08-17,14.86,14.86,14.86,14.86,500
2023-08-23,14.96,14.96,14.96,14.96,500
2023-09-08,14.59,14.59,14.59,14.59,500
2023-09-11,15.24,15.24,15.24,15.24,500
2023-09-20,16.24,16.24,16.24,16.24,500
2023-09-27,16.72,16.72,16.72,16.72,500
2023-10-13,16.45,16.45,16.45,16.45,500
2023-10-17,16.7,16.7,16.7,16.7,500
2023-11-28,16.79,16.79,16.79,16.79,4500
2023-12-01,17.99,17.99,17.99,17.99,500
2023-12-06,16.47,16.47,16.47,16.47,6000
2023-12-07,15.23,15.23,15.23,15.23,5000
2023-12-12,16.15,16.15,15.45,15.45,2500
2023-12-14,16.34,16.34,16.34,16.34,500
2023-12-26,16,16,16,16,20500
2024-01-19,15,15,14.8,14.9,1000
2024-01-22,13.78,13.78,13.78,13.78,1500
2024-01-24,12.75,12.75,12.75,12.75,1000
2024-01-25,11.75,11.9,11.75,11.85,17500
2024-01-29,11.51,11.51,10.9,10.9,3000
2024-02-02,10.01,10.1,10,10.03,7000
2024-02-07,10.05,10.05,10.05,10.05,2000
2024-03-11,10,11.05,10,11.05,2500
2024-03-14,10.05,11.5,10.05,11.5,16500
2024-03-28,10.5,10.51,10.5,10.5,6000
2024-03-29,10.05,10.05,10,10,8000
2024-04-02,9.15,9.15,9.15,9.15,1500
2024-04-03,10.15,10.15,10,10,2000
2024-04-22,9.25,9.25,9.25,9.25,3500
2024-04-23,9.96,9.96,9.96,9.96,4000
2024-04-24,10.49,10.49,10.05,10.27,1000
2024-04-26,10.81,10.81,10.81,10.81,500
2024-05-14,9.81,10.79,9.81,10.79,3000
2024-05-22,9.8,9.8,9.8,9.8,500
2024-06-11,9.4,9.4,9.3,9.8,502
2024-06-21,9.11,9.11,9.11,9.11,1000
2024-07-03,10,10.11,10,10.11,57000
2024-07-04,11.11,11.11,10.99,11.11,44853
2024-07-05,11.85,12.11,11.24,11.99,116301
2024-07-08,12.05,13.12,12,13.11,17400
2024-07-09,13.15,14,12.71,12.85,35650
2024-07-10,11.74,11.76,11.72,11.75,3500
2024-07-11,11.75,11.75,11.75,11.75,1000
2024-07-15,10.65,12.75,10.65,11.75,151
2024-07-18,11.08,11.08,11.08,11.08,2500
2024-07-22,10.06,10.74,10.05,10.15,2052
2024-07-23,11.16,11.17,10.75,10.89,10001
2024-07-24,10.99,11.98,10.99,11.65,17401
2024-07-25,11.98,12.82,11.98,12.4,77326
2024-07-26,12.99,12.99,12,12,1003
2024-07-29,11.7,12.8,11.7,11.75,12003
2024-07-30,11.55,12,10.81,11.89,19798
2024-07-31,12.14,12.25,12,12.25,26775
2024-08-01,12.5,12.5,12.5,12.25,1
2024-08-02,12.5,13.48,12.5,13.48,13556
2024-08-05,14.5,14.83,14.5,14.83,10151
2024-08-06,15.85,16.31,15.74,16.31,9177
2024-08-07,17.94,17.94,17,17.94,4870
2024-08-08,19.73,19.73,19.73,19.73,1072
2024-08-09,21.7,21.7,21.7,21,288
2024-08-12,23.1,23.1,23.1,23.1,2113
2024-08-13,25.41,25.41,25.41,25.41,1991
2024-08-15,27.95,27.95,27.95,27.95,5568
2024-08-16,30.75,30.75,30.75,30.75,2749
2024-08-19,33.83,33.83,31,33.83,63231
2024-08-20,35.5,37.21,30.45,37.21,49704
2024-08-21,40,40.93,37.51,40.93,35839
2024-08-22,45.02,45.02,42.15,45.02,17043
2024-08-23,49.52,49.52,49.52,49.52,7632
2024-08-26,54.47,54.47,44.57,50.21,126407
2024-08-27,45.7,48.9,45.19,45.19,27788
2024-08-28,41.56,43.49,40.67,40.67,20687
2024-08-29,43,43,36.6,37.68,24248
2024-08-30,38.98,41,37.5,38.01,6848
2024-09-02,39,41.81,37.35,41.38,37407
2024-09-03,45.52,45.52,45.52,45.52,5802
2024-09-04,50.07,50.07,46.1,50.07,57355
2024-09-05,52,52,45.06,45.06,30440
2024-09-06,41.25,41.85,40.55,40.64,10258
2024-09-09,42,42,36.58,36.65,17954
2024-09-10,36.59,38.49,36.59,36.59,2421
2024-09-11,39.89,39.89,34,34.03,1014
2024-09-12,31.51,34.94,31,31.71,5369
2024-09-13,30,32.1,30,30.07,3705
2024-09-16,28.01,29.99,28,30.07,460
2024-09-18,29.99,29.99,27.06,27.79,4999
2024-09-19,30.45,30.45,25.01,25.01,13509
2024-09-20,26.99,26.99,23.3,23.31,522
2024-09-23,24.89,24.89,21.6,23.31,14
2024-09-24,24.94,25.64,21.01,25.64,7202
2024-09-25,28.2,28.2,28.2,28.2,3123
2024-09-26,31.02,31.02,31.02,31.02,564
2024-09-27,34.12,34.12,27.92,28.37,36623
2024-09-30,26.11,28.9,26.11,26.9,4840
2024-10-01,29.39,29.39,27.99,28,1783
2024-10-02,26.75,30.8,25.61,26.3,104751
2024-10-03,28.49,28.49,25,25.06,8732
2024-10-04,24.6,24.99,24,24.27,3525
2024-10-07,25.99,25.99,24.3,24.44,6310
2024-10-08,24,24,24,24.44,500
2024-10-09,24.1,24.95,22.16,23.62,17448
2024-10-10,23.65,25.84,22.5,24.96,7761
2024-10-11,24.5,24.5,23,23.08,6125
2024-10-14,22.51,25.39,22.5,25.3,19477
2024-10-15,24.01,25.99,23,23.17,21752
2024-10-16,22.2,24.2,22.2,23.17,24
2024-10-17,24.99,24.99,24.99,23.17,8
2024-10-18,25.48,25.48,24,24.79,1411
2024-10-22,25.5,25.5,25.5,24.79,20
2024-10-23,24,24.5,23.1,23.69,563
2024-10-24,23.7,23.7,23.41,23.65,1210
2024-10-25,0,0,0,23.65,7
2024-10-28,22.7,24.89,22.6,22.6,991
2024-10-29,22.13,24.5,22.1,24.18,12047
2024-10-30,26.16,26.6,26.01,26.6,8970
2024-10-31,29.26,29.26,29.26,29.26,4736
2024-11-01,32.18,32.19,32.18,32.19,3538
2024-11-04,35.41,35.41,35.4,35.41,8286
2024-11-05,38.85,38.85,33.01,34.65,9463
2024-11-06,31.25,32.7,31.19,31.35,4965
2024-11-07,31.8,34.49,31.11,34.36,28242
2024-11-08,35,36.85,33.56,34.26,11221
2024-11-11,36.95,36.95,33.01,34.94,5882
2024-11-12,35.9,36.5,34,36,12195
2024-11-13,38.49,38.49,33,35.79,5920
2024-11-14,37.69,37.69,33,33.17,12954
2024-11-15,35.75,36.48,33,35.01,3597
2024-11-18,33.56,36.99,33.56,35.54,7098
2024-11-19,39.09,39.09,37,39.09,16576
2024-11-20,43,43,43,43,3256
2024-11-21,47.3,47.3,47.3,47.3,14245
2024-11-22,51.99,52.03,50.89,52.03,43550
2024-11-25,57,57.23,46.83,57.23,54424
2024-11-26,62.75,62.95,60.1,62.1,24182
2024-11-27,64,64,57,58.68,7428
2024-11-28,64.5,64.55,52.81,58.16,43812
2024-11-29,60,60,56,59.04,4208
2024-12-02,61.98,61.98,60,60.79,14579
2024-12-03,62.9,62.9,60,60.06,421
2024-12-04,56,59.74,56,57.92,6803
2024-12-05,58.23,62,52.2,56.04,2619
2024-12-06,60,60,57,56.34,252
2024-12-09,58,58,55,55.36,3391
2024-12-10,58.1,58.1,49.82,49.82,7000
2024-12-11,53.99,54,49,53.79,5306
2024-12-12,55.1,57,53.5,55.53,1181
2024-12-13,59.85,59.85,50.01,56.14,2343
2024-12-16,59,59,55.1,58.1,902
2024-12-17,63.91,63.91,63.91,63.91,14024
2024-12-18,70.3,70.3,70.3,70.3,110
2024-12-19,77.33,77.33,75,77.33,43959
2024-12-20,85.06,85.06,85.06,85.06,24912
2024-12-23,93.57,93.57,77.1,93.57,68618
2024-12-24,102.93,102.93,97.5,102.82,54455
2024-12-26,111.99,113.1,111.97,113.1,21550
2024-12-27,124.41,124.41,124.41,124.41,8780
2024-12-30,136.85,136.85,136.85,136.85,2651
2024-12-31,150.54,150.54,150.54,150.54,4295
2025-01-01,165.59,165.59,156,165.59,116377
2025-01-02,178,182.15,168.01,182.15,54522
2025-01-03,200.37,200.37,195.12,200.37,45780
2025-01-06,220.41,220.41,220.3,220.41,12977
2025-01-07,242.45,242.45,198.37,198.37,115678
2025-01-08,180,188,178.53,178.53,44226
2025-01-09,160.68,169,160.68,160.68,15395
2025-01-10,144.61,144.61,144.61,144.61,3904
2025-01-13,130.15,159.07,130.15,159.07,45484
2025-01-14,174.98,174.98,174.98,174.98,10086
2025-01-15,192.48,192.48,157.48,172.7,111398
2025-01-16,175,175,158,160.29,24863
2025-01-17,145.5,160,145.5,155.97,19625
2025-01-20,155.97,160,143.5,153.87,26721
2025-01-21,156,156,146,146.96,7182
2025-01-22,146.8,149.74,135.2,137.26,13157
2025-01-23,144.9,150.99,135.05,150.99,30434
2025-01-24,156.51,166.09,152.09,157.06,74302
2025-01-27,160.6,164,156.81,158.51,17755
2025-01-28,159.99,159.99,143.12,150.62,13036
2025-01-29,149.9,150,137.24,140.3,16561
2025-01-30,143.99,145.78,140,144.89,3884
