date,open,high,low,close,volume
2024-05-29,7,7,7,7,22067
2024-05-30,6,6,6,6,126351
2024-05-31,5,5.55,5,5,4008132
2024-06-03,4.56,5,4.54,4.63,1219921
2024-06-04,4.75,4.84,4.01,4.37,430921
2024-06-05,4.31,4.43,4.13,4.21,202784
2024-06-06,4.13,4.35,3.95,4,514890
2024-06-07,3.85,4.25,3.8,4.15,278448
2024-06-10,4.3,4.3,3.9,3.91,193474
2024-06-11,4.1,4.1,3.45,3.53,505071
2024-06-12,3.53,3.66,3.4,3.48,288845
2024-06-13,3.59,3.59,3.1,3.42,126777
2024-06-14,3.3,3.54,3.12,3.41,278367
2024-06-20,3.56,3.56,3.4,3.43,83420
2024-06-21,3.61,3.61,3.3,3.31,158772
2024-06-24,3.19,3.35,3.05,3.14,181221
2024-06-25,3.14,3.25,3.02,3.08,274102
2024-06-26,3.14,3.55,3.1,3.21,333272
2024-06-27,3.3,3.34,3.18,3.21,119101
2024-06-28,3.3,3.3,3.1,3.12,191612
2024-07-01,3.27,3.97,3.1,3.74,809118
2024-07-02,3.61,4.6,3.61,4.49,2024533
2024-07-03,4.22,4.94,4.13,4.33,1540094
2024-07-04,4.35,4.88,4.21,4.39,1176028
2024-07-05,4.5,5.25,4.3,4.37,3196331
2024-07-08,4.5,4.59,3.6,4.21,241197
2024-07-09,4.01,4.29,3.9,3.96,557670
2024-07-10,4.18,4.18,3.75,3.81,215440
2024-07-11,4.09,4.09,3.41,3.44,302011
2024-07-12,3.77,4.03,3.21,3.39,190906
2024-07-15,3.59,3.59,3.3,3.36,186183
2024-07-18,3.36,3.5,3.2,3.3,114464
2024-07-19,3.34,3.44,3.15,3.24,343618
2024-07-22,3.32,3.34,3.2,3.25,60486
2024-07-23,3.3,3.3,3.18,3.22,103230
2024-07-24,3.3,3.39,3.15,3.24,240050
2024-07-25,3.39,3.39,3.11,3.19,270128
2024-07-26,3.16,3.49,3.02,3.13,552582
2024-07-29,3.11,3.29,2.93,3.02,455010
2024-07-30,3.05,3.19,3,3,216942
2024-07-31,3,3.29,3,3.2,974112
2024-08-01,3.12,3.3,2.85,2.99,497547
2024-08-02,3.18,3.18,2.82,2.94,115864
2024-08-05,3.09,3.11,2.98,3,130911
2024-08-06,2.97,3.2,2.97,3.16,592036
2024-08-07,3.05,3.58,3.05,3.23,1344450
2024-08-08,3.29,3.44,3.1,3.16,252527
2024-08-09,3.29,3.29,3.1,3.13,82478
2024-08-12,3.22,3.22,3.07,3.07,111144
2024-08-13,3.02,3.25,3,3.04,311720
2024-08-15,3.02,3.19,2.98,3,344502
2024-08-16,3.14,3.14,2.97,3.03,72547
2024-08-19,3,3.14,3,3.03,48481
2024-08-20,3.11,3.11,2.91,3,103492
2024-08-21,2.97,3.05,2.97,3,356291
2024-08-22,3.13,3.49,3,3.29,842613
2024-08-23,3.34,3.4,3.12,3.17,339423
2024-08-26,3.28,3.29,3.06,3.14,58828
2024-08-27,3.25,3.25,3.11,3.14,8064
2024-08-28,3.26,3.26,3,3.03,147402
2024-08-29,3.13,3.19,3.01,3.09,77209
2024-08-30,3.12,3.76,3.11,3.34,2263054
2024-09-02,3.24,3.4,3.1,3.15,136114
2024-09-03,3.28,3.3,3.1,3.23,105689
2024-09-04,3.24,3.7,3.2,3.43,1197130
2024-09-05,3.54,3.77,3.35,3.45,645023
