date,open,high,low,close,volume
2024-06-11,4.15,4.45,4.03,4.18,139510
2024-06-12,4.38,4.93,4.05,4.22,637961
2024-06-13,4.49,4.98,4.04,4.21,52688
2024-06-14,4.48,4.49,4.15,4.24,55860
2024-06-20,4.35,4.35,4,4.08,63494
2024-06-21,4.1,4.19,4,4.02,149942
2024-06-24,4.2,4.2,3.75,3.75,62987
2024-06-25,3.78,4.08,3.54,3.57,71763
2024-06-26,3.74,4.5,3.5,3.52,28106
2024-06-27,3.69,4.12,3.41,3.66,209660
2024-06-28,3.93,3.93,3.36,3.42,204998
2024-07-01,3.27,4.42,3.1,4.42,1509410
2024-07-02,5.25,5.42,4.5,5.42,1083495
2024-07-03,6.14,6.42,5.7,6.42,786038
2024-07-04,6.66,7.42,6.51,7.42,148856
2024-07-05,8.42,8.42,6.42,6.42,1496613
2024-07-08,5.65,6.99,5.6,6.57,1034880
2024-07-09,6.8,6.8,6.25,6.25,227350
2024-07-10,6.44,6.44,5.55,5.64,238561
2024-07-11,5.86,5.99,5.05,5.11,101718
2024-07-12,5.47,5.47,4.11,4.52,329993
2024-07-15,4.28,4.97,4.28,4.35,38821
2024-07-18,3.87,4.34,3.87,4.23,39138
2024-07-19,4.48,4.48,4.02,4.25,7854
2024-07-22,4.48,4.48,4.06,4.24,2990
2024-07-23,4.39,4.39,4,4.04,30673
2024-07-24,4.04,4.28,4,4.1,22374
2024-07-25,4.48,4.48,3.91,4,86786
2024-07-26,4.01,4.7,3.8,3.96,157181
2024-07-29,3.98,4.18,3.85,4.05,94711
2024-07-30,4.02,4.1,3.75,3.8,412828
2024-07-31,3.75,4.55,3.75,4.23,425377
2024-08-01,4.06,4.24,3.96,4.05,141103
2024-08-02,4.1,4.18,4,4.04,72812
2024-08-05,4,4.15,3.95,4.05,42721
2024-08-06,4.01,4.25,4,4.17,18088
2024-08-07,4.24,4.65,4.15,4.26,93107
2024-08-08,4.3,4.4,4.05,4.05,39685
2024-08-09,4.35,4.41,4.07,4.17,129546
2024-08-12,4.34,4.34,4.03,4.19,5562
2024-08-13,4.27,4.27,4.08,4.1,10120
2024-08-15,4.02,4.12,4.01,4.01,7123
2024-08-16,4.25,4.38,4,4.03,4448
2024-08-19,4.19,4.2,4,4.02,48029
2024-08-20,4.03,4.03,4,4,10990
2024-08-21,4.15,4.15,4,4.01,11537
2024-08-22,4.14,4.55,4.02,4.34,61037
2024-08-23,4.64,4.64,4.11,4.15,26750
2024-08-26,4.48,4.48,4.16,4.16,6537
2024-08-27,4.55,4.55,4.11,4.21,8071
2024-08-28,4.39,4.43,4,4.02,27791
2024-08-29,4.18,4.48,4.1,4.12,15341
2024-08-30,4.28,4.59,4.06,4.35,69205
2024-09-02,4.69,4.69,4.06,4.15,840
2024-09-03,4.24,4.48,4.17,4.33,10702
2024-09-04,4.34,4.55,4.2,4.31,68429
2024-09-05,4.44,4.98,4.41,4.6,212928
2024-09-06,4.77,5.08,4.04,4.55,178861
2024-09-09,4.88,5.25,4.51,5.25,147434
2024-09-10,5.09,5.43,5,5,28817
2024-09-11,4.99,4.99,4.6,4.74,50047
2024-09-12,5.15,5.15,4.8,4.81,6501
2024-09-13,4.99,5,4.72,4.72,1045
2024-09-16,4.99,5.2,4.71,4.99,124168
2024-09-18,5,5.14,4.5,4.6,23047
2024-09-19,4.89,4.89,4.44,4.47,3247
2024-09-20,4.55,5.13,4.21,4.22,1425
2024-09-23,4.28,4.38,4.1,4.11,4036
2024-09-24,4.2,4.58,4.2,4.5,23765
2024-09-25,4.63,4.63,4.35,4.36,1470
2024-09-26,4.53,4.53,4.17,4.21,2012
2024-09-27,4.45,4.8,4.24,4.25,5819
2024-09-30,4.86,4.86,4.48,4.25,302
2024-10-01,4.48,4.48,4.34,4.35,1111
2024-10-02,4.49,4.49,4.03,4.03,92097
2024-10-03,4.25,4.3,3.81,3.91,31806
2024-10-04,4.01,4.73,3.92,4.53,42319
2024-10-07,4.64,4.68,4.25,4.25,8361
2024-10-08,4.49,4.49,4.21,4.25,167
2024-10-09,4.48,4.48,4.2,4.4,41291
2024-10-10,4.3,4.85,4.3,4.31,7773
2024-10-11,4.35,4.49,4.21,4.25,5406
2024-10-14,4.21,4.21,4.04,4.2,4741
2024-10-15,4.15,4.5,4.02,4.2,7667
2024-10-16,4.45,4.45,4.06,4.06,5010
2024-10-17,4.35,4.35,4.35,4.35,550
2024-10-18,4.1,4.48,4.1,4.15,20459
2024-10-21,4.4,4.4,3.8,4.13,97441
2024-10-22,4.12,4.13,4.12,4.13,9900
2024-10-23,4.13,4.3,4.05,4.11,851
2024-10-24,4.48,4.48,4.02,4.02,754
2024-10-25,4.25,4.25,4,4,70131
2024-10-28,4.6,4.6,4.05,4.17,5237
2024-10-29,4.1,4.38,4.1,4.3,50886
2024-10-30,4.25,4.25,4.25,4.25,6364
2024-10-31,4.25,4.25,4.25,4.25,18201
2024-11-01,4.25,4.35,4.01,4.02,2296
2024-11-04,4.05,4.68,4.05,4.5,52064
2024-11-05,4.65,4.9,4.53,4.88,177748
