date,open,high,low,close,volume
2024-01-11,19.5,20,19.5,19.88,46000
2024-01-12,19.95,19.95,19.56,19.56,10500
2024-01-15,19.52,21.03,19.52,20.77,119000
2024-01-16,20.5,20.99,20,20.66,36000
2024-01-17,20.15,20.75,19.8,20.49,30500
2024-01-18,19.8,20.19,19,19.52,86500
2024-01-19,20.4,20.4,20,20,1000
2024-01-22,19.87,20,19.85,20,33000
2024-01-23,19.5,20.74,19.5,20.74,28500
2024-01-24,20.5,20.5,19.6,19.64,61000
2024-01-25,20,20.25,20,20,17000
2024-01-26,20.24,20.24,20.24,20.24,500
2024-01-29,20.13,20.13,20.13,20.13,500
2024-01-30,20,20.48,20,20,59000
2024-02-01,20,20,19.99,20,3500
2024-02-02,19.6,19.75,19.3,19.71,48500
2024-02-06,19.99,20,19.9,20,23000
2024-02-07,20.25,20.25,20.25,20.25,7000
2024-02-09,19.51,20,19.02,19.92,12000
2024-02-12,19.99,19.99,19.2,19.49,12000
2024-02-13,19.2,19.6,19.03,19.51,8500
2024-02-14,19.31,19.87,19.03,19.87,6500
2024-02-15,19.6,19.6,19.5,19.5,11000
2024-02-19,19.2,19.2,19,19.08,4500
2024-02-20,19.45,19.45,19.45,19.45,500
2024-02-21,19.5,19.5,19.5,19.5,500
2024-02-22,19.5,19.5,19.5,19.5,10000
2024-02-23,19.5,19.5,19.5,19.5,3500
2024-02-26,19.5,19.5,19.5,19.5,24000
2024-02-27,19.5,19.5,19.45,19.5,24500
2024-02-28,19.5,19.99,19,19.19,212000
2024-02-29,19.6,19.6,19.25,19.28,33500
2024-03-01,19.3,19.4,19.3,19.39,6500
2024-03-04,19.4,19.9,19.4,19.55,80500
2024-03-05,19.31,19.31,19.01,19.08,14500
2024-03-06,19.2,19.39,19.06,19.39,1500
2024-03-07,19.01,19.6,19,19.44,135500
2024-03-08,19,19.25,19,19.05,7000
2024-03-11,19.44,19.5,19.2,19.2,58500
2024-03-12,19.39,19.39,19.39,19.39,1500
2024-03-13,19,19,18.81,18.81,7000
2024-03-14,19.3,19.48,19.3,19.48,10500
2024-03-18,19.16,19.16,19.16,19.16,1000
2024-03-19,19,19,18.8,18.99,9000
2024-03-20,18.9,18.9,18.7,18.87,15500
2024-03-21,18.55,19.19,18.55,19.16,3000
2024-03-22,18.71,18.71,18.71,18.71,2500
2024-03-25,18.53,19,18.5,18.9,6000
2024-03-26,18.99,19,18.9,18.9,15500
2024-03-27,18.9,19,18.9,18.9,14500
2024-03-29,18.74,18.74,18.73,18.73,3000
2024-04-01,18.95,19,18.95,18.99,7000
2024-04-02,18.7,19,18.56,19,4500
2024-04-03,18.84,19,18.84,19,13500
2024-04-04,19.14,19.2,19.14,19.2,5000
2024-04-08,19,19.15,19,19.1,15000
2024-04-09,18.75,19.1,18.75,18.97,29000
2024-04-15,18.76,18.76,18.75,18.76,1500
2024-04-16,18.8,18.85,18.8,18.8,21500
2024-04-17,18.8,18.8,18.5,18.6,10000
2024-04-18,18.69,18.7,18.5,18.7,17500
2024-04-19,18.7,18.75,18.1,18.75,443000
2024-04-22,18.7,19.79,18.7,19.75,423000
2024-04-23,20,20.2,19.78,20,21000
2024-04-24,19.8,19.8,19.5,19.51,24000
2024-04-25,19.8,20.25,18.11,18.98,184500
2024-04-26,18.8,19,18.8,18.83,13000
2024-04-29,18.75,18.76,18,18.1,112500
2024-04-30,18.15,18.15,18,18,16500
2024-05-02,17.85,17.89,17.5,17.68,120500
2024-05-03,18.2,18.2,17.76,18.01,89500
2024-05-06,18.25,18.99,18.25,18.46,149500
2024-05-07,18.26,19,18.1,18.4,191500
2024-05-08,18.5,19.8,18.5,19.33,679500
2024-05-09,19.5,19.9,19.3,19.51,187000
2024-05-10,19.5,19.5,19,19.06,116000
2024-05-13,19.3,19.65,19.25,19.29,98000
2024-05-14,20,20,19.5,19.65,12000
2024-05-15,19.43,19.5,19.1,19.11,6000
2024-05-16,19.05,19.35,19,19.33,13500
2024-05-17,19.01,19.4,19.01,19.4,1000
2024-05-20,19.2,19.45,19.15,19.45,2000
2024-05-21,19.45,19.65,18.92,19.19,178000
2024-05-22,19.05,19.5,19.05,19.3,41500
2024-05-23,19.1,19.1,19,19,21500
2024-05-24,19.01,19.25,19,19,159500
2024-05-27,18.71,19.19,18.7,19,29500
2024-05-29,18.65,19.75,18.65,19.2,116420
2024-05-30,19.25,19.38,19,19,55110
2024-05-31,18.86,18.95,18.6,18.73,126505
2024-06-03,18.55,19,18.55,18.77,26800
2024-06-04,19,19,18.5,18.63,105066
2024-06-05,18.69,18.69,18.69,18.63,101
2024-06-06,18.41,18.7,18.3,18.7,12001
2024-06-07,18.3,18.5,18.01,18.44,10901
2024-06-10,18.16,18.44,16.87,18.09,15069
2024-06-11,18.1,18.1,17.8,18,6250
2024-06-12,17.75,18.25,17.75,18.06,5231
2024-06-13,18,18.25,18,18.05,8472
2024-06-14,18.3,18.3,18.25,18.3,12550
2024-06-20,18.47,18.47,18.19,18.2,29051
2024-06-21,18.1,18.1,17.51,17.74,61725
2024-06-24,17.75,18.4,17.55,18.4,73000
2024-06-25,18,18.38,18,18.01,9600
2024-06-26,18.2,18.35,17.75,17.76,16834
2024-06-27,17.6,18.74,17.6,18.61,123660
2024-06-28,18.5,18.5,17.75,17.92,72088
2024-07-01,18,18,17.7,17.7,18550
2024-07-02,17.76,17.95,17.6,17.86,53377
2024-07-03,17.99,18.1,17.9,18.01,39688
2024-07-04,18,18.75,18,18.23,288975
2024-07-05,18.02,18.35,17.9,17.91,69010
2024-07-08,18.39,19.1,17.9,17.97,23000
2024-07-09,18.25,18.95,17.85,18.25,73614
2024-07-10,18.49,18.49,18,18,17220
2024-07-11,18.05,18.24,17.75,18.02,23886
2024-07-12,18.65,18.65,17.01,17.76,19331
2024-07-15,18,18.1,17.25,17.7,98143
2024-07-18,17.76,18.25,17.71,18.01,74687
2024-07-19,18.2,18.25,17.76,18,122437
2024-07-22,18,18.18,17.81,17.93,122106
2024-07-23,17.99,18.19,17.62,17.8,104815
2024-07-24,17.85,17.9,17.71,17.8,252
2024-07-25,17.8,17.8,17.49,17.49,42447
2024-07-26,17.89,17.89,17.47,17.49,27087
2024-07-29,17.74,17.99,17.4,17.42,14390
2024-07-30,17.7,17.75,17.01,17.54,49072
2024-07-31,17.6,17.6,17.1,17.24,42614
2024-08-01,17.4,17.49,17,17,40185
2024-08-02,17,17.24,16.7,16.8,136204
2024-08-05,16.8,17,16.8,16.88,3461
2024-08-06,16.6,17,16.6,16.95,4864
2024-08-07,17.15,17.15,16.81,16.92,39726
2024-08-08,17,17.4,16.91,17.19,152373
2024-08-09,17.27,18.91,17.25,18.74,1521738
2024-08-12,19,20.4,18.2,19.9,2335112
2024-08-13,20.15,20.15,19.12,19.62,393931
2024-08-15,19.8,21.35,19.45,20.74,1483456
2024-08-16,20.8,21.99,20.25,20.31,1135647
2024-08-19,21,21.45,20.2,20.71,1366454
2024-08-20,21,21.45,20.01,20.21,900458
2024-08-21,20.48,20.6,19.9,20.29,254672
2024-08-22,20.3,20.99,20.1,20.53,763844
2024-08-23,20.89,20.89,19.9,19.94,335878
2024-08-26,20.1,20.1,19.28,19.42,132138
2024-08-27,19.95,20.3,19.15,19.77,262808
2024-08-28,19.98,21.75,19.8,20.3,2675279
2024-08-29,20.49,20.75,19.56,19.78,393691
2024-08-30,19.98,20.3,19.7,20.01,255788
2024-09-02,20.24,20.25,19.5,19.66,95313
2024-09-03,19.65,20.2,19.65,19.9,248610
2024-09-04,19.99,20.05,19.52,19.54,166883
2024-09-05,19.75,19.75,19.1,19.38,142822
2024-09-06,19.4,19.78,19,19.36,66105
2024-09-09,19.49,19.5,18.9,18.95,138002
2024-09-10,19.2,19.2,18.84,18.9,43252
2024-09-11,19.1,20.75,19.1,19.9,1004017
2024-09-12,20.2,20.2,19.67,19.84,156886
2024-09-13,20.1,20.1,19.4,19.52,228419
2024-09-16,19.64,19.64,19.3,19.42,87622
2024-09-18,19.89,21.3,19.12,20.37,1807156
2024-09-19,19.06,19.48,18.5,18.79,1631278
2024-09-20,18.6,18.65,17.9,18.05,503367
2024-09-23,18.1,18.3,17.75,17.83,166528
2024-09-24,18,18.09,17.5,17.65,110982
2024-09-25,17.55,18.04,17.49,17.67,137808
2024-09-26,18,18,17.23,17.61,490383
2024-09-27,17.51,17.8,17.51,17.78,256432
2024-09-30,17.87,17.87,17.31,17.5,28826
2024-10-01,17.5,17.75,17.5,17.56,33657
2024-10-02,17.7,18.2,17.7,17.8,129426
2024-10-03,17.81,18.25,17.75,17.78,59437
2024-10-04,18,18.18,17.71,18.06,65455
2024-10-07,17.95,18.3,17.8,18.01,138109
2024-10-08,18.11,18.2,18,18.14,46286
2024-10-09,18.19,18.2,17.95,18,70068
2024-10-10,18.05,18.2,17.75,17.99,201724
2024-10-11,18,18,17.75,17.98,28313
2024-10-14,17.8,18.05,17.8,17.99,44913
2024-10-15,17,17.25,16.8,16.89,37592
2024-10-16,17,17.2,16.9,17,110559
2024-10-17,17.05,17.12,16.6,16.69,137735
2024-10-18,16.65,17,16.62,16.76,146985
2024-10-21,16.81,17.2,16.81,17,84996
2024-10-22,17,17.2,16.85,16.94,99862
2024-10-23,17.2,17.8,16.9,17.2,142801
2024-10-24,17.25,17.25,16.9,17,159155
2024-10-25,17.2,17.2,16,16.09,485733
2024-10-28,15.87,16.49,15.85,16.12,54866
2024-10-29,16.03,16.33,15.86,16,695745
2024-10-30,15.83,16,15.5,15.61,120649
2024-10-31,15.5,15.99,15.5,15.74,11414
2024-11-01,15.77,16,15.77,15.84,5039
2024-11-04,16.08,16.1,15.75,15.89,43703
2024-11-05,15.89,16.28,15.8,16.08,43065
2024-11-06,15.98,16.75,15.98,16.04,190732
2024-11-07,15.95,16.4,15.95,16.26,29179
2024-11-08,16.1,16.5,15.9,16.05,1432493
2024-11-11,16.5,16.5,16.05,16.09,133815
2024-11-12,16.03,16.25,15.6,15.97,293054
2024-11-13,15.85,16.8,15.82,16.33,1702796
2024-11-14,16.5,16.85,16.45,16.51,985647
2024-11-15,16.72,17.21,16.6,16.91,902613
2024-11-18,17.12,17.37,16.75,16.98,643336
2024-11-19,16.87,17.4,16.79,17.06,258232
2024-11-20,17.29,17.38,16.76,16.85,543224
2024-11-21,17,17.25,16.3,16.83,381787
2024-11-22,16.77,17.08,16.5,16.61,161472
2024-11-25,16.61,17,16.5,16.69,245393
2024-11-26,16.99,17,16,16.04,235259
2024-11-27,16.5,16.5,16.07,16.27,89033
2024-11-28,16.3,16.5,16.01,16.15,242410
2024-11-29,16.51,17.31,16.51,17.05,1079238
2024-12-02,17.25,17.8,17.25,17.63,1332258
2024-12-03,17.77,17.9,17.25,17.48,903723
2024-12-04,17.64,18,17.25,17.71,1220789
2024-12-05,17.71,17.97,17.4,17.47,800984
2024-12-06,17.6,17.7,17.25,17.49,558098
2024-12-09,17.37,17.83,17.34,17.61,410641
