date,open,high,low,close,volume
2023-07-24,727.69,727.69,727.69,727.69,150
2023-07-26,699.0,699.0,699.0,699.0,50
2023-07-27,710.0,743.0,710.0,732.0,150
2023-08-01,705.0,705.0,705.0,705.0,100
2023-08-08,652.13,652.13,652.13,652.13,1000
2023-08-09,701.03,701.03,701.03,701.03,50
2023-08-16,675.0,709.0,675.0,692.0,100
2023-08-21,734.95,734.95,734.95,734.95,50
2023-08-23,680.0,740.0,680.0,739.5,150
2023-08-30,685.0,685.0,685.0,685.0,150
2023-08-31,634.0,634.0,634.0,634.0,1050
2023-09-04,586.45,586.45,586.45,586.45,1000
2023-09-05,542.47,542.47,542.47,542.47,100
2023-09-06,555.0,555.0,555.0,555.0,100
2023-09-07,575.0,575.0,575.0,575.0,200
2023-09-08,618.13,618.13,618.13,618.13,100
2023-09-11,600.0,600.0,571.77,571.77,900
2023-09-13,540.1,560.0,540.0,560.0,200
2023-09-14,540.0,540.0,540.0,540.0,50
2023-09-15,558.99,580.5,558.99,580.5,400
2023-09-18,560.0,560.0,536.96,536.97,2650
2023-09-19,496.7,577.24,496.7,496.7,8300
2023-09-20,463.15,463.15,459.45,460.6,700
2023-09-22,489.79,495.0,489.79,493.77,650
2023-09-25,518.0,518.0,518.0,518.0,50
2023-09-26,536.0,536.0,536.0,536.0,50
2023-09-27,550.5,550.5,550.5,550.5,100
2023-09-28,560.0,560.0,560.0,560.0,700
2023-10-03,518.0,518.0,518.0,518.0,50
2023-10-04,540.0,544.9,540.0,541.63,150
2023-10-05,545.0,545.0,510.1,533.37,150
2023-10-06,550.0,550.0,550.0,550.0,50
2023-10-09,508.75,510.0,508.75,508.75,450
2023-10-11,500.0,500.0,500.0,500.0,150
2023-10-12,500.0,500.0,499.99,500.0,150
2023-10-16,465.0,465.0,465.0,500.0,50
2023-10-18,462.5,462.5,462.5,462.5,150
2023-10-19,470.0,495.0,470.0,482.5,100
2023-10-27,498.85,498.85,498.85,482.5,50
2023-10-31,518.5,518.5,518.5,518.5,50
2023-11-03,549.49,549.49,477.0,483.5,150
2023-11-06,485.85,485.85,485.85,483.5,100
2023-11-07,483.5,483.5,483.5,483.5,100
2023-11-16,451.0,469.85,451.0,469.85,250
2023-11-17,469.85,490.0,469.85,490.0,1550
2023-11-22,526.5,526.5,526.5,526.5,50
2023-11-23,563.63,563.63,488.0,488.18,2650
2023-12-06,452.1,465.0,452.1,464.33,650
2023-12-08,452.5,465.85,452.0,458.93,200
2023-12-12,443.0,450.0,443.0,446.5,100
2023-12-13,452.0,475.85,440.0,470.32,700
2023-12-14,480.0,505.0,478.0,491.18,3400
2023-12-15,500.0,500.0,500.0,500.0,600
2023-12-18,525.0,525.0,525.0,525.0,100
2023-12-20,485.63,485.63,485.63,485.63,100
2023-12-26,505.0,505.0,505.0,505.0,100
2023-12-27,468.0,468.0,468.0,468.0,100
2023-12-28,498.0,503.0,498.0,501.92,1450
2024-01-01,505.0,505.0,505.0,505.0,100
2024-01-02,518.0,518.0,518.0,518.0,50
2024-01-03,520.95,520.95,520.95,520.95,100
2024-01-04,500.0,500.0,500.0,500.0,100
2024-01-05,535.0,535.0,535.0,535.0,50
2024-01-08,500.0,549.0,500.0,549.0,100
2024-01-09,540.0,548.5,540.0,548.5,400
2024-01-31,560.3,560.3,560.3,560.3,100
2024-02-15,518.28,518.28,518.28,518.28,100
2024-02-16,479.41,488.0,479.41,488.0,500
2024-02-19,452.25,452.25,452.0,452.13,100
2024-02-20,465.0,465.0,465.0,452.13,50
2024-02-22,421.0,425.0,421.0,423.0,100
