date,open,high,low,close,volume
2024-01-17,126.89,126.89,124,124.23,21000
2024-01-18,123.5,123.5,120.1,121.85,48900
2024-01-19,122.9,130.99,122.89,130.99,199000
2024-01-22,135.6,140.81,135,140.81,236500
2024-01-23,150.89,151.37,136.7,138.18,630800
2024-01-24,136.75,142.85,135,135.76,190300
2024-01-25,135.01,139.9,132.41,133.08,71900
2024-01-26,134.5,140.9,133.12,135.5,221500
2024-01-29,138.6,138.6,126.36,128.2,137800
2024-01-30,128.2,131.97,124,125.42,94500
2024-01-31,127.98,129,124,124.92,86500
2024-02-01,125.5,129.29,123,127.95,87600
2024-02-02,128.99,130,127,128,49100
2024-02-06,128.99,133.4,128,130.23,100400
2024-02-07,131.95,138.44,130.6,132.2,317000
2024-02-09,128.1,128.89,124.1,127.32,98100
2024-02-12,126.7,128.8,125,126.91,113200
2024-02-13,125.25,130,122.5,128.34,98900
2024-02-14,130,137.97,130,137.97,199400
2024-02-15,142.3,144.8,131,135.21,362300
2024-02-16,137.98,141,135.4,136.1,148200
2024-02-19,133,139,133,138.75,41000
2024-02-20,139.99,149.16,136.5,138.4,514600
2024-02-21,141,143.85,139.5,141.53,158500
2024-02-22,139.01,143,139.01,140.31,57800
2024-02-23,139.01,144.79,139.01,142.34,65500
2024-02-26,144.89,152,142,146.52,203400
2024-02-27,148,153.8,141,148.08,337400
2024-02-28,148.1,159.19,148,159.19,203200
2024-02-29,168.84,171.13,164,171.13,302900
2024-03-01,175,181.7,159.2,165.04,1232900
2024-03-04,165.5,167.4,161.01,161.73,137800
2024-03-05,162.01,163.48,157,157.97,99700
2024-03-06,160,164.8,157.6,158.57,245400
2024-03-07,158.89,160,153,155.29,337800
2024-03-08,156.01,166.94,154,159.07,686000
2024-03-11,159.4,164.5,159.4,163.04,252500
2024-03-12,163.5,171.7,162.6,163.68,273900
2024-03-13,163,164.51,152.19,154.68,155300
2024-03-14,154.7,166.28,154.7,162.48,379200
2024-03-15,162.99,164,157.57,158.47,117000
2024-03-18,158,166.99,158,164.49,301100
2024-03-19,164,167,161.55,162.26,140800
2024-03-20,164.9,165.75,160.01,160.99,89800
2024-03-21,162.5,163.85,157.57,158.43,81100
2024-03-22,157.57,159,156,157.53,71400
2024-03-25,157,157.98,155.35,155.51,36100
2024-03-26,152.52,159.95,152.52,157.04,66600
2024-03-27,156,157.99,154,154.54,34800
2024-03-28,156,161.8,155.99,156.66,121600
2024-03-29,157,157,153,153.41,53700
2024-04-01,155.89,156.65,152.02,152.7,43000
2024-04-02,153.79,155.97,152,153.01,50300
2024-04-03,154.05,157.5,153.28,154.11,113600
2024-04-04,154,157.5,154,155.01,77300
2024-04-08,156.49,156.49,153,153.59,46700
2024-04-09,154.95,156,153,153.61,44300
2024-04-15,153,157.2,151,153.71,178200
2024-04-16,153.71,161.62,153.71,155.03,450100
2024-04-17,155.88,156,154.15,154.43,71900
2024-04-18,153.5,156.9,153.1,153.76,65600
2024-04-19,154.88,156,152.58,154.7,60000
2024-04-22,153.7,159,153.7,154.43,199158
2024-04-23,153.2,156.99,152.1,154.01,90916
2024-04-24,155.95,162.95,153.1,161.27,475919
2024-04-25,164.89,166,156.5,157.62,375660
2024-04-26,157.62,158.99,155,155.29,93008
2024-04-29,156.31,166.94,155,166.94,653878
2024-04-30,169.5,171.2,154.42,155.14,595219
2024-05-02,156,156,151,152.07,131374
2024-05-03,151.11,156.49,151.11,154.25,151699
2024-05-06,155.94,165.79,154.31,160.61,608335
2024-05-07,161.95,161.95,154,154.51,218801
2024-05-08,155.99,162,154.5,155.7,303237
2024-05-09,156,161.3,155.5,157.38,261059
2024-05-10,159,169.18,158.51,169.15,751183
2024-05-13,170.16,170.16,162.1,163.04,272709
2024-05-14,163,163.8,159.06,159.7,156966
2024-05-15,159.7,165,159,159.21,174386
2024-05-16,160,162,158,158.2,145084
2024-05-17,158.25,159.5,157.56,158.14,58172
2024-05-20,158.2,161.61,157.21,157.84,113378
2024-05-21,158.9,161.6,157,159.27,202782
2024-05-22,159.9,161.5,157,157.64,91953
2024-05-23,158,163.43,157.5,159.26,123303
2024-05-24,161,162,158.5,158.8,110218
2024-05-27,158.5,159.6,155.01,156.08,70847
2024-05-29,156.99,156.99,153,153.12,60675
2024-05-30,156.77,156.77,153.25,154.24,42651
2024-05-31,154.23,156.5,152,154.21,67676
2024-06-03,156.94,158.83,153,154.83,218861
2024-06-04,155.8,155.99,152.5,152.96,43356
2024-06-05,154.45,154.45,151,151.09,43638
2024-06-06,150.52,151.98,140.26,143.09,62258
2024-06-07,143.9,143.9,132.32,141.01,56212
2024-06-10,143.5,143.5,138,138.42,25901
2024-06-11,140.84,140.84,133,133.64,56818
2024-06-12,133,135,131.01,131.39,61786
2024-06-13,132,136.98,132,136.13,42837
2024-06-14,137,137,133.51,134.2,33126
2024-06-20,135,142.1,133.95,137.1,58486
2024-06-21,139.59,141.47,135.51,137.07,46574
2024-06-24,139.7,139.7,136.5,136.72,37236
2024-06-25,138,138.5,136,136.36,19225
2024-06-26,138,138,130,130.95,81234
2024-06-27,132.39,132.9,130.51,131.01,25174
2024-06-28,133.48,134.19,131.5,132.76,8219
2024-07-01,133.99,133.99,131.15,131.93,11970
2024-07-02,133,139,129.34,134.7,67601
2024-07-03,136.8,146.82,136.79,138.84,228192
2024-07-04,140.9,143,137.15,138.49,73905
2024-07-05,141,141,136.3,139.53,18577
2024-07-08,141.99,142.5,139,140.04,12213
2024-07-09,141.94,149.5,141.5,145.48,305799
2024-07-10,146.49,147.88,142.05,142.51,55095
2024-07-11,144.97,147,142.01,143.12,73258
2024-07-12,142.7,143.9,135.5,140.34,32070
2024-07-15,141.99,151.75,141.01,148.17,230576
2024-07-18,147.98,149.89,145.5,146.73,88076
2024-07-19,148.5,148.8,141.5,142.27,102172
2024-07-22,140.5,142.88,136.7,139.82,34109
2024-07-23,141.5,143.05,140,141.99,15973
2024-07-24,142.99,147.9,142.99,145.56,86434
2024-07-25,147,152.5,146,147.21,309587
2024-07-26,148,149.1,143,143.42,42583
2024-07-29,144.89,150.9,144.73,145.97,353463
2024-07-30,146.1,149,142,143.3,215533
2024-07-31,145.5,147,139,140.9,71272
2024-08-01,140,143.1,139.2,140,37952
