date,open,high,low,close,volume
2024-01-11,39.5,41.49,39.5,39.94,5324457
2024-01-12,40.51,40.75,39.21,39.55,2840231
2024-01-15,39.56,39.8,38.33,38.49,3529412
2024-01-16,38.79,38.79,37.6,38.1,2819853
2024-01-17,38.1,38.85,37.6,37.86,3552887
2024-01-18,37.65,38.6,37.11,38.18,5603198
2024-01-19,38.45,38.78,38.03,38.15,1098479
2024-01-22,38.4,38.49,37.5,38.22,1317723
2024-01-23,38.5,39,37.91,38.47,4373509
2024-01-24,38.5,39.5,38.1,38.79,4546201
2024-01-25,39,39.77,38.7,38.87,3434021
2024-01-26,39.19,39.19,38.25,38.51,1228477
2024-01-29,38.26,38.44,37.65,38.04,4192739
2024-01-30,38,38.64,37.75,38,2980059
2024-01-31,38.08,38.64,37.85,38.12,1166024
2024-02-01,38.48,38.49,37.8,37.92,830826
2024-02-02,38.12,38.83,37.81,38.69,1379179
2024-02-06,38.75,39.5,38.56,39,1940681
2024-02-07,39.11,39.5,38.75,38.88,1758260
2024-02-09,38.28,38.28,36.25,37.6,4671527
2024-02-12,37.02,37.53,35.4,36.54,2738356
2024-02-13,36.02,37.8,35.31,37.67,2216783
2024-02-14,37.98,38.75,37.98,38.31,1300865
2024-02-15,38.31,38.4,36.25,37.01,2704267
2024-02-16,36.75,36.9,35.6,35.87,1819752
2024-02-19,36.25,36.88,35.55,36.05,3172755
2024-02-20,36.45,36.69,35.8,36.34,1157827
2024-02-21,37.1,37.75,36.65,37.42,3304819
2024-02-22,37.5,37.7,37.01,37.35,1390222
2024-02-23,37.4,37.98,37.05,37.73,2007130
2024-02-26,37.73,38.6,37.73,38.02,2523828
2024-02-27,37.9,38.54,37.52,38.01,2898081
2024-02-28,37.75,39.24,37.6,38.89,4412669
2024-02-29,39.24,39.6,38.25,38.7,3258138
2024-03-01,38.7,38.7,38.2,38.5,871834
2024-03-04,38.9,39.2,38.5,38.72,2105779
2024-03-05,38.8,39.48,38.35,38.89,3783683
2024-03-06,38.92,39.39,38.61,38.71,1202511
2024-03-07,38.65,39,37.65,37.95,6710863
2024-03-08,38.1,38.5,37.72,37.86,3851083
2024-03-11,37.73,38.48,37.71,37.98,4689531
2024-03-12,38.01,38.25,36.65,37.06,1726118
2024-03-13,37.05,37.65,36.25,36.6,1261764
2024-03-14,37.25,37.7,36.65,37.55,2205071
2024-03-15,37.75,37.75,36.5,36.82,1671107
2024-03-18,37.1,37.1,36.51,36.77,695286
2024-03-19,36.61,36.84,35.79,35.87,3146628
2024-03-20,36.05,36.24,35.2,35.33,2997255
2024-03-21,35.45,35.7,34.4,34.59,2958890
2024-03-22,34.9,35,34.3,34.47,1658807
2024-03-25,34.6,34.85,34.03,34.35,1013264
2024-03-26,34.4,35.6,34.35,35.41,2442212
2024-03-27,35.21,36.25,35.21,35.78,2135145
2024-03-28,35.9,36.49,35.8,36.11,2396049
2024-03-29,36.11,36.3,35.21,35.58,1433676
2024-04-01,35.55,35.78,34.7,35.24,1469985
2024-04-02,35.3,35.3,34.65,35.01,912709
2024-04-03,35.3,37.64,35.3,37.64,7691795
2024-04-04,37.75,38,36.21,36.36,5614353
2024-04-08,36.31,36.7,36.15,36.56,2522920
2024-04-09,36.95,37.7,36.81,37.27,5015039
2024-04-15,36.76,37.9,36.65,37.67,6375632
2024-04-16,37.8,37.84,36.95,37.04,4829895
2024-04-17,37,37.5,36.5,36.92,2883508
2024-04-18,36.9,37.69,36.72,36.95,3754213
2024-04-19,36.9,36.9,36.35,36.48,2270667
2024-04-22,36.45,37.75,36.45,37,6689851
2024-04-23,37.44,39.78,37.26,38.48,24160391
2024-04-24,38.85,39.74,38.5,38.87,10156381
2024-04-25,39,39.4,37.3,37.47,6985600
2024-04-26,37.48,37.85,37,37.67,3303092
2024-04-29,37.85,38.3,36.78,37.13,10120966
2024-04-30,36.99,37.45,36,36.14,4114225
2024-05-02,36.13,37.25,35.51,36.51,6204848
2024-05-03,36.9,37.8,36.6,37.65,4282467
2024-05-06,37.9,39.39,37.9,38.47,10327462
2024-05-07,38.65,39.15,38,38,7982325
2024-05-08,38.2,38.35,37.05,37.51,2177093
2024-05-09,37.74,38.49,37.2,38.11,7516852
2024-05-10,38.5,40.39,38.4,39.93,20467297
2024-05-13,40,41.89,39.52,40.91,16268606
2024-05-14,41,41.16,39.61,40.77,8941888
2024-05-15,40.8,41.2,39.52,39.77,6728398
2024-05-16,39.75,40.65,39.3,40.13,12188305
2024-05-17,40.4,40.97,39.52,39.89,11725969
2024-05-20,39.89,39.9,38.05,38.46,5108683
2024-05-21,38.48,38.75,37.82,38.32,4622694
2024-05-22,38.5,38.7,37.21,37.51,3686385
2024-05-23,37.89,38.18,37.5,37.69,3751429
2024-05-24,37.9,38.5,37.85,38.09,3320319
2024-05-27,38.3,38.39,37.4,37.67,4596470
