date,open,high,low,close,volume
2023-01-09,65.99,65.99,65.99,65.99,4500
2023-01-11,70.9,70.9,70.9,70.9,500
2023-01-12,76.1,76.16,76.05,76.16,4500
2023-01-26,70.5,80.85,70.5,80.85,6000
2023-02-07,84,84,84,84,1000
2023-02-08,84.5,86,84.5,86,1500
2023-02-13,87,87,87,87,500
2023-03-27,80.5,92.5,80.5,92.5,3000
2023-03-28,94,94,93.99,93.99,1500
2023-06-22,91.5,91.5,91.5,91.5,1000
2023-11-06,75.95,75.95,75.95,75.95,4000
2023-11-07,70.25,70.25,70.25,70.25,500
2023-11-16,64.98,73.9,64.98,73.9,1500
2024-01-03,68.36,75.9,68.36,73.05,2000
2024-01-04,67.6,67.6,67.6,67.6,500
2024-05-09,49.6,49.6,49,49,1000
2024-05-14,43.29,43.29,43.29,43.29,2500
2024-05-15,40.05,42.5,40.04,40.3,5500
2024-05-16,38.3,43.24,38.3,42.9,2000
2024-05-17,39.68,39.68,39.68,39.68,500
2024-05-22,37.01,37.01,37,37,1500
2024-05-27,39.96,39.96,39.96,37,3
2024-05-31,34.5,34.5,34.5,34.5,1002
2024-06-04,37.26,37.26,33,34.5,112
2024-06-05,37.25,37.26,37,34.5,326
2024-06-06,37,37,37,34.5,1
2024-06-07,36,36,36,34.5,1
2024-06-12,35,35,35,34.5,1
2024-06-14,32,33,32,32,602
2024-06-20,32.26,34.7,32.26,32,2
2024-06-21,33.25,34.71,33.25,32,2
2024-06-24,31,31,31,32,2
2024-06-25,33,33,33,32,6
2024-06-26,32,33.69,32,32,501
2024-06-27,32,32.5,32,32,50
2024-06-28,33.9,34.88,33.9,34.33,539
2024-07-02,32,32,32,34.33,10
2024-07-04,34,37.4,34,34.33,14
2024-07-09,35,35,35,35,500
2024-07-24,31.61,34.9,31.6,31.68,3063
2024-08-01,34.75,34.75,34.75,31.68,200
2024-08-08,32,32,32,31.68,100
2024-08-13,32,32,32,31.68,200
2024-08-15,32,32,32,31.68,300
2024-08-16,32,32,32,31.7,400
2024-08-21,34.79,34.79,34.79,31.7,1
2024-08-22,30,30,30,31.7,1
2024-08-28,34.49,34.49,34.49,31.7,1
2024-09-11,31,31,31,31.7,4
2024-09-18,30.1,30.1,30.1,30.1,700
2024-09-19,28,33.11,28,30.1,3
2024-09-20,33.11,33.11,33.11,30.1,1
2024-10-02,28,28,28,30.1,1
2024-10-03,30,30,30,30,1000
2024-10-07,32,32,32,32,500
2024-10-08,34,34,34,34,985
2024-10-18,30.6,32,30.6,30.68,532
2024-10-21,28,32.44,27.65,28.18,562
