date,open,high,low,close,volume
2023-03-13,20.31,20.65,20.31,20.65,1000
2023-03-16,21,22.19,21,22.19,21500
2023-03-17,23.85,23.85,23.85,23.85,500
2023-03-20,25.3,25.63,23.85,25.63,8000
2023-03-21,27.4,27.55,27.4,27.55,10000
2023-03-22,27.45,29.61,27.45,29.61,35500
2023-03-29,31.5,31.5,27.39,27.95,5500
2023-03-30,30,30.04,30,30.04,1500
2023-03-31,32.19,32.2,32.19,32.2,31000
2023-04-04,34.45,34.61,34.45,34.5,5000
2023-04-06,36.99,36.99,36.99,36.99,1000
2023-04-12,34.22,35,34.22,35,1000
2023-04-17,34.99,35,34.99,34.99,31500
2023-04-26,32.37,32.37,32.37,32.37,1500
2023-05-08,34.75,34.75,34.75,34.75,500
2023-05-29,30.12,31.49,30.12,31.49,3000
2023-05-31,29.5,33,29.13,29.13,2000
2023-06-07,29,29,26.83,26.83,3000
2023-06-08,28.83,28.83,28.83,28.83,500
2023-06-14,29.99,29.99,29.99,29.99,500
2023-07-03,27.55,29.4,27.46,29.2,11000
2023-07-04,27.01,31.39,27.01,29.75,7000
2023-07-05,28,31.5,28,31.5,1500
2023-07-14,33.86,33.86,33.86,33.86,500
2023-07-26,30.06,30.06,30.06,30.06,500
2023-08-11,26.77,26.81,26.77,26.77,2500
2023-08-21,25,26.48,25,26.48,5000
2023-08-23,26.5,26.5,26.5,26.5,7500
2023-10-13,25.49,25.49,25.49,25.49,500
2023-11-17,26.99,26.99,26.99,26.99,500
2023-11-28,25.9,25.9,24.97,24.97,8500
2023-11-29,23.1,23.1,23.1,23.1,17500
2023-11-30,22.2,23.95,21.37,21.37,67000
2023-12-01,20.7,21.8,20.3,21.8,23000
2023-12-04,21.8,21.8,21.11,21.35,2500
2023-12-05,21.15,21.15,20.9,21.05,4000
2023-12-06,21.1,22.63,21,22.63,72000
2023-12-07,24.3,24.33,23.33,24,26000
2023-12-08,24,24,24,24,3500
2023-12-11,24,24.1,23,24.01,14000
2023-12-12,23.1,24.95,23.1,24,4000
2023-12-13,23.6,24,23.55,23.85,2500
2023-12-15,23,23,23,23,500
2023-12-18,23.44,23.44,23.44,23.44,500
2023-12-20,21.7,21.7,21.7,21.7,500
2023-12-26,20.5,20.5,20.07,20.07,9000
2023-12-27,21.58,21.58,21.58,21.58,500
2024-01-02,20,20,19.96,19.96,5000
2024-01-03,19,19.1,19,19.1,1000
2024-01-05,20.53,20.53,20.53,20.53,500
2024-01-10,21.9,21.9,21.9,21.9,500
2024-01-11,20.26,20.26,20.26,20.26,3000
2024-01-12,20.26,20.26,20.26,20.26,1500
2024-01-16,18.75,18.75,18.74,18.74,1500
2024-01-17,18.74,18.74,18.74,18.74,500
2024-01-24,18.73,18.74,18.73,18.74,1000
2024-01-25,17.33,17.33,17.33,17.33,2500
2024-01-29,16.42,17,16.42,16.65,4500
2024-02-01,16,16,16,16,500
2024-02-07,16.3,16.3,16.3,16.3,500
2024-02-22,16.2,16.2,16.2,16.2,500
2024-02-29,15,15,15,15,500
2024-03-12,15.02,15.02,15.02,15.02,500
2024-03-25,15,16.14,15,16.12,7500
2024-03-27,15,15,15,15,1000
2024-03-28,15,15,15,15,1000
2024-03-29,15,15,15,15,500
2024-04-08,15,15,15,15,1000
2024-04-15,14.9,14.9,14.9,14.9,500
2024-04-16,14.25,14.25,14.25,14.25,3500
2024-04-18,14.19,14.19,14,14,2000
2024-04-19,14,14,14,14,500
2024-04-24,13.98,14.2,13.98,14,15000
2024-04-25,14,14.1,14,14,12000
2024-04-26,14,14,14,14,6000
2024-04-29,14,14,14,14,500
2024-04-30,14,14,14,14,500
2024-05-06,14,14,14,14,2000
2024-05-07,13.03,13.03,13.03,13.03,500
2024-05-08,13.15,13.15,13.06,13.06,23500
2024-05-09,13,13,13,13,2500
2024-05-10,13.05,13.2,13,13,6000
2024-05-13,13.01,13.01,13,13,8000
2024-05-14,13,13,12.08,12.08,6000
2024-05-15,13,13.08,12.98,13.04,108000
2024-05-16,14.04,14.04,13.51,13.79,43000
2024-05-17,14.01,14.01,13.25,13.7,25500
2024-05-20,14.4,14.4,13.35,13.43,6500
2024-05-21,12.57,12.57,12.57,12.57,10500
2024-05-22,13.4,13.57,12.8,12.97,100000
2024-05-24,13.7,13.7,12.8,12.8,40000
2024-05-27,13.46,13.46,12.81,13,19660
2024-05-29,13,13,12.6,12.66,2729
2024-05-30,13,13,12.66,12.66,7032
2024-05-31,12.89,13,12.66,13,2003
2024-06-03,12.66,12.8,12.66,13,100
2024-06-04,12.8,13,12.67,12.8,1510
2024-06-05,13.75,13.75,12.3,13,1111
2024-06-06,13.45,13.45,12.32,12.99,2102
2024-06-07,13.35,13.35,13.35,12.99,1
2024-06-10,13.11,13.11,13,13.11,515
2024-06-11,13,13,13,13.11,221
2024-06-12,12.99,12.99,12.23,12.25,502
2024-06-13,12.99,12.99,12.99,12.99,500
2024-06-14,12.99,12.99,12.99,12.99,200
2024-06-20,12.99,13,12.3,12.99,260
2024-06-21,13.19,13.19,13.15,12.99,3
2024-06-24,13.1,13.1,13,13.1,4801
2024-06-25,12.02,13.6,12.01,12.98,2058754
2024-06-26,12.44,12.78,12.23,12.39,794
2024-06-27,12.49,12.49,12.49,12.39,100
2024-06-28,13.24,13.24,13.24,12.39,2100
2024-07-01,12.3,12.3,12.3,12.3,2030
2024-07-02,12.1,12.7,12.09,12.12,3645
2024-07-03,13.15,13.15,11.61,12.26,2513
2024-07-04,12.04,12.99,12.01,12.19,3642
2024-07-05,12.88,12.88,12.88,12.19,1
2024-07-08,12.88,12.99,12.19,12.28,937
2024-07-09,12.19,13.45,11.5,12.98,27078
2024-07-10,11.81,12.86,11.8,11.84,11001
2024-07-11,11.75,12.45,11.5,11.67,4712
2024-07-12,12.67,12.67,11.95,11.67,67
2024-07-15,11.67,11.7,11.67,11.68,594
2024-07-18,12.59,12.59,12.49,11.68,54
2024-07-19,11.65,11.8,11.2,11.5,11011
