date,open,high,low,close,volume
2023-02-03,35.4,35.4,33.12,33.12,1500
2023-02-06,33,33,33,33,1000
2023-02-07,33.1,35.47,33.1,35.47,6500
2023-02-08,38,38.13,34.61,34.61,2500
2023-02-09,37.2,37.2,37.2,37.2,1000
2023-02-10,39.99,39.99,39.99,39.99,4000
2023-02-15,37.01,37.01,37.01,37.01,500
2023-02-17,39.78,39.78,39.77,39.77,5000
2023-02-24,42.7,42.75,42.7,42.73,4000
2023-02-28,40,45.93,40,43.88,4000
2023-03-07,43.45,46.33,43.45,45.2,2500
2023-03-09,42.5,42.5,42.5,42.5,500
2023-03-14,40.05,40.05,40.05,40.05,500
2023-03-15,38.05,38.05,38.05,38.05,1000
2023-03-17,40.9,40.9,40.9,40.9,500
2023-03-21,43.23,43.23,43.23,43.23,500
2023-03-22,40,44.99,40,44.75,1500
2023-03-24,41.42,41.42,41.42,41.42,500
2023-03-27,38.35,38.35,38.35,38.35,500
2023-03-28,35.55,35.55,35.55,35.55,500
2023-04-10,38.87,38.87,38.87,38.87,500
2023-04-11,36.05,41.78,36.05,41.78,1000
2023-04-12,38.7,44.8,38.7,42.41,2500
2023-04-17,39.26,39.26,39.26,39.26,500
2023-04-27,42.28,42.28,42.28,42.28,1000
2023-05-02,43,43,43,43,500
2023-05-04,41.01,41.01,41.01,41.01,500
2023-05-05,41,44.08,41,44.05,2000
2023-05-10,41.05,41.05,41.05,41.05,500
2023-05-15,41,41,41,41,500
2023-05-22,41,41,41,41,1000
2023-05-23,41,41,41,41,500
2023-05-26,41,41,41,41,500
2023-05-29,44.08,44.08,44.08,44.08,14000
2023-05-30,46,47.39,45,45,18500
2023-05-31,46,46,44,45,3000
2023-06-08,43,43,42,42.48,5000
2023-06-27,45.57,45.57,45.57,45.57,500
2023-07-03,48.99,48.99,48.99,48.99,4000
2023-07-04,50.99,50.99,50.99,50.99,500
2023-07-05,52.99,52.99,52.99,50.99,1000
2023-07-07,56.96,56.96,56.96,56.96,2000
2023-07-10,52.69,56,52.69,52.69,5500
2023-07-12,48.74,48.74,48.74,48.74,3500
2023-07-17,45.12,45.12,45.08,45.08,1000
2023-07-21,44,44,43.5,43.5,4000
2023-07-24,43.5,43.5,43.5,43.5,500
2023-07-25,41.05,42.15,40.3,42.15,6000
