date,open,high,low,close,volume
2023-01-02,60.15,60.15,60.15,60.15,500
2023-01-03,64.65,64.66,64.65,64.66,19500
2023-01-04,61.25,65.5,61.25,65.5,7500
2023-01-05,67.25,67.25,67.25,67.25,1000
2023-01-09,68.45,68.45,65.5,65.5,3000
2023-01-10,65.5,66,65.5,66,17500
2023-01-12,65,65,65,65,500
2023-01-13,65,65,65,65,1000
2023-01-18,65,65,65,65,500
2023-01-19,65,65,65,65,1000
2023-01-23,61,65,61,65,1000
2023-01-26,65,65,65,65,1500
2023-02-02,66,66,66,66,500
2023-02-07,66,66,66,66,500
2023-02-28,66,66,66,66,1000
2023-03-02,66,66,66,66,500
2023-03-06,61.11,61.11,61.11,61.11,500
2023-03-07,57.15,57.15,57.15,57.15,500
2023-03-08,55.05,55.05,55.05,55.05,500
2023-03-09,52.5,59.17,52.5,55.15,2500
2023-03-20,55.9,55.9,55.9,55.9,500
2023-03-24,60.09,60.09,55.3,55.3,1500
2023-03-27,59.44,59.44,56,56,1000
2023-03-28,60.19,60.19,60.19,60.19,500
2023-03-29,55.7,55.7,55.7,55.7,500
2023-03-30,59.87,59.87,56.1,56.1,1000
2023-04-07,60.3,60.3,60.3,60.3,3000
2023-04-10,64.82,64.82,64.82,64.82,1000
2023-04-11,69.68,69.68,69.68,69.68,1500
2023-04-12,74.85,74.85,74.85,74.85,500
2023-04-13,69.24,73,69.24,73,5000
2023-04-17,67.7,72.75,67.55,72.75,2000
2023-04-18,67.31,73.5,67.31,67.4,2000
2023-04-19,62.51,67,62.5,66.44,12000
2023-04-20,61.55,61.55,61.55,61.55,500
2023-04-26,57.1,61.95,57.1,61.95,3500
2023-04-27,57.6,58.5,57.6,58.5,1500
2023-04-28,56.05,56.7,56.05,56.48,2500
2023-05-02,58.99,59,58.99,59,1000
2023-05-04,55.2,57.6,55.2,57.37,2000
2023-05-08,53.65,53.65,53.65,53.65,500
2023-05-09,51.1,55,51.1,55,2000
2023-05-10,54.55,54.55,54.55,54.55,3000
2023-05-11,58.49,58.49,55,56.25,6500
2023-05-12,60.4,60.4,60.4,60.4,500
2023-05-15,64.7,64.7,64.7,64.7,500
2023-05-16,59.85,65.55,59.85,60.5,4500
2023-05-17,64,64,64,64,1000
