date,open,high,low,close,volume
2023-09-22,2.81,2.81,2.81,2.81,1000
2023-09-25,2.85,2.85,2.8,2.8,5000
2023-09-26,2.8,2.8,2.8,2.8,7500
2023-10-09,2.76,2.76,2.76,2.76,500
2023-10-13,2.95,3.02,2.95,3,28500
2023-10-16,3,3,2.92,2.92,9500
2023-10-17,3,3,2.91,2.99,3000
2023-10-18,3,3.2,3,3.1,22500
2023-10-19,3.1,3.25,3,3.11,10500
2023-10-20,3.39,3.4,3,3.25,17000
2023-10-24,3.11,3.11,3.1,3.1,3000
2023-10-26,3.25,3.3,3.2,3.2,6500
2023-10-27,3,3,3,3,500
2023-10-31,2.8,3,2.8,3,1000
2023-11-01,3.02,3.02,3.02,3.02,2500
2023-11-02,3.8,3.8,3.06,3.06,7000
2023-11-03,3.11,3.11,3.1,3.1,20000
2023-11-06,3.4,3.55,2.93,3.38,4000
2023-11-07,3.05,3.05,3.05,3.05,1000
2023-11-10,3.05,3.39,3.05,3.35,1500
2023-11-13,3.45,3.45,3.11,3.11,13000
2023-11-14,2.94,2.94,2.94,2.94,1000
2023-11-17,2.95,3.03,2.95,3.03,2000
2023-11-20,3.14,3.5,2.95,3.5,14000
2023-11-21,3.07,4.3,3.07,3.83,41000
2023-11-22,3.42,3.8,3.41,3.7,22000
2023-11-23,3.65,3.65,3.61,3.61,1000
2023-11-24,3.31,3.5,3.3,3.5,6500
2023-11-27,3.75,3.95,3.75,3.75,18500
2023-11-28,4,4,3.66,3.7,13500
2023-11-29,3.46,3.9,3.46,3.9,1500
2023-11-30,3.1,3.36,3.07,3.36,8500
2023-12-01,3.26,3.5,3.26,3.5,8500
2023-12-04,3.6,3.6,3.6,3.6,2500
2023-12-05,3.91,3.91,3.91,3.91,500
2023-12-07,3.8,3.8,3.8,3.8,500
2023-12-11,3.89,4.25,3.7,4.19,89000
2023-12-12,4.05,4.22,4.05,4.22,68500
2023-12-13,4.22,5,4,4.5,192000
2023-12-14,4.5,5.09,4.5,4.84,82500
