date,open,high,low,close,volume
2024-01-15,28.17,28.25,27.2,28.13,707529
2024-01-16,27.45,28.35,27.14,27.8,940088
2024-01-17,27.5,28.2,27.5,27.61,422748
2024-01-18,27.94,27.94,26.75,27.12,559503
2024-01-19,27.12,27.98,27.05,27.18,131410
2024-01-22,27.66,28.25,27.15,27.89,455510
2024-01-23,27.8,27.89,27.4,27.51,620837
2024-01-24,27.51,27.75,27.45,27.63,309563
2024-01-25,27.82,27.82,27.3,27.36,526659
2024-01-26,26.68,27.69,26.68,27.01,327824
2024-01-29,27.48,27.48,26.66,26.7,295610
2024-01-30,26.99,27.1,25.8,25.9,669849
2024-01-31,26.49,26.56,26.05,26.5,283236
2024-02-01,26.35,26.8,25.7,25.94,377463
2024-02-02,26.33,26.85,26,26.49,241845
2024-02-06,26.5,26.88,26.2,26.79,760137
2024-02-07,27,27.2,26.7,26.81,1003846
2024-02-09,26.28,27.24,25.12,26.43,225498
2024-02-12,26.4,26.4,25.25,25.48,455585
2024-02-13,25.3,25.39,23.57,23.59,3816306
2024-02-14,23.63,24.95,23.25,24.7,5803401
2024-02-15,24.9,25.55,24.51,24.77,725154
2024-02-16,25,25,24.35,24.54,478966
2024-02-19,24.41,25.19,24.02,24.91,327940
2024-02-20,24.8,25.65,24.65,25.17,418670
2024-02-21,26.35,26.49,25.66,25.79,644154
2024-02-22,25.26,26.65,25.26,25.68,284723
2024-02-23,25.68,26.05,25.42,25.6,567086
2024-02-26,26.4,26.4,23.72,23.97,3401424
2024-02-27,23.98,24.1,23.75,23.77,523391
2024-02-28,24,24.18,23.5,23.9,569381
2024-02-29,23.51,24.6,23.51,24.47,999100
2024-03-01,24.25,24.7,24.25,24.58,298936
2024-03-04,24.7,24.74,24.36,24.6,368289
2024-03-05,24.5,24.63,24,24.07,280668
2024-03-06,24.05,24.37,24.02,24.21,353818
2024-03-07,24.01,24.59,24.01,24.45,699945
2024-03-08,24.05,25.77,24.05,25.63,2980884
2024-03-11,25.79,27.55,25.5,27.55,5263635
2024-03-12,28,28.35,25.95,26.73,2543683
2024-03-13,26.73,27.8,26.52,26.89,1169551
2024-03-14,27.5,28.2,27.25,27.57,2865985
2024-03-15,27.5,27.72,26.75,26.88,473957
2024-03-18,26.8,27.39,26.5,26.6,418375
2024-03-19,26.3,27.17,26.2,26.44,923669
2024-03-20,26.4,26.9,26.05,26.3,349696
2024-03-21,26.6,26.64,26,26.41,1006063
2024-03-22,26.4,26.48,26.1,26.16,190863
2024-03-25,26.39,26.6,26.1,26.1,3613515
2024-03-26,26.12,26.4,26,26.04,385365
2024-03-27,26,26.29,25.71,26.1,229305
2024-03-28,26.1,26.4,26,26.28,802800
2024-03-29,26.05,26.3,26.05,26.21,478996
2024-04-01,26.05,26.5,26,26.2,878987
2024-04-02,26.02,26.48,26.02,26.26,368764
2024-04-03,26.21,26.56,26.2,26.27,252673
2024-04-04,26.1,26.75,26.1,26.64,383676
2024-04-08,26.98,27.9,26.57,27.68,1475050
2024-04-09,27.7,28.35,27.3,27.4,765933
2024-04-15,26.71,27.79,26.71,27.28,561526
2024-04-16,27.3,27.55,26.66,26.91,425376
2024-04-17,26.6,27.15,26.46,26.52,533902
2024-04-18,26.9,26.9,26.21,26.4,259273
2024-04-19,26.6,26.6,26.2,26.35,485597
2024-04-22,26.61,26.79,26.41,26.59,806033
2024-04-23,26.6,26.6,25.9,25.95,1122190
2024-04-24,26,26.44,25.75,25.86,714394
2024-04-25,26.09,26.19,25.52,26,930289
2024-04-26,26.02,26.96,25.81,26.79,2307358
2024-04-29,27,27.6,25.5,26.05,6353469
2024-04-30,26.35,26.35,25.76,26.05,894078
2024-05-02,26.1,26.95,26.07,26.77,1541625
2024-05-03,27,28.78,27,28.78,3664296
2024-05-06,30.94,30.94,29.55,29.72,6873998
2024-05-07,29.72,29.89,28.65,28.85,2117800
2024-05-08,29.06,30.24,28.5,28.72,2540380
