date,open,high,low,close,volume
2023-12-12,110.5,111.5,105.05,108.57,76500
2023-12-13,108.0,115.0,106.0,108.37,103000
2023-12-14,108.5,110.95,108.37,110.0,58000
2023-12-15,108.25,109.0,108.25,108.6,4000
2023-12-18,106.1,107.05,105.0,105.0,37000
2023-12-19,102.0,106.0,101.4,106.0,2000
2023-12-20,102.0,106.0,102.0,106.0,1500
2023-12-21,105.0,106.0,105.0,106.0,3000
2023-12-22,102.06,103.0,99.51,100.04,36000
2023-12-27,99.9,101.0,99.9,100.23,12500
2023-12-28,100.0,104.0,100.0,104.0,6000
2024-01-01,106.0,108.0,106.0,108.0,6000
2024-01-02,109.0,112.0,109.0,111.5,12500
2024-01-03,111.0,119.86,111.0,119.86,53500
2024-01-04,120.05,122.0,119.85,122.0,16000
2024-01-05,125.0,128.0,123.0,127.95,15500
2024-01-08,129.0,129.0,123.5,123.6,2000
2024-01-09,120.0,124.0,120.0,123.75,7000
2024-01-10,121.33,121.33,121.0,121.0,1000
2024-01-11,120.01,120.01,118.0,119.29,25000
2024-01-12,121.0,121.0,118.0,118.6,8000
2024-01-15,118.0,118.0,117.0,117.17,12000
2024-01-16,113.25,122.0,113.0,121.0,25000
2024-01-17,121.0,121.25,121.0,121.25,1000
2024-01-19,119.89,120.0,119.89,119.96,1500
2024-01-24,120.0,122.0,114.0,119.5,3000
2024-01-25,121.95,121.95,121.95,121.95,500
2024-01-29,115.19,118.89,115.0,118.89,7000
2024-01-30,114.5,116.0,114.5,116.0,2000
2024-01-31,113.0,113.0,113.0,113.0,1000
2024-02-01,109.1,115.0,109.0,114.99,3500
2024-02-02,113.25,114.0,111.0,112.5,6000
2024-02-06,112.5,112.5,112.5,112.5,1000
2024-02-07,108.11,109.89,105.0,106.81,36500
2024-02-12,100.0,103.88,100.0,103.88,5500
2024-02-13,100.0,105.0,100.0,105.0,27500
2024-02-14,105.0,105.0,100.0,101.49,15500
2024-02-15,103.0,103.0,95.06,96.28,20000
2024-02-16,98.95,99.5,89.25,91.92,23000
2024-02-19,90.02,93.5,89.5,90.02,71500
2024-02-20,87.0,92.0,85.0,88.5,235500
2024-02-21,85.5,91.0,85.0,86.83,136000
2024-02-22,87.25,93.34,87.0,91.96,25000
2024-02-23,91.95,92.95,88.01,92.95,32000
2024-02-26,89.0,91.45,88.75,90.77,16000
2024-02-27,92.0,92.0,90.0,90.0,31500
2024-02-29,90.0,90.0,89.0,89.0,3500
2024-03-04,89.01,90.99,89.0,89.05,6500
2024-03-05,87.5,88.5,85.56,87.03,2000
2024-03-06,87.95,87.95,87.0,87.0,20500
2024-03-07,87.0,87.0,87.0,87.0,2000
2024-03-11,90.0,93.53,90.0,93.53,24500
2024-03-13,93.55,98.0,92.05,95.43,6000
2024-03-14,102.5,102.5,96.0,99.08,13500
2024-03-15,99.1,99.1,98.0,98.0,7000
2024-03-18,96.0,99.95,96.0,99.95,1500
2024-03-19,95.06,100.0,94.5,98.31,17500
2024-03-21,98.25,98.5,98.0,98.2,4000
2024-03-25,95.0,96.95,93.0,93.49,13000
2024-03-26,98.75,98.75,93.36,94.99,10500
2024-03-27,99.75,99.75,92.26,96.32,4000
2024-03-28,93.16,98.0,91.76,97.38,49000
2024-03-29,93.05,100.75,93.05,99.17,10500
2024-04-01,95.06,99.0,94.7,98.6,8000
2024-04-04,98.0,103.0,95.6,100.61,7000
2024-04-08,95.51,104.49,95.5,101.69,13500
2024-04-09,98.07,101.5,98.07,100.59,2500
2024-04-15,102.95,102.95,102.95,102.95,1000
2024-04-16,98.11,99.99,98.11,99.99,2000
2024-04-17,95.67,99.98,95.67,97.83,7000
2024-04-18,98.0,98.0,98.0,98.0,500
2024-04-19,95.0,99.0,95.0,98.27,4500
2024-04-22,100.25,105.64,99.0,105.64,157000
2024-04-23,107.5,110.95,104.0,106.75,60000
2024-04-24,105.95,113.5,103.1,107.91,83500
2024-04-25,108.0,114.0,108.0,110.44,52000
2024-04-26,111.0,114.4,111.0,112.3,23500
2024-04-29,110.0,113.9,110.0,113.9,2000
2024-04-30,113.0,113.0,110.0,110.5,9500
2024-05-02,107.01,111.96,107.01,108.5,12500
2024-05-03,110.0,111.0,108.5,111.0,2500
2024-05-06,111.0,112.5,110.25,111.51,15000
2024-05-07,110.0,119.0,110.0,119.0,17000
2024-05-08,112.01,120.0,112.0,117.5,9000
2024-05-09,115.1,118.95,115.0,118.95,2000
2024-05-10,124.0,125.0,120.0,123.8,8500
2024-05-13,124.0,130.0,123.9,129.43,114000
2024-05-14,132.0,133.5,127.5,128.25,12500
2024-05-15,128.0,128.0,126.51,128.0,9500
2024-05-16,127.01,127.01,125.0,125.93,3000
2024-05-17,127.0,127.0,124.0,125.0,11500
2024-05-20,129.95,129.95,125.0,125.0,1500
2024-05-22,128.95,128.95,117.0,119.99,70000
2024-05-23,118.0,118.0,118.0,118.0,11000
2024-05-24,118.0,118.0,118.0,118.0,9000
2024-05-27,118.0,118.0,113.17,116.8,6836
2024-05-29,114.0,117.82,114.0,114.36,2700
2024-05-30,113.0,114.95,113.0,114.16,1337
2024-05-31,114.95,114.95,114.9,114.9,1021
2024-06-03,114.5,118.99,113.95,118.99,12395
2024-06-04,116.69,116.69,114.5,114.62,2501
2024-06-05,114.62,114.65,112.0,114.62,170
2024-06-06,114.5,115.0,110.51,115.0,2751
2024-06-07,110.0,117.5,110.0,115.52,59045
2024-06-10,115.0,115.0,111.05,114.3,7500
2024-06-11,114.3,114.3,111.01,112.59,6848
2024-06-12,113.95,113.95,112.9,112.9,1000
2024-06-13,114.0,122.5,113.0,120.7,58854
2024-06-14,122.0,122.0,117.0,117.47,9000
2024-06-20,118.99,123.0,117.1,118.9,10100
2024-06-24,118.0,118.95,115.01,118.9,3501
2024-06-25,117.99,118.99,117.0,118.9,8535
2024-06-26,113.51,118.99,113.51,118.92,7036
2024-06-27,119.4,119.4,119.4,118.92,1
2024-06-28,112.02,122.9,112.02,120.98,12651
2024-07-01,121.0,121.0,115.0,115.37,10700
2024-07-02,117.25,117.25,112.01,112.06,3658
2024-07-03,113.0,115.95,109.02,111.0,37484
2024-07-04,110.01,112.0,110.01,111.75,2600
2024-07-05,111.95,111.95,106.25,107.65,8753
2024-07-08,109.95,109.95,108.0,108.0,1840
2024-07-09,108.0,108.0,107.0,107.11,4540
2024-07-10,109.0,113.0,108.5,110.15,346192
2024-07-11,111.25,120.61,111.25,120.61,482819
2024-07-12,125.0,128.0,114.9,117.16,355718
2024-07-15,121.9,121.9,116.0,118.13,75531
2024-07-18,117.0,119.97,116.0,118.83,11090
2024-07-19,119.0,121.95,116.0,119.07,20714
2024-07-22,120.0,120.0,114.6,117.52,14773
2024-07-23,118.0,118.9,115.0,115.16,56741
2024-07-24,116.0,123.95,116.0,120.71,129049
2024-07-25,118.01,124.0,118.01,120.7,40342
2024-07-26,116.01,120.0,115.0,117.0,36308
2024-07-29,120.0,125.9,120.0,124.16,58715
2024-07-30,120.75,125.79,120.75,124.02,56517
2024-07-31,124.0,127.8,122.0,123.82,78500
2024-08-01,124.0,124.0,121.0,123.7,6818
2024-08-02,124.9,124.9,122.89,122.89,261
2024-08-05,120.0,124.0,115.0,118.15,1850
2024-08-06,121.99,121.99,118.0,120.0,1330
2024-08-07,121.88,121.9,113.26,116.54,4270
2024-08-08,114.0,117.8,112.1,113.76,5015
2024-08-09,116.95,118.0,116.5,118.0,5005
2024-08-12,119.0,119.0,110.18,116.1,2793
2024-08-13,118.9,118.9,113.45,113.5,2101
2024-08-15,117.98,117.98,114.0,115.0,18116
2024-08-16,115.0,115.0,115.0,115.0,6899
2024-08-20,113.0,116.0,113.0,116.0,1101
2024-08-21,117.9,118.0,115.0,115.0,4608
2024-08-22,118.0,118.0,115.0,115.09,1161
2024-08-23,118.0,118.0,115.0,115.01,4615
2024-08-26,115.5,117.0,115.1,115.1,4226
2024-08-27,112.6,113.6,112.6,113.6,792
2024-08-29,115.0,117.0,115.0,116.54,5700
2024-08-30,116.0,125.99,116.0,121.99,49715
2024-09-02,124.9,128.0,118.0,118.22,27272
2024-09-03,122.0,122.0,119.0,119.0,1020
2024-09-04,120.0,120.0,120.0,119.0,2550
2024-09-05,120.0,120.0,116.0,117.0,3902
2024-09-06,119.95,124.75,116.75,118.43,1351
2024-09-09,118.43,121.75,118.43,121.75,605
2024-09-10,118.0,125.0,118.0,122.8,32790
2024-09-11,124.0,124.9,123.0,123.0,13873
2024-09-12,124.99,124.99,122.0,123.0,6612
2024-09-13,123.5,125.0,123.0,123.58,31462
2024-09-16,122.98,123.0,119.0,120.02,2381
2024-09-18,119.5,120.0,118.5,118.5,3138
2024-09-19,119.0,120.0,112.0,113.14,126120
2024-09-20,115.5,115.5,106.1,110.0,13260
2024-09-23,110.0,115.99,107.01,109.98,22609
2024-09-24,108.0,111.0,105.0,110.3,12536
2024-09-25,114.99,114.99,106.0,110.0,18502
2024-09-26,110.0,111.0,108.0,108.03,40706
2024-09-27,111.0,111.0,107.0,109.22,25165
2024-09-30,107.0,110.0,99.25,108.96,34921
2024-10-01,108.0,108.0,106.0,108.0,17343
2024-10-02,108.0,110.05,108.0,110.0,7619
2024-10-03,110.0,114.0,107.0,113.5,805
2024-10-04,114.0,118.0,113.9,117.25,17001
2024-10-07,118.0,118.5,116.0,117.84,55930
2024-10-08,119.5,119.5,113.26,117.1,24119
2024-10-10,115.0,120.0,115.0,119.87,30400
2024-10-11,114.15,118.0,114.15,118.0,4705
2024-10-14,114.06,116.45,114.0,115.24,5000
2024-10-15,118.0,118.0,112.0,117.5,7779
2024-10-16,111.3,117.5,111.3,115.02,3506
2024-10-17,115.0,116.9,115.0,115.02,25475
2024-10-18,114.99,114.99,114.99,114.99,1173
2024-10-21,118.0,120.0,113.5,119.81,37225
2024-10-22,118.0,120.0,118.0,119.94,16000
2024-10-23,119.95,120.0,115.5,116.5,24750
2024-10-24,118.0,120.0,116.0,116.0,9415
2024-10-25,118.95,119.95,115.0,116.55,77600
2024-10-28,115.27,123.0,115.0,122.53,129451
2024-10-29,116.0,120.95,115.0,120.95,99051
2024-10-30,117.0,122.7,116.0,120.74,14415
2024-10-31,120.0,123.0,120.0,120.5,1700
2024-11-01,121.55,124.6,118.01,120.0,7802
2024-11-04,121.0,121.99,118.1,121.64,15156
2024-11-05,118.0,130.01,118.0,129.74,81946
2024-11-06,129.74,134.85,127.5,130.0,41600
2024-11-07,127.05,134.78,127.05,132.87,32245
2024-11-08,135.75,135.75,132.32,135.46,18910
2024-11-11,135.0,149.01,135.0,135.23,9552
2024-11-12,138.99,143.75,130.0,130.1,21069
2024-11-13,129.01,132.95,128.0,130.0,8304
2024-11-14,132.5,132.5,123.75,129.22,29539
2024-11-15,129.99,131.9,126.25,129.99,9807
2024-11-18,130.0,134.7,130.0,132.5,23736
2024-11-19,134.95,134.95,130.0,130.51,268739
2024-11-20,130.51,133.0,130.51,133.0,1339
2024-11-21,133.0,133.0,129.0,130.0,9263
2024-11-22,130.0,130.0,130.0,130.0,250
