date,open,high,low,close,volume
2024-01-16,80,80.5,76,78.14,437405
2024-01-17,78,79,76,77.62,328941
2024-01-18,77.02,77.85,74.1,77.07,290009
2024-01-19,77.01,78.6,76.5,76.99,208719
2024-01-22,76.99,77.6,76.11,76.59,105255
2024-01-23,77,77.3,75,76.12,1217947
2024-01-24,76,78.2,75.51,76.56,1030975
2024-01-25,77.89,77.89,76.2,76.73,665475
2024-01-26,76.13,77.5,75.5,75.95,177707
2024-01-29,76,76.49,73.5,73.98,114001
2024-01-30,74.9,76.99,72.55,74.73,987351
2024-01-31,75.8,76.79,74.01,75.01,138226
2024-02-01,76.39,77,75.5,75.93,410270
2024-02-02,76.5,76.59,75.1,75.9,282293
2024-02-06,76,79,75.9,76.21,208310
2024-02-07,76,77,76,76.87,105646
2024-02-09,75.2,75.2,71.1,73.36,761066
2024-02-12,73,73.47,71,72.04,512428
2024-02-13,71.3,72.5,69,70.81,638704
2024-02-14,71.89,73.39,71.89,72.94,512019
2024-02-15,72.5,72.75,70,70.85,248850
2024-02-16,70.8,71,66.7,67.73,476859
2024-02-19,67.43,69.89,65.51,69.72,295389
2024-02-20,69.9,71,68.02,69.89,335602
2024-02-21,71.8,71.8,68.62,69.26,681223
2024-02-22,69.01,70.9,69.01,70.39,565410
2024-02-23,70.4,71,65.51,70.31,1154465
2024-02-26,70.9,71.8,70.5,70.97,432210
2024-02-27,70.5,71.45,69.6,69.98,240256
2024-02-28,69.98,71,66.9,67.69,883316
2024-02-29,67.69,69.4,67.25,69.11,789342
2024-03-01,69.11,70,67.7,68.21,632639
2024-03-04,69.58,69.58,68.3,68.73,133939
2024-03-05,69.03,69.2,68.26,68.52,249813
2024-03-06,68.52,68.98,67.65,67.75,312459
2024-03-07,68,68.46,67,67.49,711341
2024-03-08,67.98,68.5,67.5,68.14,311322
2024-03-11,68.5,70,68.03,69.13,662401
2024-03-12,69.98,69.98,67.52,67.96,217754
2024-03-13,68,68.98,67.15,67.26,210612
2024-03-14,67.11,68,67,67.56,456727
2024-03-15,67.5,67.89,66.34,66.62,140685
2024-03-18,67.95,67.95,66,66.92,44423
2024-03-19,66.92,67.8,66,66.51,78081
2024-03-20,66.99,66.99,65.4,65.54,287312
2024-03-21,65.75,65.75,64.15,64.47,387674
2024-03-22,65.44,65.44,63.21,64.18,441375
2024-03-25,64.1,65.5,63.9,64.63,463304
2024-03-26,64.63,66.48,64.63,66.07,430217
2024-03-27,66.48,66.84,65.9,66.5,238732
2024-03-28,66.49,67.44,66.49,67.26,581882
2024-03-29,67.4,67.6,66.1,66.33,145366
2024-04-01,67,67.9,66.01,66.24,161903
2024-04-02,66,66.79,65.5,65.7,105259
2024-04-03,65.65,66.15,64.71,65.51,855054
2024-04-04,65.9,67.93,65.9,67.18,810869
2024-04-08,67.81,68.4,67,67.61,294398
2024-04-09,67.6,69.2,67.5,67.95,934937
2024-04-15,68.19,68.2,66.8,67.09,988973
2024-04-16,67.89,70,67.15,69.38,2377030
2024-04-17,69.25,71.2,69,69.79,3366490
2024-04-18,70.6,70.8,69.2,70.06,1351655
2024-04-19,70.4,70.5,69.2,69.87,738045
2024-04-22,70.39,72.5,69.5,71.7,7649704
2024-04-23,72.8,74.06,71.81,73.13,5389785
2024-04-24,73.01,75.8,73.01,74.22,4113657
2024-04-25,74.5,75.15,73.25,73.69,1687844
2024-04-26,73.69,74.25,72.2,72.6,799418
2024-04-29,73,73.3,67.5,68.32,2911557
2024-04-30,68.4,69.6,67.5,67.51,1264335
2024-05-02,68.7,68.98,67,68.03,509298
2024-05-03,68.49,70.59,68.26,70.43,581148
2024-05-06,70.51,72.88,70.5,71.68,1325314
2024-05-07,72.5,72.5,70.44,70.44,961480
2024-05-08,71,71,69.5,69.61,434562
2024-05-09,70,70.5,69.05,69.53,386911
2024-05-10,70.1,73.75,69.5,73.48,2106650
2024-05-13,74,75.48,73.5,74.03,1200125
2024-05-14,75.44,75.44,72.4,72.99,1179598
2024-05-15,73.5,73.5,69,70.54,1349429
2024-05-16,70.75,72.49,68,72.22,888318
2024-05-17,72.2,73.73,72.2,72.69,500516
2024-05-20,73,73.8,71,73,782949
2024-05-21,72.5,73.5,71.96,72.11,488835
2024-05-22,71.8,74,71.8,73.21,1332036
2024-05-23,73.75,73.75,72.15,72.53,453675
2024-05-24,73.2,77.2,72.15,75.53,20506725
2024-05-27,75.99,76.24,74.6,74.86,2027030
2024-05-29,74.86,75.25,73,73.48,1533323
2024-05-30,73.25,73.99,71.8,72.09,1560100
2024-05-31,72.25,73.39,71.53,73.15,1004334
2024-06-03,73.5,74.15,72.6,72.76,682848
2024-06-04,73,73.6,71,71.09,738602
2024-06-05,71.9,71.95,69.01,69.5,914913
2024-06-06,69.9,70.49,69.25,69.47,1072308
2024-06-07,70,70.89,68.25,70.26,1343288
2024-06-10,70.9,71.25,69.9,70.57,497460
2024-06-11,72.75,73,70.77,71.45,1637500
2024-06-12,72,72.25,70.85,71.42,624943
2024-06-13,69.9,71.5,68.02,71.05,2947312
2024-06-14,71.45,73,70,72.46,1230089
2024-06-20,73.4,73.8,72.06,73.13,835504
2024-06-21,73.4,73.6,72.2,72.46,708363
2024-06-24,72.75,73,70.51,71.13,291105
2024-06-25,71,71.6,69.5,69.97,937025
2024-06-26,70.75,70.75,69,69.46,399591
2024-06-27,69.5,71.2,69.3,70.92,592736
2024-06-28,70.94,72,70.31,70.85,315457
2024-07-01,70.4,70.8,69.12,70.46,203808
2024-07-02,69.98,70.5,68.9,69.21,947801
2024-07-03,69.8,69.8,68.8,69.42,825474
2024-07-04,69.9,69.96,68.9,69.1,909543
2024-07-05,69.79,69.8,68.6,68.88,556602
2024-07-08,69.25,69.5,68,68.73,411417
2024-07-09,69,69.85,68.75,69.45,1019486
2024-07-10,70,70,68.7,68.79,241970
2024-07-11,69.27,69.49,68.6,68.82,318402
2024-07-12,69.8,69.9,67.55,68.9,745933
2024-07-15,69.74,69.95,69.01,69.23,581939
2024-07-18,69.6,70.9,69,69.86,1457673
2024-07-19,70.4,70.4,67.06,67.4,1490730
2024-07-22,68,68,65.5,65.61,725629
2024-07-23,66.65,67,65.58,66.47,522556
2024-07-24,66.89,67.4,65.7,66.45,728204
2024-07-25,66.6,67.4,66,66.49,370831
2024-07-26,65.53,66.49,64.1,65.59,842175
2024-07-29,65.57,66.95,65.01,66.31,370068
2024-07-30,67,67,66,66.1,89751
2024-07-31,65.5,66.45,65.06,65.23,335496
2024-08-01,65.11,66.48,64.95,65.52,226351
2024-08-02,65.9,66.89,65.2,66.68,291016
2024-08-05,66,66.7,64.57,65.22,176283
2024-08-06,66,66,64.5,65.05,270482
2024-08-07,65.1,65.89,64.55,64.72,394655
2024-08-08,64.75,65.89,64.6,65.05,447907
2024-08-09,65.5,65.7,64.9,65.24,183208
2024-08-12,65.4,65.4,64.75,65.02,374269
2024-08-13,65.38,66.48,64.77,65.3,110913
2024-08-15,65.3,66.5,65.3,65.42,311605
2024-08-16,65.5,66.49,65.02,65.27,142732
2024-08-19,65.45,66,64.75,64.98,107220
2024-08-20,64.71,65.4,64.71,65.01,81147
2024-08-21,64.85,65.74,64.85,65.01,229682
2024-08-22,65.46,66.17,65.02,65.59,113583
2024-08-23,65.2,67.5,65.2,65.59,993234
2024-08-26,65.7,65.7,65.15,65.35,64326
2024-08-27,65.3,65.7,64.49,64.54,388675
2024-08-28,64.41,64.99,64.12,64.33,58820
2024-08-29,64.33,65.3,63.6,64.16,560298
2024-08-30,64.49,64.85,61.5,63.91,567394
2024-09-02,64.35,66.35,64.02,64.31,278390
2024-09-03,65.5,65.5,63.9,64.2,550109
2024-09-04,64.2,64.99,63.99,64.05,270708
2024-09-05,64.1,64.49,63.9,64.04,116390
2024-09-06,64.8,64.8,63.97,64.47,203631
2024-09-09,64.05,65.2,64.05,64.65,191486
2024-09-10,64.85,65,64.41,64.74,412638
2024-09-11,64.98,64.98,64.3,64.5,419758
2024-09-12,64.31,65.38,64.31,64.92,187591
2024-09-13,67,67.74,64.5,64.63,1808119
2024-09-16,64.76,64.99,63.9,64.03,416999
2024-09-18,64.49,64.99,64,64.14,209198
2024-09-19,64.01,64.49,63.97,64.02,253645
2024-09-20,64.7,64.75,63.4,63.84,447944
2024-09-23,63.84,64,63.15,63.3,188816
2024-09-24,63.74,63.74,60,61.52,1162967
2024-09-25,61.99,63,61.2,62.73,180067
2024-09-26,63.4,63.8,62,62.91,830474
2024-09-27,63,63.4,60.5,60.99,1255472
2024-09-30,61.1,62,60.29,61.43,371861
2024-10-01,61.52,62.5,61.25,62.47,624120
2024-10-02,62.59,63.9,62,62.95,3679626
2024-10-03,63.5,67.8,63.31,67.31,4954677
2024-10-04,67.99,67.99,66.1,66.3,2960900
2024-10-07,66.89,68.95,64.5,66.31,10669364
2024-10-08,67,70,67,68.1,4415829
2024-10-09,68,69.79,67.57,67.75,783296
2024-10-10,68,68.4,67,67.23,542684
2024-10-11,67.01,69,67,68.73,4625827
2024-10-14,68.9,72,68.7,70.97,8523234
2024-10-15,71.09,72,69.8,70.47,1822668
2024-10-16,71,73.6,70.6,72.53,5554184
2024-10-17,71,72,68.5,69.4,2584838
2024-10-18,69,69.2,67.5,68.08,1579493
2024-10-21,68.49,69.35,67.91,68.49,778024
2024-10-22,68.89,70.9,68.15,70.34,4083158
2024-10-23,70.7,72.2,70.45,71.21,3444088
2024-10-24,71,73,70.9,71.63,3349508
2024-10-25,71.8,72.69,70.3,72.04,4042447
2024-10-28,72.06,74.1,71.15,71.86,1680221
2024-10-29,72.4,74.55,71.98,74.05,2615802
2024-10-30,74.21,75.4,70.4,70.92,2771929
2024-10-31,71,71.5,68.5,68.79,2043763
2024-11-01,69.85,70.9,68.5,69.54,893612
2024-11-04,70,72.6,69.55,72.06,1673658
2024-11-05,73,73.5,72.06,72.25,753012
2024-11-06,72.2,72.8,71.5,71.67,1024780
2024-11-07,71.67,74.25,71.67,74.01,1828393
2024-11-08,73.95,76.15,73,74.67,2849752
2024-11-11,75,77.4,74.8,76.66,3014466
2024-11-12,76.01,78,76.01,76.67,1585058
2024-11-13,76.66,77.9,76,77.28,1746721
