date,open,high,low,close,volume
2024-01-16,31.45,32,30.8,31.1,736667
2024-01-17,31.31,31.45,31,31.22,242392
2024-01-18,30.99,31.2,30.55,30.99,236148
2024-01-19,31.4,31.49,30.88,31.27,387808
2024-01-22,31.5,32.6,31.12,32.16,736893
2024-01-23,32.02,32.7,31.15,32.51,1608393
2024-01-24,32.5,33,32,32.27,775187
2024-01-25,32.6,32.9,31.55,31.83,672332
2024-01-26,31.9,31.99,31.3,31.53,416475
2024-01-29,31.15,31.25,30.5,30.57,615732
2024-01-30,30.41,31.2,30.4,30.5,313545
2024-01-31,30.52,30.97,30.2,30.51,234448
2024-02-01,30.99,30.99,30,30.12,688295
2024-02-02,30.47,31.19,30.15,30.38,858053
2024-02-06,30.33,31.74,30.33,31.65,483980
2024-02-07,31.5,32.24,31.3,31.8,214867
2024-02-09,31.3,31.8,29.8,31.61,295745
2024-02-12,31.4,31.95,30.1,30.45,664401
2024-02-13,30.05,31.25,30,30.91,658449
2024-02-14,31.2,32.45,31.01,32.29,378318
2024-02-15,32.26,33,31.3,31.54,677479
2024-02-16,31.6,31.9,30.65,30.74,535898
2024-02-19,30.99,31.1,30.3,30.63,339791
2024-02-20,30.51,31.2,30.5,30.68,869332
2024-02-21,31,31.45,30.56,30.94,722778
2024-02-22,31.3,31.5,29,30.69,3439241
2024-02-23,31,31.3,30.51,31.02,1687333
2024-02-26,31.11,31.45,31.11,31.33,635626
2024-02-27,31.8,31.8,31.16,31.43,887561
2024-02-28,30.91,31.8,30.91,31.52,562536
2024-02-29,31.55,32,31.55,31.9,1404210
2024-03-01,29.9,29.95,28.92,29.07,726493
2024-03-04,29.18,29.3,28.9,28.99,1220614
2024-03-05,29.14,29.15,27.75,28.19,2110089
2024-03-06,28.5,28.5,28,28.04,590531
2024-03-07,28.31,29.1,28,28.85,2299271
2024-03-08,29.06,29.29,28.75,29.11,586557
2024-03-11,28.66,30.59,28.62,30.4,968057
2024-03-12,30.6,30.79,29.7,29.78,287702
2024-03-13,30,30.25,29.3,29.44,151175
2024-03-14,29.5,30,29.5,30,280226
2024-03-15,29.72,30.1,29.72,29.8,80427
2024-03-18,29.93,30.1,29.69,30,755853
2024-03-19,30.2,30.2,29.7,29.75,164682
2024-03-20,29.6,30.05,29.6,29.74,229149
2024-03-21,29.75,30,29.4,29.51,250545
2024-03-22,29.9,30,29.4,29.66,143077
2024-03-25,29.67,29.98,29.5,29.53,513612
2024-03-26,29.52,29.7,29,29.08,961663
2024-03-27,29.5,29.9,29.1,29.35,1458861
2024-03-28,29.75,29.95,29.25,29.35,499117
2024-03-29,29.7,29.75,29.4,29.5,315455
2024-04-01,29.41,29.95,29.41,29.78,182584
2024-04-02,30,30,29.51,29.57,146816
2024-04-03,29.7,29.89,29.5,29.74,100639
2024-04-04,29.94,30.49,29.75,30.36,246231
2024-04-08,30,32.2,30,31.64,1496698
2024-04-09,32,32.01,31.2,31.91,407522
2024-04-15,31.51,32.99,31.51,32.45,701992
2024-04-16,32.25,32.65,31.71,31.86,1003959
2024-04-17,31.8,32.75,31.65,32.12,469869
2024-04-18,32.6,32.6,31.7,32.29,463920
2024-04-19,32.1,32.4,32.06,32.26,295720
2024-04-22,32.1,33.49,32.08,32.28,3609175
2024-04-23,32.2,32.9,31.7,31.98,1789773
