date,open,high,low,close,volume
2024-01-10,6.93,6.93,6.35,6.36,57500
2024-01-11,6.22,6.69,6.22,6.57,92500
2024-01-12,6.55,6.62,6.3,6.38,85000
2024-01-15,6.5,6.65,6.4,6.41,20000
2024-01-16,6.31,6.7,6.1,6.4,38500
2024-01-17,6.22,6.28,6.11,6.19,115000
2024-01-18,6.02,7.19,5.45,7.06,2125000
2024-01-19,7.35,7.49,6.39,6.57,2298500
2024-01-22,6.67,6.7,6.31,6.4,152000
2024-01-23,6.54,6.55,6.32,6.47,128000
2024-01-24,6.32,6.6,6.32,6.49,78500
2024-01-25,6.65,6.85,6.45,6.52,69000
2024-01-26,6.7,6.75,6.7,6.7,111000
2024-01-29,6.5,6.5,6,6.04,288500
2024-01-30,6.34,6.34,5.62,5.85,451500
2024-01-31,5.99,6.15,5.75,5.88,162500
2024-02-01,6.09,6.14,5.85,5.98,107000
2024-02-02,6.14,6.15,6.05,6.06,9000
2024-02-06,6.15,6.23,6.09,6.09,27000
2024-02-07,6.06,6.15,5.97,6,130500
2024-02-09,5.95,6.18,5.86,6,21500
2024-02-12,5.95,5.95,5.49,5.55,134500
2024-02-13,5.55,6,5.4,5.76,158000
2024-02-14,5.7,6,5.7,5.98,85500
2024-02-15,5.73,5.84,5.73,5.8,17500
2024-02-16,5.66,5.7,5.12,5.7,132500
2024-02-19,5.52,5.75,5.52,5.68,24000
2024-02-20,5.65,5.9,5.65,5.69,43500
2024-02-21,5.66,5.7,5.66,5.7,31500
2024-02-22,5.73,5.75,5.7,5.75,12000
2024-02-23,5.71,5.95,5.7,5.75,72500
2024-02-26,5.89,5.99,5.8,5.9,42500
2024-02-27,5.8,5.9,5.72,5.88,27500
2024-02-28,5.9,5.99,5.9,5.95,14000
2024-02-29,6,6,5.65,5.81,56500
2024-03-01,5.72,5.8,5.51,5.59,136500
2024-03-04,5.67,5.68,5.6,5.63,89500
2024-03-05,5.58,5.67,5.5,5.56,49000
2024-03-06,5.51,5.63,5.5,5.59,31000
2024-03-07,5.51,5.6,5.4,5.56,103000
2024-03-08,5.47,5.57,5.45,5.53,87500
2024-03-11,5.65,5.79,5.6,5.67,272000
2024-03-12,5.6,5.6,5.4,5.42,47500
2024-03-13,5.58,5.58,5.4,5.42,122000
2024-03-14,5.55,5.55,5.45,5.45,13500
2024-03-15,5.51,5.59,5.51,5.58,18500
2024-03-18,5.7,5.85,5.41,5.45,70500
2024-03-19,5.64,5.64,5.46,5.47,12000
2024-03-20,5.64,5.88,5.55,5.56,28000
2024-03-21,5.53,5.65,5.41,5.56,52500
2024-03-22,5.56,5.75,5.5,5.57,11000
2024-03-25,5.52,5.74,5.52,5.59,17000
2024-03-26,5.7,5.7,5.52,5.54,33500
2024-03-27,5.68,5.68,5.6,5.6,1500
2024-03-28,5.73,5.73,5.45,5.52,32500
2024-03-29,5.67,5.67,5.53,5.6,7000
2024-04-01,5.45,5.54,5.43,5.45,55500
2024-04-02,5.41,5.64,5.4,5.42,64000
2024-04-03,5.49,5.6,5.48,5.55,80000
2024-04-04,5.6,5.6,5.54,5.54,13000
2024-04-08,5.68,5.68,5.48,5.51,15000
2024-04-09,5.46,5.6,5.45,5.51,24000
2024-04-15,5.66,5.66,5.45,5.54,16500
2024-04-16,5.5,5.9,5.46,5.47,114000
2024-04-17,5.52,5.65,5.46,5.6,90000
2024-04-18,5.59,5.6,5.5,5.52,23500
2024-04-19,5.45,5.68,5.31,5.59,62500
2024-04-22,5.54,5.58,5.42,5.51,172500
2024-04-23,5.51,5.65,5.48,5.5,97000
2024-04-24,5.72,5.75,5.51,5.65,139000
2024-04-25,5.81,6.65,5.81,6.65,1237000
2024-04-26,6.95,7.08,6.1,6.17,1904500
2024-04-29,6.38,6.4,6,6.17,501000
2024-04-30,6.34,6.34,5.7,5.78,147500
2024-05-02,5.8,6,5.6,5.73,81500
2024-05-03,5.9,6.15,5.71,5.96,58000
2024-05-06,6.12,6.12,5.8,5.86,37000
2024-05-07,6,6,5.81,5.9,106000
2024-05-08,5.84,5.97,5.82,5.83,81500
2024-05-09,6.14,6.14,5.86,5.87,189500
2024-05-10,5.85,6.13,5.85,5.91,53500
2024-05-13,5.88,6.29,5.88,6.21,127500
2024-05-14,6.2,6.3,6,6.1,122000
2024-05-15,6.2,6.25,6.02,6.06,131000
2024-05-16,6.03,6.12,5.9,6,69000
2024-05-17,5.92,6,5.91,5.99,145000
2024-05-20,6.1,6.1,5.95,6,237533
2024-05-21,5.95,6.05,5.93,5.98,146928
2024-05-22,5.94,6.05,5.9,5.98,109670
2024-05-23,5.9,6.04,5.9,5.97,109009
2024-05-24,5.97,6.69,5.97,6.17,818712
2024-05-27,6.17,6.2,6,6.01,110043
2024-05-29,6.18,6.54,5.91,6.21,445817
2024-05-30,6.38,6.89,6.07,6.7,1199846
2024-05-31,6.42,6.78,6.4,6.63,500099
2024-06-03,6.69,6.7,6.3,6.64,221022
2024-06-04,6.45,6.74,6.36,6.62,316168
2024-06-05,6.41,6.53,6.2,6.35,614501
2024-06-06,6.45,6.69,6.3,6.33,332339
2024-06-07,6.25,6.29,6.05,6.22,195288
2024-06-10,6.22,6.3,6.15,6.15,8034
2024-06-11,6.34,6.34,6.01,6.04,93297
2024-06-12,6.14,6.2,6,6.11,63108
2024-06-13,6.25,6.35,6.11,6.26,86692
2024-06-14,6.25,6.25,6.13,6.13,15565
2024-06-20,6.05,6.19,6.04,6.1,144036
2024-06-21,6.2,6.2,5.31,5.95,141008
2024-06-24,5.95,6,5.95,6,63406
2024-06-25,5.95,6,5.9,5.95,118271
2024-06-26,5.92,6.4,5.9,6.11,254792
2024-06-27,6.1,6.1,6,6.01,5321
2024-06-28,6.03,6.15,5.75,6.05,136220
2024-07-01,6.24,6.24,6.12,6.12,3038
2024-07-02,6.01,6.14,6.01,6.1,3501
2024-07-03,6.19,6.2,6.19,6.2,10400
2024-07-04,6.19,6.2,6.16,6.2,18500
2024-07-05,6.03,6.19,5.55,6.02,257846
2024-07-08,6.25,6.25,5.17,5.95,80762
2024-07-09,5.9,6,5.88,5.95,19894
2024-07-10,5.85,6.95,5.85,6.69,1852527
2024-07-11,6.51,6.99,6.4,6.71,714919
2024-07-12,6.85,6.94,6.27,6.68,28905
2024-07-15,6.79,6.83,6.3,6.59,25597
2024-07-18,6.3,6.89,6.1,6.8,402569
2024-07-19,6.32,6.93,6.32,6.65,236454
2024-07-22,6.15,7.05,6.15,6.95,311221
2024-07-23,6.95,7.38,6.5,7.15,451855
2024-07-24,7.28,7.99,7.01,7.72,1532813
2024-07-25,7.01,8,7.01,7.63,264147
2024-07-26,7.38,7.79,7.1,7.22,40908
2024-07-29,7.25,7.49,7.03,7.17,89505
2024-07-30,7.1,7.19,6.81,6.85,48021
2024-07-31,6.82,6.82,6.51,6.53,43865
2024-08-01,6.5,6.5,6.03,6.11,64410
2024-08-02,6.15,6.15,6.07,6.11,7562
2024-08-05,6.29,6.37,6.14,6.3,28550
2024-08-06,6.5,6.59,6.11,6.5,76120
2024-08-07,6.69,6.89,6.65,6.65,32708
2024-08-08,6.78,6.78,6.55,6.6,5810
2024-08-09,6.8,6.8,6.4,6.42,14625
2024-08-12,6.37,6.44,6.11,6.26,24161
2024-08-13,6.64,6.64,6.2,6.6,8852
2024-08-15,6.65,6.65,6.3,6.56,17326
2024-08-16,6.17,6.49,6.17,6.48,3010
2024-08-19,6.37,6.37,6.3,6.35,12732
2024-08-20,6.73,6.73,6.4,6.4,7078
2024-08-21,6.2,6.5,6.05,6.44,17971
2024-08-22,6.2,6.58,6.2,6.58,22483
2024-08-23,6.57,6.7,6.4,6.5,5514
2024-08-26,6.3,6.55,6.3,6.36,2510
2024-08-27,6.25,6.55,6.25,6.44,18867
2024-08-28,6.58,6.58,6.37,6.43,16959
2024-08-29,6.4,6.79,6.3,6.44,15427
2024-08-30,6.53,6.98,6.5,6.55,3829
2024-09-02,6.5,6.5,6.39,6.4,5100
2024-09-03,6.23,6.47,6.23,6.47,38618
2024-09-04,6.4,6.68,6.25,6.42,153844
2024-09-05,6.35,6.6,6.31,6.36,112488
2024-09-06,6.35,6.52,6.35,6.44,43053
2024-09-09,6.36,6.36,6.36,6.36,500
2024-09-10,6.38,6.48,6.31,6.36,19064
2024-09-11,6.7,6.7,6.4,6.4,3503
2024-09-12,6.36,6.87,6.35,6.86,15319
2024-09-13,6.86,7.4,6.75,7.01,247262
2024-09-16,7.25,7.25,6.63,6.8,5674
2024-09-18,6.7,7,6.51,6.52,12520
2024-09-19,6.21,6.69,6.21,6.6,10014
2024-09-20,6.6,6.6,6.51,6.6,7732
2024-09-23,6.51,6.7,6.4,6.43,33403
2024-09-24,6.63,6.63,6.63,6.63,500
2024-09-25,6.41,6.7,6.41,6.44,25553
2024-09-26,6.5,6.69,6.5,6.5,11356
2024-09-27,6.36,6.36,6.35,6.36,1000
2024-09-30,6.4,6.4,6.25,6.25,15774
2024-10-01,6.25,6.35,6.25,6.25,75239
2024-10-02,6.25,6.25,6.2,6.21,3000
2024-10-03,6.25,6.25,6.19,6.25,8356
2024-10-04,6.22,6.37,6.02,6.08,19001
2024-10-07,6.08,6.19,6.05,6.19,19011
2024-10-08,6.25,6.25,6,6.18,25255
2024-10-09,6.03,6.18,6,6,12292
2024-10-10,6.01,6.08,6,6.05,10520
2024-10-11,6.2,6.25,6.1,6.1,31612
2024-10-14,6.25,6.25,6.23,6.25,11600
2024-10-15,6.06,6.75,5.9,6.47,104455
2024-10-16,6.31,6.74,6.3,6.6,101940
2024-10-17,6.41,6.58,6.31,6.34,9450
2024-10-21,6.3,6.59,6.11,6.4,30939
2024-10-22,0,0,0,6.4,55
2024-10-23,6.15,6.3,6.02,6.16,33500
2024-10-24,6.3,6.3,6.2,6.3,33026
2024-10-25,6.3,6.4,6.24,6.25,43021
2024-10-28,6.25,6.29,6.1,6.23,8342
2024-10-29,6.22,6.28,6.2,6.28,1000
