date,open,high,low,close,volume
2024-01-17,125,128.52,123.55,126.39,10097639
2024-01-18,125.9,125.9,122.5,124.21,6663481
2024-01-19,124.9,125.98,123.2,124.21,2989138
2024-01-22,124.5,133.53,124.5,133.53,16631096
2024-01-23,134.94,138.9,127.2,136.5,52947125
2024-01-24,136,146.74,134.8,145.87,33646470
2024-01-25,143.88,148.85,134.93,135.31,49679574
2024-01-26,135.01,143.2,133.88,141.37,31070396
2024-01-29,140.5,140.79,136.5,137.61,7102542
2024-01-30,137.97,140,130.05,134.28,17143209
2024-01-31,135.9,138.5,134.65,135.28,6014807
2024-02-01,135.89,145.1,134.7,144.26,16985527
2024-02-02,145.1,149.5,141.3,147.6,13579691
2024-02-06,150.15,158.59,150.15,155.57,23123662
2024-02-07,156,157.4,150.1,150.67,24951384
2024-02-09,146,148.3,139.37,145.08,18933926
2024-02-12,140,141,134.2,134.2,14939483
2024-02-13,124.14,126.49,124.14,124.18,14952555
2024-02-14,125.52,128,117,122.01,32231367
2024-02-15,123.5,123.9,113.15,114.11,12066082
2024-02-16,112.8,116.2,105.72,107.93,20693864
2024-02-19,104.5,116.02,104.5,115.53,12158845
2024-02-20,116.51,118.74,112.1,113.01,10492785
2024-02-21,116.99,118.44,114.5,117.2,6512111
2024-02-22,117.5,118.4,115.51,116.69,5780199
2024-02-23,116,125.44,116,125.21,16618638
2024-02-26,125.89,129.75,124.01,125.01,14939405
2024-02-27,125.44,125.55,120.25,121.07,10000500
2024-02-28,120,124.71,120,123.17,6716014
2024-02-29,123.25,127.86,123.25,125.12,10849918
2024-03-01,125.34,125.79,122.99,123.33,4787226
2024-03-04,125,132.58,124.3,132.17,20945917
2024-03-05,133.49,133.49,127.25,127.98,10469000
2024-03-06,127.11,131.65,127.11,128.64,11204196
2024-03-07,128,131.9,127.85,131.35,9797618
2024-03-08,130,130.8,128.5,129.11,6231759
2024-03-11,130,130.35,127.5,127.87,4226173
2024-03-12,128.05,128.49,123,123.59,4054404
2024-03-13,124.65,125,120.51,121.54,4044182
2024-03-14,122.52,127.5,122.52,126.8,3554520
2024-03-15,128.15,128.97,123,123.69,8016182
2024-03-18,124.05,125.4,122.71,123.33,3153698
2024-03-19,123,124.99,122.03,123.07,4296717
2024-03-20,123.12,124.85,121.11,122.11,5328271
2024-03-21,122.03,123,119.2,120.16,4601392
2024-03-22,119.8,119.85,117.26,117.99,3524802
2024-03-25,121.9,124.78,120.7,121.41,16003292
2024-03-26,121.6,124.39,121.16,122.39,20903604
2024-03-27,123.21,123.73,122.21,122.67,4512518
2024-03-28,122.8,123.7,121.85,122.81,4201030
2024-03-29,123.02,123.5,121.2,121.65,2792424
2024-04-01,121.4,122.4,119,119.77,1842893
2024-04-02,120,120,118.25,119.08,2001159
2024-04-03,119.5,123,118.76,122.15,5586893
2024-04-04,125.6,128.99,125.02,125.3,7916927
2024-04-08,126.45,129.4,126.45,128.15,5865538
2024-04-09,128.5,129.9,127,128.2,4868813
2024-04-15,129.99,134.7,127.4,133.07,15716557
2024-04-16,134.05,136.6,133.03,133.4,10709918
2024-04-17,132.97,132.97,131,131.24,4282994
2024-04-18,131.8,133.8,129.79,131.58,7638371
2024-04-19,132.56,135.39,131.15,133.84,8418350
2024-04-22,134,138,132.2,135.69,12878056
2024-04-23,135.8,135.87,133.5,134.19,3461267
2024-04-24,134,135.6,133.79,134.36,4954424
2024-04-25,135,137.5,133.25,136.49,8800644
2024-04-26,137.35,139.4,135.36,137.15,7239643
2024-04-29,137.9,138.3,133.92,134.22,5410125
2024-04-30,134.11,137.85,133.01,133.57,13576160
2024-05-02,133.62,135.25,131.63,132.5,7309709
2024-05-03,133.25,139.5,132.01,138.34,16078368
2024-05-06,139.1,140.5,136.35,136.97,11672431
2024-05-07,136.4,136.8,134.3,134.69,6653585
2024-05-08,133,135.1,133,133.66,10021600
2024-05-09,133.21,134.75,132.79,133.46,2595611
2024-05-10,134.1,135.99,133.5,133.91,3471449
