date,open,high,low,close,volume
2023-12-01,12.0,12.4,12.0,12.25,21000
2023-12-04,12.25,12.25,11.8,11.8,42500
2023-12-05,12.0,12.15,12.0,12.01,14000
2023-12-06,12.01,12.28,12.0,12.26,25500
2023-12-07,12.2,12.3,12.17,12.29,88500
2023-12-08,12.45,12.46,12.06,12.44,35500
2023-12-11,12.47,12.47,12.47,12.47,500
2023-12-12,12.47,12.48,12.08,12.2,29500
2023-12-13,12.15,12.2,12.12,12.2,23000
2023-12-14,12.02,12.13,12.02,12.13,7000
2023-12-15,12.3,12.39,12.3,12.35,9000
2023-12-18,12.3,12.45,12.3,12.4,51000
2023-12-19,12.35,12.35,12.1,12.1,15500
2023-12-20,12.35,12.35,12.16,12.16,1000
2023-12-21,12.06,12.06,12.02,12.02,8500
2023-12-22,12.03,12.03,12.03,12.03,2500
2023-12-26,12.43,12.43,12.43,12.43,1000
2023-12-27,12.14,12.64,12.14,12.64,13000
2023-12-28,12.05,12.3,12.02,12.14,8500
2023-12-29,12.21,12.21,12.21,12.21,1000
2024-01-02,12.41,12.41,12.25,12.25,6000
2024-01-03,12.26,12.27,12.26,12.27,6500
2024-01-04,12.39,12.39,12.26,12.27,9000
2024-01-05,12.39,12.39,12.28,12.28,6000
2024-01-09,12.28,12.28,12.26,12.26,7000
2024-01-10,12.3,12.3,12.2,12.2,33500
2024-01-11,12.25,12.25,12.25,12.25,3500
2024-01-12,12.45,12.45,12.43,12.43,2500
2024-01-15,12.14,12.17,12.03,12.04,136000
2024-01-16,12.1,12.1,12.05,12.05,7500
2024-01-17,12.05,12.25,12.05,12.2,40500
2024-01-18,12.01,12.01,12.01,12.01,7000
2024-01-19,12.23,12.23,12.23,12.23,500
2024-01-23,12.1,12.42,12.1,12.4,4500
2024-01-24,12.04,12.04,12.04,12.04,6500
2024-01-25,12.21,12.21,12.21,12.21,3000
2024-01-26,12.06,12.11,12.01,12.11,8500
2024-01-29,12.16,12.28,12.16,12.28,4000
2024-01-30,12.25,12.25,12.21,12.21,3500
2024-01-31,12.29,12.87,12.29,12.87,20000
2024-02-02,12.44,12.44,12.44,12.44,500
2024-02-13,12.43,12.6,12.0,12.09,14500
2024-02-14,12.15,12.25,12.15,12.25,4500
2024-02-15,12.2,12.2,12.2,12.2,12000
2024-02-19,12.01,12.19,12.0,12.19,8500
2024-02-20,12.3,12.35,12.2,12.34,11500
2024-02-21,12.14,12.35,12.14,12.35,3000
2024-02-22,12.34,12.35,12.3,12.3,7500
2024-02-23,12.24,12.3,12.24,12.27,10000
2024-02-26,12.35,12.37,12.35,12.35,5500
2024-02-27,12.14,12.35,12.14,12.35,1500
2024-02-28,12.35,12.35,12.35,12.35,1000
2024-02-29,12.2,12.4,12.2,12.4,7000
2024-03-01,12.45,12.55,12.45,12.5,1000
2024-03-04,12.25,12.27,12.25,12.27,4000
2024-03-06,12.28,12.3,12.27,12.3,4000
2024-03-07,12.21,12.46,12.21,12.46,5000
2024-03-08,12.49,12.55,12.04,12.49,10000
2024-03-11,12.55,12.55,12.55,12.55,1500
2024-03-12,12.56,12.6,12.56,12.6,3000
2024-03-13,12.51,12.59,12.51,12.59,6000
2024-03-14,12.6,12.61,12.6,12.61,2500
2024-03-18,12.5,12.5,12.5,12.5,1500
2024-03-19,12.6,12.62,12.6,12.62,2500
2024-03-20,12.63,12.63,12.63,12.63,1000
2024-03-21,12.55,12.79,12.53,12.79,11000
2024-03-22,12.8,12.8,12.53,12.8,6500
2024-03-25,12.8,12.8,12.8,12.8,3500
2024-03-26,12.68,12.68,12.68,12.68,500
2024-03-27,12.84,12.98,12.84,12.97,10000
2024-03-28,12.97,13.15,12.97,13.15,8000
2024-03-29,13.15,13.19,13.15,13.19,4000
2024-04-01,12.85,12.91,12.85,12.9,12500
2024-04-02,12.95,13.15,12.95,12.95,4000
2024-04-03,12.95,13.5,12.95,13.4,58000
2024-04-04,13.58,13.65,13.13,13.26,15500
2024-04-08,13.52,13.59,13.5,13.5,15000
2024-04-09,13.4,13.55,13.02,13.02,10000
2024-04-16,13.4,13.52,13.35,13.52,7000
2024-04-17,13.5,13.5,13.5,13.5,500
2024-04-18,13.51,13.51,13.16,13.49,10500
2024-04-19,13.5,13.55,13.45,13.52,10000
2024-04-22,13.5,13.52,13.4,13.5,19500
2024-04-23,13.5,13.55,13.49,13.55,17500
2024-04-24,13.5,13.51,13.4,13.51,54500
2024-04-25,13.4,13.64,13.4,13.5,6500
2024-04-26,13.4,13.45,13.25,13.45,3500
2024-04-29,13.45,13.6,13.0,13.14,230500
2024-04-30,12.85,13.12,12.85,13.12,14000
2024-05-02,13.35,13.35,13.1,13.1,27000
2024-05-03,13.38,13.4,13.01,13.21,14500
2024-05-07,13.43,13.46,13.3,13.46,23500
2024-05-08,13.43,13.58,13.43,13.5,13500
2024-05-09,13.5,13.57,13.5,13.55,12000
2024-05-10,13.6,13.6,13.4,13.4,11500
2024-05-13,13.69,13.71,13.55,13.6,13500
2024-05-17,13.6,13.75,13.6,13.75,2500
2024-05-20,13.3,13.5,13.22,13.4,10000
2024-05-21,13.4,13.4,13.4,13.4,25500
2024-05-22,13.45,13.5,13.45,13.5,2500
2024-05-23,13.74,13.74,13.74,13.74,500
2024-05-24,13.46,13.76,13.45,13.66,29500
2024-05-27,13.75,13.75,13.32,13.66,495
2024-05-29,13.69,13.7,13.69,13.7,1500
2024-05-30,13.67,13.67,13.55,13.7,251
2024-05-31,13.4,13.69,13.02,13.68,22320
2024-06-03,13.48,13.7,13.39,13.39,2054
2024-06-05,13.6,13.6,13.11,13.24,2632
2024-06-06,13.59,13.6,13.5,13.53,5058
2024-06-07,13.5,13.5,13.4,13.5,11971
2024-06-10,13.59,13.59,13.25,13.25,34758
2024-06-11,13.57,13.57,13.25,13.3,509
2024-06-12,13.4,14.38,13.4,13.96,60600
2024-06-13,13.99,14.06,13.62,13.72,7610
2024-06-14,13.56,13.98,13.56,13.61,11190
2024-06-20,13.97,14.0,13.75,14.0,11590
2024-06-21,13.92,14.0,13.92,14.0,2089
2024-06-24,13.55,13.89,13.5,13.8,21374
2024-06-25,13.8,13.86,13.8,13.85,3876
2024-06-26,13.88,14.14,13.71,14.04,12450
2024-06-27,14.04,14.04,13.99,14.0,1100
2024-06-28,13.98,13.98,13.62,13.62,2000
2024-07-01,14.39,14.39,13.7,13.72,1200
2024-07-02,14.4,14.4,14.0,13.72,250
2024-07-03,14.34,14.34,14.34,13.72,200
2024-07-04,14.44,14.44,14.0,14.05,12250
2024-07-05,14.39,14.39,13.8,14.25,31939
2024-07-08,14.25,14.4,14.25,14.26,525
2024-07-09,14.26,14.4,14.0,14.0,6329
2024-07-10,14.0,14.4,14.0,14.0,66527
2024-07-11,14.03,14.4,14.0,14.4,39776
2024-07-12,14.2,14.45,14.2,14.2,1381
2024-07-15,14.43,14.43,14.0,14.0,8366
2024-07-18,14.4,14.4,14.4,14.0,1601
2024-07-19,14.11,14.5,14.09,14.46,15924
2024-07-22,14.4,14.4,14.01,14.25,7330
2024-07-23,14.05,14.21,14.0,14.0,10507
2024-07-25,14.44,14.44,14.14,14.15,2026
2024-07-26,14.01,14.01,14.01,14.15,385
2024-07-29,14.3,14.3,14.0,14.06,1164
2024-07-31,14.15,14.15,14.1,14.1,1999
2024-08-01,14.01,14.1,14.0,14.0,10380
2024-08-02,14.47,14.47,14.47,14.0,10
2024-08-05,14.49,14.49,14.35,14.0,24
2024-08-06,14.42,14.42,13.91,13.99,1509
2024-08-07,14.01,14.35,14.0,14.35,2450
2024-08-08,14.4,14.48,14.4,14.47,15350
2024-08-12,14.21,14.39,14.21,14.39,6000
2024-08-13,14.35,14.39,14.25,14.3,40847
2024-08-15,14.73,14.8,14.62,14.8,14533
2024-08-16,14.9,15.0,14.9,14.97,6000
2024-08-19,14.91,15.0,14.91,15.0,4000
2024-08-20,14.98,15.5,14.63,15.39,31035
2024-08-21,15.0,15.69,15.0,15.69,16016
2024-08-22,15.7,16.0,15.65,16.0,9786
2024-08-23,15.51,15.51,15.51,15.51,15000
2024-08-26,15.98,15.99,15.55,15.99,2531
2024-08-27,15.56,15.57,14.76,14.81,12016
2024-08-28,15.69,15.69,15.55,15.67,3005
2024-08-29,15.0,15.76,15.0,15.76,10267
2024-08-30,16.0,16.49,15.45,15.47,4530
2024-09-02,16.0,16.0,15.98,15.47,50
2024-09-03,15.4,15.4,15.2,15.4,9052
2024-09-04,15.2,15.6,15.01,15.09,4733
2024-09-05,15.79,15.79,15.36,15.77,530
2024-09-06,15.03,15.47,14.99,15.0,38703
2024-09-09,15.38,15.4,15.0,15.4,14583
2024-09-10,15.1,15.39,15.0,15.03,22830
2024-09-11,15.0,15.0,15.0,15.0,10000
2024-09-12,14.8,15.2,14.8,15.0,7571
2024-09-13,15.0,15.2,14.8,15.01,17088
2024-09-16,15.5,15.5,15.0,15.01,24783
2024-09-18,14.92,15.5,14.92,15.28,93006
2024-09-19,15.79,15.79,15.01,15.45,61185
2024-09-20,15.68,15.99,15.03,15.57,7010
2024-09-23,15.6,15.6,15.12,15.28,4886
2024-09-24,15.5,15.5,15.11,15.38,33008
2024-09-25,15.3,15.45,15.3,15.4,22929
2024-09-26,15.28,15.5,15.28,15.5,3013
2024-09-27,15.6,15.6,15.26,15.26,555
2024-09-30,15.73,15.73,15.4,15.5,1551
2024-10-01,15.2,15.4,15.01,15.08,43393
2024-10-02,15.48,15.48,15.04,15.16,2842
2024-10-03,15.25,15.25,15.2,15.2,5115
2024-10-04,15.29,15.75,15.11,15.75,79117
2024-10-07,15.51,15.51,15.43,15.49,9525
2024-10-08,15.5,15.69,15.49,15.65,39715
2024-10-09,15.61,15.75,15.61,15.75,1050
2024-10-10,15.8,15.8,15.6,15.6,12600
2024-10-11,15.51,16.97,15.36,16.72,3686
2024-10-14,15.52,16.16,15.52,16.06,25419
2024-10-15,15.6,16.36,15.55,16.08,4716
2024-10-16,16.0,16.25,16.0,16.18,14673
