date,open,high,low,close,volume
2023-01-10,19.7,19.7,19.7,19.7,500
2023-02-16,18.16,18.16,18.16,18.16,500
2023-03-02,17.99,18.49,17.99,18.48,5000
2023-03-03,18.7,19,18.7,19,1000
2023-03-06,19,19,18,18,28000
2023-03-07,19.35,19.35,19.35,19.35,500
2023-03-09,19.2,19.8,19.2,19.25,2500
2023-03-10,19.9,20,19.9,20,12000
2023-03-13,19.25,19.25,19.25,19.25,1000
2023-03-16,19.2,19.2,19.2,19.2,3000
2023-03-20,19.25,19.25,19.25,19.25,500
2023-05-10,20.45,20.49,20.45,20.47,1000
2023-05-23,20,20,20,20,500
2023-06-13,20.7,20.7,20.7,20.7,500
2023-06-15,20.9,20.9,20.9,20.9,500
2023-09-19,21.47,21.47,21.47,21.47,500
2023-09-28,21.49,21.49,21.49,21.49,500
2023-10-26,19.01,19.02,19.01,19.02,1000
2023-11-03,17.6,17.6,17.59,17.59,1000
2023-11-08,16.12,16.12,16.12,16.12,3500
2023-11-10,16.12,16.12,16.12,16.12,500
2023-11-17,16,16,16,16,2500
2023-11-20,16.5,16.5,15.8,15.8,1000
2023-11-21,14.66,14.99,14.66,14.99,3000
2023-11-22,14.26,14.26,14,14.02,10000
2023-11-23,15,15,15,15,11500
2023-11-24,15.5,16.13,15.5,16.13,6000
2023-11-27,17.27,17.34,15.6,17.34,13000
2023-11-28,18,18,17.05,17.05,10000
2023-11-29,16,17.89,15.83,16.96,6500
2023-11-30,16.4,16.4,16.4,16.4,5000
2023-12-01,17.62,17.62,17.62,17.62,500
2023-12-05,16.31,16.31,16.31,16.31,500
2023-12-08,16,16,16,16,500
2023-12-11,14.81,16.6,14.8,16.6,2500
2023-12-13,15.41,17.4,15.41,17.4,1500
2023-12-14,16.1,16.1,16.1,16.1,500
2023-12-15,15.5,16.1,15,15.18,8000
2023-12-18,16.25,16.3,16,16,1500
2023-12-19,16,17.19,16,17,31500
2023-12-22,18.2,18.28,18.2,18.28,13000
2023-12-26,19.5,19.65,19.5,19.64,18500
2023-12-28,18.17,18.5,18.17,18.5,1000
2023-12-29,18.5,19.88,17.11,19.05,4000
2024-01-03,20,20,19.6,19.8,1000
2024-01-05,20,20,20,20,2500
2024-01-08,21.5,21.5,20,21,17500
2024-01-09,20.55,21.5,20.55,21.03,2000
2024-01-15,20.5,21.4,20.5,21.4,2500
2024-02-14,21,21,21,21,1000
2024-02-27,20,20,20,20,27500
2024-02-28,21,21.5,21,21.5,20000
2024-03-06,23,23,23,23,500
2024-03-07,21.5,24,21.5,24,1500
2024-03-12,25.8,25.8,23,23,2500
2024-03-19,23.25,23.25,23.25,23.25,500
2024-03-20,24.5,24.5,24.5,24.5,1000
2024-03-21,24.4,24.4,24.4,24.4,1000
2024-03-27,26.25,26.25,26.25,26.25,500
2024-04-03,27.95,27.95,27.95,27.95,500
2024-04-17,27,27,27,27,1000
2024-04-18,24.98,24.98,24.98,24.98,500
2024-04-29,26.84,26.84,26.84,26.84,500
2024-05-02,24.83,24.83,24.83,24.83,1000
2024-05-03,22.97,25.99,22.97,25.99,1000
2024-05-06,24.04,27.93,24.04,27.7,12000
2024-05-07,29.48,29.49,29.48,29.49,8000
2024-05-08,27.28,27.28,27.28,27.28,500
2024-05-29,25.1,25.1,25.1,25.1,500
2024-05-30,23.09,23.09,23.09,23.09,500
2024-05-31,21.24,24.94,21.24,23,27010
2024-06-03,24.84,24.84,24.5,24.5,501
2024-06-04,26.46,26.46,23,23.01,1512
2024-06-05,24.8,24.8,24.8,24.8,501
2024-06-06,26.75,26.75,26.75,24.8,2
2024-06-07,26.75,26.75,26.75,24.8,1
2024-06-10,26.85,26.85,22.7,24.8,113
2024-06-11,26.85,26.85,23,24.8,104
2024-06-12,26.9,26.9,22.69,25.99,516
2024-06-13,28.19,28.19,23.78,26.49,502
2024-06-14,24.25,26,24.24,25.28,346
2024-06-20,27.4,27.4,23.13,25.28,391
2024-06-21,26.99,26.99,23.13,25.28,17
2024-06-24,23,27.44,23,25.28,3212
2024-06-25,27.45,27.45,26.49,25.28,304
2024-06-26,27.46,27.55,27,27,501
2024-06-27,29.4,29.4,24.57,27,97
2024-06-28,29.36,29.36,29.36,27,1
2024-07-01,29.36,29.36,24.58,27,112
2024-07-03,24.57,26,24.57,27,96
2024-07-04,25.5,25.5,25.5,27,1
2024-07-05,29.4,29.4,25,27,9
2024-07-08,24.44,25.99,24.44,27,6
2024-07-09,24.44,27,24.44,27,4
2024-07-10,28,28,24.44,27.5,2006
2024-07-11,30.11,30.11,24.89,27.5,2
2024-07-15,24.89,26.95,24.89,27.5,92
2024-07-19,29,29,29,27.5,1
2024-07-22,27.5,27.5,26,27.5,3
2024-07-23,24.75,27.4,24.75,27.5,118
2024-07-24,24.75,26.5,24.75,27.5,5
2024-07-25,29.4,29.4,29.4,27.5,100
2024-07-26,30.11,30.11,30.11,27.5,1
2024-07-29,27,27,24.75,27,1004
2024-07-30,24.35,24.35,24.35,27,2
2024-07-31,26,26,26,27,1
2024-08-01,24.3,27,24.3,27,1311
2024-08-05,24.3,24.3,24.3,27,1
2024-08-12,25,25,25,27,15
2024-08-13,24.3,24.3,24.3,27,1
2024-08-15,24.3,24.5,24.3,27,11
2024-08-16,24.3,27,24.3,24.31,1003
2024-08-19,23,23,23,24.31,223
2024-08-20,25,26.7,25,24.31,3
2024-08-21,24.7,25,24.7,24.31,62
2024-08-22,26.74,26.74,21.88,24.31,306
2024-08-23,25.5,25.5,25.5,24.31,5
2024-08-26,25.49,25.49,21.88,24.31,132
2024-08-27,21.88,22.5,21.88,24.31,4
2024-08-28,24.31,25.5,21.88,24.31,3
2024-09-02,25.8,25.8,25.8,24.31,1
2024-09-03,22,22,21.88,24.31,3
2024-09-06,21.88,26.4,21.88,24.31,11
2024-09-09,26.29,26.29,26.29,24.31,101
2024-09-10,26,26,26,24.31,1
2024-09-11,25.8,25.8,23.75,25.45,601
2024-09-12,23.5,23.5,23.5,25.45,1
2024-09-13,28,28,22.95,25.45,52
2024-09-16,25.45,25.45,22.91,25.45,97
2024-09-18,25.45,26.05,22.95,22.98,821
2024-09-19,25.25,25.25,20.7,21.06,2025
2024-09-20,22.99,23.1,19.05,22.79,1998
2024-09-23,25.07,25.07,20.51,20.8,896
2024-09-24,22.88,22.88,18.72,20.8,85
2024-09-25,22.88,22.88,20.55,20.59,988
2024-09-26,22.6,22.65,22.6,20.59,260
2024-09-27,22.65,22.65,18.53,22.61,957
2024-09-30,24.8,24.8,24.78,22.61,11
2024-10-01,24,24.41,23,22.61,3
2024-10-02,24.8,24.87,24,22.61,280
2024-10-03,23,24.87,23,22.61,164
2024-10-04,24,24,20.35,22.61,11
2024-10-07,24.86,24.86,24.86,22.61,1
2024-10-08,22.61,24.7,22,22.55,562
2024-10-09,23.65,23.65,23.65,22.55,1
2024-10-10,23.55,23.55,23.55,22.55,1
