date,open,high,low,close,volume
2023-07-21,6.12,6.12,6.11,6.11,4500
2023-07-27,6.11,6.11,6.11,6.11,2000
2023-08-02,6.11,6.11,6.11,6.11,63000
2023-08-10,6.11,6.11,6.05,6.05,4000
2023-08-11,6,6,6,6,1000
2023-08-16,6.01,6.01,6.01,6.01,5500
2023-08-18,6.11,6.11,6.11,6.11,3000
2023-08-25,6.31,6.31,6.31,6.31,1000
2023-08-28,6.3,6.3,6.3,6.3,500
2023-08-29,6.25,6.25,6.05,6.05,202500
2023-09-05,6.7,6.7,6.7,6.7,13000
2023-09-07,6.4,6.6,6.01,6.5,21500
2023-09-08,6.5,6.62,6.5,6.56,3500
2023-09-11,6.48,6.49,6.3,6.33,4500
2023-09-12,6.4,6.4,6.3,6.35,12000
2023-09-18,6.5,6.8,6.5,6.8,3000
2023-09-19,6.77,6.77,6.77,6.77,2500
2023-09-20,6.6,6.6,6.5,6.5,1500
2023-09-21,6.5,6.5,6.5,6.5,2000
2023-09-27,6.79,6.79,6.79,6.79,500
2023-09-28,6.5,6.5,6.5,6.5,1000
2023-10-02,6.41,6.41,6.41,6.41,500
2023-10-03,6.3,6.3,6,6.2,3000
2023-10-10,6.45,6.6,6.42,6.6,6000
2023-10-13,6.8,6.8,6.8,6.8,500
2023-10-16,6.9,6.95,6.64,6.9,4000
2023-10-17,5.7,5.7,5.7,5.7,1000
2023-10-18,6,6,6,6,15000
2023-10-19,6,6,6,6,1000
2023-10-23,5.61,6.3,5.6,6.3,6000
2023-10-24,6.4,6.5,6.4,6.5,4500
2023-10-26,6.1,6.1,6.1,6.1,500
2023-10-31,6.5,6.5,6.5,6.5,500
2023-11-02,6.3,6.3,6.21,6.21,1500
2023-11-06,6.5,6.5,6.5,6.5,1000
2023-11-08,6.5,6.5,6.5,6.5,1500
2023-11-17,6.2,6.2,6.2,6.2,500
2023-11-21,6.5,6.5,6.25,6.25,1000
2023-11-23,6.46,6.46,6.46,6.46,1000
2023-11-24,6.5,6.5,6.5,6.5,17500
2023-11-27,6.7,6.7,6.5,6.5,12000
2023-11-28,6.25,6.3,6.2,6.3,17500
2023-11-29,6.35,6.4,6.35,6.4,3000
2023-11-30,6.4,6.5,6.4,6.5,2500
2023-12-01,6.5,6.5,6.5,6.5,18500
2023-12-04,6.59,6.7,6.59,6.7,45000
2023-12-05,6.51,6.6,6.51,6.6,3500
2023-12-07,6.7,6.8,6.7,6.8,6500
2023-12-08,6.55,6.55,6.55,6.55,500
2023-12-11,6.51,6.7,6.51,6.7,2000
2023-12-12,6.65,7.07,6.61,6.76,8500
2023-12-14,6.9,6.9,6.9,6.9,500
2023-12-15,7,7,7,7,500
2023-12-19,6.76,7.15,6.76,7.15,4000
2023-12-20,6.51,6.51,6.51,6.51,500
2023-12-28,6.51,6.51,6.51,6.51,500
2024-01-01,7.48,7.48,7.48,7.48,1000
2024-01-03,7.48,7.48,7.48,7.48,1000
2024-01-04,7.49,7.49,7.49,7.49,1000
2024-01-05,7.67,7.67,7.48,7.48,1000
2024-01-08,7,7,6.99,6.99,4500
2024-01-09,6.99,6.99,6.99,6.99,6000
2024-01-11,6.89,6.89,6.89,6.89,1000
2024-01-12,6.7,6.99,6.7,6.99,6500
2024-01-15,6.6,6.99,6.6,6.99,1500
2024-01-16,6.65,6.65,6.65,6.65,2000
2024-01-17,6.99,6.99,6.99,6.99,1000
2024-01-18,6.99,6.99,6.99,6.99,1000
2024-01-19,6.99,6.99,6.99,6.99,1000
2024-01-22,6.6,6.8,6.3,6.8,298000
2024-01-23,6.98,6.99,6.98,6.99,1000
2024-01-24,6.6,6.6,6.6,6.6,500
2024-01-25,6.66,6.8,6.66,6.8,1000
2024-02-01,6.62,6.99,6.62,6.93,2000
2024-02-02,6.99,6.99,6.99,6.99,1000
2024-02-07,7.48,7.48,7.48,7.48,1000
2024-02-09,7.47,7.48,7.47,7.48,1000
2024-02-12,6.99,6.99,6.99,6.99,1000
2024-02-14,6.9,6.99,6.9,6.95,1000
2024-02-15,6.96,6.98,6.96,6.97,2500
2024-02-20,6.63,6.63,6.63,6.63,500
2024-02-21,6.6,6.6,6.3,6.6,519000
2024-02-22,6.8,6.8,6.8,6.8,500
2024-02-26,6.98,6.98,6.98,6.98,1000
2024-02-27,6.96,6.96,6.96,6.96,500
2024-02-29,6.98,6.99,6.98,6.99,1000
2024-03-01,6.71,6.71,6.71,6.71,1000
2024-03-04,6.75,6.75,6.7,6.7,5000
2024-03-05,6.9,6.99,6.9,6.99,1000
2024-03-06,6.99,6.99,6.99,6.99,1000
2024-03-07,6.99,6.99,6.99,6.99,1000
2024-03-08,6.99,6.99,6.99,6.99,1000
2024-03-11,6.99,6.99,6.99,6.99,1000
2024-03-12,6.99,6.99,6.99,6.99,3000
2024-03-13,6.99,6.99,6.99,6.99,3000
2024-03-14,7.29,7.29,7.29,7.29,1000
2024-03-18,7.29,7.29,7.29,7.29,1000
2024-03-19,7.28,7.29,7.28,7.29,1000
2024-03-20,7.05,7.05,6.81,6.99,17500
2024-03-21,7.19,7.19,7.19,7.19,1000
2024-03-22,6.98,6.98,6.98,6.98,1000
2024-03-26,7.29,7.29,7.29,7.29,500
2024-04-03,6.99,6.99,6.99,6.99,1500
2024-04-04,6.99,6.99,6.99,6.99,2500
2024-04-15,6.75,6.99,6.75,6.99,1500
2024-04-16,6.99,6.99,6.99,6.99,1500
2024-04-17,6.99,6.99,6.99,6.99,500
2024-04-18,6.85,6.85,6.85,6.85,1000
2024-04-22,6.99,6.99,6.99,6.99,500
2024-04-23,6.9,6.9,6.9,6.9,21500
2024-04-24,6.99,6.99,6.99,6.99,500
2024-04-25,6.9,6.99,6.9,6.99,2000
2024-04-26,6.99,6.99,6.99,6.99,500
2024-04-29,6.99,6.99,6.99,6.99,500
2024-04-30,6.99,6.99,6.99,6.99,5000
2024-05-02,6.9,6.9,6.9,6.9,1500
2024-05-03,6.99,6.99,6.9,6.99,8000
2024-05-08,6.99,6.99,6.99,6.99,1000
2024-05-13,6.99,6.99,6.95,6.99,20500
2024-05-14,6.9,6.9,6.9,6.9,1500
2024-05-15,6.9,6.99,6.9,6.99,1500
2024-05-22,6.9,6.98,6.9,6.98,3000
2024-05-24,6.87,6.87,6.85,6.86,2000
2024-05-31,6.98,6.98,6.76,6.86,2
2024-06-05,6.9,6.9,6.9,6.86,499
2024-06-07,6.86,6.86,6.86,6.86,1
2024-06-11,6.9,6.9,6.9,6.86,260
2024-06-14,6.7,6.84,6.7,6.86,20
2024-06-20,6.99,6.99,6.92,6.92,18500
2024-06-21,6.99,6.99,6.99,6.99,10510
2024-06-25,6.97,6.97,6.97,6.97,1060
2024-06-26,6.86,6.97,6.86,6.9,750
2024-06-27,6.99,6.99,6.01,6.97,24500
2024-07-03,6.8,6.97,6.8,6.97,3501
2024-07-04,6.99,6.99,6.97,6.99,30339
2024-07-08,6.95,6.95,6.9,6.95,4910
2024-07-10,6.91,6.91,6.9,6.91,1168
2024-07-12,6.99,6.99,6.85,6.85,1001
2024-07-15,6.89,6.89,6.89,6.85,29
2024-07-18,6.99,6.99,6.99,6.99,5000
2024-07-19,6.99,6.99,6.99,6.99,15
2024-07-22,6.99,6.99,6.01,6.99,8169
2024-07-24,6.8,6.8,6.8,6.99,1
2024-07-25,6.98,6.98,6.98,6.98,1002
2024-07-29,6.98,6.98,6.98,6.98,449
2024-07-31,6.98,6.98,6.98,6.98,100
2024-08-01,6.99,6.99,6.98,6.98,36
2024-08-02,6.98,6.99,6.65,6.98,2105
2024-08-05,6.99,6.99,6.99,6.98,10
2024-08-08,6.98,6.98,6.98,6.98,2
2024-08-09,6.99,6.99,6.99,6.99,2464
2024-08-12,6.85,6.85,6.85,6.85,1000
2024-08-20,6.98,6.99,6.98,6.98,2416
2024-08-21,6.8,6.99,6.8,6.98,114
2024-08-22,6.9,6.98,6.8,6.8,2501
2024-08-27,6.7,6.99,6.7,6.89,1582
2024-08-28,6.7,6.99,6.7,6.82,7036
2024-08-29,6.96,6.96,6.96,6.82,2
2024-08-30,6.87,6.87,6.87,6.87,5000
2024-09-04,6.85,6.95,6.85,6.85,505
2024-09-05,6.71,6.71,6.71,6.85,33
2024-09-10,6.72,6.99,6.72,6.99,5087
2024-09-11,6.96,6.99,6.9,6.99,31502
2024-09-12,6.99,6.99,6.9,6.9,530
2024-09-13,7.02,7.02,6.99,6.99,29775
2024-09-16,6.99,6.99,6.98,6.99,17
2024-09-18,6.99,6.99,6.99,6.99,295
2024-09-19,6.99,6.99,6.9,6.98,5682
2024-09-20,6.99,7.98,6.98,7.98,711708
2024-09-23,8.45,8.7,7.98,8.15,235093
2024-09-24,8.45,8.45,8,8.21,16458
