date,open,high,low,close,volume
2024-01-12,156.75,156.75,142.01,150.75,35000
2024-01-15,152,154.49,145,145.38,58400
2024-01-16,145.47,145.9,140.11,143.01,20700
2024-01-17,142.1,145,140.37,141.47,23600
2024-01-18,140.1,140.1,133,136.39,66400
2024-01-19,137,146.62,137,144.79,225800
2024-01-22,138.99,142,136.01,137.35,76800
2024-01-23,136,140,132.5,139.5,20700
2024-01-24,142,148,140,142.38,114900
2024-01-25,144.43,144.43,138.01,140.7,41500
2024-01-26,142.99,143.9,138,138.49,27000
2024-01-29,137.02,139,136.5,136.81,15700
2024-01-30,137.2,137.6,131.1,132.09,50600
2024-01-31,133,133.79,131.51,131.71,12700
2024-02-01,137.98,137.98,131,132.49,6100
2024-02-02,134.44,137.99,133.01,134.3,22100
2024-02-06,135.19,137.98,134,136.98,8500
2024-02-07,138.5,139,136,136.51,27400
2024-02-09,134.9,143,131.5,133.17,13800
2024-02-12,132.5,132.5,124,125.02,24800
2024-02-13,127,130,121,128,11500
2024-02-14,133,133,127,129,7900
2024-02-15,125.05,138.68,125.05,133.47,94300
2024-02-16,132,133.44,128,129.37,15300
2024-02-19,126.55,137.4,126.55,136.28,150300
2024-02-20,139.1,144,129.05,129.76,179800
2024-02-21,132,139.49,132,139.49,168700
2024-02-22,144.99,144.99,136,137.08,102000
2024-02-23,137,138,136.03,136.15,11400
2024-02-26,139.98,139.98,136.8,136.8,7500
2024-02-27,136,136.5,131.5,133.03,37500
2024-02-28,131.1,137,131.06,133.84,16300
2024-02-29,134.99,134.99,131.12,131.92,17500
2024-03-01,134.4,136,132.05,135.52,18900
2024-03-04,135.52,135.52,133,133.34,22200
2024-03-05,133,133,131.07,132,7100
2024-03-06,132,133,131.05,131.08,6500
2024-03-07,131.06,134.78,131.06,133.68,7100
2024-03-08,133.67,136,132,132.08,24900
2024-03-11,133,137,128.52,136.31,63300
2024-03-12,135.01,137,133.45,133.82,11600
2024-03-13,133,135.88,130,130.96,6700
2024-03-14,133,133.88,131,132.98,6600
2024-03-15,134,134,131.61,132.11,1900
2024-03-18,132.25,132.25,129,130.31,10600
2024-03-19,129.75,131.5,129.7,130.81,5200
2024-03-20,134,134,127,127.83,8900
2024-03-21,131.99,137.42,131.99,132.34,76700
2024-03-22,130.3,131.36,129,130,3800
2024-03-25,130,130,130,130,2100
2024-03-26,131.05,135.25,130.05,131.35,25200
2024-03-27,133.97,133.97,129.55,129.65,11800
2024-03-28,129.02,130.5,129,129.28,10200
2024-03-29,129,129,127.85,128.05,1400
2024-04-01,128.02,134.99,128,131.82,29700
2024-04-02,131,133,129,129.62,11200
