date,open,high,low,close,volume
2024-01-17,76.89,76.89,74.53,75.36,325886
2024-01-18,75.36,75.36,72,72.26,363731
2024-01-19,73.94,74.49,71.31,71.58,379908
2024-01-22,71.25,71.99,69.01,71.03,986603
2024-01-23,72.01,72.5,71,71.5,191054
2024-01-24,71.81,73.75,71.5,72.5,1087199
2024-01-25,73,74.64,71.5,72.82,727418
2024-01-26,72.61,73.39,70.67,70.96,229100
2024-01-29,71.5,71.5,69.01,69.55,230875
2024-01-30,70.79,71.8,69.31,69.85,980616
2024-01-31,70.5,71.28,69.5,69.79,365626
2024-02-01,70,70.06,68.01,68.74,195193
2024-02-02,68.9,69.25,67.11,67.57,310133
2024-02-06,68.49,68.6,67.65,67.98,360730
2024-02-07,68.4,68.5,67,67.85,309685
2024-02-09,67.69,67.69,64.98,65.19,551398
2024-02-12,65.01,65.35,60.3,61.05,1737987
2024-02-13,61,65.63,59.51,65.63,507526
2024-02-14,66.5,69,66.3,67.51,821044
2024-02-15,67.9,68.5,64,64.94,357450
2024-02-16,64.97,64.97,62,62.48,299343
2024-02-19,62.9,65.1,62.05,64.24,270490
2024-02-20,64,65.3,64,64.43,179000
2024-02-21,66.01,69.26,65.75,68.66,707003
2024-02-22,68.66,70.5,68.66,70.14,285583
2024-02-23,70,73.5,69.2,72.45,902868
2024-02-26,73.17,73.17,70.9,71.87,159395
2024-02-27,71.8,71.8,70,70.68,83154
2024-02-28,71,71,69.75,70.01,179880
2024-02-29,70.5,72,69.13,69.63,132492
2024-03-01,69.89,69.89,68.8,69,114094
2024-03-04,70,71.49,69,70,159342
2024-03-05,70,70.55,67.5,69.15,320389
2024-03-06,69.5,71.69,69.5,70.58,303276
2024-03-07,70.99,72.75,70.6,71.61,210155
2024-03-08,71.2,74.98,71.2,73.68,1194923
2024-03-11,74.4,74.4,71.5,72.09,995246
2024-03-12,72.1,72.1,70.01,70.37,281876
2024-03-13,71,71.4,69.01,69.47,331301
2024-03-14,70,72.5,70,72.04,1087083
2024-03-15,72.25,72.49,71,71.21,131017
2024-03-18,71.5,71.95,70.45,71.17,137007
2024-03-19,70.99,72.5,69.81,70.61,1215737
2024-03-20,71.49,72.24,71.11,71.97,835448
2024-03-21,72.3,72.99,71.8,72.61,315298
2024-03-22,72.5,73.5,71.6,72.88,1360962
2024-03-25,72.5,74,72,72.57,120995
2024-03-26,73.24,74.5,72.6,73.4,350763
2024-03-27,73.35,73.94,72.9,73.08,462388
2024-03-28,74.19,74.19,70.1,72.97,1231832
2024-03-29,70,71.69,69,71.16,2102779
2024-04-01,71.1,73.79,70.35,72.83,717108
2024-04-02,73.51,76,72.5,75.25,5438538
2024-04-03,75.99,76.25,73.5,74.4,199030
2024-04-04,73.2,74,72.1,72.69,2217203
2024-04-08,73,73.85,71.5,72.68,351137
2024-04-09,72.98,73,71.35,71.98,192212
2024-04-15,71,71.9,70.5,71.3,111156
2024-04-16,71.5,71.5,70,70.28,227120
2024-04-17,70.21,70.55,69.42,69.52,300779
2024-04-18,69.99,70.1,69.35,69.49,216332
2024-04-19,69.51,69.98,69,69.09,116889
2024-04-22,69.49,69.5,68,68.35,850260
2024-04-23,68.36,71.99,67.88,70.54,852627
2024-04-24,71.6,73,71.31,72.41,802329
2024-04-25,72.5,73.48,70,70.45,311837
2024-04-26,70.5,70.8,69.61,70.52,134343
2024-04-29,70.5,71.66,69.5,70.17,284824
2024-04-30,69.9,70.7,65,65.98,1353934
2024-05-02,66.25,67.25,63.6,63.79,451347
2024-05-03,64.12,66.12,64.12,65.17,199684
2024-05-06,65,66.35,64.6,64.82,263375
2024-05-07,65,66,64.9,65.49,328562
2024-05-08,65.94,65.94,64.01,64.27,139181
2024-05-09,65.06,65.81,64.03,64.81,144545
2024-05-10,64.05,66.13,64.05,65.25,148040
2024-05-13,65.99,70.14,64.95,70.14,1411403
2024-05-14,71.5,72.24,68.25,68.63,769535
2024-05-15,69.4,70,68.07,68.7,197738
2024-05-16,68.96,68.96,67.51,68.07,80704
