date,open,high,low,close,volume
2024-01-16,2.49,2.59,2.41,2.53,290500
2024-01-17,2.6,2.6,2.5,2.51,66000
2024-01-18,2.46,2.47,2,2.4,236000
2024-01-19,2.31,2.46,2.3,2.35,510000
2024-01-22,2.42,2.47,2.35,2.42,478000
2024-01-23,2.36,2.6,2.36,2.48,56500
2024-01-24,2.46,2.57,2.46,2.53,94000
2024-01-25,2.57,2.65,2.21,2.47,519500
2024-01-26,2.45,2.54,2.38,2.43,105500
2024-01-29,2.45,2.45,2.3,2.31,175500
2024-01-30,2.43,2.43,2.3,2.32,189500
2024-01-31,2.42,2.43,2.31,2.33,553000
2024-02-01,2.31,2.38,2.27,2.34,212500
2024-02-02,2.34,2.4,2.34,2.37,56500
2024-02-06,2.25,2.43,2.25,2.36,269500
2024-02-07,2.53,2.53,2.32,2.44,113000
2024-02-09,2.4,2.4,2.22,2.33,321000
2024-02-12,2.39,2.39,2.17,2.2,256000
2024-02-13,2.15,2.26,2,2.17,334500
2024-02-14,2.27,2.9,2.25,2.58,2102000
2024-02-15,2.71,2.85,2.5,2.56,1635500
2024-02-16,2.45,2.8,2.4,2.57,381000
2024-02-19,2.38,2.49,2.23,2.4,231500
2024-02-20,2.35,2.47,2.27,2.33,358000
2024-02-21,2.36,2.45,2.22,2.43,255000
2024-02-22,2.48,2.48,2.35,2.38,406500
2024-02-23,2.4,2.99,2.4,2.92,7035500
2024-02-26,2.91,3.19,2.9,3.07,5516500
2024-02-27,3.1,3.15,2.92,2.95,1461500
2024-02-28,2.95,3.04,2.51,2.79,1252000
2024-02-29,2.9,3.1,2.8,2.85,2713000
2024-03-01,2.89,2.9,2.79,2.88,300000
2024-03-04,2.89,3.08,2.85,2.91,2050000
2024-03-05,3,3.14,2.89,2.92,3167500
2024-03-06,3.02,3.08,2.9,2.98,3409000
2024-03-07,3.01,3.01,2.9,2.94,985000
2024-03-08,3.08,3.08,2.89,2.95,1634500
2024-03-11,3.08,3.2,3.04,3.09,4321500
2024-03-12,3.06,3.1,2.92,2.94,1335000
2024-03-13,3,3,2.75,2.82,596500
2024-03-14,2.85,2.98,2.84,2.87,919500
2024-03-15,2.83,2.95,2.8,2.84,514000
2024-03-18,2.94,2.95,2.77,2.84,527500
2024-03-19,2.9,2.92,2.78,2.81,625500
2024-03-20,2.98,3.01,2.86,2.86,355000
2024-03-21,2.85,3.01,2.85,2.85,719000
2024-03-22,2.85,2.9,2.8,2.82,163500
2024-03-25,2.9,2.95,2.73,2.81,396500
2024-03-26,2.88,2.89,2.73,2.78,227000
2024-03-27,2.79,2.79,2.69,2.71,548500
2024-03-28,2.72,2.81,2.61,2.65,667000
2024-03-29,2.63,2.85,2.58,2.68,775000
2024-04-01,2.6,2.7,2.55,2.66,168500
2024-04-02,2.69,2.7,2.6,2.67,52500
2024-04-03,2.65,2.67,2.6,2.63,349500
2024-04-04,2.74,2.74,2.6,2.61,216500
2024-04-08,2.63,2.74,2.61,2.7,433000
2024-04-09,2.63,2.64,2.56,2.6,1351500
2024-04-15,2.57,2.74,2.53,2.61,2235500
2024-04-16,2.66,2.69,2.6,2.62,401500
2024-04-17,2.61,2.73,2.55,2.58,679000
2024-04-18,2.58,2.64,2.53,2.54,314000
2024-04-19,2.51,2.7,2.51,2.56,2303500
2024-04-22,2.52,2.72,2.52,2.6,884000
2024-04-23,2.56,2.67,2.56,2.64,781000
2024-04-24,2.65,2.7,2.62,2.65,1053000
2024-04-25,2.63,2.74,2.6,2.66,2170000
2024-04-26,2.72,2.79,2.6,2.75,1030000
2024-04-29,2.69,3.6,2.66,3.49,32652000
2024-04-30,3.62,3.86,3.22,3.29,27121500
2024-05-02,3.35,3.37,3.15,3.17,2365500
2024-05-03,3.33,3.4,3.18,3.26,3968000
2024-05-06,3.33,3.38,3.2,3.22,4246500
2024-05-07,3.23,3.25,3.01,3.06,2205500
2024-05-08,3,3.38,3,3.29,5485500
2024-05-09,3.35,3.47,3.26,3.28,5943000
2024-05-10,3.32,3.39,3.23,3.24,1537500
2024-05-13,3.22,3.3,3.15,3.21,1581000
2024-05-14,3.22,3.28,3.21,3.22,1029000
2024-05-15,3.25,3.37,3.2,3.23,2305000
2024-05-16,3.2,3.22,3.16,3.19,702500
2024-05-17,3.17,3.25,3.12,3.17,2170000
2024-05-20,3.2,3.27,3.14,3.16,1004500
2024-05-21,3.17,3.37,3.16,3.32,7833500
2024-05-22,3.4,4.32,3.38,4.32,46645000
2024-05-23,4.38,4.49,4.01,4.08,30419000
2024-05-24,4.1,4.1,3.83,3.89,6428000
2024-05-27,3.89,4.13,3.83,4.05,5050685
2024-05-29,4.07,4.12,3.86,3.9,2544398
2024-05-30,3.91,4,3.75,3.87,2509368
2024-05-31,3.99,3.99,3.81,3.88,1588486
2024-06-03,3.89,4.14,3.85,4.03,3390384
2024-06-04,4.05,4.12,3.81,3.85,2535613
2024-06-05,3.89,3.89,3.56,3.6,5226296
2024-06-06,3.55,3.78,3.5,3.54,2241351
2024-06-07,3.46,3.91,3.37,3.68,4622423
2024-06-10,3.8,3.8,2.7,3.62,1246442
2024-06-11,3.7,3.74,3.48,3.5,1862399
2024-06-12,3.65,3.68,3.3,3.36,774415
2024-06-13,3.36,3.67,3.3,3.39,4279499
2024-06-14,3.57,3.57,3.22,3.28,683107
2024-06-20,3.52,3.52,3.32,3.37,482417
2024-06-21,3.54,3.54,3.26,3.3,776320
2024-06-24,3.4,3.4,3.1,3.13,3069046
2024-06-25,3.25,3.25,3.13,3.14,542750
2024-06-26,3.18,3.18,2.9,2.96,1729780
2024-06-27,3.14,3.14,2.99,3.05,1108897
2024-06-28,2.99,3.18,2.97,3.02,1235347
2024-07-01,3.16,3.16,3.01,3.09,514674
2024-07-02,3.2,3.2,3.07,3.15,867856
2024-07-03,3.2,3.28,3.13,3.19,773706
2024-07-04,3.22,3.39,3.13,3.36,2348517
2024-07-05,3.4,3.4,3.15,3.21,1570628
2024-07-08,3.3,3.3,3.16,3.18,774303
2024-07-09,3.28,3.28,3.16,3.19,713138
2024-07-10,3.28,3.28,3.11,3.12,897861
2024-07-11,3.19,3.19,3.06,3.09,1023207
2024-07-12,3.04,3.15,3.02,3.1,479452
2024-07-15,3.28,3.28,3.08,3.13,265083
2024-07-18,3.25,3.25,3.03,3.07,474260
2024-07-19,3.17,3.17,3.01,3.03,560879
2024-07-22,3.14,3.14,2.98,3,495568
2024-07-23,3.09,3.15,3,3.02,559381
2024-07-24,3.1,3.13,3.02,3.04,592394
2024-07-25,3.13,3.37,3.05,3.22,4147726
2024-07-26,3.34,3.38,3.2,3.24,1771009
2024-07-29,3.24,3.29,3.11,3.21,835106
2024-07-30,3.29,3.29,3.13,3.15,375913
2024-07-31,3.2,3.2,3,3.06,1283996
2024-08-01,3.19,3.19,3,3.07,776357
2024-08-02,3.18,3.18,2.98,3.04,4672540
2024-08-05,3.09,3.75,3.03,3.64,19453743
2024-08-06,3.7,3.75,3.35,3.43,9520888
2024-08-07,3.49,3.55,3.26,3.29,3286863
2024-08-08,3.44,3.44,3.22,3.25,827910
2024-08-09,3.35,3.35,3.23,3.32,2504410
2024-08-12,3.4,3.45,3.24,3.33,2264657
2024-08-13,3.4,3.4,3.3,3.36,2072898
2024-08-15,3.4,3.4,3.3,3.31,1414823
2024-08-16,3.4,3.47,3.29,3.3,2430091
2024-08-19,3.4,3.4,3.2,3.21,1163357
2024-08-20,3.33,3.33,3.15,3.2,602788
2024-08-21,3.25,3.29,3.2,3.28,944969
2024-08-22,3.34,3.93,3.32,3.7,21707363
2024-08-23,3.8,4.28,3.8,4.15,36736701
2024-08-26,4.28,4.38,3.66,3.74,13068701
2024-08-27,3.8,3.87,3.66,3.76,4809186
2024-08-28,3.8,3.85,3.6,3.62,4129205
2024-08-29,3.79,3.79,3.6,3.64,1981028
2024-08-30,3.74,3.9,3.6,3.71,3784591
2024-09-02,3.69,3.8,3.5,3.56,1727020
2024-09-03,3.64,3.7,3.4,3.66,1665992
2024-09-04,3.75,4.66,3.56,4.66,26317629
2024-09-05,5.25,5.66,5.15,5.66,66581544
2024-09-06,5.49,6.4,5.01,6.14,80985708
2024-09-09,6.19,6.77,5.9,6.38,37264175
2024-09-10,6.4,6.67,6.23,6.46,17724116
2024-09-11,6.5,6.6,6.26,6.4,14794158
2024-09-12,6.3,6.55,6.25,6.36,10130782
2024-09-13,6.58,7.36,6.58,7.36,35180306
2024-09-16,7.8,8.36,6.59,6.96,56890305
2024-09-18,6.79,7.16,6.6,6.94,19649569
2024-09-19,6.97,7.05,6.05,6.25,11844966
2024-09-20,6.35,6.68,6.13,6.28,18851097
2024-09-23,6.42,6.45,5.3,5.39,30381268
2024-09-24,5.37,5.48,4.7,5.23,22589739
2024-09-25,5.33,6.04,5.33,5.91,25434647
2024-09-26,6.1,6.16,5.41,5.46,15099404
2024-09-27,5.45,5.73,5.11,5.31,6751434
2024-09-30,5.49,5.49,4.9,5.2,6079711
2024-10-01,5.19,5.65,5.12,5.52,8360881
2024-10-02,5.55,5.74,5.35,5.42,5417158
2024-10-03,5.44,5.54,5.32,5.41,2574421
2024-10-04,5.5,6.41,4.91,6.29,59298044
2024-10-07,6.4,6.69,6.01,6.11,19337293
2024-10-08,6.11,6.12,5.65,5.83,11191647
2024-10-09,5.95,6.12,5.75,6.02,10573293
2024-10-10,6.09,6.09,5.7,5.92,4727958
2024-10-11,5.97,5.97,5.15,5.37,10283094
2024-10-14,5.37,5.58,5.3,5.45,2770661
2024-10-15,5.59,5.59,5.3,5.39,2589602
2024-10-16,5.46,5.54,5.33,5.41,2604861
2024-10-17,5.25,6.03,5.25,5.7,17533325
2024-10-18,5.6,5.8,5.51,5.57,3656304
2024-10-21,5.58,5.79,5.58,5.64,2288717
2024-10-22,5.78,5.94,5.55,5.82,8226748
2024-10-23,5.86,5.95,5.55,5.63,5749114
2024-10-24,5.79,5.79,5.52,5.59,3352820
2024-10-25,5.52,5.72,5.35,5.58,7679790
2024-10-28,5.7,6.16,5.69,6.01,20373354
2024-10-29,6.1,6.43,5.6,5.73,30208661
2024-10-30,5.89,5.89,5.41,5.56,9834976
2024-11-01,5.35,5.65,5.35,5.58,2360573
2024-11-04,5.8,5.8,5.5,5.58,3044000
2024-11-05,5.65,5.65,5.01,5.47,4409608
2024-11-06,5.5,5.65,5.3,5.36,10811796
2024-11-07,5.33,5.87,5.28,5.77,23703345
2024-11-08,5.94,5.94,5.65,5.67,6515061
2024-11-11,5.67,5.75,5.52,5.56,4202084
2024-11-12,5.67,5.67,5.4,5.5,2072116
