date,open,high,low,close,volume
2023-01-03,11.26,12,11.26,12,4000
2023-01-04,12,12,12,12,1500
2023-01-05,12,13,12,12.5,2000
2023-01-06,12.01,12.02,12.01,12.01,3000
2023-01-10,13,13,13,13,500
2023-01-12,13.95,14,13.95,14,3500
2023-01-13,14,15.05,14,15.05,8500
2023-01-17,16.17,16.17,16.17,16.17,11000
2023-01-18,17.38,17.38,17.34,17.38,8000
2023-01-19,18.67,18.67,16.7,18.65,6000
2023-01-20,20,20.04,20,20.04,7500
2023-01-23,18.8,18.8,18.8,18.8,4000
2023-01-24,20.2,20.21,20.2,20.21,3500
2023-01-26,21.69,21.69,21.69,21.69,500
2023-02-02,19.68,19.68,19.68,19.68,5000
2023-02-06,18.21,18.21,18.21,18.21,500
2023-02-20,16.86,16.86,16.85,16.85,2000
2023-02-21,15.62,15.62,15.62,15.62,500
2023-03-14,16.45,16.45,16.45,16.45,500
2023-05-09,15.22,15.22,15.22,15.22,500
2023-05-24,14.5,14.5,14.25,14.25,1000
2023-06-08,13.2,13.2,13.18,13.18,4500
2023-06-15,12.18,12.19,12.18,12.18,3000
2023-06-20,11.26,11.26,11.18,11.18,6000
2023-06-26,10.2,10.2,10.18,10.18,3000
2023-07-03,9.18,10.27,9.18,9.95,18000
2023-07-04,9.37,9.37,9.37,9.37,500
2023-07-07,11.16,11.3,11.16,10.3,2500
2023-07-19,10.27,10.27,10.27,10.27,500
2023-08-02,10.1,10.1,10.1,10.1,6000
2023-08-08,9.65,9.65,9.65,9.65,500
2023-08-09,10.65,10.65,10.65,10.65,1500
2023-08-17,10.5,10.5,10.5,10.5,1000
2023-08-29,9.56,9.56,9.56,9.56,500
2023-08-30,10.54,10.54,10.54,10.54,500
2023-09-22,11.54,11.54,11.54,11.54,500
2023-09-27,12.54,12.54,12.54,12.54,23000
2023-09-28,13.49,13.5,13.49,13.5,2500
2023-10-05,14.49,14.51,14.49,14.51,5000
2023-10-06,14.51,15.55,14.5,15.55,3000
2023-10-09,16,16.16,16,16.16,2500
2023-10-10,16.41,17.37,16.41,17.37,2000
2023-10-11,18.67,18.67,18.65,18.65,1000
2023-10-12,18.5,18.5,18.5,18.5,1500
2023-10-13,19.75,19.75,19.75,19.75,500
2023-10-19,21.22,21.23,20,21.23,8500
2023-10-23,22,22,21,21,2500
2023-10-24,21,21,20.05,20.25,4500
2023-10-25,21.7,21.7,21.7,21.7,500
2023-10-26,22,22.26,22,22.26,1000
