date,open,high,low,close,volume
2024-01-15,7.81,7.81,7.56,7.59,198500
2024-01-16,7.69,7.69,7.45,7.64,538000
2024-01-17,7.7,7.75,7.55,7.55,616500
2024-01-18,7.5,7.7,7.4,7.47,161000
2024-01-19,7.69,7.69,7.44,7.48,278500
2024-01-22,7.7,7.7,7.55,7.6,398500
2024-01-23,7.68,7.78,7.6,7.64,611500
2024-01-24,7.74,7.74,7.61,7.62,218000
2024-01-25,7.89,7.89,7.54,7.61,407000
2024-01-26,7.8,7.8,7.5,7.54,286500
2024-01-29,7.46,7.55,7.4,7.44,171000
2024-01-30,7.5,7.5,7.25,7.41,117500
2024-01-31,7.99,8.04,7.46,7.81,1301000
2024-02-01,7.9,8.49,7.85,8.38,2317000
2024-02-02,8.44,8.5,8.1,8.3,516000
2024-02-06,8.45,8.49,8.3,8.44,561500
2024-02-07,8.5,8.5,8.36,8.42,478500
2024-02-09,8.22,8.5,8.03,8.11,378500
2024-02-12,8.06,8.3,7.8,7.99,319500
2024-02-13,8.1,8.19,7.69,8,168500
2024-02-14,8.1,8.17,7.9,8.01,260500
2024-02-15,8,8.05,7.72,7.79,273500
2024-02-16,7.99,8,7.6,7.73,341000
2024-02-19,7.98,7.98,7.25,7.76,275000
2024-02-20,7.93,7.93,7.71,7.77,57000
2024-02-21,7.95,8.07,7.85,8.03,293500
2024-02-22,8,8.1,7.98,8.02,700500
2024-02-23,8.09,8.17,7.9,8.08,703500
2024-02-26,8.18,8.25,8.06,8.1,334500
2024-02-27,8.1,8.2,8.05,8.06,101500
2024-02-28,8.17,8.18,8,8.13,136000
2024-02-29,8.28,8.28,8.05,8.15,436000
2024-03-01,8.05,8.27,7.99,8.11,274500
2024-03-04,8.12,8.27,8.05,8.13,388000
2024-03-05,8.22,8.22,8,8.13,201500
2024-03-06,8.25,8.25,8,8.11,127000
2024-03-07,8.14,8.14,7.99,8.01,104000
2024-03-08,8.2,8.2,8.01,8.11,146000
2024-03-11,8.23,8.23,8.06,8.09,301500
2024-03-12,8.25,8.25,8,8.02,155000
2024-03-13,8.14,8.14,7.93,7.96,269000
2024-03-14,8.13,8.13,7.95,8.05,80500
2024-03-15,8.2,8.2,8,8.08,121500
2024-03-18,8.24,9.08,8.2,9.08,2417000
2024-03-19,10.08,10.08,10.08,10.08,1134500
2024-03-20,11.08,11.08,11.08,11.08,239500
2024-03-21,12.08,12.08,12.08,12.08,168500
2024-03-22,13.08,13.08,11.55,13.08,24162000
2024-03-25,12.99,14.08,12.26,13.99,15027500
2024-03-26,14.34,14.99,14.07,14.56,10249500
2024-03-27,14.51,15.15,14.31,14.73,8863000
2024-03-28,14.94,14.94,13.7,13.82,4534000
2024-03-29,14.34,14.86,12.78,14.83,12838500
2024-04-01,15.2,15.94,15,15.94,15086000
2024-04-02,16.3,16.58,15.01,15.46,13127500
2024-04-03,15.25,15.66,14.3,14.3,6012500
2024-04-04,13.55,14.89,13.31,13.71,11732500
2024-04-08,13.75,14.34,13.44,13.89,6259000
2024-04-09,14.1,14.1,13.6,13.77,3553500
2024-04-15,13.6,13.85,13.26,13.4,3623500
2024-04-16,13.46,14,13.3,13.51,7495000
2024-04-17,12.1,12.58,12.1,12.25,4524000
2024-04-18,12.3,12.39,11.5,11.91,3219000
2024-04-19,11.76,12.38,11.6,12.05,3751000
2024-04-22,12.05,12.44,11.95,12.02,1977000
2024-04-23,12.1,12.2,11.8,11.84,2661000
2024-04-24,11.95,12.19,11.5,11.61,2579500
2024-04-25,11.7,12.29,11.5,12.02,5770000
2024-04-26,12.18,12.19,11.6,11.71,2665500
2024-04-29,11.7,12.1,11.6,11.64,3072500
2024-04-30,11.6,12,11.5,11.62,2053500
2024-05-02,11.78,11.78,11,11.08,1874000
2024-05-03,10.85,11.35,10.85,11.17,981500
2024-05-06,11.03,11.31,10.4,10.56,5560000
2024-05-07,10.4,10.95,10.25,10.64,5515500
2024-05-08,10.43,10.55,10.1,10.23,949000
2024-05-09,10.58,10.6,10.15,10.3,1651500
2024-05-10,10.47,10.75,10.2,10.61,2114000
2024-05-13,11.61,11.61,11.45,11.61,2946500
2024-05-14,12.61,12.61,12.61,12.61,814500
2024-05-15,13.61,13.61,12.11,12.53,11972500
2024-05-16,12.8,13,12.12,12.77,5937000
2024-05-17,12.88,13,12.43,12.49,2099500
2024-05-20,12.51,12.53,12.06,12.12,1318376
2024-05-21,12.03,12.75,11.52,12.1,3466354
2024-05-22,12.2,12.2,11.4,11.52,1996393
2024-05-23,11.69,11.88,11.5,11.65,1807720
2024-05-24,11.7,11.9,11.5,11.6,2387715
2024-05-27,11.6,12.1,11.25,11.45,3067793
2024-05-29,11.41,11.57,10.75,10.88,2727563
2024-05-30,10.88,11.1,10.77,10.87,974549
2024-05-31,11,11.15,10.8,10.87,765302
2024-06-03,10.99,11.3,10.85,10.94,1923561
2024-06-04,10.98,10.98,10.14,10.19,3013642
2024-06-05,10.3,10.6,10.15,10.3,1619427
2024-06-06,10.47,10.5,10.01,10.1,705931
2024-06-07,10.1,10.1,9.7,9.85,1158849
2024-06-10,9.85,9.96,9.75,9.8,338555
2024-06-11,9.99,9.99,9.5,9.51,530635
2024-06-12,9.55,10,9.39,9.8,715426
2024-06-13,9.95,10.5,9.81,10.28,2218773
2024-06-14,10.28,10.4,10,10.06,313490
2024-06-20,10.22,10.33,10.01,10.19,713316
2024-06-21,10.34,10.34,10.05,10.1,679599
2024-06-24,10.05,10.18,9.9,9.94,478683
2024-06-25,9.95,9.95,9.85,9.91,97312
2024-06-26,9.93,10.08,9.8,9.83,645494
2024-06-27,9.62,10.32,9.62,10.24,1621887
2024-06-28,10.29,10.82,10.19,10.78,1599983
2024-07-01,10.82,11.15,10.65,11.04,1908346
2024-07-02,11.1,12.04,11.1,11.99,6898726
2024-07-03,12.24,12.4,11.7,11.79,5175157
2024-07-04,11.8,12.17,11.6,11.71,4695375
2024-07-05,11.71,11.85,11.52,11.72,931501
2024-07-08,11.72,12.3,11.5,12.06,2214687
2024-07-09,12.21,12.41,12.03,12.07,2791879
2024-07-10,12.25,12.42,11.95,11.97,3294093
2024-07-11,11.98,12.05,11.51,11.54,1122419
2024-07-12,11.5,11.75,11.31,11.42,1295853
2024-07-15,11.7,11.74,11.5,11.51,633588
2024-07-18,11.53,11.7,11.31,11.48,796031
2024-07-19,11.6,11.6,11.1,11.15,551752
2024-07-22,11.24,11.24,10.55,10.67,1058333
2024-07-23,10.9,11.4,10.9,11.05,1695401
2024-07-24,11.5,11.65,11.2,11.23,1034394
2024-07-25,11.3,11.35,10.99,11.02,811814
2024-07-26,11,11.1,10.5,10.6,640924
2024-07-29,10.8,11.14,10.6,10.72,520870
2024-07-30,10.9,10.9,10.56,10.59,538951
2024-07-31,10.6,10.74,10.5,10.53,129288
2024-08-01,10.8,10.8,9.8,10.2,237557
2024-08-02,10.55,10.64,10.21,10.51,390628
2024-08-05,10.51,11.56,10.51,11.46,5321280
2024-08-06,11.7,11.79,11,11.08,1982340
2024-08-07,11.06,11.27,10.8,11.01,555818
2024-08-08,11.02,11.24,10.77,10.85,728382
2024-08-09,10.94,11.13,10.71,10.77,445199
2024-08-12,10.74,10.88,10.6,10.61,627894
2024-08-13,10.51,10.65,10.48,10.53,543867
2024-08-15,10.5,11.58,10.5,11.58,6277911
2024-08-16,11.66,11.94,11.04,11.22,3792756
2024-08-19,11.5,11.5,10.8,10.82,705253
2024-08-20,10.9,11.14,10.7,10.94,744420
2024-08-21,11.15,11.49,10.74,10.83,1900347
2024-08-22,11,11.18,10.89,11.09,1982900
2024-08-23,11.01,11.2,10.82,10.9,1102847
2024-08-26,10.87,11.1,10.8,10.92,302748
2024-08-27,10.99,11.15,10.67,10.87,365951
2024-08-28,11,11.09,10.8,10.84,362218
2024-08-29,10.7,11.18,10.7,10.77,1430520
2024-08-30,11,11,10.47,10.5,1510537
2024-09-02,10.55,10.84,10.26,10.53,2743556
2024-09-03,10.55,10.8,10.24,10.31,1500808
2024-09-04,10.4,10.55,10.24,10.38,882734
2024-09-05,10.49,10.49,10.25,10.38,597802
2024-09-06,10.45,10.45,10.21,10.26,453292
2024-09-09,10.25,10.37,10.05,10.1,1084893
2024-09-10,10.2,10.29,10,10.06,944676
2024-09-11,10.19,10.28,10.06,10.13,270159
2024-09-12,10.05,10.15,10.05,10.1,150802
2024-09-13,10.25,10.35,10,10.06,412886
2024-09-16,10.2,10.35,9.94,9.96,792802
2024-09-18,10.07,10.09,9.95,9.96,362529
2024-09-19,10.09,10.12,9.91,9.95,499387
2024-09-20,9.95,10.06,9.93,10.02,227060
2024-09-23,10.1,10.2,9.95,9.97,688511
2024-09-24,10.08,10.08,9.8,9.82,437804
2024-09-25,9.87,10,9.8,9.9,216629
2024-09-26,10.09,10.09,9.9,9.92,223337
2024-09-27,9.99,9.99,9.75,9.78,491125
2024-09-30,9.94,9.94,9.51,9.61,258386
