date,open,high,low,close,volume
2024-01-12,0.88,0.89,0.75,0.84,662000
2024-01-15,0.78,0.86,0.78,0.81,22500
2024-01-16,0.92,0.92,0.8,0.85,9000
2024-01-17,0.87,0.88,0.79,0.8,45500
2024-01-18,0.86,0.86,0.75,0.78,201000
2024-01-19,0.87,0.87,0.76,0.8,30500
2024-01-22,0.8,0.8,0.76,0.78,15000
2024-01-23,0.8,0.8,0.77,0.8,128000
2024-01-24,0.83,0.83,0.74,0.78,40000
2024-01-25,0.74,0.77,0.74,0.76,103500
2024-01-26,0.8,0.8,0.75,0.75,24500
2024-01-29,0.7,0.79,0.7,0.76,85000
2024-01-30,0.79,0.79,0.69,0.7,323500
2024-01-31,0.71,0.79,0.71,0.77,80500
2024-02-01,0.81,0.81,0.71,0.79,50500
2024-02-02,0.77,0.83,0.74,0.8,122500
2024-02-06,0.79,0.79,0.7,0.71,229000
2024-02-07,0.75,0.75,0.71,0.75,61500
2024-02-09,0.79,0.83,0.71,0.72,14500
2024-02-12,0.71,0.76,0.69,0.72,113500
2024-02-13,0.72,0.72,0.7,0.71,361500
2024-02-14,0.72,0.87,0.72,0.76,221500
2024-02-15,0.81,0.81,0.71,0.79,25500
2024-02-16,0.74,0.79,0.7,0.73,7500
2024-02-19,0.71,0.79,0.7,0.76,45500
2024-02-20,0.75,0.75,0.71,0.75,14000
2024-02-21,0.78,0.78,0.7,0.75,176000
2024-02-22,0.78,0.78,0.73,0.73,76000
2024-02-23,0.76,0.78,0.74,0.76,98500
2024-02-26,0.77,0.77,0.72,0.77,14500
2024-02-27,0.77,0.79,0.74,0.78,44500
2024-02-28,0.72,0.77,0.71,0.75,10500
2024-02-29,0.74,0.78,0.73,0.74,28000
2024-03-01,0.71,0.85,0.7,0.79,364500
2024-03-04,0.79,0.83,0.74,0.75,98500
2024-03-05,0.82,0.82,0.74,0.8,277000
2024-03-06,0.85,0.85,0.75,0.8,159000
2024-03-07,0.83,0.83,0.77,0.8,119000
2024-03-08,0.84,0.85,0.81,0.83,84500
2024-03-11,0.87,0.88,0.8,0.85,196500
2024-03-12,0.85,0.85,0.78,0.8,30500
2024-03-13,0.83,0.83,0.77,0.8,106000
2024-03-14,0.85,0.85,0.72,0.81,36000
2024-03-15,0.88,0.9,0.25,0.57,1291000
2024-03-18,0.8,0.8,0.69,0.72,482000
2024-03-19,0.84,0.89,0.76,0.85,494000
2024-03-20,0.9,0.95,0.8,0.86,726000
2024-03-21,0.87,0.92,0.81,0.87,529500
2024-03-22,0.87,0.94,0.8,0.86,190500
2024-03-25,0.92,0.93,0.8,0.8,88500
2024-03-26,0.91,0.91,0.78,0.78,233000
2024-03-27,0.89,0.89,0.72,0.74,301000
2024-03-28,0.79,0.79,0.7,0.75,130500
2024-03-29,0.74,0.76,0.7,0.71,595000
2024-04-01,0.84,0.88,0.74,0.76,169000
2024-04-02,0.85,0.85,0.51,0.7,1813000
2024-04-03,0.68,0.73,0.68,0.72,137000
2024-04-04,0.74,0.74,0.71,0.72,104000
2024-04-08,0.7,0.74,0.7,0.72,34500
2024-04-09,0.78,0.78,0.65,0.68,638000
2024-04-15,0.73,0.73,0.66,0.71,95500
2024-04-16,0.74,0.75,0.71,0.74,75500
2024-04-17,0.67,0.73,0.67,0.71,115000
2024-04-18,0.7,0.75,0.69,0.71,111500
2024-04-19,0.74,0.77,0.64,0.71,228000
2024-04-22,0.76,0.76,0.69,0.69,61000
2024-04-23,0.73,0.73,0.67,0.69,75000
2024-04-24,0.67,0.72,0.66,0.69,155500
2024-04-25,0.7,0.74,0.67,0.73,656000
2024-04-26,0.75,0.75,0.65,0.66,543500
2024-04-29,0.72,0.72,0.67,0.71,132000
2024-04-30,0.67,0.72,0.67,0.67,187000
2024-05-02,0.67,0.69,0.61,0.66,469000
