date,open,high,low,close,volume
2024-05-30,3.02,3.02,3.02,3.02,21674
2024-05-31,4.02,4.02,3.26,4.02,101548
2024-06-03,4.25,4.25,3.55,3.9,126915
2024-06-04,4.19,4.19,2.9,3.16,67323
2024-06-05,2.9,3.1,2.18,2.82,29694
2024-06-06,2.82,3.44,2.4,2.91,150315
2024-06-07,3.34,3.85,2.9,3.55,69224
2024-06-10,3.75,3.75,2.82,3.29,32271
2024-06-11,3.29,3.29,2.61,2.75,14337
2024-06-12,2.96,2.96,2.02,2.72,15163
2024-06-13,2.88,2.88,2.22,2.5,826
2024-06-14,2.31,2.98,2.31,2.98,10104
2024-06-20,2.95,3.98,2.36,3.57,161008
2024-06-21,3.57,3.97,2.78,3.23,90149
2024-06-24,3,3.4,3,3.35,47372
2024-06-25,3.01,3.3,3.01,3.35,291
2024-06-26,2.83,3.5,2.83,3.48,4327
2024-06-27,3.11,3.27,2.94,2.99,75915
2024-06-28,2.99,3.23,2.99,3.23,12645
2024-07-01,3.01,3.14,2.9,2.91,13770
2024-07-02,2.7,3.09,2.7,3,5344
2024-07-03,3.2,4,3.19,4,103698
2024-07-04,4.63,5,3.5,4.6,221137
2024-07-05,5.47,5.47,4,4.82,37371
2024-07-08,5.5,5.6,3.96,4.79,1419
2024-07-09,5.44,5.44,4.01,4.19,7858
2024-07-10,4.46,4.46,4,4,9978
2024-07-11,4.24,5,3.5,4.93,20602
2024-07-12,4.93,4.93,4.01,4.12,8495
2024-07-15,4.4,4.4,3.5,4.15,3463
2024-07-18,4.88,4.88,3.24,3.88,3160
2024-07-19,4.5,4.5,4.24,4.25,2078
2024-07-22,4.8,4.8,3.6,4.29,3749
2024-07-23,4.7,4.7,4.01,4.4,6221
2024-07-24,4.09,5.4,3.4,5.39,193129
2024-07-25,6,6.26,5.3,5.9,53957
2024-07-26,5.51,6.25,5.5,5.56,46129
2024-07-29,5.9,6.2,5.6,6.01,14248
2024-07-30,6.2,7.01,5.62,7.01,118214
2024-07-31,7.63,8.01,7.1,7.21,44640
2024-08-01,7.94,7.94,6.9,7.26,31325
2024-08-02,8.18,8.18,7,7.24,23346
2024-08-05,7.2,7.44,7,7.09,5935
2024-08-06,7,7.5,6.09,6.73,8915
2024-08-07,7.72,7.72,6.25,7.35,20250
2024-08-08,7.94,7.94,6.5,6.9,4563
2024-08-09,7.5,7.5,7,7.2,2554
2024-08-12,6.67,7.85,6.55,6.78,15356
2024-08-13,6.15,6.39,6,6.22,3108
2024-08-15,6.5,6.5,6.05,6.23,12308
2024-08-16,6.9,6.9,5.5,6.69,2896
2024-08-19,7.12,7.12,6.01,7,1016
2024-08-20,6.5,7,6.5,6.55,1982
2024-08-21,6.94,6.94,6.25,6.25,5112
2024-08-22,6.25,6.97,5.9,6.4,7439
2024-08-23,6.2,6.83,5.79,5.9,6566
2024-08-26,5.75,6,5.21,5.23,15806
2024-08-27,5.35,5.56,5.24,5.53,4096
2024-08-28,5.51,5.86,5.5,5.5,8232
2024-08-29,6,6,5.1,5.95,4753
2024-08-30,5.45,5.9,5.21,5.5,1258
2024-09-02,5.5,5.5,4.51,4.51,8025
2024-09-03,5.5,5.51,5,5.51,36723
2024-09-04,6.45,6.51,6,6.08,44267
2024-09-05,5.31,6.94,5.3,5.8,53771
2024-09-06,5.75,6.75,5.5,5.85,23942
2024-09-09,5.55,5.9,5.3,5.85,5105
2024-09-10,5.64,6,5.48,5.5,7628
2024-09-11,5.5,6,5.5,5.51,2098
2024-09-12,5.1,5.95,4.56,5.75,63116
2024-09-13,6,6,5.2,5.21,1105
2024-09-16,5.7,5.7,5.01,5.1,3541
2024-09-18,5.69,6.1,5.68,6.1,164457
2024-09-19,6.2,6.8,6.1,6.3,80291
2024-09-20,6.72,6.72,5.8,5.81,5506
2024-09-23,6,6,5.41,5.99,5182
2024-09-24,6,6.4,6,6,3003
2024-09-25,6.58,7,5.67,6.91,35860
2024-09-26,6,6.96,6,6.22,10012
2024-09-27,6.86,6.86,5.64,6.22,5
2024-09-30,6.98,6.98,6.98,6.22,10
2024-10-01,6.5,6.5,5.5,5.5,2502
2024-10-02,6.38,6.38,5.34,5.35,599
2024-10-03,5.99,6.35,5.99,6.01,4060
2024-10-04,5.3,6.74,5.2,6.22,778
2024-10-07,6.43,6.43,5.44,5.44,13018
2024-10-08,6.43,6.43,5.13,5.9,1910
2024-10-09,6.44,6.44,5.6,5.62,1028
2024-10-10,6.22,6.56,5.6,6.42,3254
2024-10-11,5.7,6.84,5.5,5.5,1814
2024-10-14,5,6.3,5,5.75,4718
2024-10-15,6.6,6.6,5.5,5.5,5988
2024-10-16,6.25,6.25,5.6,5.5,24
2024-10-17,5.99,5.99,5.1,5.5,5315
2024-10-18,5.98,5.98,5.2,5.5,15
2024-10-21,4.8,5.48,4.51,4.93,4286
2024-10-22,5.8,5.8,5.21,5.35,664
2024-10-23,5.11,6,5.11,5.67,8419
2024-10-24,5.21,5.91,5,5.89,5207
2024-10-25,6.1,6.49,5.11,6,49201
