date,open,high,low,close,volume
2023-01-02,287.9,287.9,287.9,287.9,100
2023-01-04,309.46,309.46,309.46,309.46,100
2023-01-09,332.66,332.66,332.66,332.66,5700
2023-01-10,357.6,357.6,357.6,357.6,7400
2023-01-11,383.99,384,339.4,367.35,1000
2023-01-12,339.8,339.81,339.8,339.8,900
2023-01-13,362.46,362.46,315,315,300
2023-01-16,292,292,292,292,300
2023-01-17,313.9,313.9,270.1,270.1,600
2023-01-18,260,284.95,260,284.95,500
2023-01-19,304.42,304.42,304.42,304.42,100
2023-01-20,281.59,319.9,281.59,281.59,800
2023-02-01,302.7,302.7,302.7,302.7,100
2023-03-31,325.4,325.4,325.4,325.4,39100
2023-07-03,300.21,300.21,300.21,300.21,500
2023-08-07,312,312,312,312,100
2023-08-10,312,312,312,312,200
2023-08-18,310,310,310,310,100
2023-09-21,330,330,324,324,1300
2023-10-04,345,345,345,345,500
2023-10-05,359.99,360,359.99,360,300
2023-10-09,333.04,333.04,333.04,333.04,100
2023-10-12,308.11,308.11,308.11,308.11,100
2023-10-13,330,330,330,330,100
2023-10-23,310,354.75,310,337.81,1200
2023-10-25,330,363.15,330,363.15,3700
2023-10-27,375,380,375,380,1300
2023-10-30,355.1,355.1,355,355,200
2023-11-06,355,355,355,355,100
2023-11-07,330,330,330,330,200
2023-11-15,439.88,439.88,439.88,439.88,2000
2023-11-16,472.87,472.87,472.87,472.87,300
2023-11-17,508.34,508.34,508.34,508.34,200
2023-11-20,546.47,546.47,546.47,546.47,100
2023-11-21,587.46,587.46,587.46,587.46,3500
2023-11-22,630,630,585,624,1100
2023-11-23,650,650,577.2,577.2,1900
2023-11-24,605,607,605,607,400
2023-11-27,575,575,564,564,800
2023-11-29,525,525,525,525,100
2023-12-01,564,564,564,564,500
2023-12-05,550,550,550,550,300
2023-12-07,508.75,508.75,508.75,508.75,300
2023-12-08,545,546,544,545.33,2000
2023-12-11,585,585,585,585,1700
2024-01-02,539.59,539.59,539.59,539.59,200
2024-01-12,580.06,580.06,580.06,580.06,50
2024-01-15,536.56,536.56,536.56,536.56,50
2024-01-23,550,550,549,549.5,350
2024-01-30,510,510,510,510,500
2024-01-31,510,510,510,510,100
2024-02-06,510,510,510,510,100
2024-02-19,471.75,471.75,471.75,471.75,850
2024-02-29,500,500,437,473.33,2250
2024-03-20,508,508.83,508,508.83,500
2024-03-21,546.9,546.99,546,546.99,650
2024-03-22,588.01,588.01,587,588,1100
2024-03-25,588,590,544,557.36,1050
2024-03-26,565,565,565,565,50
2024-03-27,565,575,565,575,100
2024-03-28,577.86,599,577.86,598.5,450
2024-04-01,615,615,615,615,50
2024-04-02,609,609,609,609,50
2024-04-03,600,600,600,600,500
2024-04-08,600,600,600,600,500
2024-04-22,585,645,560,580,1754
