date,open,high,low,close,volume
2023-01-04,77.0,77.0,77.0,77.0,1000
2023-01-05,77.0,77.0,77.0,77.0,1000
2023-01-09,76.0,77.0,75.0,75.0,1500
2023-01-10,76.0,76.0,76.0,76.0,1000
2023-01-11,75.0,75.0,75.0,75.0,500
2023-01-12,75.99,80.62,75.99,79.2,6000
2023-01-13,82.0,82.5,81.0,81.5,3500
2023-01-16,80.0,80.0,79.0,79.0,1000
2023-01-17,78.01,78.01,78.01,78.01,500
2023-01-18,79.0,80.0,79.0,80.0,1000
2023-01-19,79.0,79.0,79.0,79.0,500
2023-01-20,78.0,78.0,78.0,78.0,500
2023-01-25,79.0,80.0,79.0,79.0,5500
2023-01-27,80.0,81.0,80.0,81.0,1500
2023-01-31,81.0,81.0,81.0,81.0,500
2023-02-06,80.0,80.0,79.0,79.0,2000
2023-02-07,80.0,80.0,80.0,80.0,500
2023-02-16,80.0,80.0,80.0,80.0,500
2023-02-23,80.0,80.0,79.0,79.0,1000
2023-03-01,78.0,78.0,78.0,78.0,2000
2023-03-02,77.02,77.02,77.02,77.02,500
2023-03-07,77.0,77.0,77.0,77.0,500
2023-03-09,76.0,76.0,75.0,75.0,2500
2023-03-10,74.75,74.75,74.75,74.75,500
2023-03-15,76.76,76.76,76.76,76.76,500
2023-03-16,77.0,77.0,77.0,77.0,500
2023-03-27,75.0,75.0,75.0,75.0,500
2023-04-06,75.0,75.0,74.0,74.0,2000
2023-05-03,75.0,75.0,74.1,74.1,1500
2023-05-05,74.0,74.0,74.0,74.0,500
2023-05-08,75.0,75.0,74.0,74.0,1000
2023-05-12,70.0,70.0,70.0,70.0,2000
2023-05-16,74.0,75.0,74.0,74.5,1000
2023-05-18,73.0,75.0,73.0,75.0,2000
2023-05-22,74.0,75.0,74.0,75.0,1000
2023-05-26,76.0,80.63,76.0,80.0,7500
2023-05-29,82.0,84.99,82.0,83.0,3000
2023-05-31,81.0,81.0,81.0,81.0,500
2023-06-02,80.0,80.0,80.0,80.0,500
2023-06-05,79.0,79.0,79.0,79.0,500
2023-06-08,79.0,79.0,79.0,79.0,500
2023-06-09,78.0,78.0,78.0,78.0,500
2023-06-13,78.0,78.0,78.0,78.0,500
2023-06-15,77.0,77.0,77.0,77.0,500
2023-06-21,79.0,80.0,79.0,80.0,3500
2023-07-03,81.0,82.0,81.0,82.0,1000
2023-07-07,80.0,80.0,80.0,82.0,500
2023-07-10,80.0,80.0,80.0,80.0,2000
2023-07-12,81.0,82.0,81.0,82.0,22000
2023-07-19,80.0,80.0,80.0,80.0,500
2023-07-21,82.0,82.0,79.0,79.94,18000
2023-07-24,80.0,80.0,80.0,80.0,7500
2023-07-25,80.0,84.0,80.0,81.42,18500
2023-07-26,84.99,85.0,81.9,81.99,9500
2023-07-27,83.0,83.0,83.0,83.0,4000
2023-07-31,81.0,81.0,80.0,80.0,1000
2023-08-07,80.0,80.0,80.0,80.0,500
2023-08-09,80.0,80.0,80.0,80.0,1000
2023-08-10,80.0,82.0,79.0,79.0,6000
2023-08-11,80.0,84.9,77.01,77.01,31500
2023-08-15,79.86,79.86,73.0,78.0,42500
2023-08-16,78.0,83.0,78.0,79.0,214500
2023-08-17,78.1,80.0,78.1,80.0,25500
2023-08-18,79.0,80.0,78.0,78.0,4000
2023-08-21,76.76,76.76,75.75,75.88,4000
2023-08-22,77.8,77.9,76.0,76.0,7500
2023-08-23,75.02,75.02,75.0,75.0,7000
2023-08-24,75.0,76.75,75.0,76.75,1000
2023-08-25,75.0,76.99,74.74,75.37,2000
2023-08-28,75.0,75.0,73.0,73.0,13000
2023-08-29,73.0,76.99,73.0,76.99,8500
2023-09-01,77.0,81.5,75.01,79.5,106000
2023-09-04,80.0,85.0,80.0,83.0,73000
2023-09-05,82.0,83.5,81.0,83.5,79500
2023-09-06,85.0,89.76,85.0,89.76,71500
2023-09-07,92.1,96.49,92.1,96.49,14500
2023-09-08,103.73,103.73,103.73,103.73,12000
2023-09-11,111.51,111.51,102.5,108.28,287000
2023-09-12,111.0,116.38,109.01,114.77,57500
2023-09-13,115.0,123.38,115.0,123.38,49500
2023-09-14,129.9,132.63,129.9,132.63,22000
2023-09-15,142.58,142.58,135.0,142.58,60000
2023-09-18,153.27,153.27,153.27,153.27,19000
2023-09-19,164.77,164.77,164.77,164.77,2500
2023-09-20,177.13,177.13,170.0,177.13,98500
2023-09-21,190.41,190.41,190.41,190.41,19000
2023-09-22,204.69,204.69,176.13,204.69,203000
2023-09-25,220.04,220.04,220.04,220.04,29000
2023-09-26,236.54,236.54,236.54,236.54,3000
2023-09-27,254.28,254.28,241.1,251.99,234000
2023-09-28,265.0,265.0,251.5,257.04,57500
2023-10-02,274.0,276.32,269.99,276.32,10500
2023-10-03,297.04,297.04,297.04,297.04,8000
2023-10-04,319.32,319.32,319.32,319.32,1500
2023-10-05,341.98,343.27,319.32,343.26,73000
2023-10-06,368.9,369.0,360.0,369.0,27000
2023-10-09,396.68,396.68,396.68,396.68,5000
2023-10-10,426.43,426.43,425.0,426.43,12000
2023-10-11,458.41,458.41,458.4,458.41,11000
2023-10-12,492.79,492.79,436.01,492.79,69000
2023-10-13,529.75,529.75,455.83,523.01,129000
2023-10-16,551.9,551.9,483.78,484.71,28000
2023-10-17,461.0,510.0,448.36,448.36,57000
