date,open,high,low,close,volume
2024-01-11,6.67,7.23,6.67,7.15,27385500
2024-01-12,7.28,7.95,7.28,7.57,77950500
2024-01-15,7.65,7.69,7.02,7.09,37652000
2024-01-16,7.06,7.36,6.98,7.26,16192000
2024-01-17,7.25,7.34,7.01,7.07,11001000
2024-01-18,7,7.13,6.78,6.97,18438500
2024-01-19,7.17,7.17,6.76,6.8,9746500
2024-01-22,6.84,6.84,6.65,6.72,2448500
2024-01-23,6.75,6.91,6.68,6.85,5527000
2024-01-24,6.91,6.95,6.78,6.8,6034500
2024-01-25,6.8,6.88,6.57,6.64,15934000
2024-01-26,6.74,6.8,6.34,6.38,16538000
2024-01-29,6.41,6.59,6.15,6.21,8254000
2024-01-30,6.16,6.43,5.85,5.97,9076000
2024-01-31,5.97,6.2,5.95,6.05,7649500
2024-02-01,6.18,6.18,5.96,6,1486500
2024-02-02,6,6.22,6,6.14,2997000
2024-02-06,6.25,6.49,6.25,6.37,6626000
2024-02-07,6.49,6.49,6.14,6.17,7754000
2024-02-09,5.9,6.05,5.72,5.97,7300000
2024-02-12,5.98,5.99,5.26,5.37,8589500
2024-02-13,5.36,5.64,5.06,5.45,9623500
2024-02-14,5.5,5.79,5.5,5.74,5341000
2024-02-15,5.8,5.95,5.6,5.75,4011000
2024-02-16,5.75,5.75,5.4,5.43,2766000
2024-02-19,5.37,5.47,5.2,5.41,5949500
2024-02-20,5.45,5.7,5.45,5.49,2309500
2024-02-21,5.65,5.8,5.56,5.71,3717000
2024-02-22,5.7,6.35,5.66,6.22,16257000
2024-02-23,6.32,6.32,6.06,6.17,2963000
2024-02-26,6.3,6.6,6.1,6.48,11056000
2024-02-27,6.59,6.69,5.91,6.05,22775500
2024-02-28,6.05,6.22,5.95,5.99,8359000
2024-02-29,6.05,6.17,6.02,6.03,4154500
2024-03-01,6.05,6.13,5.8,6.08,6698500
2024-03-04,6.2,6.28,6.05,6.1,5240000
2024-03-05,6.15,6.23,5.93,5.95,3589000
2024-03-06,5.91,6.19,5.91,5.98,6061500
2024-03-07,5.99,6,5.82,5.97,2547000
2024-03-08,5.99,6.11,5.93,6.01,4374500
2024-03-11,6.05,6.14,5.99,6.02,6355500
2024-03-12,6.09,6.11,5.89,5.91,1784000
2024-03-13,6,6,5.55,5.6,6013000
2024-03-14,5.77,5.91,5.69,5.86,3212500
2024-03-15,5.86,5.96,5.72,5.75,1916500
2024-03-18,5.85,5.89,5.69,5.74,940500
2024-03-19,5.72,5.84,5.64,5.77,1270500
2024-03-20,5.9,6.12,5.8,5.95,6662000
2024-03-21,6.14,6.25,5.96,6.05,41979500
2024-03-22,6.14,6.15,5.92,5.94,5155500
2024-03-25,6.05,6.05,5.88,5.92,2444500
2024-03-26,5.94,6,5.85,5.94,1859000
2024-03-27,6,6.02,5.87,5.91,2416500
2024-03-28,5.93,5.99,5.79,5.82,8290000
2024-03-29,5.95,5.95,5.61,5.71,4753500
2024-04-01,5.76,5.86,5.75,5.79,1113000
2024-04-02,5.83,5.83,5.7,5.76,675500
2024-04-03,5.72,5.84,5.69,5.8,1219000
2024-04-04,5.75,5.92,5.75,5.88,1954500
2024-04-08,5.94,6.06,5.85,5.98,6729500
2024-04-09,6.01,6.31,6.01,6.17,27819000
2024-04-15,6.25,6.4,6.15,6.34,12858500
2024-04-16,6.4,6.43,6.19,6.25,8475500
2024-04-17,6.2,6.64,6.11,6.51,18901000
2024-04-18,6.56,6.65,6.39,6.59,14749000
2024-04-19,6.6,6.69,6.53,6.63,10598500
2024-04-22,6.75,6.83,6.55,6.59,11176000
