date,open,high,low,close,volume
2024-01-17,1,1,0.9,0.92,77000
2024-01-18,0.95,1,0.95,1,4000
2024-01-19,1,1.01,0.9,0.97,70500
2024-01-22,0.96,0.97,0.91,0.97,3000
2024-01-23,0.95,0.99,0.9,0.96,48500
2024-01-24,1.01,1.01,0.92,0.95,11000
2024-01-25,0.93,0.95,0.89,0.95,20500
2024-01-26,0.9,1.03,0.9,0.93,13500
2024-01-29,0.99,0.99,0.89,0.9,27500
2024-01-30,0.9,0.94,0.9,0.94,14000
2024-01-31,0.85,0.9,0.85,0.87,23000
2024-02-01,0.94,0.94,0.83,0.85,43000
2024-02-02,0.9,0.91,0.83,0.85,15500
2024-02-06,0.98,0.98,0.85,0.89,7500
2024-02-07,0.9,0.9,0.85,0.85,5500
2024-02-09,0.88,0.88,0.88,0.88,500
2024-02-12,0.83,0.83,0.8,0.8,21000
2024-02-13,0.9,0.92,0.9,0.92,6500
2024-02-14,0.97,0.97,0.8,0.86,3000
2024-02-15,1.09,1.09,0.76,0.88,54500
2024-02-16,0.94,0.94,0.78,0.79,53500
2024-02-19,0.82,0.85,0.8,0.85,5500
2024-02-20,0.9,1,0.88,0.99,309500
2024-02-21,0.99,1.06,0.99,1.05,249000
2024-02-22,1.05,1.15,1.05,1.11,440500
2024-02-23,1.16,1.16,1.06,1.06,60500
2024-02-26,1.14,1.14,1,1.05,107500
2024-02-27,1,1.1,1,1.09,211000
2024-02-28,1.1,1.15,1.08,1.15,212500
2024-02-29,1.15,1.58,1.11,1.46,1141500
2024-03-01,1.57,2.3,1.47,1.88,3853500
2024-03-04,1.99,2.39,1.99,2.2,2698500
2024-03-05,2.3,3.2,2.15,3.11,6271000
2024-03-06,3.25,3.7,3.11,3.31,3735500
2024-03-07,3.27,3.4,2.65,2.76,2897500
2024-03-08,2.43,2.88,2.43,2.64,744500
2024-03-11,2.5,2.9,2.4,2.49,1593500
2024-03-12,2.4,2.59,2.2,2.25,520000
2024-03-13,2.51,2.51,1.97,2,902000
2024-03-14,2.22,3,2.05,2.65,2207000
2024-03-15,2.78,2.78,2.26,2.39,313000
2024-03-18,2.39,2.49,2.27,2.3,141000
2024-03-19,2.46,2.46,2.2,2.28,91000
2024-03-20,2.28,2.38,2.01,2.1,178500
2024-03-21,2.25,2.38,2,2.05,541500
2024-03-22,1.99,2.27,1.96,2.17,309500
2024-03-25,2.32,2.33,2.15,2.17,91000
2024-03-26,2.25,2.25,2.11,2.12,44000
2024-03-27,2.03,2.26,2.03,2.18,894500
2024-03-28,2.23,2.74,2.23,2.44,2050000
2024-03-29,2.44,2.6,2.05,2.22,714000
2024-04-01,2.15,2.42,1.96,2.13,404000
2024-04-02,2.12,2.31,2.1,2.25,247500
2024-04-03,2.29,2.5,2.29,2.32,522500
2024-04-04,2.26,2.39,2.2,2.26,90500
2024-04-08,2.19,2.28,1.9,2.1,1250000
2024-04-09,2.24,2.25,2.03,2.04,1020500
2024-04-15,2.24,2.9,2.01,2.15,2302000
2024-04-16,2.25,2.3,2.15,2.2,312000
2024-04-17,2.29,2.55,2.22,2.43,1088000
2024-04-18,2.43,2.74,2.43,2.48,574500
2024-04-19,2.5,2.6,2.41,2.5,281500
2024-04-22,2.45,2.63,2.42,2.59,277500
2024-04-23,2.6,2.6,2.45,2.46,361000
2024-04-24,2.45,2.47,2.34,2.36,260000
2024-04-25,2.36,2.41,2.23,2.36,423500
2024-04-26,2.27,2.35,2.25,2.3,1399000
2024-04-29,2.48,2.48,2.26,2.35,1190000
2024-04-30,2.38,2.45,2.25,2.26,265000
2024-05-02,2.39,2.39,2.15,2.19,98000
2024-05-03,2.23,2.43,2.23,2.27,112000
2024-05-06,2.39,2.4,2.12,2.16,1450500
2024-05-07,2.15,2.34,2.1,2.1,308500
2024-05-08,2.36,2.36,2,2.1,878000
2024-05-09,2.15,2.25,2,2.03,377500
2024-05-10,1.87,2.15,1.87,2.08,82500
2024-05-13,2.23,2.23,2.05,2.14,1924000
2024-05-14,2.18,2.39,2.11,2.26,2498500
2024-05-15,2.27,2.29,2.06,2.09,100000
2024-05-16,2.11,2.24,2.06,2.14,71500
2024-05-17,2.21,2.24,2.05,2.1,108000
2024-05-20,2.02,2.09,1.93,2.04,273000
2024-05-21,2.14,2.14,1.97,2.06,144500
2024-05-22,2,2.08,2,2.05,186000
2024-05-23,2.1,2.39,2.08,2.09,1650500
2024-05-24,2.02,2.25,2.01,2.25,98000
2024-05-27,2.24,2.24,2.05,2.1,85521
2024-05-29,2.1,2.14,2.05,2.05,1842662
2024-05-30,2.1,2.34,2.1,2.19,2671955
2024-05-31,2.2,2.2,2.03,2.06,290683
2024-06-03,2.1,2.1,2,2.02,526585
2024-06-04,2.1,2.1,2,2.05,43795
2024-06-05,2.03,2.03,2,2,40688
2024-06-06,1.96,2.08,1.86,1.93,207935
2024-06-07,2,2.03,1.85,1.95,231271
2024-06-10,1.96,1.96,1.8,1.86,97209
2024-06-11,2,2.05,1.8,1.9,42023
2024-06-12,1.94,1.98,1.77,1.81,64451
2024-06-13,1.94,1.94,1.75,1.75,379737
2024-06-14,1.94,2.2,1.86,1.9,1617472
2024-06-20,1.9,2,1.82,1.86,227763
2024-06-21,1.95,1.95,1.83,1.89,138160
