date,open,high,low,close,volume
2023-01-03,7.21,7.21,7.21,7.21,500
2023-01-09,6.4,6.4,6.4,6.4,500
2023-01-10,7.4,7.4,6.4,7.4,3500
2023-01-11,6.66,7.4,6.66,7,3500
2023-01-27,7.5,7.5,7.5,7.5,500
2023-02-08,8.4,8.4,8.4,8.4,500
2023-02-09,9.4,9.4,9,9,4500
2023-02-10,9.99,9.99,9.99,9.99,500
2023-02-13,8.99,9.3,8.99,8.99,4500
2023-02-14,8,8,8,8,500
2023-02-16,9,9,7.26,7.26,3500
2023-02-27,6.61,6.61,6.61,6.61,500
2023-03-08,7,7,7,7,7500
2023-03-09,6.02,6.02,6.02,6.02,500
2023-03-10,7,7,7,7,2000
2023-03-14,6,7.6,6,7.6,1000
2023-03-15,8.5,8.5,8.5,8.5,500
2023-03-17,7.5,9,7.5,8,1500
2023-03-21,7.05,7.05,7.05,7.05,500
2023-03-24,7.15,7.15,7.15,7.15,500
2023-03-29,8,8.15,8,8.15,1500
2023-03-31,7.5,8.75,7.5,8.75,9500
2023-04-04,7.75,8.75,7.75,7.75,1000
2023-04-05,7.85,7.85,7.85,7.85,500
2023-04-11,7.25,7.25,7.25,7.25,500
2023-05-09,6.3,6.3,6.3,6.3,500
2023-05-12,7.29,7.29,7.29,7.29,500
2023-05-19,6.35,8.25,6.35,8.25,1000
2023-05-26,9,9,9,9,500
2023-06-02,9.99,9.99,9.99,9.99,1000
2023-06-09,10.95,10.95,10.95,10.95,500
2023-06-19,9.95,11.75,9.95,11.75,9000
2023-07-03,9.75,10.9,9.75,10.9,3000
2023-07-04,9.9,11.7,9.9,11.7,4000
2023-07-21,12.55,12.55,10.55,11.99,6500
2023-07-24,10.99,12.84,10.99,10.99,7500
2023-07-25,10.7,11.75,10.3,11.22,6000
2023-07-26,10.35,11.44,10.25,11.44,3500
2023-07-27,10.9,10.9,10.9,10.9,500
2023-07-31,10.99,11.35,10.01,10.09,8500
2023-08-01,9.52,10.95,9.26,10.95,2500
2023-08-02,10,11.55,10,11.55,3000
2023-08-03,11.95,11.95,11.95,11.95,500
2023-08-04,12.05,12.05,12.05,12.05,500
2023-08-28,11.24,11.24,9.3,9.3,7000
2023-09-06,8.3,10.25,8.3,10.25,2500
2023-09-07,10.35,10.35,10.35,10.35,500
2023-09-11,11.25,11.25,9.35,9.38,6500
2023-09-12,8.46,8.46,8.46,8.46,500
2023-09-18,8.01,8.01,8.01,8.01,500
2023-09-25,8.01,8.97,8.01,8.97,2500
2023-09-26,9.44,9.44,9.44,9.44,500
2023-09-27,8.45,8.45,8.44,8.44,4500
2023-10-05,7.77,7.77,7.77,7.77,1000
2023-10-09,8.77,8.77,8.77,8.77,500
2023-10-20,8.1,8.1,8.1,8.1,500
2023-10-24,8,8,8,8,500
2023-10-25,9,9,9,9,500
2023-11-03,8.6,8.6,8.6,8.6,500
2023-11-06,9,9,9,9,500
2023-11-08,8.6,8.6,8.6,8.6,1000
2023-11-13,9,9,9,9,500
2023-11-14,10,10,10,10,500
2023-11-15,10.9,10.9,10.9,10.9,500
2023-11-22,9.9,10.3,9.9,10.17,3000
2023-11-24,9.5,9.5,9.5,9.5,1000
2023-12-04,9.5,9.5,9.5,9.5,3000
2023-12-05,10.49,10.5,10.49,10.5,2500
2023-12-07,11.5,11.5,11.5,11.5,500
2023-12-12,10.85,10.85,10.81,10.81,1500
2023-12-18,11.8,11.8,11.79,11.79,1000
2023-12-22,12.75,12.75,12.75,12.75,500
2024-01-01,12,12.1,12,12.1,3000
2024-01-02,11.1,11.1,11.1,11.1,500
2024-01-11,11,11,11,11,500
2024-01-16,11,11,11,11,2000
2024-02-12,10.5,10.5,10.5,10.5,1000
2024-02-16,11.3,11.3,11.3,11.3,1000
2024-02-27,11.3,11.3,11.3,11.3,2000
2024-04-04,11.01,11.01,11,11,5000
2024-04-09,10.5,10.5,10.5,10.5,500
2024-04-15,9.55,9.55,9.55,9.55,1500
2024-04-16,10,10.4,9.66,9.66,2000
2024-04-22,10.1,10.64,9.2,10.64,14000
2024-04-23,11.63,11.63,11.5,11.59,1500
2024-04-24,10.59,10.59,10.59,10.59,8500
2024-04-25,10,11.5,9.59,10.7,4500
2024-04-26,10.4,10.4,9.76,9.89,4000
2024-04-29,10,10,10,10,500
2024-04-30,9.1,11,9.1,10.38,3000
2024-05-02,10.25,11.38,10.25,11.38,2000
2024-05-03,10.5,12.38,10.5,11,10500
2024-05-06,11.45,12,11.25,12,2000
2024-05-08,11.4,12.9,11.11,11.49,2500
2024-05-10,10.77,10.77,10.77,10.77,500
2024-05-15,11.76,11.76,11.76,11.76,500
2024-05-17,12,12,11.61,11.81,3500
2024-05-20,11.81,11.83,11.01,11.42,16500
2024-05-21,11.26,11.26,11.26,11.26,500
2024-05-22,11.5,11.5,10.76,10.95,4000
2024-05-23,10.6,11.9,10,11.9,2500
2024-05-24,10.9,10.9,10.9,10.9,1500
2024-05-27,10.26,11.9,10.26,11.9,2780
2024-05-29,11,12.09,11,12.09,2277
2024-05-30,12.89,13,11.09,11.09,1013
2024-05-31,10.15,11.94,10.15,11.09,270
2024-06-03,11.5,11.99,10.52,11.5,1008
2024-06-04,12.49,12.49,12.49,11.5,1
2024-06-05,12.5,12.5,12,11.5,237
2024-06-06,11.9,11.9,11,11.5,4
2024-06-07,12.5,12.5,11,11.5,7
2024-06-10,11.95,11.95,10.62,11.29,1001
2024-06-11,12.29,12.29,10.41,12.26,1020
2024-06-12,13.3,13.3,11.22,12.26,10
2024-06-13,13.25,13.25,11.22,11.25,1031
2024-06-14,12.24,12.25,10.81,11.25,9
2024-06-20,10.53,12.24,10.52,11.25,16
2024-06-21,12.24,12.24,12.24,11.25,1
2024-06-24,10.76,10.76,10.75,10.75,500
