date,open,high,low,close,volume
2023-07-14,5.56,6,5.55,6,8500
2023-07-19,5.75,5.8,5.75,5.8,1500
2023-07-20,5.77,5.77,5.77,5.77,500
2023-07-24,5.7,5.7,5.5,5.5,3500
2023-07-25,5.4,5.53,5.3,5.4,19500
2023-07-26,5.4,5.55,5.4,5.55,11500
2023-07-27,5.96,6.35,5.96,6.34,13000
2023-07-31,6.25,6.26,6.25,6.25,4000
2023-08-02,6.9,7.25,6.9,7.25,17000
2023-08-03,7.25,7.25,7.25,7.25,2000
2023-08-07,6.8,6.8,6.5,6.51,2500
2023-08-16,6.31,6.36,6.25,6.3,5500
2023-08-23,7.29,7.3,7.29,7.3,10500
2023-08-24,7,7,6.99,7,238000
2023-08-29,6.17,6.31,6.01,6.15,4500
2023-08-30,6.12,6.12,6,6,2000
2023-09-11,6.96,7,6.96,7,87000
2023-09-25,6.15,6.15,6.15,6.15,500
2023-09-26,5.36,6.11,5.36,6.11,1000
2023-10-04,6.99,7.11,6.99,7.11,17500
2023-10-06,7.05,7.05,7.05,7.05,500
2023-10-11,6.57,6.57,6.57,6.57,500
2023-10-13,5.6,6.51,5.6,6.51,1000
2023-10-18,7.5,7.5,7,7,6000
2023-10-19,7.5,7.5,7.5,7.5,500
2023-10-26,6.51,6.91,6.51,6.91,1000
2023-10-27,6.71,6.71,6.71,6.71,1000
2023-10-30,7.64,7.71,7.63,7.71,35000
2023-10-31,7.75,8,7.1,8,43500
2023-11-01,8.95,9,8.69,8.98,50500
2023-11-02,8.05,8.05,7.98,8,8000
2023-11-03,7.02,7.02,7.02,7.02,1000
2023-11-06,7.95,7.95,7.2,7.2,1000
2023-11-07,6.85,7,6.85,7,1000
2023-11-08,7.9,7.9,6.55,7.24,1500
2023-11-10,6.56,7.25,6.56,6.99,10500
2023-11-13,7.5,7.5,6.74,7.25,3000
2023-11-14,6.54,7.49,6.54,7.49,4000
2023-11-15,7.76,7.76,6.76,7.25,8500
2023-11-16,7.16,7.83,7.1,7.31,7000
2023-11-17,7.95,7.99,6.88,7.99,2000
2023-11-20,7.25,7.25,7.25,7.25,1000
2023-11-21,7.1,7.49,7,7.49,9000
2023-11-22,8.39,8.4,7.14,8.29,4000
2023-11-23,7.31,7.79,7.29,7.32,101500
2023-11-28,7.85,7.9,7.85,7.9,1500
2023-11-29,7.23,7.23,7.23,7.23,500
2023-12-01,7,7,7,7,2000
