date,open,high,low,close,volume
2024-01-11,529,535,529,533.77,12024
2024-01-12,535.9,540,530,538.98,11125
2024-01-15,526,540,526,535.4,50
2024-01-16,521.2,525,520,525,197
2024-01-17,537,537.01,510.01,520.75,28079
2024-01-18,527,527,511.12,524.8,19127
2024-01-19,526.99,530,522.01,526.62,2703
2024-01-22,525,529,512.01,519,1582
2024-01-23,527,527,512,520.32,6491
2024-01-24,512.1,524,505.56,515.03,42369
2024-01-25,511.12,519.9,510,510.2,7461
2024-01-26,517.9,528,511,511.24,2368
2024-01-29,512,514,502.2,503.58,755
2024-01-30,505,510,502,504.98,9894
2024-01-31,500.11,510,500,506.03,3448
2024-02-01,503,509.95,503,506.31,29935
2024-02-02,519.99,529.99,480.11,500.76,52
2024-02-06,502.1,511,502.1,507.9,1910
2024-02-07,512,515,505,510.12,3335
2024-02-09,510.11,528,502,522.85,4549
2024-02-12,506,512,490,499.15,56713
2024-02-13,500,504.9,484,499.74,4044
2024-02-14,509.99,509.99,500,499.74,46
2024-02-15,495.11,508,480.11,493.17,619
2024-02-16,495,503,465.01,472.2,4991
2024-02-19,476.99,480.99,460,467.31,23174
2024-02-20,474.99,500,474.99,486.88,9489
2024-02-21,485,495,484,485,757
2024-02-22,484,496,484,491.75,5663
2024-02-23,494.94,505,490,500.04,7251
2024-02-26,500,513,500,507.9,6255
2024-02-27,505,508.99,480,500.06,19789
2024-02-28,500,515,500,507,19492
2024-02-29,515,519.8,505.01,513.4,18421
2024-03-01,515,517,513,516.61,5808
2024-03-04,520,520,503,515.7,12603
2024-03-05,520,520,507,519.64,713
2024-03-06,515,519,515,515.53,135
2024-03-07,515,516.99,507,514.62,1101
2024-03-08,514,514.95,508,509.41,1173
2024-03-11,515,520.25,508,519.82,9750
2024-03-12,524.9,524.9,500,504.8,859
2024-03-13,512.99,514,500,505.13,13721
2024-03-14,505,538.99,505,530.3,10446
2024-03-15,526,526,515,519.48,51587
2024-03-18,526,526,519,520,12211
2024-03-19,520,534.99,515,523.68,806448
2024-03-20,521.6,554.99,518,552.76,169366
2024-03-21,550,550,540,546.55,341
2024-03-22,539,551,539,550.04,3483
2024-03-25,554,554,525.1,542.92,10102
2024-03-26,549,550,503.51,542.51,3716
2024-03-27,549.99,555,520,549.16,12251
2024-03-28,549,560,533.01,551.02,6250
2024-03-29,549,560,549,559.78,2937
2024-04-01,557,557,544,544.8,5938
2024-04-02,543,543,534,535.93,4874
2024-04-03,539.9,539.9,533.05,537.11,2553
2024-04-04,535,542.4,533.5,539.11,1036
2024-04-08,544,544,537,539,4047
2024-04-09,538.5,544,522,536.58,4482
2024-04-15,534,545,527,538.29,9373
2024-04-16,540,540,531.5,532.82,7799
2024-04-17,532,534.99,520,532.16,6078
2024-04-18,522,535.55,522,532.43,5613
2024-04-19,520,520,491.5,501.12,455653
2024-04-22,500,507.99,500,504.63,8855
2024-04-23,499,510,495,502.89,7269
2024-04-24,505,510,494,506.4,9728
2024-04-25,501,512.99,486,492.61,10374
2024-04-26,492,493.99,478.55,481.82,8527
2024-04-29,490,490,473.95,475.25,2941
2024-04-30,482,482,475,475.31,1625
2024-05-02,476,476,445.55,464.02,10281
2024-05-03,469.98,479.99,454,465.45,12603
2024-05-06,462,471,460.11,463.92,1645
2024-05-07,469.99,470.95,462,466,1608
2024-05-08,465,470,446,461.8,734
2024-05-09,457,485,450,456.95,8484
2024-05-10,469.98,470,458,468.1,108884
2024-05-13,469.99,503.21,466,490.48,35741
2024-05-14,489.99,505,480,491.57,133509
2024-05-15,490,505,478.1,483.8,55689
2024-05-16,485,487,478,482.13,2781
2024-05-17,482,494,478,490.3,1382
2024-05-20,490,510,483,492.58,5896
2024-05-21,490,499.89,488,495.58,1739
2024-05-22,485,504,485,488.42,4551
2024-05-23,487,490,481,484.55,2049
2024-05-24,486,486.9,481.3,482.71,1753
2024-05-27,482,482,479,479.84,950
2024-05-29,479.99,479.99,460,464.51,5379
2024-05-30,461,478,459.5,468.29,14085
2024-05-31,468,480,468,475.04,2785
2024-06-03,475,489.99,470.01,478.37,929
2024-06-04,483.99,484,470,470.11,9970
2024-06-05,479,480,470,471.16,13532
2024-06-06,470,474.98,470,470,12752
2024-06-07,478,478.5,460.11,470,108372
2024-06-10,471,475,470,474.87,7261
2024-06-11,489.99,489.99,472,479.28,3083
2024-06-12,484.98,484.98,472.03,473.92,68
2024-06-13,486,505,480,503.31,19075
2024-06-14,485,500,485,498.77,1486
2024-06-20,500.01,510,500.01,509.88,66321
2024-06-21,510.5,511,500.01,510,7173
2024-06-24,513,515.5,512,514.08,6364
2024-06-25,501,519,480.01,512.75,32024
2024-06-26,519.5,530,485.18,516.72,107989
2024-06-27,512.2,535,512.2,525.64,9055
2024-06-28,525,539.9,520.11,535.42,14241
2024-07-01,534,534,520.01,530.63,250779
2024-07-02,536,536,515,528.7,3216
2024-07-03,520.11,535,491,524.15,12452
2024-07-04,520,533,520,530.03,64570
2024-07-05,513,529.95,513,520.67,1930
2024-07-08,515.11,525.1,488,517.15,739
2024-07-09,518.01,527,510,523.69,2398
2024-07-10,533,533,510,513.99,879
2024-07-11,515,526.5,514,520.04,5496
2024-07-12,530,541,520,539.28,161296
2024-07-15,530,540,530,535.86,3731
2024-07-18,530.01,545.5,530.01,543.98,14069
2024-07-19,537,537,520,520.08,23804
2024-07-22,515,535,515,516.01,5692
2024-07-23,528,539.9,516,516.16,791628
2024-07-24,527,533,518.2,519.2,660
2024-07-25,522,530,515,515.01,19485
2024-07-26,529,529,510,511,5925
2024-07-29,518.99,525,515,523.54,16794
2024-07-30,524.9,525,515,516.17,7634
2024-07-31,510.11,519,510,510.78,672
2024-08-01,515,519,506,510.48,10434
2024-08-02,506.1,518.5,501,513.54,969
2024-08-05,500.3,513,500.01,501,1223
2024-08-06,500,508.5,500,503.36,408
2024-08-07,509,509.89,505,505.76,1952
2024-08-08,514.5,514.5,502.05,507,202
2024-08-09,501,509.9,500.5,509.65,233
2024-08-12,513.99,515,497,509.8,1120
2024-08-13,510,514,502,509.97,3130
2024-08-15,501,513.5,501,501.09,1977
2024-08-16,501.01,508.97,493,500.01,1661
2024-08-19,509,514,485,491.03,1561
2024-08-20,497.99,500,485,491.78,469
2024-08-21,505.9,505.99,495,501,116
2024-08-22,508.77,517,496.39,510.21,4494
2024-08-23,501.39,515,500,501.64,299
2024-08-26,506.99,507,491,493.29,623
2024-08-27,492.11,504,492.11,502.74,2063
2024-08-28,490.5,490.5,470.15,478.68,8742
