date,open,high,low,close,volume
2023-01-10,590.0,590.0,590.0,590.0,1100
2023-01-20,590.0,590.0,590.0,590.0,200
2023-01-23,590.0,590.0,590.0,590.0,200
2023-02-02,620.0,620.0,620.0,620.0,1000
2023-03-22,625.0,625.0,625.0,625.0,1500
2023-05-02,600.0,600.0,600.0,600.0,100
2023-05-03,585.0,595.0,585.0,595.0,150
2023-05-25,595.0,595.0,595.0,595.0,50
2023-05-26,595.0,595.0,595.0,595.0,150
2023-06-07,595.0,595.0,595.0,595.0,50
2023-06-16,595.0,595.0,595.0,595.0,50
2023-07-04,595.0,595.0,595.0,595.0,50
2023-08-07,590.0,590.0,590.0,590.0,1000
2023-10-03,521.37,521.37,521.37,521.37,500
2023-10-04,495.0,500.0,490.0,500.0,500
2023-10-11,490.0,490.0,490.0,490.0,100
2023-10-18,455.0,491.6,455.0,479.4,250
2023-10-25,500.0,500.0,500.0,500.0,50
2023-11-10,500.0,500.0,500.0,500.0,50
2023-11-13,498.0,500.0,480.0,480.0,600
2023-11-22,490.0,500.0,490.0,500.0,3900
2023-11-23,462.5,499.99,462.5,481.25,100
2023-12-05,450.0,450.0,450.0,450.0,500
2024-01-11,450.0,450.0,450.0,450.0,900
2024-02-12,450.0,450.0,450.0,450.0,900
2024-02-26,450.0,450.0,450.0,450.0,1000
2024-02-27,450.0,450.0,450.0,450.0,1800
2024-02-28,483.75,483.75,483.75,483.75,5000
2024-03-08,447.47,460.0,447.47,460.0,1000
2024-04-22,494.5,494.5,494.5,460.0,6
2024-08-01,460.0,506.0,460.0,506.0,751
2024-08-05,556.6,556.6,552.0,506.0,29
2024-08-06,506.0,524.0,455.4,506.0,19
2024-08-09,550.0,550.0,549.99,506.0,2
2024-08-13,455.4,455.4,455.4,506.0,29
2024-08-15,455.4,550.0,455.4,506.0,18
2024-09-03,455.4,556.6,455.4,506.0,12
2024-09-13,455.4,455.4,455.4,506.0,16
2024-09-16,456.0,456.0,456.0,506.0,1
2024-09-19,0.0,0.0,0.0,506.0,1
2024-10-21,0.0,0.0,0.0,506.0,1
2024-10-22,495.0,555.99,485.0,506.0,27
2024-10-23,0.0,0.0,0.0,506.0,5
2024-11-07,455.4,455.4,455.4,506.0,22
2024-11-14,455.4,498.99,455.4,494.07,31
2024-11-15,465.0,465.0,465.0,494.07,3
2024-11-18,494.0,494.0,494.0,494.07,1
2024-11-22,444.66,480.0,444.66,464.16,57
2024-11-27,418.0,419.0,418.0,464.16,29
2024-11-28,465.0,465.0,465.0,464.16,35
2024-11-29,460.18,464.1,460.18,464.16,7
2024-12-02,437.01,437.01,437.0,464.16,6
2024-12-03,434.5,473.0,434.5,472.88,107
2024-12-04,475.0,520.17,425.59,452.43,317
2024-12-05,475.0,493.9,475.0,493.64,73
2024-12-06,450.01,450.01,444.28,493.64,41
2024-12-10,444.29,474.0,444.28,445.15,785
2024-12-11,420.33,464.0,400.64,418.5,655
2024-12-12,418.5,439.75,407.0,418.5,6
2024-12-13,395.0,435.99,382.0,418.5,19
2024-12-16,400.5,430.0,400.5,418.5,26
2024-12-17,399.05,399.05,399.05,418.5,3
2024-12-18,418.5,418.5,418.5,418.5,10
2024-12-19,418.5,418.5,418.5,418.5,25
2024-12-30,406.0,406.0,405.0,405.0,900
2024-12-31,405.01,410.0,405.01,405.0,7
2025-01-02,405.0,405.0,405.0,405.0,6
2025-01-07,399.0,399.0,399.0,405.0,5
2025-01-08,399.0,400.0,399.0,405.0,21
2025-01-09,444.0,445.0,439.9,405.0,60
2025-01-10,445.0,445.0,400.01,405.0,10
2025-01-13,443.99,444.0,434.99,435.61,136
2025-01-14,435.0,435.0,435.0,435.61,30
2025-01-15,400.01,434.98,400.0,400.71,305
2025-01-16,429.0,429.0,400.0,419.81,294
2025-01-17,400.02,424.0,400.02,419.81,12
2025-01-20,424.0,424.0,424.0,419.81,10
2025-01-21,385.01,424.0,381.0,399.53,78
2025-01-22,419.75,419.75,418.0,399.53,15
2025-01-27,380.02,380.02,380.02,399.53,5
2025-01-28,375.0,375.0,375.0,399.53,1
2025-01-29,385.0,385.0,385.0,399.53,1
2025-01-30,374.0,405.52,359.58,396.75,63
2025-02-07,366.0,400.0,362.0,396.75,21
2025-02-11,398.0,398.0,398.0,396.75,5
2025-02-14,396.9,425.0,370.02,375.02,126
2025-02-17,411.0,412.0,411.0,375.02,18
2025-02-18,412.52,412.52,412.52,375.02,11
2025-02-26,380.0,380.0,375.0,375.02,41
2025-02-27,374.8,374.8,370.0,374.93,60
2025-02-28,370.0,375.0,370.0,374.93,40
2025-03-03,365.0,370.0,365.0,374.17,40
2025-03-04,365.0,380.0,365.0,373.0,80
2025-03-05,365.0,375.0,365.0,373.14,90
2025-03-06,365.0,375.0,362.0,369.65,135
2025-03-10,365.0,370.0,365.0,369.65,40
2025-03-12,365.0,365.0,365.0,369.65,25
2025-03-13,370.0,370.0,370.0,370.0,130
2025-03-17,365.0,365.0,360.0,370.0,37
2025-03-18,365.0,365.0,353.0,366.75,41
2025-03-19,366.76,395.0,366.76,380.94,180
2025-03-21,399.0,399.0,394.0,380.94,46
2025-03-25,357.01,400.0,350.0,361.62,155
2025-03-27,361.62,361.62,361.62,361.62,3
2025-04-04,394.0,395.0,326.0,360.0,89
2025-04-10,375.0,375.0,324.0,360.0,52
2025-04-14,395.0,395.0,350.0,360.0,12
2025-04-21,367.0,367.0,367.0,360.0,17
2025-04-24,394.0,394.0,334.0,340.76,272
2025-05-05,327.0,327.0,327.0,327.0,100
2025-05-22,320.0,320.0,294.3,296.19,1000
2025-05-23,285.0,320.0,266.6,280.57,3062
2025-05-26,299.99,305.99,260.0,299.99,554
2025-05-27,297.0,297.0,270.07,271.05,958
2025-05-29,260.0,270.01,255.0,269.98,10752
2025-05-30,270.0,270.0,270.0,270.0,8375
2025-06-02,270.0,270.0,260.0,270.0,305
2025-06-03,264.0,270.0,262.0,270.0,1201
2025-06-04,261.25,270.0,261.25,262.79,331
2025-06-05,258.01,269.99,258.01,259.42,282
2025-06-12,260.0,270.0,256.01,261.26,255
