date,open,high,low,close,volume
2024-01-10,271.02,271.5,268.0,269.72,41700
2024-01-11,270.0,276.0,270.0,274.23,37500
2024-01-12,275.0,294.8,275.0,294.8,73100
2024-01-15,316.89,316.91,316.84,316.91,119800
2024-01-16,316.0,327.99,297.0,312.6,239600
2024-01-17,310.0,322.0,305.02,307.87,76200
2024-01-18,308.87,311.5,297.8,305.22,54400
2024-01-19,306.11,310.0,294.0,299.16,73500
2024-01-22,297.28,299.0,295.01,297.86,14800
2024-01-23,299.0,320.2,299.0,312.67,133100
2024-01-24,314.88,320.0,306.02,309.56,38100
2024-01-25,310.0,313.0,299.0,302.17,33300
2024-01-26,295.6,311.25,295.11,304.31,37000
2024-01-29,300.13,305.5,300.0,303.07,20900
2024-01-30,303.07,316.77,303.07,307.92,60600
2024-01-31,306.15,312.45,302.0,305.19,40900
2024-02-01,308.0,309.0,303.0,306.83,33200
2024-02-02,306.83,329.84,306.83,312.22,94000
2024-02-06,313.27,318.0,308.0,311.49,20500
2024-02-07,316.0,316.5,309.1,313.56,20400
2024-02-09,311.0,316.0,300.0,308.45,24800
2024-02-12,308.5,313.87,297.4,298.95,57900
2024-02-13,293.93,310.0,288.0,304.9,48900
2024-02-14,307.0,316.0,305.03,306.93,27500
2024-02-15,302.21,307.0,301.53,302.61,14600
2024-02-16,298.26,304.89,296.0,297.52,31600
2024-02-19,290.53,305.0,290.53,301.84,23300
2024-02-20,308.95,317.0,301.0,311.3,24600
2024-02-21,320.0,322.0,312.07,317.88,75800
2024-02-22,318.87,318.87,313.51,314.27,9100
2024-02-23,318.99,319.0,310.15,318.03,7100
2024-02-26,318.0,320.0,315.0,316.2,15900
2024-02-27,315.0,319.75,293.01,300.33,200700
2024-02-28,300.0,304.7,293.58,302.12,48900
2024-02-29,302.0,306.8,298.0,302.08,39800
2024-03-01,302.98,313.0,302.0,307.68,84300
2024-03-04,311.0,314.0,307.7,308.4,37200
2024-03-05,308.2,309.0,302.51,306.5,20300
2024-03-06,309.89,309.89,300.18,304.1,71600
2024-03-07,302.45,303.0,290.0,296.43,84500
2024-03-08,299.9,300.0,295.0,298.2,37500
2024-03-11,300.0,308.5,298.5,303.18,63000
2024-03-12,304.0,304.99,297.0,298.84,22300
2024-03-13,297.0,299.0,289.9,291.53,15800
2024-03-14,296.8,303.0,293.5,299.56,25100
2024-03-15,302.5,303.0,296.11,297.82,9800
2024-03-18,302.99,302.99,296.68,298.33,8700
2024-03-19,299.99,300.0,297.0,298.0,4400
2024-03-20,299.0,299.0,295.0,295.11,5500
2024-03-21,294.0,297.0,291.5,293.5,11900
2024-03-22,295.0,295.0,290.5,292.68,9300
2024-03-25,291.0,293.33,289.5,292.07,12800
2024-03-26,290.0,292.0,290.0,291.5,3800
2024-03-27,291.0,299.49,289.12,295.17,13800
2024-03-28,295.97,298.0,290.0,296.82,12500
2024-03-29,293.53,300.0,293.0,298.16,10500
2024-04-01,297.96,298.0,290.0,292.23,21200
2024-04-02,290.1,291.56,275.16,285.45,11200
2024-04-03,285.3,287.5,280.13,283.79,13600
2024-04-04,282.0,287.5,282.0,284.9,9800
2024-04-08,288.89,288.89,283.01,284.86,2700
2024-04-09,285.0,285.0,280.0,283.83,15600
2024-04-15,285.0,285.0,277.0,278.75,19000
2024-04-16,278.0,282.0,278.0,280.05,12000
2024-04-17,280.01,281.4,278.1,281.11,10000
2024-04-18,282.98,282.98,274.0,275.77,19900
2024-04-19,273.15,295.0,273.0,289.23,67200
2024-04-22,290.1,298.99,290.0,293.18,26472
2024-04-23,292.0,302.0,271.26,298.67,112135
2024-04-24,303.95,304.0,296.0,299.23,41418
2024-04-25,298.0,304.0,292.13,302.01,29991
2024-04-26,299.01,301.5,286.1,288.7,90998
2024-04-29,289.99,289.99,280.0,282.51,29045
2024-04-30,281.05,284.24,281.0,282.14,15292
2024-05-02,280.33,282.5,275.0,278.0,16547
2024-05-03,275.03,281.98,275.0,279.34,11811
2024-05-06,279.0,285.0,279.0,282.61,18123
2024-05-07,285.0,285.0,279.0,283.0,37702
2024-05-08,285.0,288.0,282.0,282.93,13667
2024-05-09,285.0,304.15,285.0,304.15,165330
2024-05-10,319.0,326.96,312.2,326.96,116023
2024-05-13,328.1,342.0,317.25,324.59,75455
2024-05-14,320.1,340.45,320.0,336.1,89322
2024-05-15,340.9,361.31,333.0,361.31,114790
2024-05-16,370.0,383.99,335.15,337.96,179071
2024-05-17,340.01,342.98,327.0,329.24,64336
2024-05-20,333.0,333.0,320.23,327.87,15105
2024-05-21,334.0,334.0,322.5,323.89,22736
2024-05-22,323.89,323.89,317.0,317.53,28488
2024-05-23,318.1,320.0,314.06,318.09,19019
2024-05-24,318.0,324.98,312.01,317.5,12477
2024-05-27,317.53,328.0,312.06,312.92,12974
2024-05-29,311.5,314.15,301.0,304.9,33655
2024-05-30,312.0,318.99,308.5,316.18,85111
2024-05-31,316.0,317.0,311.0,313.03,15209
2024-06-03,315.0,315.0,307.0,308.29,11691
2024-06-04,315.0,315.0,306.0,306.61,6214
2024-06-05,304.5,309.5,301.2,302.93,6633
2024-06-06,306.8,311.0,303.0,303.95,23464
2024-06-07,297.06,304.8,291.0,299.51,54091
2024-06-10,294.6,300.0,294.5,298.32,8626
