date,open,high,low,close,volume
2023-11-27,117.6,120,117.6,118.07,800
2023-11-28,118,120,118,120,600
2023-11-29,120,121,120,120.33,300
2023-11-30,117.99,119.99,117.1,118.92,10300
2023-12-01,119,126.82,119,126.17,44500
2023-12-04,127,127,122,122.54,4400
2023-12-05,122.1,122.1,120.02,122,1300
2023-12-06,122,131.15,121.99,131.08,46300
2023-12-07,134.98,140.91,134.98,140.9,22500
2023-12-08,140,146,135,135.17,13500
2023-12-11,130.15,134,125.65,129.25,14800
2023-12-12,131.5,138.9,131.5,134.06,4000
2023-12-13,134.3,134.3,130,130,2400
2023-12-14,125.01,131,125.01,130.5,900
2023-12-15,132,134.98,132,132.34,1200
2023-12-19,125.06,128,122.41,122.41,17500
2023-12-22,124,126.98,121.01,123.59,1300
2023-12-26,124.48,124.48,124.48,123.59,100
2023-12-27,116.61,123.5,116.61,123.59,200
2023-12-28,122,127.5,122,127.5,4700
2023-12-29,121.1,129.99,120,120.01,6900
2024-01-01,121,126,121,125,15500
2024-01-02,121.5,121.5,121.5,125,100
2024-01-03,124.55,125,124.55,125,1600
2024-01-04,125,125,125,125,4300
2024-01-05,125,125,125,125,3000
2024-01-08,129.7,129.7,129.7,125,100
2024-01-10,125,127.99,121.05,124.86,700
2024-01-11,124.4,128.72,122.5,125.61,400
2024-01-12,129.65,129.65,123.1,126.28,800
2024-01-15,126.28,129.89,126.28,126.88,600
2024-01-16,125,127.99,121.01,123.34,1000
2024-01-17,120.2,126,118,125.92,2100
2024-01-18,123,125.5,121.01,123.17,300
2024-01-23,125,125,121.5,124.95,800
2024-01-25,126.95,126.95,125,126.28,500
2024-01-29,125,127.72,125,125.44,900
2024-01-30,126,126,120,124.59,2400
2024-01-31,120.2,124.49,120.2,124.59,200
2024-02-01,124.48,124.48,124.48,124.59,100
2024-02-02,121.1,121.1,121.1,124.59,200
2024-02-12,120.01,120.1,116.06,118.09,1400
2024-02-13,117,117,117,118.09,100
2024-02-14,120,120,118,118.5,3600
2024-02-15,118.5,120,118,119.83,1300
2024-02-16,120,120,117.5,119.83,200
2024-02-19,118.95,119,118,118.21,800
2024-02-20,120,120,120,118.21,100
2024-02-21,119.99,120,119.99,120,400
2024-02-22,120,120,120,120,100
2024-02-23,118,118,118,118,500
2024-02-26,120,121,120,120.02,1200
2024-02-27,118.5,118.5,118.5,118.5,500
2024-02-28,118.5,119.75,118,118.44,1600
2024-02-29,116,122,115.1,116.74,1500
2024-03-01,118,118,112,112.83,4200
2024-03-04,113.5,114,112.25,112.82,1600
2024-03-05,112.25,116.9,112.25,114.72,1300
2024-03-08,112.5,114.25,112.5,114.18,1100
2024-03-11,118.99,118.99,115,114.18,200
2024-03-13,115,115,112,114.18,200
2024-03-15,111.5,111.5,110,110.29,900
2024-03-20,110.5,110.5,110.5,110.29,200
2024-03-21,112,112.5,112,110.29,200
2024-03-25,109,109.05,109,109.03,500
2024-03-27,113.99,113.99,113.99,109.03,100
2024-03-28,111,111,110,110.67,300
2024-03-29,112,114.5,112,112.42,600
2024-04-02,109,109,109,112.42,200
2024-04-03,108,112.9,108,109.8,600
2024-04-04,110,113,108,108.27,3000
2024-04-08,109,113,105.52,108.34,2600
2024-04-09,110.9,111,109,109,600
2024-04-16,107.01,109.98,107.01,109,200
2024-04-19,107,110,106.02,108.63,700
2024-04-22,111,111,110.99,108.63,4
2024-04-23,111,112.97,111,111.55,4008
2024-04-24,112,112,111,111.35,258
2024-04-25,114,114,111,111,7436
2024-04-26,113.85,113.85,111,113.55,1510
2024-04-29,111.05,112.55,110.02,110.78,1230
2024-04-30,111,111,105,106.03,1673
2024-05-02,109.75,109.75,106.03,106.03,101
2024-05-03,108.9,109.9,106,106.03,108
2024-05-06,106.1,109,106.1,108.3,1103
2024-05-07,109.9,110.99,109,110,211
2024-05-08,110.99,110.99,108,108.3,104
2024-05-09,108,110.9,101,106.68,1463
2024-05-10,109.89,109.89,106,107,2716
2024-05-13,109.98,109.98,105,105.44,1220
2024-05-14,109,109,107.56,105.44,113
2024-05-15,109.9,109.9,109.9,105.44,107
2024-05-16,109.9,113.35,109.9,110.34,2965
2024-05-17,113.5,114.98,107.25,110.88,1746
2024-05-20,108.5,108.5,107.51,108,1660
2024-05-21,107.1,111.5,107,110,988
