date,open,high,low,close,volume
2024-01-17,5.69,5.69,5.5,5.61,447500
2024-01-18,5.57,5.57,5.11,5.35,956500
2024-01-19,5.4,5.5,5.32,5.4,307000
2024-01-22,5.4,5.45,5.38,5.4,363000
2024-01-23,5.4,5.5,5.4,5.49,629000
2024-01-24,5.5,5.78,5.5,5.7,1102000
2024-01-25,5.7,5.82,5.62,5.75,1121000
2024-01-26,5.75,5.8,5.7,5.75,911500
2024-01-29,5.7,5.72,5.57,5.6,129500
2024-01-30,5.55,5.55,5.14,5.19,923500
2024-01-31,5.3,5.57,5.3,5.5,450000
2024-02-01,5.59,5.65,5.5,5.51,249500
2024-02-02,5.59,5.65,5.53,5.6,199500
2024-02-06,5.52,5.64,5.51,5.52,426500
2024-02-07,5.56,5.61,5.5,5.51,151000
2024-02-09,5.31,5.55,5.3,5.5,251000
2024-02-12,5.4,5.5,5.2,5.27,804500
2024-02-13,5.06,5.3,5.05,5.26,449500
2024-02-14,5.38,5.59,5.35,5.55,998000
2024-02-15,5.5,5.59,5.35,5.47,498000
2024-02-16,5.5,5.55,5.39,5.43,1097000
2024-02-19,5.35,5.53,5.35,5.52,364000
2024-02-20,5.5,5.6,5.5,5.53,113000
2024-02-21,5.6,5.65,5.46,5.51,917500
2024-02-22,5.53,5.54,5.46,5.5,581000
2024-02-23,5.46,5.53,5.42,5.5,415000
2024-02-26,5.55,5.59,5.5,5.57,504500
2024-02-27,5.53,5.63,5.4,5.43,1046000
2024-02-28,5.45,5.58,5.45,5.55,473500
2024-02-29,5.6,5.6,5.5,5.5,333500
2024-03-01,5.5,5.55,5.46,5.5,246000
2024-03-04,5.42,5.57,5.42,5.5,210000
2024-03-05,5.43,5.65,5.43,5.56,478500
2024-03-06,5.59,5.65,5.5,5.58,378000
2024-03-07,5.61,5.61,5.41,5.48,288500
2024-03-08,5.45,5.6,5.45,5.52,629000
2024-03-11,5.59,5.6,5.35,5.5,1008500
2024-03-12,5.5,5.52,5.35,5.36,446500
2024-03-13,5.48,5.48,5.2,5.28,153000
2024-03-14,5.21,5.49,5.21,5.4,330500
2024-03-15,5.59,5.59,5.27,5.34,207500
2024-03-18,5.23,5.44,5.13,5.17,1185000
2024-03-19,5.2,5.21,5.15,5.18,633000
2024-03-20,5.2,5.23,5.14,5.16,370000
2024-03-21,5.24,5.24,5.14,5.18,178000
2024-03-22,5.21,5.21,5.15,5.2,629500
2024-03-25,5.2,5.23,5.2,5.22,87500
2024-03-26,5.19,5.23,5.17,5.2,351500
2024-03-27,5.15,5.19,5.09,5.14,531000
2024-03-28,5.14,5.22,5.11,5.21,479500
2024-03-29,5.23,5.3,5.21,5.29,368500
2024-04-01,5.33,5.33,5.22,5.26,44000
2024-04-02,5.11,5.6,5.09,5.52,1772500
2024-04-03,5.58,5.78,5.45,5.57,16977500
2024-04-04,5.57,5.64,5.35,5.4,2072000
2024-04-08,5.31,5.48,5.25,5.27,1030000
2024-04-09,5.27,5.34,5.23,5.24,927000
2024-04-15,5.2,5.35,5.15,5.3,1743500
2024-04-16,5.3,5.33,5.26,5.3,1253500
2024-04-17,5.32,5.34,5.25,5.26,459000
2024-04-18,5.3,5.34,5.25,5.27,1389500
2024-04-19,5.25,5.3,5.2,5.22,344500
2024-04-22,5.25,5.42,5.22,5.34,970500
2024-04-23,5.35,5.84,5.3,5.51,7286000
2024-04-24,5.5,5.69,5.5,5.57,2075500
2024-04-25,5.55,5.66,5.4,5.43,2116000
2024-04-26,5.45,5.48,5.38,5.42,1204000
2024-04-29,5.43,5.5,5.37,5.39,874000
2024-04-30,5.35,5.35,5.07,5.09,3724500
2024-05-02,5.06,5.08,4.9,4.98,1971000
2024-05-03,5,5.09,4.87,5.06,6032000
2024-05-06,5.19,5.42,5.17,5.34,3773500
2024-05-07,5.4,5.44,5.27,5.34,1380000
2024-05-08,5.25,5.4,5.2,5.28,760000
2024-05-09,5.3,5.62,5.23,5.55,2221000
2024-05-10,5.6,6.1,5.55,5.97,12699000
2024-05-13,6.01,6.51,5.79,6.18,15463723
2024-05-14,6.22,6.31,5.9,6,4109697
2024-05-15,6,6.24,5.92,5.97,4201803
2024-05-16,6.02,6.09,5.76,5.95,2250908
2024-05-17,5.98,6.44,5.96,6.23,8134679
2024-05-20,6.4,6.4,6.01,6.03,3480077
2024-05-21,6.02,6.17,6.01,6.09,3106440
2024-05-22,6.14,6.17,5.9,5.91,2752306
2024-05-23,6,6.07,5.9,6.03,1877534
2024-05-24,6.07,6.18,6.01,6.05,1377481
2024-05-27,6.05,6.05,5.92,6.01,1382824
2024-05-29,5.95,6.02,5.76,5.85,1128177
2024-05-30,5.9,6,5.8,5.96,1720814
2024-05-31,5.9,6,5.7,5.76,3489406
2024-06-03,5.85,5.92,5.7,5.9,856822
2024-06-04,5.92,6.05,5.75,5.84,866619
2024-06-05,5.78,5.84,5.7,5.75,509242
2024-06-06,5.89,5.9,5.71,5.79,1185386
2024-06-07,5.72,5.85,5.6,5.77,714071
2024-06-10,5.88,5.88,5.7,5.84,204734
2024-06-11,6,6,5.52,5.61,2157328
2024-06-12,5.57,5.72,5.57,5.66,579224
2024-06-13,5.68,6,5.65,5.95,4817390
2024-06-14,5.94,5.94,5.65,5.69,533077
2024-06-20,5.73,6.05,5.7,5.86,1891406
2024-06-21,5.86,6,5.75,5.8,506713
2024-06-24,5.71,5.8,5.7,5.74,692407
2024-06-25,5.72,5.74,5.47,5.51,1030472
2024-06-26,5.52,5.64,5.41,5.49,936494
2024-06-27,5.42,5.5,5.42,5.48,307895
2024-06-28,5.59,5.59,5.36,5.5,692129
2024-07-01,5.41,5.58,5.41,5.43,187871
2024-07-02,5.5,5.6,5.45,5.53,920411
2024-07-03,5.59,5.66,5.55,5.65,1375162
2024-07-04,5.68,5.68,5.48,5.52,2121488
2024-07-05,5.66,5.66,5.35,5.39,2591938
2024-07-08,5.31,5.59,5.31,5.56,436917
2024-07-09,5.6,5.74,5.48,5.53,5323412
2024-07-10,5.65,5.65,5.2,5.34,1783620
2024-07-11,5.21,5.4,5.21,5.28,1351475
2024-07-12,5.25,5.36,5.2,5.26,794926
2024-07-15,5.3,5.39,5.2,5.29,1070348
2024-07-18,5.26,5.31,5.21,5.27,461463
2024-07-19,5.25,5.32,5.19,5.22,1081341
2024-07-22,5.24,5.24,4.93,4.97,1496301
2024-07-23,4.98,5.12,4.9,4.93,989985
2024-07-24,4.93,5.07,4.9,4.96,440594
2024-07-25,4.98,5.05,4.95,4.99,1161603
