date,open,high,low,close,volume
2023-06-09,6.01,6.01,6.01,6.01,1000
2023-06-12,6.35,6.39,5.3,5.5,4500
2023-06-13,5.5,5.5,5.5,5.5,2000
2023-06-14,5.1,6.5,5.1,6.38,25000
2023-06-15,6.38,6.38,6.04,6.31,5000
2023-06-16,6.01,6.79,5.65,5.94,7500
2023-06-19,6.15,6.15,5.1,5.94,7500
2023-06-20,5.99,5.99,5.07,5.07,4500
2023-06-21,5.74,5.74,5.04,5.32,6000
2023-06-22,5.5,5.73,5.21,5.61,4500
2023-06-23,5.25,5.25,5.25,5.25,500
2023-06-26,5.8,5.8,5.35,5.35,6000
2023-06-27,5.79,5.99,5.79,5.94,14000
2023-07-03,6.3,6.3,5.62,5.91,5000
2023-07-04,5.02,5.02,5.02,5.02,500
2023-07-06,4.75,4.75,4.75,4.75,500
2023-07-07,5.02,5.06,5.02,5.06,6000
2023-07-10,5.55,5.55,5.55,5.55,3500
2023-07-11,5.04,5.04,5.04,5.04,2000
2023-07-12,5.5,5.5,5.06,5.37,3000
2023-07-13,5.5,5.5,5.13,5.43,4500
2023-07-14,5.58,5.59,4.82,5.2,2000
2023-07-17,5.6,5.9,5.51,5.51,7000
2023-07-18,5.17,5.8,5.17,5.67,2500
2023-07-19,6,6.3,5.57,5.57,3000
2023-07-20,5.75,5.75,5.51,5.51,7000
2023-07-21,6.4,6.4,5.43,5.63,2500
2023-07-24,6.28,6.31,6.28,6.31,12500
2023-07-25,6.31,6.31,6.1,6.1,2000
2023-07-31,5.49,5.8,5.49,5.8,12000
2023-08-02,5.34,5.46,5.33,5.33,5500
2023-08-03,6,6,5.48,5.48,2000
2023-08-09,5.19,5.19,5.19,5.19,500
2023-08-16,5.02,5.02,5,5,6000
2023-08-28,5.75,5.78,5.1,5.1,4000
2023-08-31,5.4,5.4,5.4,5.4,3000
2023-09-07,5.42,5.42,5.42,5.42,500
2023-09-14,4.63,4.63,4.63,4.63,500
2023-09-18,3.65,3.65,3.65,3.65,500
2023-09-22,4.65,4.65,4.65,4.65,500
2023-09-25,5.65,5.65,5.64,5.65,9500
2023-09-26,5.65,5.65,5.65,5.65,2500
2023-09-27,5.02,5.02,5.02,5.02,500
2023-09-28,5.3,5.5,4.7,5.1,1500
2023-10-03,5.3,5.3,5.3,5.3,3000
2023-10-04,5.02,5.3,5.02,5.16,6000
2023-10-05,4.9,5.16,4.9,5.15,13000
2023-10-06,5.74,5.94,5.74,5.94,3500
2023-10-09,5.14,5.14,5.14,5.14,1000
2023-10-10,5.5,5.5,5.5,5.5,2000
2023-10-11,5.79,5.89,5.6,5.69,4000
2023-10-16,5.12,6.48,5.12,6.4,4000
2023-10-17,5.55,5.9,5.55,5.8,8500
2023-10-18,6.2,6.8,6.05,6.79,35500
2023-10-19,7,7.17,6.71,7.01,9000
2023-10-20,6.8,8,6.8,8,4500
2023-10-23,8,8,8,8,1000
2023-10-24,7.1,7.1,7.1,7.1,500
2023-10-30,7,7,7,7,1500
2023-11-08,7,7,7,7,1500
2023-11-15,6.21,6.95,6.2,6.95,2000
2023-11-17,6.94,6.94,6.94,6.94,1000
2023-11-27,6.1,6.1,6,6,2500
2023-11-28,6,6,6,6,500
2023-12-06,6.49,6.5,6.49,6.5,2500
2023-12-08,6.5,7,6.16,7,5000
2023-12-11,7.38,7.5,7.38,7.5,5000
2023-12-12,8,8.5,8,8.01,65500
2023-12-13,7.5,7.5,7.4,7.4,8500
2023-12-14,7.79,7.79,7.79,7.79,500
2023-12-15,7.78,8.79,7.78,8.7,32500
2023-12-18,7.81,8.7,7.81,8.6,36000
2023-12-19,7.6,8.22,7.6,7.6,16000
2023-12-20,6.72,6.72,6.72,6.72,500
2024-01-01,7,7,7,7,500
2024-01-02,7,7,6.5,6.5,1000
2024-01-03,6.31,6.31,6.31,6.31,500
2024-01-04,6,7.31,6,7.29,194000
2024-01-05,8.29,8.29,8.24,8.29,25000
2024-01-08,8,8,7.56,7.56,1500
2024-01-10,7.96,7.96,7.96,7.96,5000
2024-01-15,7.22,7.22,7.22,7.22,500
2024-01-17,6.4,6.4,6.4,6.4,500
2024-01-18,5.77,5.77,5.77,5.77,500
2024-01-19,5.74,5.74,5.74,5.74,500
2024-01-24,5.14,6.73,5.11,6.72,3000
2024-01-25,7.7,7.7,7.7,7.7,500
2024-01-26,6.71,8.6,6.71,7.66,1500
2024-01-29,6.66,8.66,6.66,7.66,27500
2024-01-30,8.5,8.5,7,7.12,25000
2024-01-31,7.99,7.99,6.6,7.95,7000
2024-02-01,8.5,8.95,7.5,8.39,9500
2024-02-02,8.39,8.49,7.39,7.5,31000
2024-02-06,7.7,7.79,7.11,7.11,1500
2024-02-07,7.6,7.6,7.11,7.32,2000
2024-02-09,6.75,6.75,6.75,6.75,500
2024-02-12,7,7,6.36,6.43,2500
2024-02-14,7.38,7.38,6.7,6.71,3500
2024-02-21,6.65,7.6,6.65,6.85,6000
2024-02-22,6.52,6.52,6.52,6.52,1500
2024-02-26,7.12,7.52,7,7.52,17000
2024-02-27,8,8,7.51,7.75,1500
2024-02-28,7.61,7.61,7.01,7.01,2500
2024-02-29,7.99,8.01,7.05,7.91,16500
2024-03-01,8.5,8.8,8.45,8.79,14000
2024-03-04,8.5,9,8.5,9,15000
2024-03-05,9.99,9.99,8.5,8.5,5500
2024-03-08,7.52,9.3,7.52,9.3,4000
2024-03-11,8.5,9.45,8.5,9,15500
2024-03-12,8.22,8.22,8.22,8.22,500
2024-03-13,7.5,7.5,7.5,7.5,500
2024-03-14,7,7.01,7,7,10500
2024-03-18,6.36,6.36,6.36,6.36,500
2024-03-19,7.36,7.36,7.36,7.36,1000
2024-03-20,6.65,7.5,6.65,7.01,7000
2024-03-26,7,7,7,7,10500
2024-03-28,7,7,7,7,1000
2024-04-09,7,7,6.51,6.51,2500
2024-04-15,6.26,6.26,6.25,6.25,2000
2024-04-16,7.23,7.23,7.23,7.23,500
2024-04-17,8.2,8.2,6.52,6.52,4500
2024-04-23,7.5,7.5,7.5,7.5,500
2024-04-25,6.92,6.92,6.92,6.92,500
2024-04-29,6.35,6.35,6.35,6.35,500
2024-05-06,7.35,7.35,7.35,7.35,1000
2024-05-08,6.61,6.61,6.61,6.61,500
2024-05-10,7.61,7.61,7.61,7.61,500
2024-05-13,7.99,8.19,7.99,8.19,62500
2024-05-14,8,8.02,7.49,7.76,1500
2024-05-16,7.04,8.25,6.9,8,49000
2024-05-17,7.52,7.52,7.52,7.52,500
2024-05-20,7.52,8.52,7.52,8.52,18500
2024-05-22,8.99,8.99,8.2,8.2,5000
2024-05-23,8.11,8.19,8.11,8.19,3000
2024-05-24,8.01,8.01,8.01,8.01,1000
2024-05-27,7.55,7.55,7.55,7.55,500
2024-05-29,8.38,8.55,8,8.55,25001
2024-05-30,8.9,9,8.1,8.7,8503
2024-05-31,7.71,9,7.71,8.24,6001
2024-06-04,8.3,8.3,8.3,8.3,1000
2024-06-05,8.3,8.3,8.3,8.3,10
2024-06-06,7.53,8.1,7.52,8.08,4815
2024-06-07,8.13,8.13,7.25,7.25,1000
2024-06-10,7.35,7.35,7.35,7.35,500
2024-06-11,7.08,7.08,7,7.03,5000
2024-06-12,7.3,7.5,7.3,7.5,11045
2024-06-14,8.39,8.39,7.61,7.5,141
2024-06-25,7.52,7.52,7.52,7.5,340
2024-06-26,7.12,7.99,7.12,7.97,6000
2024-06-27,7.5,7.5,7.33,7.42,1847
2024-06-28,7.5,7.5,7.5,7.5,500
2024-07-02,7.5,8,7.13,7.57,23000
2024-07-05,7.56,7.56,7.56,7.56,500
2024-07-12,7.14,7.14,7.14,7.14,1130
2024-07-18,7.1,7.1,7.1,7.1,1010
2024-07-19,7.05,8.1,7.05,8.1,48824
2024-07-22,8.99,8.99,8.01,8.17,48100
2024-07-23,8.9,8.9,8.02,8.05,11012
2024-07-24,8.64,8.64,8.64,8.05,100
2024-07-25,7.21,7.31,7.21,8.05,5145
2024-07-29,8.65,8.65,7.52,7.52,4000
2024-07-30,7.3,8.52,7.3,8.52,24319
2024-07-31,9.52,9.52,8.51,9.3,48623
2024-08-01,8.41,9.7,8.41,8.63,5282
2024-08-02,8.99,8.99,8,8.26,12397
2024-08-05,7.57,8.8,7.57,7.81,2904
2024-08-06,6.86,8.11,6.86,7.55,8503
2024-08-07,8.09,8.55,8.09,8.55,15297
2024-08-08,9.35,9.35,8.1,9.3,16402
2024-08-09,8.4,10.25,8.4,9.12,13674
2024-08-12,8.15,9,8.15,9,8608
2024-08-13,8.04,8.99,8.04,8.7,7205
2024-08-15,9.68,9.68,8.75,8.99,10552
2024-08-16,9.49,9.95,8.55,8.55,3000
2024-08-19,7.6,8.65,7.6,8.5,5300
2024-08-21,9,9.4,8.5,9,7005
2024-08-22,9,9.2,8.71,9,2014
2024-08-23,9.95,9.95,8.21,9,7694
2024-08-27,9.59,9.6,8.51,9.16,9947
2024-08-28,8.51,9.4,8.51,8.6,1715
2024-08-29,9.3,9.3,8.52,8.65,11141
2024-08-30,9.55,9.55,8.4,9,14567
2024-09-02,9.2,9.9,9.01,9.42,12949
2024-09-03,9.5,9.5,9.5,9.5,1001
2024-09-04,9.5,9.5,9.08,9.09,3800
2024-09-05,9.7,9.84,9.1,9.49,14200
2024-09-06,9.25,9.25,9,9.02,500
2024-09-09,9.03,9.03,9.03,9.02,2659
2024-09-10,9,9.69,9,9.5,4960
2024-09-11,9.8,10.27,9.51,10.13,6946
2024-09-12,10.3,10.3,9.23,9.49,1002
2024-09-13,10.18,10.18,9.51,9.51,953
2024-09-16,10.25,10.25,9.04,9.18,504
2024-09-18,9.5,10.18,9.5,10.18,24414
2024-09-19,9.76,11.2,9.76,10.13,8058
2024-09-20,9.15,10.5,9.15,9.41,608
2024-09-23,9.32,10.2,8.42,9.26,7642
2024-09-24,9.95,9.95,9,9.39,8000
2024-09-25,9.38,9.38,9.38,9.39,70
2024-09-26,8.4,10.24,8.4,10.09,1003
2024-09-30,9.25,9.25,9.25,9.25,2298
2024-10-01,8.26,9.8,8.26,9.01,5100
2024-10-02,9.8,9.8,9,9.01,4610
2024-10-04,8.5,10.01,8.5,9.05,2703
2024-10-07,9,9,9,9,1150
2024-10-08,9,9,9,9,6
2024-10-09,8.66,9.83,8.66,8.66,2700
2024-10-10,9.2,9.26,8.81,8.66,353
2024-10-14,8.14,8.8,8.14,8.66,40
2024-10-16,8.26,9.32,8.26,9.2,5848
2024-10-17,9.75,9.75,9.75,9.2,20
2024-10-18,9.65,9.65,8.2,9.2,243
2024-10-21,8.75,8.8,8.75,8.75,577
2024-10-22,0,0,0,8.75,500
2024-10-23,7.85,9.65,7.85,8.99,11250
2024-10-24,9.01,9.01,9,9,1000
2024-10-25,8.14,8.14,8.14,9,1
2024-10-28,8.24,9.4,8.24,8.24,502
2024-10-29,9.24,9.24,8.3,8.3,551
2024-10-31,9.26,9.26,9.1,8.3,300
2024-11-04,9,9,8.8,8.3,148
2024-11-05,8.31,8.31,8.31,8.3,100
2024-11-06,8.31,8.31,8.3,8.3,557
2024-11-07,8.3,9.3,8.3,9.3,3598
2024-11-08,8.55,10,8.54,9.08,1157
2024-11-11,9.8,9.98,8.76,8.83,1842
2024-11-12,9,9,9,8.83,62
2024-11-14,8,9.4,8,8,501
2024-11-15,8.95,9,8.95,9,1116
2024-11-18,8.04,9.5,8.04,9,14
2024-11-19,9.39,10,9.39,9.81,6992
2024-11-20,9.81,10.5,8.81,9.68,6938
2024-11-21,10.2,10.5,10,10.29,4630
2024-11-22,10.45,10.5,9.28,9.33,1544
2024-11-25,10.24,10.33,10.24,10.33,4550
2024-11-26,11.33,11.33,9.31,9.74,8173
2024-11-27,10.5,10.5,8.78,9.74,511
2024-11-28,8.81,10.45,8.75,10,3887
2024-11-29,10.8,10.8,9.81,10,3
2024-12-02,10.99,10.99,9.11,10.22,1510
2024-12-03,10.99,11.24,10.13,11.24,11616
2024-12-04,11.74,12.1,10.5,11.51,18651
2024-12-05,11.48,12,10.64,12,12112
2024-12-06,12.49,12.49,11.31,11.37,1024
2024-12-09,11.31,12.14,11.31,11.6,617
2024-12-10,10.48,11.98,10.48,10.91,1806
2024-12-11,11.9,12,11.07,11.59,9748
2024-12-12,11,12.6,10.62,12.49,2088
2024-12-13,11.27,13.64,11.27,11.59,1510
2024-12-16,12.5,12.5,11.18,11.19,504
2024-12-17,11.19,11.99,11,11.12,504
2024-12-18,11.96,11.96,11.04,11.12,4
2024-12-19,10.16,12,10.16,10.51,2375
