date,open,high,low,close,volume
2023-02-02,556.0,556.0,556.0,556.0,50
2023-02-03,550.0,550.0,515.56,515.56,150
2023-02-07,550.0,550.0,550.0,550.0,100
2023-02-08,521.01,521.01,521.01,521.01,50
2023-02-09,501.0,501.0,501.0,501.0,50
2023-02-10,538.57,538.57,465.0,489.52,300
2023-02-13,526.23,526.23,461.0,481.59,750
2023-02-15,517.7,517.7,517.7,517.7,50
2023-02-17,500.1,510.0,500.1,510.0,400
2023-02-20,530.0,548.25,530.0,546.46,1150
2023-02-21,587.43,587.43,587.43,587.43,50
2023-02-22,631.0,631.0,544.0,620.0,250
2023-02-23,664.0,664.0,573.5,618.99,400
2023-02-24,575.0,575.0,575.0,575.0,100
2023-02-27,617.9,617.9,600.0,617.0,450
2023-02-28,661.0,661.0,571.0,571.0,350
2023-03-01,528.18,528.18,528.18,528.18,150
2023-03-02,567.78,567.78,490.1,500.5,400
2023-03-03,538.0,538.0,538.0,538.0,50
2023-03-06,501.51,568.0,497.65,497.77,4100
2023-03-07,465.1,475.0,461.0,462.02,1150
2023-03-08,441.1,462.02,441.1,462.02,50
2023-03-09,429.0,435.5,429.0,432.25,100
2023-03-10,401.25,431.0,401.25,421.01,150
2023-03-13,441.0,441.0,421.01,421.01,50
2023-03-14,452.58,452.58,421.01,421.01,50
2023-03-15,390.0,430.01,390.0,415.01,150
2023-03-16,446.13,446.13,416.0,416.0,50
2023-03-17,447.2,447.2,402.0,417.07,350
2023-03-20,448.35,448.35,448.35,448.35,100
2023-03-21,481.0,481.97,451.01,451.01,250
2023-03-22,420.1,441.0,420.1,427.07,150
2023-03-24,400.0,400.0,400.0,400.0,100
2023-03-27,430.0,430.0,430.0,430.0,200
2023-03-28,462.25,462.25,406.1,422.4,500
2023-03-29,402.0,402.0,401.0,401.0,200
2023-03-30,430.0,430.0,402.0,402.0,200
2023-04-03,432.15,432.15,415.63,415.63,50
2023-04-04,446.8,446.8,446.8,446.8,50
2023-04-05,480.31,480.31,480.31,480.31,850
2023-04-06,495.0,500.0,495.0,500.0,400
2023-04-07,537.0,537.0,463.0,486.15,650
2023-04-10,522.6,522.6,461.25,461.25,200
2023-04-11,495.83,495.83,455.01,455.01,200
2023-04-12,489.13,489.13,456.2,456.2,200
2023-04-13,490.41,490.41,440.25,457.81,400
2023-04-17,433.3,457.81,433.3,457.81,50
2023-04-18,478.99,478.99,430.3,430.43,200
2023-04-19,459.99,459.99,459.99,459.99,100
2023-04-20,494.0,494.0,430.0,447.04,500
2023-04-26,474.99,474.99,474.99,474.99,100
2023-04-27,509.9,509.9,440.0,443.53,400
2023-04-28,476.76,476.76,476.76,476.76,100
2023-05-02,497.99,497.99,497.99,497.99,150
