date,open,high,low,close,volume
2023-01-03,30.1,32.25,30.1,32.25,3000
2023-01-05,31,32.25,31,32.25,4000
2023-01-06,32.5,32.5,32.5,32.5,2000
2023-01-09,32,32,31.99,31.99,2000
2023-01-10,32,32,31,31,4500
2023-01-16,30,30,29.01,29.01,4000
2023-01-17,29,29.25,29,29.25,2500
2023-01-20,28,28,28,28,1000
2023-01-24,28,28,28,28,1000
2023-01-25,29.99,29.99,28,28.5,4000
2023-01-26,28.5,29.5,28.5,29.5,9500
2023-01-27,28.5,28.5,28.5,28.5,500
2023-01-30,28.75,28.75,28.6,28.6,5000
2023-01-31,27.75,28.65,27.75,28.65,4000
2023-02-01,28.65,29,28.65,28.75,4000
2023-02-02,29.25,29.25,29.25,29.25,1000
2023-02-07,29,29,29,29,2000
2023-02-08,29.6,31.17,29.6,31.17,7500
2023-02-09,31.15,31.15,31.15,31.15,1000
2023-02-13,29.5,30.01,29.5,30.01,1000
2023-02-14,30.5,30.5,30.5,30.5,1000
2023-02-15,31,31,31,31,500
2023-02-23,32,32,31,31,14000
2023-02-24,31,31,31,31,4000
2023-03-13,32,32,32,32,1000
2023-04-11,32,32,32,32,500
2023-04-17,32,32,32,32,1500
2023-04-19,32.01,32.01,32.01,32.01,1000
2023-04-27,31.99,31.99,31.99,31.99,500
2023-05-02,32,32,30,30.01,8500
2023-05-04,31,31,31,31,1000
2023-05-10,29.5,29.5,29.5,29.5,1000
2023-05-11,28,28,28,28,2500
2023-05-12,30.1,30.1,26.35,28.23,1500
2023-05-15,26.25,26.25,26.25,26.25,500
2023-05-16,24.4,28.22,24.4,28.22,1000
2023-05-17,30.34,30.34,26.2,26.2,2000
2023-05-18,28.17,28.17,28.17,28.17,2000
2023-05-22,30.28,30.28,30.28,30.28,11500
2023-05-23,32.55,32.55,32.55,32.55,500
2023-05-24,34.99,34.99,34.99,34.99,500
2023-05-26,37.49,37.49,37.49,37.49,500
2023-05-29,35,35.1,34.68,34.68,13000
2023-05-30,34.68,34.68,34.68,34.68,500
2023-05-31,32.15,32.15,32.08,32.08,7000
2023-06-05,30.98,31,30.98,31,6500
2023-06-06,31.1,31.1,31.1,31.1,1000
2023-06-07,31.1,31.1,31,31,5500
2023-06-08,31,31.51,31,31.51,11500
2023-06-09,30,30,30,30,1500
2023-06-12,30.1,32.25,30,32.25,17500
2023-06-13,33.99,33.99,33.99,33.99,500
2023-06-14,32,32,32,32,500
2023-06-15,33.9,33.9,33.9,33.9,500
2023-06-16,31.36,34.95,31.36,34.95,1000
2023-06-19,32.33,32.33,32.33,32.33,3000
2023-06-27,30,30,30,30,11000
2023-07-03,30,30.25,30,30.25,11500
2023-07-04,30,30,30,30,5000
2023-07-10,32.25,32.25,31.5,30,5500
2023-07-11,31,31,31,31,500
2023-07-12,31,31,31,31,28000
2023-07-13,31.5,31.5,31.5,31.5,1000
2023-07-21,31.5,31.5,30.02,31,34000
2023-07-24,32.49,32.49,32.49,32.49,500
2023-07-27,32,32,32,32,3500
2023-07-31,32.54,32.54,32,32,10000
2023-08-01,31,31,31,31,10000
2023-08-02,31.25,31.5,31,31,7000
2023-08-03,31.01,31.01,31,31,4500
2023-08-07,30,30,30,30,500
2023-08-09,31.8,31.8,31.6,31.6,7000
2023-08-10,32,32,32,32,4000
2023-08-15,32.05,32.05,32,32,3000
2023-08-18,30.01,30.01,30,30,1500
2023-08-31,29,29,29,29,2000
2023-09-04,27,27,27,27,1500
2023-09-05,29.03,29.03,29.03,29.03,500
2023-09-11,27.52,27.52,27.52,27.52,500
2023-09-25,30.1,30.1,30.1,30.1,22000
2023-09-26,29,30.2,29,30,6000
2023-09-27,30.3,30.3,30,30,7000
2023-10-02,30,30,30,30,5500
2023-10-06,30,30,30,30,2000
2023-10-10,29.3,30,29.3,30,16000
2023-10-11,30,30,30,30,4000
2023-10-12,30,30,30,30,5000
2023-10-13,30.29,30.5,30.29,30.5,30500
2023-10-16,31,31,30.55,30.55,3000
2023-10-17,32,32,32,32,1500
2023-10-19,30.85,30.85,30.85,30.85,3000
2023-10-24,29.5,29.5,29.5,29.5,1000
2023-10-25,29,29,29,29,1000
2023-10-26,30,30.01,26.85,28,23000
2023-10-27,26.55,26.55,25.9,26.25,51000
2023-10-30,27,27,26.4,26.4,12000
2023-10-31,25.85,26,25.75,26,1500
2023-11-01,26.5,26.5,26.5,26.5,2500
2023-11-02,26.5,26.99,26.31,26.99,8500
2023-11-06,27.5,27.5,27.15,27.38,2500
2023-11-07,27.5,27.5,27.5,27.5,1000
2023-11-08,28,28,28,28,2500
2023-11-10,27.5,28.5,27.5,28.5,22000
2023-11-14,28.35,28.5,28.35,28.5,2000
2023-11-17,28.05,28.05,28.05,28.05,1000
2023-11-20,27,27,27,27,500
2023-11-22,27.76,27.76,27.76,27.76,1500
2023-11-23,27.75,28,27.75,27.84,3000
2023-11-24,29.49,29.49,28.9,28.9,2000
2023-11-27,28.5,28.5,28.5,28.5,500
2023-11-28,28.5,30.64,28.5,30.64,32000
2023-11-29,32.9,32.94,32.49,32.94,35500
2023-11-30,33.89,34,33.8,34,9500
2023-12-01,33.9,33.9,33.9,33.9,4000
2023-12-04,33.8,33.95,33.32,33.88,61500
2023-12-05,33,33,33,33,5000
2023-12-12,32,32,32,32,1000
2023-12-13,30.1,30.1,30.05,30.05,2000
2023-12-15,30,30.05,30,30.05,2500
2023-12-19,30,30,29,29.03,2000
2023-12-26,28.02,28.02,28,28,2000
2023-12-27,28.2,28.9,28.2,28.9,1000
2023-12-28,30,30,30,30,500
2024-01-01,27.76,32,27.76,32,1000
2024-01-03,31.49,31.49,31.49,31.49,1000
2024-01-04,30,32.99,30,32.99,1000
2024-01-11,30.55,30.55,30.55,30.55,500
2024-01-23,29,29,29,29,500
2024-01-24,28.55,28.55,28.55,28.55,500
2024-01-30,30.48,30.48,30.48,30.48,500
2024-01-31,30.48,30.48,30.48,30.48,1000
2024-02-07,30.5,30.5,30.5,30.5,2000
2024-02-12,29.5,29.5,29.5,29.5,1000
2024-02-16,27.5,27.55,27.5,27.55,1000
2024-02-27,29.6,29.6,29.6,29.6,10000
2024-03-05,27.5,29,27.5,29,1000
2024-03-12,31,31,31,31,1000
2024-03-18,31,31,31,31,1000
2024-03-20,28.7,28.7,28.7,28.7,1000
2024-03-21,30.85,30.85,30.85,30.85,25500
2024-03-26,28.54,28.54,28.54,28.54,1500
2024-04-17,29.2,29.2,29.2,29.2,1500
2024-04-23,28,29.4,27.1,29.4,2000
2024-04-26,29,29,28.13,28.13,1000
2024-05-17,29.98,29.98,29.98,29.98,500
2024-05-27,27.78,27.78,27.78,27.78,500
2024-05-30,28.51,28.51,28.5,27.78,200
2024-05-31,28.5,28.5,28,28.5,2001
2024-06-03,27.57,29.6,26.22,29.6,4550
2024-06-04,28.04,30.75,28.04,30.74,1021
2024-06-05,28.38,28.6,28.38,28.6,519
2024-06-06,30.5,30.89,28.33,30.76,1352
2024-06-07,28.3,29.99,28.3,29.86,372
2024-06-11,27.41,28.5,27.41,27.61,1100
2024-06-21,27.2,27.2,27.2,27.61,1
2024-06-24,28,28,28,27.61,100
2024-06-25,28.35,28.35,28.35,28.35,3400
2024-06-26,29,29,28,28.35,127
2024-06-27,28.05,29.01,28.05,28.35,2
2024-07-03,29.8,30.6,29.8,30.26,1371
2024-07-04,30,32,30,30.26,2
2024-07-05,30,30,29,29.91,599
2024-07-15,32.74,32.74,32.23,29.91,300
2024-07-18,32,32,31.5,29.91,201
2024-07-19,32.75,32.75,32.74,29.91,4
2024-07-22,30,30,29.9,29.99,50000
2024-07-23,29.99,29.99,29.99,29.99,1
2024-07-25,30,30,27.05,27.84,629
2024-07-26,28.99,29,28.99,29,563
2024-08-02,27.3,29,27.3,29,513
2024-08-05,28,28,27.95,28,2150
2024-08-06,27.2,28.99,25.2,25.92,9025
2024-08-07,26.8,26.8,26.8,25.92,100
2024-08-08,25.91,25.91,25.9,25.92,50
2024-08-09,27.7,27.7,27.7,25.92,125
2024-08-12,25.75,25.9,24,25.2,15101
2024-08-13,26.39,26.39,25,25,501
2024-08-15,26.49,26.5,26.49,26.5,14280
2024-08-16,25.98,26.01,25.98,26.01,1100
2024-08-19,25.2,26,24.06,25.99,3252
2024-08-22,25.99,27.5,25.01,26,5003
2024-08-23,25.2,27,25,26,200
2024-08-26,26.6,26.6,26,26.6,601
2024-08-28,25.5,26.5,25.5,26,2050
2024-08-29,26,26,26,26,1000
2024-08-30,25.61,25.61,25,25,2000
2024-09-03,25.2,25.2,25.02,25,10
2024-09-04,25.2,26.2,25,26.19,2000
2024-09-05,26.5,26.5,26,26.01,1502
2024-09-06,0,0,0,26.01,100
2024-09-09,25.26,25.26,25.26,26.01,500
2024-09-11,26,26.01,26,26.01,11
2024-09-12,26,27,26,27,505
2024-09-13,27,27,26,26,2500
2024-09-20,28.6,28.6,28.6,26,1
2024-09-23,26.5,28.6,26.5,28.43,3161
2024-09-27,25.6,25.6,25.6,28.43,2
2024-09-30,29,30,29,30,4005
2024-10-01,29,30.5,29,29,16015
2024-10-02,30,31.89,29.5,29.55,3442
2024-10-03,30.05,32.5,30.05,31,6661
2024-10-04,32.49,32.49,31,32.43,1050
2024-10-07,31.01,31.01,31,31,2000
2024-10-08,31,31.99,31,31.99,3901
2024-10-09,31.89,31.9,31,31,3501
2024-10-11,30,30,30,31,1
2024-10-14,31,31,31,31,1000
2024-10-15,30.01,30.01,30,31,2
2024-10-16,32.5,32.5,32.5,31,101
2024-10-17,32,32,31,32,1001
2024-10-18,31.93,31.93,31.93,29.5,1
2024-10-22,30,30,30,30,2120
2024-10-24,31.99,32,31.99,30,9
2024-10-25,27.51,30,27.5,30,1100
2024-10-28,29.5,29.5,29.5,29.5,500
2024-10-29,31.4,32.45,31.4,32,5010
2024-11-05,31.5,32,30.25,31,4510
2024-11-07,32.43,34,30,31,4068
2024-11-08,33,34.1,33,34.06,19437
2024-11-11,33,33,33,33,2000
2024-11-12,35,35,34,34,7460
2024-11-13,33,33,33,33,1500
2024-11-15,34,34,32.6,32.6,1001
2024-11-18,32.55,33,32.4,33,1600
2024-11-19,34,34.5,32,32.21,6511
2024-11-20,32,32.99,32,32.03,1111
2024-11-21,32.01,34.45,32,33,1664
2024-11-22,32.5,32.5,32.5,32.5,500
2024-11-25,32.5,32.5,32.5,32.5,10
2024-11-27,32.5,34,32.5,33.93,7710
2024-11-28,33,33,33,33.93,25
2024-11-29,34.94,35,34.94,35,4000
2024-12-05,36.5,36.5,35,35,2051
2024-12-06,35,35.01,35,35,1565
2024-12-09,37,37,35.5,36.4,10502
2024-12-10,36,36.4,36,36,30378
2024-12-11,35.01,37,35.01,37,2601
2024-12-16,35,35,35,35,502
2024-12-18,34,38.49,34,34.1,7182
2024-12-23,34.1,34.1,34.1,34.1,1
2024-12-24,37.51,37.51,37.51,34.1,1
2024-12-26,35.75,37.5,35.75,37.5,4500
2024-12-30,37.5,37.5,37.5,37.5,1
2024-12-31,35.01,35.01,35,35,1600
2025-01-01,35,35,35,35,5
2025-01-02,35,35,35,35,4106
2025-01-03,38.11,38.11,38.11,35,10
2025-01-06,38.5,38.5,35,35,6
2025-01-07,33.33,34,33.33,34,1690
2025-01-08,34,34,34,34,1500
2025-01-09,33.6,37.4,33.33,33.8,1599
2025-01-13,37,37,37,37,500
2025-01-14,37.95,37.97,33.85,37,3
2025-01-16,38,38,38,37,63
2025-01-20,34,37,34,37,3
2025-01-21,39,39,35,35,1001
2025-01-22,36,36,36,36,1500
2025-01-24,36.5,38,35,36.21,3750
2025-01-27,35.03,35.03,35,35,25000
2025-01-28,34,34,34,35,16
2025-01-29,37,37,37,35,1
2025-01-30,36,36,35,35.91,550
2025-02-03,32.52,38.5,32.52,35.91,4
2025-02-06,34,34,33,33,1000
2025-02-11,36.3,36.3,36.3,33,1
2025-02-12,36,36,35.99,36,3094
2025-02-13,35.99,35.99,34,34.49,4045
2025-02-14,33.06,33.06,33,33,3337
2025-02-20,36.27,36.27,35.99,35.99,1001
2025-02-21,36.07,38,34.5,35.99,4
2025-02-24,36.99,38,36.99,35.99,8
2025-02-25,36.5,36.5,34,34,800
2025-03-03,35.5,35.5,30.6,30.7,3257
2025-03-04,33,33.77,30,33.76,1005
2025-03-06,34.79,34.79,34.79,34.79,1000
2025-03-10,33,33,33,34.79,8
2025-03-12,35.99,38,35.99,38,1000
2025-03-13,38.5,38.5,38,38,1000
2025-03-14,37.99,37.99,35,38,3
2025-03-19,34.7,37.97,34.7,38,2502
2025-03-24,37.99,37.99,37.99,38,1
2025-03-26,35.07,37.98,35.07,38,2
2025-03-27,35.2,37.98,35,35.01,501
2025-04-07,35,35,31.51,33,3603
2025-04-08,32.71,32.71,32.71,33,4
2025-04-09,35.84,35.85,35.84,33,10
2025-04-11,34.5,34.5,34.5,33,2
2025-04-15,33.8,34.99,32.2,33,113
2025-04-21,34.97,34.97,32.5,32.5,501
2025-04-22,34,34.5,34,34.5,2100
2025-04-23,0,0,0,34.5,641
2025-04-24,33.5,33.5,31.05,32.97,5190
2025-04-28,33.01,33.01,32.01,32.01,1047
2025-04-29,33.88,35.21,33,35.15,5133
2025-04-30,36.2,36.2,35,35,4345
2025-05-02,35,35.01,34,35,153
2025-05-05,35.11,35.11,35,35,101
2025-05-06,36.2,37,36,36.1,521
2025-05-07,33.6,36.8,33.6,36.1,304
2025-05-08,36.49,36.49,35,36.1,103
2025-05-09,32.6,36,32.5,36,1800
2025-05-12,37.2,37.2,36.35,36,2
2025-05-13,36.99,36.99,35,35.4,501
2025-05-14,36.97,36.98,35.1,35.4,560
2025-05-15,35.02,36.4,34,36.4,3721
2025-05-16,36.49,36.9,36,36.06,1028
2025-05-19,36.9,39.67,36,39,10562
2025-05-20,37,37.5,37,39,111
2025-05-21,37.1,37.1,37.1,37.1,1000
2025-05-22,37,37.56,37,37.5,9099
2025-05-23,38,41.25,38,41.25,63951
2025-05-26,45.36,45.38,43.3,45.38,44860
2025-05-27,47.9,47.9,41.1,41.65,23836
2025-05-29,41,44.9,40.5,43,7428
2025-05-30,44,44,41.01,44,2751
2025-06-02,42.01,47,42,43,1581
2025-06-03,45.99,45.99,42,43,640
2025-06-04,42,45.49,42,44.84,25290
2025-06-05,44.5,44.5,43.11,44.84,449
2025-06-10,45,49,44.85,48.32,9560
2025-06-11,51.8,51.8,48.94,48.96,1711
2025-06-12,48,48,45,46.49,6707
2025-06-13,47.95,47.95,47,46.49,24
2025-06-16,48,51.14,47,47,6140
2025-06-17,51.7,51.7,47.2,47.3,3093
2025-06-18,52.03,52.03,42.57,47.2,2432
2025-06-19,45,48.9,45,45.61,2734
2025-06-20,45.51,45.95,45.51,45.94,3210
2025-06-23,50.53,50.53,43,44.44,1181
2025-06-24,48,48,48,48,500
2025-06-25,47.01,47.01,45.01,46.5,4350
2025-06-26,46,46,45.4,45.66,1641
2025-06-27,45,47.99,45,45.66,300
