date,open,high,low,close,volume
2023-11-01,9.7,10,9.34,9.42,15500
2023-11-02,9.5,9.5,9.03,9.03,11500
2023-11-03,9.5,9.5,8.63,8.7,37500
2023-11-06,8.55,8.95,8.5,8.78,54500
2023-11-07,8.88,9.11,8.88,9,6000
2023-11-08,9,9,8.42,8.42,81000
2023-11-10,8.96,9.25,8.11,8.5,98500
2023-11-13,8.21,8.51,8.11,8.5,34500
2023-11-14,8.16,8.5,8.15,8.5,7000
2023-11-16,8.45,8.55,8.45,8.5,70000
2023-11-17,8.45,8.45,8.2,8.2,2000
2023-11-20,8.25,8.5,8.11,8.15,8500
2023-11-21,8.25,8.69,8.25,8.43,118000
2023-11-22,8.22,8.22,8.22,8.22,500
2023-11-23,8.27,8.4,8.26,8.34,22500
2023-11-24,8.6,8.7,8.5,8.55,8500
2023-11-27,8.5,8.8,8.25,8.8,18000
2023-11-28,8.6,8.64,8.51,8.55,30500
2023-11-29,8.6,8.7,8.5,8.5,6000
2023-11-30,8.5,8.5,8.5,8.5,14000
2023-12-01,8.5,8.75,8.5,8.75,19000
2023-12-04,8.3,9.35,8.1,8.81,282000
2023-12-05,8.55,9,8.55,8.76,116000
2023-12-07,8.7,8.85,8.5,8.55,7000
2023-12-08,8.45,8.45,8.45,8.45,7000
2023-12-11,8.6,8.75,8.55,8.75,20000
2023-12-12,8.65,8.7,8.5,8.53,14000
2023-12-13,8.51,8.7,8.35,8.41,12000
2023-12-15,8.69,9.39,8.69,9,98000
2023-12-18,8.7,9.6,8.7,9.02,57500
2023-12-19,8.51,8.55,8.12,8.4,26000
2023-12-20,7.9,8.5,7.9,8.5,13500
2023-12-21,8.88,8.88,8.88,8.88,500
2023-12-26,8.11,8.11,7.88,8,45000
2023-12-27,8.26,8.26,8.26,8.26,500
2023-12-28,7.5,8.01,7.5,7.79,62500
2023-12-29,7.5,7.6,7.5,7.59,24500
2024-01-01,7.79,7.99,7.52,7.9,18500
2024-01-02,7.94,7.94,7.85,7.85,4000
2024-01-03,7.75,7.75,7.7,7.7,2000
2024-01-04,7.65,7.7,7.5,7.64,8000
2024-01-05,7.5,7.89,7.12,7.47,10500
2024-01-08,7.4,7.7,7.35,7.42,20500
2024-01-09,7.5,7.65,7.5,7.53,8000
2024-01-10,7.45,7.68,7.45,7.68,4000
2024-01-16,7.23,7.4,7.23,7.4,1500
2024-01-17,7.15,7.57,7.15,7.56,58500
2024-01-19,7.8,7.8,7.8,7.8,500
2024-01-22,7.5,7.5,7.5,7.5,500
2024-01-23,7.5,7.79,7.21,7.79,6000
2024-01-24,7.52,7.6,7.52,7.6,19000
2024-01-26,7.01,7.01,7.01,7.01,1000
2024-01-30,6.7,7.34,6.7,7.34,2500
2024-02-12,6.56,6.9,6.5,6.9,25000
2024-02-13,7.25,7.25,7.25,7.25,500
2024-02-14,7.24,7.24,7.2,7.2,1500
2024-02-16,6.45,7.1,6.4,6.64,24500
2024-02-19,7.3,7.3,7.3,7.3,500
2024-02-20,7.4,7.4,7.4,7.4,3000
2024-02-21,6.56,6.66,6.56,6.66,1000
2024-02-22,6.97,6.97,6.5,6.55,17500
2024-02-23,6.5,6.69,6.5,6.6,8000
2024-02-26,6.8,6.8,6.8,6.8,500
2024-02-27,6.51,6.82,6.51,6.82,1000
2024-02-29,6.79,7.1,6.79,6.85,4500
2024-03-01,6.52,7,6.52,6.75,3000
2024-03-05,6.36,6.84,6.35,6.84,1500
2024-03-06,7.4,7.4,6.95,7.1,3500
2024-03-07,7.34,7.34,7.34,7.34,500
2024-03-08,7.48,7.49,7.48,7.49,1500
2024-03-11,7.47,7.47,7.47,7.47,500
2024-03-14,7.85,7.85,6.72,7.24,1500
2024-03-15,7.88,7.88,7.88,7.88,500
2024-03-19,7.8,7.8,7.02,7.02,2000
2024-03-20,7.2,7.49,7.01,7.01,6000
2024-03-21,7.01,7.01,6.82,6.85,3000
2024-03-25,7,7,7,7,500
2024-03-28,7,7.01,7,7,11000
2024-03-29,6.7,6.7,6.7,6.7,500
2024-04-01,7,7.47,7,7.47,1000
2024-04-02,7.29,7.29,6.61,6.95,1000
2024-04-03,7.46,7.46,6.8,6.8,1000
2024-04-09,7.7,7.7,6.51,6.96,4000
2024-04-16,7,7.1,6.7,7.1,1500
2024-04-19,7.15,7.15,7,7,2000
2024-04-22,7,7,7,7,1000
2024-04-23,6.7,6.7,6.55,6.61,8000
2024-04-24,7.25,7.25,6.7,6.7,1500
2024-04-25,7.17,7.17,7.05,7.05,1000
2024-04-26,7.19,7.19,7.19,7.19,500
2024-04-30,7.16,7.17,7.16,7.17,3500
2024-05-03,7.43,7.43,7.43,7.43,500
2024-05-08,7.72,7.72,7.72,7.72,500
2024-05-09,6.75,7.31,6.72,7.15,23000
2024-05-10,7.1,7.75,7.1,7.75,22500
2024-05-13,7.5,7.5,7,7.13,57500
2024-05-14,7.15,7.15,7.08,7.11,13000
2024-05-15,7.01,7.65,7,7.04,11500
2024-05-16,6.78,6.99,6.33,6.99,98500
2024-05-17,6.65,6.9,6.56,6.67,4000
2024-05-20,6.61,6.62,6.6,6.6,3500
2024-05-21,6.47,6.78,6.47,6.78,3500
2024-05-22,6.69,6.7,6.69,6.7,1000
2024-05-27,6.7,7.2,6.3,6.89,2820
2024-05-29,6.99,7,6.5,6.98,1298
2024-05-30,6.97,6.97,6.89,6.89,502
2024-05-31,6.51,6.86,6.5,6.86,1000
