date,open,high,low,close,volume
2024-01-16,4.4,4.66,4.4,4.64,55000
2024-01-17,4.55,4.64,4.4,4.46,30500
2024-01-18,4.3,4.5,4.3,4.43,22000
2024-01-19,4.22,4.6,4.22,4.33,304500
2024-01-22,4.22,4.29,4,4.25,202500
2024-01-23,4.3,4.34,4.29,4.34,5000
2024-01-24,4.27,4.45,4.26,4.4,22000
2024-01-25,4.48,4.48,4.35,4.42,25000
2024-01-26,4.35,4.35,4.11,4.19,67000
2024-01-29,4.11,4.24,4.1,4.12,50000
2024-01-30,4.1,4.12,3.96,4,227000
2024-01-31,4.01,4.18,4,4.1,34000
2024-02-01,4.15,4.18,4.06,4.18,16500
2024-02-02,4.19,4.27,4.17,4.19,26000
2024-02-06,4.19,4.24,4.18,4.24,7000
2024-02-07,4.28,4.28,4.12,4.15,77500
2024-02-09,4.15,4.15,4.05,4.07,87000
2024-02-12,4.18,4.18,3.9,3.99,124500
2024-02-13,3.82,4,3.8,3.94,57000
2024-02-14,4.05,4.19,4.05,4.15,56500
2024-02-15,3.9,4.65,3.9,4.57,1052500
2024-02-16,4.63,5.1,4.51,4.6,3178500
2024-02-19,4.7,4.8,4.1,4.2,953000
2024-02-20,4.2,4.35,4.15,4.22,116000
2024-02-21,4.23,4.4,4.2,4.37,349500
2024-02-22,4.57,4.57,4.21,4.32,792500
2024-02-23,4.2,4.38,4.2,4.28,200500
2024-02-26,4.31,4.43,4,4.06,1161500
2024-02-27,4.05,4.15,4.04,4.1,128500
2024-02-28,4.29,4.3,4.15,4.19,54500
2024-02-29,4.11,4.19,4.11,4.15,19500
2024-03-01,4.18,4.2,4.1,4.18,70000
2024-03-04,4.2,4.2,4.14,4.19,20000
2024-03-05,4.2,4.2,4.12,4.17,21000
2024-03-06,4.12,4.14,4.1,4.11,31000
2024-03-07,4.19,4.19,3.85,4.18,161000
2024-03-08,4.03,4.1,4.02,4.08,50500
2024-03-11,4.1,4.39,4.05,4.25,223000
2024-03-12,4.3,4.3,4.11,4.12,21000
2024-03-13,4.12,4.24,4.01,4.03,44500
2024-03-14,4.04,4.27,4.04,4.09,5500
2024-03-15,4.08,4.1,3.95,4.01,191000
2024-03-18,4.1,4.1,4.02,4.04,28500
2024-03-19,4.06,4.38,4.01,4.12,112000
2024-03-20,4.12,4.21,4.1,4.14,26500
2024-03-21,4.08,4.1,4.02,4.07,62000
2024-03-22,4,4.1,4,4.01,30000
2024-03-25,4.04,4.04,4.04,4.04,1000
2024-03-26,4.04,4.13,4.03,4.13,14000
2024-03-27,4.04,4.13,4.04,4.12,8500
2024-03-28,4.02,4.04,4,4.03,70500
2024-03-29,4.04,4.05,4,4.01,65500
2024-04-01,4.01,4.08,4,4.04,23000
2024-04-02,3.99,4.01,3.9,4,23500
2024-04-03,4,4.04,3.95,4,22000
2024-04-04,4.01,4.06,3.92,4.06,58000
2024-04-08,4.08,4.08,3.9,4.05,69000
2024-04-09,4,4,3.8,3.94,150500
2024-04-15,4,4.09,3.92,4.04,53000
2024-04-16,4.05,4.09,4,4.01,25500
2024-04-17,4.09,4.25,4,4.14,45000
2024-04-18,4.08,4.1,4,4.07,105000
2024-04-19,4.02,4.09,4,4.07,20500
2024-04-22,4.09,4.26,4,4.12,173000
2024-04-23,4.19,4.2,4,4.15,62500
2024-04-24,4.2,4.22,4.15,4.2,135000
2024-04-25,4.23,4.27,4.17,4.19,80500
2024-04-26,4.15,4.33,4.1,4.28,262500
2024-04-29,4.28,4.44,4.1,4.21,242000
2024-04-30,4.12,4.23,4.12,4.15,14000
2024-05-02,4.1,4.12,3.99,4,902000
2024-05-03,4.05,4.08,4.05,4.05,245000
2024-05-06,4.05,4.19,4.05,4.1,52500
2024-05-07,4.06,4.13,4.04,4.13,86000
2024-05-08,4.1,4.14,4,4.07,46000
2024-05-09,4,4.15,4,4.06,82500
2024-05-10,4.14,4.19,4.11,4.11,62000
2024-05-13,4.1,4.47,4.01,4.36,699000
2024-05-14,4.44,4.63,4.4,4.53,1002000
2024-05-15,4.6,4.65,4.4,4.4,576500
2024-05-16,4.37,4.5,4.3,4.33,205500
2024-05-17,4.43,4.43,4.26,4.35,186000
2024-05-20,4.3,4.39,4.25,4.31,210500
2024-05-21,4.26,4.48,4.21,4.4,182500
2024-05-22,4.4,4.72,4.4,4.68,1701500
2024-05-23,4.79,4.91,4.56,4.62,2357500
2024-05-24,4.69,4.78,4.55,4.63,1397500
2024-05-27,4.76,4.78,4.55,4.55,262476
2024-05-29,4.68,4.69,4.4,4.42,275400
2024-05-30,4.5,4.5,4.3,4.35,307418
2024-05-31,4.4,4.56,4.4,4.46,163662
2024-06-03,4.41,4.6,4.41,4.57,291774
2024-06-04,4.5,4.59,4.3,4.34,51187
2024-06-05,4.3,4.39,4.2,4.29,94033
2024-06-06,4.4,4.4,4.23,4.34,17641
2024-06-07,4.26,4.4,4.2,4.3,103973
2024-06-10,4.3,4.55,4.3,4.52,237548
2024-06-11,4.55,4.55,4.3,4.3,115754
2024-06-12,4.38,4.48,4.21,4.22,88321
2024-06-13,4.4,4.4,4.24,4.31,52869
2024-06-14,4.3,4.35,4.25,4.35,9866
2024-06-20,4.68,4.68,4.35,4.48,159453
2024-06-21,4.4,4.49,4.3,4.38,30903
2024-06-24,4.4,4.9,4.4,4.6,536470
2024-06-25,4.67,4.67,4.4,4.4,113822
2024-06-26,4.59,4.59,4.2,4.25,199378
2024-06-27,4.3,4.32,4.24,4.24,145707
2024-06-28,4.22,4.29,4.11,4.21,17826
2024-07-01,4.27,4.74,4.14,4.58,1290290
2024-07-02,4.7,5.38,4.7,5.13,6408593
2024-07-03,5.19,5.34,5.1,5.21,2348983
2024-07-04,5.2,6.19,5.17,5.78,8776033
2024-07-05,5.9,5.9,5.42,5.59,2538246
2024-07-08,5.73,5.8,5.46,5.52,749349
2024-07-09,5.51,5.89,5.25,5.28,2174037
2024-07-10,5.39,5.39,5.11,5.19,753828
2024-07-11,5.12,5.2,4.85,4.9,845887
2024-07-12,4.86,4.97,4.7,4.71,367188
2024-07-15,4.79,5,4.61,4.69,552627
2024-07-18,4.61,4.99,4.61,4.73,522112
2024-07-19,4.8,4.8,4.5,4.55,378140
2024-07-22,4.5,4.75,4.5,4.62,261300
2024-07-23,4.7,4.8,4.5,4.51,387601
2024-07-24,4.55,5.51,4.55,5.49,4372711
2024-07-25,5.69,6.49,5.69,6.49,13440208
2024-07-26,7.34,7.34,6,6.08,12345708
2024-07-29,6.1,6.67,5.91,6.26,4916999
2024-07-30,6.29,6.6,6.07,6.14,2631248
2024-07-31,6.19,6.6,6,6.07,2315698
2024-08-01,6.19,6.53,6.01,6.25,3637170
2024-08-02,6.39,7.25,6.35,7.25,8848276
2024-08-05,7.55,8.25,7.5,8.25,7656412
2024-08-06,8.75,8.88,7.53,7.71,11287526
2024-08-07,7.71,8,7.25,7.35,3601159
2024-08-08,7.32,7.7,6.95,7.02,4738705
2024-08-09,7.24,8.02,7.06,7.79,12305162
2024-08-12,8,8.35,7.4,7.51,4627802
2024-08-13,7.5,7.82,7.1,7.19,2481270
2024-08-15,7.21,7.4,7,7.03,1347398
2024-08-16,7.06,8.03,7.01,7.23,6861951
2024-08-19,7.23,7.74,7.16,7.21,2352172
2024-08-20,7.29,7.7,7.15,7.25,1902641
2024-08-21,7.29,7.7,7.29,7.32,1923872
2024-08-22,7.48,8.3,7.35,8.07,9183394
2024-08-23,8.11,8.75,7.9,8.26,7105645
2024-08-26,8.26,8.26,7.8,7.86,2577247
2024-08-27,7.86,8.28,7.72,7.83,2834878
2024-08-28,7.84,8.05,7.5,7.6,1971438
2024-08-29,7.6,8.25,7.59,7.94,2948515
2024-08-30,7.96,8.39,7.8,7.94,2573484
2024-09-02,7.96,8.12,7.4,7.59,1240978
2024-09-03,7.5,7.7,7.42,7.51,705741
2024-09-04,7.59,8.07,7.5,7.58,2446348
2024-09-05,7.6,7.92,7.46,7.5,1133116
2024-09-06,7.52,7.85,7.42,7.49,847811
2024-09-09,7.57,7.58,7.25,7.29,576205
2024-09-10,7.29,7.32,7.13,7.21,792146
2024-09-11,7.27,7.55,7,7.04,1345298
2024-09-12,7.09,7.36,7.04,7.1,1048681
2024-09-13,7.18,7.2,6.97,7.04,1130084
2024-09-16,7.02,7.43,7.02,7.26,1961941
2024-09-18,7.35,7.35,7.07,7.1,467879
2024-09-19,7.2,7.2,6.5,6.53,971917
2024-09-20,6.58,6.61,6.2,6.3,648144
2024-09-23,6.2,6.55,6,6.25,805181
2024-09-24,6.39,6.83,6.38,6.64,1432969
2024-09-25,6.7,6.75,6.5,6.63,371956
2024-09-26,6.75,6.75,6.26,6.3,341514
