date,open,high,low,close,volume
2023-08-25,5.5,5.5,5.5,5.5,10000
2023-08-28,5.6,5.6,5.5,5.5,2000
2023-08-29,5.5,5.5,5.5,5.5,3000
2023-08-30,5.5,5.5,5.45,5.45,10000
2023-08-31,5.3,5.3,5.3,5.3,2000
2023-09-07,5.65,5.65,5.65,5.65,500
2023-09-14,5.3,5.48,5,5.48,15500
2023-09-15,5.49,5.5,5.49,5.5,1000
2023-09-18,5.3,5.3,5.3,5.3,10000
2023-09-19,5.68,6.27,5.68,6.27,2000
2023-09-21,5.65,5.65,5.65,5.65,500
2023-09-22,5.5,5.5,5.5,5.5,500
2023-09-25,5.5,5.5,5.5,5.5,5000
2023-09-26,5.5,5.5,5.5,5.5,5000
2023-09-27,5.5,5.6,5,5.6,59000
2023-09-28,5.56,5.6,5.56,5.6,8500
2023-10-02,5.6,5.6,5.6,5.6,500
2023-10-03,5.6,5.6,5.6,5.6,500
2023-10-04,5.74,5.99,5.74,5.75,4500
2023-10-05,5.9,5.98,5.9,5.98,2000
2023-10-06,5.6,5.8,5.6,5.8,7000
2023-10-09,6.6,6.6,6.6,6.6,500
2023-10-10,6,6,6,6,500
2023-10-12,5.6,5.6,5.6,5.6,500
2023-10-13,5.6,5.6,5.5,5.5,1000
2023-10-17,5.8,5.8,5.8,5.8,500
2023-10-18,6,6,6,6,500
2023-10-23,5.7,5.7,5.7,5.7,500
2023-10-24,6,6,6,6,500
2023-10-30,5.8,6.49,5.8,6,10000
2023-11-02,6.25,6.49,6.2,6.4,10000
2023-11-03,6.4,6.99,6.4,6.94,19000
2023-11-06,7,7.5,7,7.31,6000
2023-11-07,7.05,7.05,6.6,6.97,4000
2023-11-08,6.7,6.7,6.7,6.7,500
2023-11-10,6.6,6.7,6.4,6.7,8500
2023-11-13,6.4,6.5,6.4,6.5,5500
2023-11-15,6.58,6.6,6.58,6.59,1500
2023-11-16,6.6,6.97,6.6,6.97,6500
2023-11-17,6.5,6.5,6.5,6.5,2500
2023-11-21,6.8,6.8,6.5,6.5,5000
2023-11-27,6.69,6.75,6.68,6.69,3500
2023-11-30,6.5,6.79,6.4,6.4,16500
2023-12-01,6.5,6.5,6.1,6.1,6000
2023-12-04,6.2,6.2,6.2,6.2,1000
2023-12-05,6.1,6.1,6.1,6.1,1500
2023-12-06,6.12,6.9,6.1,6.9,11500
2023-12-07,6.8,6.8,6.8,6.8,1500
2023-12-11,6.4,6.4,6,6.23,20500
2023-12-12,6.5,6.5,6.5,6.5,1000
2023-12-13,6.5,6.5,6.5,6.5,2000
2023-12-14,6.25,6.4,6.25,6.25,5000
2023-12-15,6.49,6.5,6.3,6.3,3500
2023-12-18,6.3,6.3,6.21,6.3,4500
2023-12-19,6.21,6.22,6.21,6.21,7000
2023-12-26,6,6,6,6,1500
2023-12-29,6,6.3,6,6.3,2000
2024-01-02,6.01,6.01,6,6,4000
2024-01-05,5.75,5.75,5.75,5.75,500
2024-01-08,5.75,5.8,5.75,5.8,1500
2024-01-10,5.8,6.3,5.8,6.03,6000
2024-01-11,6.1,6.1,6.1,6.1,8000
2024-01-12,6.15,6.15,6,6,1500
2024-01-16,5.8,5.85,5.8,5.85,2500
2024-01-17,5.85,5.85,5.85,5.85,2000
2024-01-30,5.5,5.5,5.1,5.5,5000
2024-02-01,5.21,5.21,5.21,5.21,2000
2024-02-02,5.2,5.2,5.2,5.2,1000
2024-02-14,5,5.8,5,5.68,2500
2024-03-05,5.4,5.4,5.35,5.35,4000
2024-03-06,5.35,5.74,5,5.45,27500
2024-03-08,5.8,5.8,5.4,5.4,1500
2024-03-11,5.8,5.8,5.5,5.5,5500
2024-03-13,5.2,5.2,5.2,5.2,500
2024-03-18,5.4,5.4,5.4,5.4,1000
2024-04-15,5.59,5.7,5.59,5.65,2500
2024-04-16,5.5,5.5,5.5,5.5,1000
2024-04-18,5.2,5.3,5,5.3,9500
2024-04-22,5.3,5.35,5.3,5.35,1500
2024-04-25,5.18,5.18,5,5.13,2000
2024-04-30,5.11,6.13,5.11,6.13,71000
2024-05-02,6.55,6.88,6.25,6.31,26500
2024-05-03,6.01,6.01,5.45,5.75,12000
2024-05-06,5.77,5.79,5.74,5.79,4000
2024-05-07,5.6,5.6,5.5,5.6,8500
2024-05-08,5.5,6.1,5.4,5.91,19000
2024-05-09,5.81,6.1,5.8,6.09,2000
2024-05-10,6.3,6.39,6.1,6.15,5000
2024-05-13,6.2,6.2,6.01,6.01,10500
2024-05-14,6.19,6.19,6.15,6.15,2000
2024-05-17,5.81,5.86,5.8,5.86,2000
2024-05-20,6.09,6.1,6.09,6.1,3000
2024-05-21,6.1,6.1,6.1,6.1,1000
2024-05-22,5.9,7.1,5.9,6.59,32000
2024-05-23,6.6,7,6.56,7,12500
2024-05-24,7.19,7.25,7,7.1,11500
2024-05-27,7.12,7.38,7.12,7.2,3531
2024-05-29,7.2,7.2,7.1,7.1,3001
2024-05-30,7.1,7.1,7.1,7.1,1600
2024-05-31,7.1,7.5,7.01,7.41,4402
2024-06-03,7.15,7.15,7.01,7.01,2500
2024-06-04,7.64,7.64,7.64,7.64,4749
