date,open,high,low,close,volume
2023-08-28,4.5,4.5,4.5,4.5,11500
2023-08-29,4.5,4.5,4.5,4.5,5000
2023-08-30,4.5,4.5,4.5,4.5,5000
2023-08-31,4.5,4.5,4.5,4.5,5000
2023-09-01,4.8,4.9,4.8,4.9,14000
2023-09-04,4.9,5.1,4.9,5.1,6000
2023-09-11,5.5,5.98,5.5,5.95,7000
2023-09-14,4.95,4.95,4.95,4.95,1000
2023-09-21,4.9,4.9,4.9,4.9,10000
2023-09-22,4.5,4.88,4.5,4.88,5000
2023-10-06,4.2,4.2,4.2,4.2,3500
2023-10-10,4,4,4,4,3000
2023-10-11,4.3,4.3,4.3,4.3,16500
2023-10-12,4.6,4.6,4.6,4.6,500
2023-10-16,4.58,4.6,4.58,4.6,1000
2023-10-26,4.32,4.32,4.32,4.32,1000
2023-10-31,4.4,4.4,4.4,4.4,5000
2023-11-01,4.44,4.7,4.44,4.7,2500
2023-11-03,4.7,4.88,4.7,4.88,5500
2023-11-06,5.1,5.1,5.1,5.1,500
2023-11-08,4.99,5,4.99,5,4000
2023-11-10,5.1,5.15,5.1,5.15,1000
2023-11-13,4.85,4.85,4.85,4.85,500
2023-11-14,4.8,4.8,4.8,4.8,500
2023-11-17,4.8,4.8,4.8,4.8,7500
2023-11-21,5.04,5.04,5.04,5.04,7000
2023-11-27,4.7,4.7,4.67,4.67,10000
2023-11-29,4.6,4.6,4.4,4.4,1000
2023-12-01,4.8,5,4.8,5,2000
2023-12-06,4.7,4.7,4.7,4.7,500
2023-12-12,5,5,5,5,500
2023-12-14,4.5,4.7,4.5,4.7,3500
2023-12-15,4.8,5.7,4.8,5.41,27500
2023-12-18,5.2,5.5,4.5,4.68,51500
2023-12-19,4.5,4.5,4.5,4.5,1000
2023-12-26,3.51,3.8,3.51,3.59,21000
2023-12-27,4,4.35,4,4.25,2500
2023-12-29,4.3,4.3,4.3,4.3,500
2024-01-02,4,4.35,4,4.35,3500
2024-01-08,4.11,4.4,4.11,4.4,1000
2024-01-11,4.5,5.4,4.5,5.4,14000
2024-01-12,6.29,6.4,6,6.13,67500
2024-01-15,6.4,6.89,6.05,6.89,16000
2024-01-16,6.25,6.55,6.2,6.22,9500
2024-01-17,6.6,7.18,6.4,6.75,22500
2024-01-18,6.38,6.69,6.38,6.52,5000
2024-01-19,6.3,7.25,5.65,6.58,36000
2024-01-22,6.03,6.79,6.03,6.79,1000
2024-01-23,6.29,6.3,6.29,6.3,3000
2024-01-25,6.6,6.63,6.59,6.59,3000
2024-01-29,6,6,6,6,500
2024-01-31,6.1,6.1,6.1,6.1,500
2024-02-02,6.2,7.1,6.2,6.5,29500
2024-02-06,6.55,6.77,5.51,6.5,71500
2024-02-07,6.1,6.1,6.1,6.1,500
2024-02-15,5.11,5.21,5.11,5.21,1000
2024-02-21,6.08,6.11,6.08,6.11,2500
2024-02-23,6,6,6,6,30500
2024-02-28,5.97,6.8,5.97,6.2,7500
2024-02-29,6.5,6.98,5.25,6.14,13000
2024-03-01,6.18,6.18,5.8,5.8,24500
2024-03-04,5.67,6.07,5.6,5.6,20000
2024-03-05,5.88,5.99,5.88,5.99,3500
2024-03-06,5.5,5.99,5.05,5.98,9000
2024-03-07,5.34,5.94,5.34,5.94,2000
2024-03-08,5.99,6.18,5.61,5.7,15000
2024-03-11,5.75,6.3,5.75,6.11,27500
2024-03-12,6.15,6.15,6.15,6.15,1500
2024-03-13,5.8,5.8,5.75,5.75,2500
2024-03-15,5.5,5.5,5.5,5.5,500
2024-03-20,5.51,5.51,5.5,5.5,5000
2024-03-21,5.2,5.5,5.2,5.5,4500
2024-03-22,5.5,5.5,5.5,5.5,4000
2024-04-19,5.6,5.6,5.6,5.6,2000
2024-04-23,5.51,6.6,5.15,6.6,41500
2024-04-24,6.95,7.59,6.94,7.4,43000
2024-04-25,7.19,7.5,6.4,6.47,42500
2024-04-26,6,6.79,6,6.79,2500
2024-04-29,6.75,6.75,5.8,6.24,64000
2024-04-30,6.8,6.8,6.8,6.8,500
2024-05-02,6.8,6.8,6.25,6.25,3500
2024-05-06,6.4,6.4,5.8,5.8,9000
2024-05-07,6.25,6.35,6,6,3500
2024-05-09,5.7,6,5.7,6,5500
2024-05-10,5.7,5.7,5.7,5.7,500
2024-05-13,6,6,6,6,3500
2024-05-14,6,6,6,6,500
2024-05-17,6.01,6.4,6,6.4,1500
2024-05-20,6,7.4,6,6.8,71000
2024-05-21,6.4,6.4,6.4,6.4,500
2024-05-22,6.12,6.65,6.12,6.65,1500
2024-05-24,6.65,7.65,6.65,7.65,54500
2024-05-27,7.77,8.6,7.25,7.91,56721
2024-05-29,8,8.15,7.01,7.8,7212
2024-05-30,7.8,8.34,7.11,7.29,13015
2024-05-31,7.2,8.29,7.2,8.24,62499
2024-06-03,8.2,8.7,8,8.6,34422
2024-06-04,8.5,8.5,8.01,8.48,8773
2024-06-05,8.59,9.25,8.51,9,24000
2024-06-06,9.45,9.45,9,9,2517
2024-06-07,8.8,9.19,8.3,8.64,21292
2024-06-10,8.6,9.19,8.56,8.75,24302
2024-06-11,8.25,8.65,8.25,8.65,20011
2024-06-12,8,9,8,8.67,4111
2024-06-13,8.99,8.99,8.7,8.7,5391
2024-06-14,8.5,9.25,8.5,8.55,1600
2024-06-20,8.3,8.4,8.28,8.4,2501
2024-06-21,8.28,8.49,7.6,7.6,6501
2024-06-24,7.59,8.6,7.59,8.6,57227
2024-06-25,9.49,9.49,8.2,9.28,37407
2024-06-26,8.55,8.8,8.28,8.28,138456
2024-06-27,8,8,7.28,7.6,57144
2024-06-28,7.8,8.08,7.8,7.95,7601
2024-07-01,8.27,8.27,7.8,7.84,5503
2024-07-02,7.99,7.99,7.1,7.65,7715
2024-07-03,7.99,7.99,7,7.1,15898
2024-07-04,7.56,8.1,7.06,8.1,83739
2024-07-05,8.97,8.97,7.7,7.76,80881
2024-07-08,7.76,8,7.31,7.81,11401
2024-07-09,8.01,8.25,7.72,7.73,7501
2024-07-10,7.52,8,7.5,7.86,26299
2024-07-11,7.95,7.95,7.95,7.86,300
2024-07-12,8.43,8.43,7.55,7.59,3300
2024-07-15,7.85,8.59,7.76,8.56,65071
2024-07-18,8.98,9.05,8.2,8.23,17095
2024-07-19,8.1,8.45,7.9,8.12,3020
2024-07-22,7.6,8.4,7.5,7.6,12370
2024-07-23,7.98,7.98,7.98,7.6,10
2024-07-24,7.3,8.24,7.01,7.95,26012
2024-07-25,7.34,7.59,7.3,7.32,2231
2024-07-26,8.16,8.16,7.32,7.57,4723
2024-07-29,7.21,8,7.21,7.83,4528
2024-07-30,7.5,7.69,7.5,7.52,3280
2024-07-31,7.55,7.87,7.28,7.33,540
2024-08-01,7.84,7.84,7.84,7.33,25
2024-08-02,7.31,7.59,7.12,7.5,2564
2024-08-05,7.06,7.6,7.02,7.41,8200
2024-08-06,7.65,7.65,7.4,7.65,512
2024-08-07,7.3,8,7.3,7.53,2082
2024-08-08,7.2,8.5,7,7.5,44247
2024-08-09,7.99,8.5,7.5,8.45,80747
2024-08-12,8.41,9.41,8.4,9.08,25200
2024-08-13,8.22,9,8.12,8.16,40127
2024-08-15,8.2,8.73,7.9,8.16,13307
2024-08-19,8.2,8.2,7.2,7.23,22765
2024-08-20,7.5,7.89,7.23,7.33,8834
2024-08-21,7.99,8.33,7.55,8.33,72815
2024-08-22,8.95,9.33,8.03,9.33,127665
2024-08-23,10.32,10.33,10.1,10.33,50697
2024-08-26,11.36,11.36,10.51,11.01,48349
2024-08-27,11.34,11.34,9.91,9.91,52483
2024-08-28,9.21,10.24,9.12,9.88,5421
2024-08-29,9.15,10.88,8.88,10.88,83296
2024-08-30,11.49,11.97,10.55,11.97,83888
2024-09-02,13,13,11.25,11.27,24306
2024-09-03,11.27,11.99,10.2,11.99,6170
2024-09-04,12.98,13.19,12,13.19,167161
2024-09-05,14.5,14.51,13.01,14,53589
2024-09-06,14.4,14.6,12.6,13.94,178798
2024-09-09,14.92,15.33,13.9,14.04,11322
2024-09-10,14,15.1,13.55,14.45,16436
2024-09-11,15.55,15.55,13.5,14.53,15666
2024-09-12,15,15,13.08,13.25,68116
2024-09-13,12.75,14.3,12.75,12.84,23328
2024-09-16,13.3,13.8,12.2,12.26,22735
2024-09-18,12.6,13,11.03,11.1,134141
2024-09-19,11.1,11.1,9.99,9.99,49894
2024-09-20,9.7,10.5,8.99,8.99,118078
2024-09-23,8.12,8.85,7.99,8,86312
2024-09-24,8.31,8.35,7.5,7.5,41183
2024-09-25,7.13,8.5,7.13,8.5,84641
2024-09-26,9.19,9.19,8.3,8.3,25598
2024-09-27,8.3,8.98,8.25,8.5,10958
2024-09-30,8.6,8.6,7.8,8.02,1811
2024-10-01,8.4,8.4,7.81,8.02,1379
2024-10-02,8.34,8.34,8.11,8.25,1359
2024-10-03,8,8,7.55,7.56,12324
2024-10-04,8.24,8.34,7.56,7.59,3746
2024-10-07,7.3,7.95,7.3,7.4,5803
2024-10-08,7.2,7.79,7,7.14,10338
2024-10-09,7.25,7.75,7.25,7.51,16185
2024-10-10,7.75,7.75,7.5,7.52,1720
2024-10-11,7.5,8.29,7.5,8,548
2024-10-14,7.35,7.94,7.35,7.54,607
2024-10-15,7.93,7.93,7.5,7.51,5533
2024-10-16,7.75,7.89,7.5,7.56,7488
2024-10-17,7.56,7.83,7.56,7.56,29
2024-10-18,7.77,8,7.2,7.37,1276
2024-10-21,7.17,7.5,7.17,7.29,617
2024-10-22,7.6,7.6,7.22,7.54,1595
2024-10-23,7.3,7.3,7.3,7.54,154
