date,open,high,low,close,volume
2023-11-01,19.3,19.35,19,19.35,3500
2023-11-02,19.3,19.3,19.3,19.3,500
2023-11-03,19.3,19.3,18.75,18.79,10000
2023-11-06,18.75,20.2,18.61,19.5,129500
2023-11-07,19.3,19.35,19.3,19.3,3500
2023-11-08,19.3,19.5,19.25,19.49,6000
2023-11-10,19.4,19.7,19.4,19.7,3000
2023-11-13,19.6,19.85,19.5,19.5,10000
2023-11-15,19.25,19.25,19.03,19.11,4500
2023-11-16,19.4,19.79,19.4,19.43,11500
2023-11-17,19.8,20.49,19.5,19.5,4500
2023-11-20,19.31,19.8,19.31,19.6,7500
2023-11-21,19.7,20,19.7,19.85,11500
2023-11-22,20,20.99,20,20.03,49000
2023-11-23,20.05,20.17,20.05,20.17,5000
2023-11-24,20.2,21.59,20.1,20.22,16000
2023-11-27,20.5,20.98,20.5,20.98,2500
2023-11-28,20.25,20.61,20.25,20.6,2500
2023-11-29,21.4,21.89,20.45,21,10500
2023-11-30,21.1,21.1,20.7,20.75,13000
2023-12-01,20.8,21.49,20.8,20.91,22500
2023-12-04,20.75,21.25,20.75,21.25,3500
2023-12-05,21.25,21.38,21,21.38,6500
2023-12-06,21.44,21.91,21.25,21.9,32500
2023-12-07,22.26,22.26,20.8,20.95,18500
2023-12-08,21.75,21.82,20.8,20.85,12500
2023-12-11,21,21,20.62,20.62,5500
2023-12-12,21,21.5,20.5,21.5,3000
2023-12-13,21.92,21.92,21.1,21.1,12000
2023-12-14,21,21,21,21,500
2023-12-15,21.8,22.58,21,21.14,41500
2023-12-18,21.14,21.14,20.49,20.58,4500
2023-12-19,20.8,20.8,19.5,19.55,9000
2023-12-20,18.6,20,18.6,19.82,4000
2023-12-22,19.35,19.89,18.33,18.67,6000
2023-12-26,18.5,18.5,18.5,18.5,1500
2023-12-27,18.92,18.92,18.92,18.92,500
2023-12-28,19.62,19.62,19.5,19.5,1000
2023-12-29,19,19.59,18.1,19.59,3500
2024-01-01,19.49,20,19.49,19.75,3000
2024-01-02,20.45,20.45,20.45,20.45,500
2024-01-03,20.1,20.1,19.7,19.7,12500
2024-01-04,20.2,20.48,20.2,20.45,6000
2024-01-05,20.45,20.45,20.45,20.45,2000
2024-01-10,19.7,20,19.7,19.85,1000
2024-01-15,19.7,19.7,19.7,19.7,2000
2024-01-16,19.5,19.5,19.5,19.5,500
2024-01-17,19.3,19.3,19.3,19.3,3000
2024-01-18,19,19,19,19,500
2024-01-19,19.99,19.99,19.99,19.99,1000
2024-01-22,19.2,19.2,19.2,19.2,1000
2024-01-23,19,19,19,19,1500
2024-01-24,18.9,19.5,18.9,19.2,6000
2024-01-25,19.5,19.6,19,19,3500
2024-01-26,19,19.48,18.65,19.07,2000
2024-01-30,18.61,19.38,18.61,19,1000
2024-01-31,19.3,20.43,19.3,19.84,111500
2024-02-01,19.6,19.77,19.2,19.37,5000
2024-02-02,19,19.01,19,19,9000
2024-02-06,18.65,18.88,18.6,18.69,6500
2024-02-07,18.23,18.6,18.23,18.48,4500
2024-02-09,18.5,18.5,18.5,18.5,500
2024-02-12,18.5,18.5,18.1,18.1,1500
2024-02-14,18.77,19.46,18.77,19.32,29500
2024-02-15,19.99,20.25,18.9,18.99,21000
2024-02-16,18.53,18.53,18.53,18.53,3500
2024-02-19,18.99,19.4,18.5,18.5,8000
2024-02-20,18.5,19,18.5,18.8,6500
2024-02-21,19,19,19,19,3500
2024-02-22,19,19,19,19,500
2024-02-23,18.81,18.81,17.99,18.03,38500
2024-02-26,18,18,18,18,2000
