date,open,high,low,close,volume
2024-06-03,3.0,3.0,3.0,3.0,55501
2024-06-04,3.76,4.0,2.52,2.8,279356
2024-06-05,2.9,3.09,2.53,2.67,44157
2024-06-06,2.64,3.67,2.64,3.63,141819
2024-06-07,4.35,4.59,3.02,4.48,52339
2024-06-10,5.3,5.3,3.48,3.48,83201
2024-06-11,3.12,3.94,2.55,3.28,19660
2024-06-12,3.94,3.94,2.8,3.03,8606
2024-06-13,3.0,3.48,3.0,3.03,67
2024-06-14,2.7,3.6,2.15,3.31,18415
2024-06-20,2.9,3.4,2.5,3.21,16772
2024-06-21,4.13,4.13,2.66,3.09,6273
2024-06-24,2.77,2.97,2.55,2.93,26282
2024-06-25,2.59,3.19,2.59,2.74,7394
2024-06-26,2.55,3.74,2.55,3.74,89367
2024-06-27,4.74,4.74,4.25,4.74,262026
2024-06-28,5.23,5.23,4.0,4.16,132389
2024-07-01,4.3,4.38,3.3,3.46,64230
2024-07-02,2.8,4.46,2.8,4.46,195955
2024-07-03,5.18,5.46,4.5,5.46,308286
2024-07-04,4.76,6.46,4.76,6.41,154679
2024-07-05,6.45,7.41,6.45,6.52,75751
2024-07-08,7.52,7.52,5.63,7.52,153730
2024-07-09,8.5,8.52,8.26,8.52,175322
2024-07-10,9.18,9.52,9.18,9.52,163783
2024-07-11,10.52,10.52,10.4,10.52,166374
2024-07-12,11.44,11.52,10.0,11.47,156655
2024-07-15,12.5,12.56,11.85,12.52,188912
2024-07-18,13.35,13.35,11.33,11.33,20876
2024-07-19,10.25,10.25,10.25,10.25,16751
2024-07-22,9.23,9.23,9.23,9.23,4515
2024-07-23,8.23,10.23,8.23,8.26,503071
2024-07-24,8.0,9.23,7.26,8.08,466657
2024-07-25,7.52,8.4,7.3,7.59,91250
2024-07-26,7.8,7.8,6.9,6.9,44498
2024-07-29,6.54,7.45,6.54,7.07,48455
2024-07-30,7.05,7.49,6.07,7.13,61955
2024-07-31,7.6,8.13,6.72,7.29,109063
2024-08-01,7.49,7.84,7.43,7.61,10601
2024-08-02,7.45,8.25,7.02,7.3,31266
2024-08-05,7.69,8.3,7.26,8.3,82884
2024-08-06,8.83,9.3,8.82,9.3,49112
2024-08-07,10.01,10.3,10.0,10.3,38926
2024-08-08,11.33,11.33,11.33,11.33,57349
2024-08-09,11.1,12.46,10.2,12.42,317474
2024-08-12,12.89,13.66,12.0,13.66,110265
2024-08-13,14.16,15.03,14.16,15.03,88081
2024-08-15,15.23,16.53,15.23,16.53,28331
2024-08-16,18.18,18.18,18.18,18.18,1525
2024-08-19,20.0,20.0,19.25,20.0,88108
2024-08-20,21.98,22.0,21.55,22.0,34716
2024-08-21,24.2,24.2,23.0,24.2,30305
2024-08-22,25.11,26.62,24.9,26.61,100935
2024-08-23,29.27,29.27,23.95,23.95,116437
2024-08-26,25.0,26.35,21.56,26.35,158433
2024-08-27,27.99,28.49,23.72,23.9,233382
2024-08-28,21.85,24.85,21.51,21.51,169584
2024-08-29,21.02,21.02,19.36,19.36,116226
2024-08-30,17.6,19.0,17.42,17.5,241236
2024-09-02,17.3,17.3,16.11,16.42,30264
2024-09-03,17.9,17.9,16.5,17.35,66869
2024-09-04,17.85,17.85,16.52,16.75,25812
2024-09-05,16.99,17.0,15.31,15.41,76513
2024-09-06,16.65,16.65,13.87,14.01,95516
2024-09-09,13.51,15.41,12.63,15.41,152580
2024-09-10,16.47,16.47,14.2,16.07,21782
2024-09-11,16.4,16.89,14.46,14.46,87643
2024-09-12,14.5,15.0,13.4,13.57,17870
2024-09-13,13.0,14.74,12.5,13.2,3016
2024-09-16,11.88,11.88,11.88,11.88,32070
2024-09-18,10.69,10.69,10.69,10.69,24938
2024-09-19,9.71,11.76,9.71,9.99,423400
2024-09-20,10.64,10.64,9.26,9.4,46324
2024-09-23,9.5,9.89,8.6,8.72,13929
2024-09-24,8.11,9.25,8.03,8.03,35547
2024-09-25,8.01,9.03,8.01,9.03,75542
2024-09-26,10.03,10.03,9.05,9.43,131749
2024-09-27,9.51,9.51,8.43,8.43,102997
2024-09-30,7.55,7.9,7.55,7.6,25392
2024-10-01,8.0,8.0,6.7,7.19,47807
2024-10-02,7.0,7.94,6.7,7.52,63838
2024-10-03,7.96,8.52,7.21,8.52,25465
2024-10-04,9.2,9.2,8.0,8.07,19747
