date,open,high,low,close,volume
2023-01-03,1119,1119,1100,1100,60
2023-01-05,1100.01,1100.01,1100,1100,300
2023-01-11,1100.01,1100.01,1100,1100,20
2023-01-24,1018,1018,1018,1018,40
2023-01-25,1094.35,1094.35,1094.35,1094.35,100
2023-01-26,1030.26,1150,1030.1,1140,720
2023-01-27,1119,1140,1119,1140,20
2023-01-30,1100.01,1100.01,1100,1100,120
2023-01-31,1022,1100,1022,1100,20
2023-02-01,1025.1,1100,1025.1,1100,20
2023-02-03,1020,1020,1020,1020,40
2023-02-06,955.1,1096.5,955.1,1096.5,500
2023-02-07,1025,1025,1025,1025,40
2023-02-08,955.1,1050,955.1,986.73,100
2023-02-09,955,955,955,955,40
2023-02-10,885.1,1026.62,885.1,1026.62,240
2023-02-13,950.1,1100,950.1,1099.99,880
2023-02-15,1179.9,1179.9,1179.9,1179.9,40
2023-02-22,1091.41,1091.41,1091.41,1091.41,120
2023-02-23,1149.9,1149.9,1091.41,1091.41,20
2023-02-24,1100,1119.9,1100,1113.27,140
2023-02-27,1032,1099.9,1032,1084.46,240
2023-02-28,1006,1006,1006,1006,40
2023-03-02,1080,1080,1080,1080,80
2023-03-03,1130,1130,1130,1130,40
2023-03-08,1199,1199.99,1199,1199.99,80
2023-03-14,1280,1280,1110,1237.9,120
2023-03-16,1145.06,1145.06,1145.06,1145.06,40
2023-03-17,1059.19,1187,1059.19,1139.73,220
2023-03-20,1054.26,1054.26,1054.26,1054.26,60
2023-03-22,1099.99,1100,977,979.6,300
2023-03-24,979.6,1053.06,906.6,1049.71,460
2023-03-27,975.01,1128.43,975.01,1099.1,800
2023-03-28,1100,1100,1100,1100,300
2023-03-31,1060,1125,1060,1115.71,160
2023-04-03,1179,1179,1179,1179,40
2023-04-05,1091,1200,1091,1187.83,400
2023-04-12,1140,1140,1099,1099,60
2023-04-13,1017,1180,1017,1096.5,80
2023-04-17,1175,1175,1175,1175,40
2023-04-19,1120,1175,1120,1175,20
2023-05-03,1090.01,1115,1086.88,1100.94,60
2023-05-05,1149.99,1149.99,1149.99,1149.99,40
2023-05-08,1119,1149.99,1119,1149.99,20
2023-05-15,1135,1135,1135,1149.99,20
2023-05-25,1150,1150,1150,1150,100
2023-05-26,1159,1159,1150,1150,180
2023-05-29,1150,1220,1150,1194.5,320
2023-05-30,1140,1140,1140,1194.5,20
2023-05-31,1194.5,1194.5,1194.5,1194.5,20
2023-06-02,1194,1194,1194,1194.5,20
2023-06-06,1250,1250,1200,1200,320
2023-06-07,1200,1200,1170,1185,40
2023-06-13,1159.99,1159.99,1159.99,1185,20
2023-06-14,1105,1105,1105,1174.54,40
2023-06-19,1199,1199,1199,1174.54,20
2023-06-22,1100.01,1100.01,1100.01,1174.54,20
2023-06-23,1170,1199,1170,1184.5,40
2023-06-26,1200,1200,1120,1165.64,440
2023-07-04,1110,1164,1110,1159.5,60
2023-07-05,1125,1125,1110,1110,220
2023-07-12,1100,1100,1100,1110,40
2023-07-13,1060,1061.06,1050,1050.51,200
2023-07-18,1124.99,1124.99,1124.99,1124.99,100
2023-07-25,1125,1125,1125,1124.99,20
2023-08-01,1064.06,1064.06,1064.06,1124.99,20
2023-08-02,1123.99,1209.36,1123.99,1164.87,760
2023-08-08,1077.56,1077.56,1077.55,1077.56,40
2023-08-15,1050.11,1050.11,1050.11,1050.11,40
2023-08-30,1128,1128,1128,1128,100
2023-09-22,1140,1212,1140,1192.93,900
2023-09-25,1200,1200,1200,1200,40
2023-09-27,1120,1120,1120,1200,20
2023-10-09,1191,1195,1110,1194.5,160
2023-10-12,1199,1199,1199,1194.5,20
2023-10-16,1120.15,1120.15,1120.15,1194.5,20
2023-10-17,1115,1115,1115,1194.5,20
2023-10-18,1100,1100,1100,1184.5,20
2023-10-27,1189,1190,1189,1189.5,40
2023-11-08,1110.1,1110.1,1101,1101.01,220
2023-11-10,1183.59,1183.59,1031.25,1105.62,80
2023-11-14,1050.1,1098.99,1025,1098.99,520
2023-11-16,1098.99,1098.99,1098.99,1098.99,1660
2023-11-17,1041,1041,1017.77,1017.77,560
2023-11-20,1000,1044.99,942,993.5,120
2023-11-21,993.5,1067,993.5,1035.93,800
2023-11-22,1011,1099,1000,1072.76,900
2023-11-23,1035,1035,1035,1035,40
2023-11-27,1075,1112,1075,1096.6,300
2023-11-29,1025.51,1149.99,1025.51,1149.99,100
2023-11-30,1063.75,1160,1063.75,1150.74,580
2023-12-01,1149,1150,1149,1149.96,520
2023-12-04,1170,1180,1170,1175,200
2023-12-05,1190,1199.99,1190,1195,40
2023-12-06,1200,1200,1200,1200,100
2023-12-07,1195,1195,1195,1195,100
2023-12-08,1200,1200,1200,1200,100
2023-12-11,1200,1210,1200,1203.33,300
2023-12-12,1210,1220,1210,1215,200
2023-12-13,1230,1230,1230,1230,100
2023-12-14,1240,1240,1240,1240,100
2023-12-15,1245,1245,1245,1245,400
2023-12-19,1300,1300,1200.1,1283.35,120
2023-12-21,1330,1330,1330,1330,100
2023-12-22,1350,1350,1350,1350,100
2023-12-28,1350,1450,1350,1409.83,1320
2023-12-29,1415,1415,1415,1415,100
2024-01-01,1415,1521,1415,1482.92,1200
2024-01-02,1485,1594.14,1485,1569.68,1680
2024-01-03,1580,1580,1580,1580,120
2024-01-04,1600,1650,1465.1,1605.62,820
2024-01-05,1485.2,1640,1485.2,1640,80
2024-01-08,1660,1660,1660,1660,100
2024-01-09,1675,1675,1675,1675,100
2024-01-10,1690,1690,1690,1690,20
2024-01-11,1725,1725,1725,1725,40
2024-01-12,1724,1724,1724,1724,20
2024-02-20,1600,1600,1600,1600,40
2024-02-21,1600,1600,1600,1600,20
2024-03-22,1525,1525,1525,1525,40
2024-03-25,1411,1495,1411,1479.83,260
2024-03-26,1370.11,1500,1368.84,1485.15,940
2024-03-27,1402.01,1402.1,1401.1,1401.1,260
2024-03-29,1410,1410,1410,1410,20
2024-04-09,1350,1350.1,1304.25,1350,2440
2024-04-15,1348,1350,1340,1348,200
2024-04-16,1311,1325,1310,1325,760
2024-04-17,1344.98,1344.99,1344.98,1344.98,180
2024-04-22,1300,1325,1300,1325,55
2024-04-24,1280,1288,1225.63,1265.37,1446
2024-04-25,1176,1270,1170.48,1186.03,636
2024-04-26,1218,1218,1175,1200.8,50
2024-04-30,1125.14,1198.8,1125.14,1187.82,88
2024-05-02,1110.16,1166,1100.1,1152.92,563
2024-05-03,1081,1235,1081,1189.8,1169
2024-05-06,1244.44,1279.04,1234.99,1274.22,1704
2024-05-07,1210.12,1310,1210.12,1310,19006
2024-05-08,1358.57,1359.5,1212,1300,11127
2024-05-09,1230,1296,1220.01,1289.97,3153
2024-05-10,1194.5,1270,1194.5,1257.86,2371
2024-05-13,1200,1293.99,1200,1238.15,911
2024-05-14,1237.99,1277,1227.05,1245.42,302
2024-05-15,1172,1338,1172,1290.81,1880
2024-05-16,1292,1300,1201,1299.99,110
2024-05-17,1203.41,1344,1203.41,1293.95,39
2024-05-20,1349.79,1349.79,1299.98,1300,501
2024-05-21,1220,1300,1220,1300,28
2024-05-22,1231.04,1300,1231.04,1300,11
2024-05-23,1235.01,1299,1235.01,1300,12
2024-05-24,1231,1300,1231,1299.98,103
2024-05-27,1300,1300,1300,1300,500
2024-05-31,1222,1222,1222,1300,1
2024-06-04,1281,1281,1241,1279.46,26
2024-06-06,1229,1294.94,1229,1292.72,21
2024-06-07,1300,1300,1300,1300,75
2024-06-10,1295,1300,1295,1299.9,408
2024-06-11,1300,1300,1300,1300,20
2024-06-12,1250,1324,1250,1324,51
2024-06-13,1325,1430,1325,1380.26,1080
2024-06-14,1262.95,1350,1262.95,1349.99,95
2024-06-20,1350,1350,1350,1350,602
2024-06-24,1260.12,1420,1260.11,1384.77,811
2024-06-25,1280.11,1369.99,1280.11,1300.45,152
2024-06-26,1348.98,1348.99,1260.55,1290.68,150
2024-06-28,1290.03,1338.99,1290.03,1338.99,41
2024-07-02,1337,1350,1320,1347.01,351
2024-07-03,1233.01,1309.88,1233.01,1300.78,115
2024-07-04,1251.01,1324.97,1251.01,1300.78,2
2024-07-05,1301.68,1350,1301.68,1327.71,200
2024-07-08,1300,1300,1300,1300,30
2024-07-09,1330,1330,1330,1330,100
2024-07-10,1340,1340,1340,1340,48
2024-07-11,1345,1350,1300.1,1301,53
2024-07-12,1349.99,1360,1349.99,1350.13,150
2024-07-15,1229.01,1360,1229.01,1357.14,24
2024-07-18,1243,1360,1243,1357.2,465
2024-07-19,1255,1255,1255,1357.2,1
2024-07-22,1360,1370,1360,1369.92,201
2024-07-24,1370,1370,1370,1370,50
2024-07-25,1249,1379,1249,1370,3
2024-07-26,1371,1371,1371,1370,1
2024-07-29,1240,1379.9,1240,1370,5
2024-07-30,1254,1370,1254,1369.55,101
2024-07-31,1374,1375,1374,1374.99,146
2024-08-01,1379.99,1380,1379.99,1380,50
2024-08-02,1374.99,1374.99,1374.99,1380,1
2024-08-05,1269,1315,1269,1310.53,24
2024-08-06,1327,1379,1179.48,1310.53,10
2024-08-07,1180.01,1400,1180.01,1316.65,630
2024-08-08,1237,1300,1237,1300,101
2024-08-09,1300,1300,1300,1300,2
2024-08-13,1200,1300,1200,1300,12
2024-08-16,1210.27,1210.27,1210.27,1300,2
2024-08-22,1209,1274.44,1200,1264.99,452
2024-08-23,1250,1250,1230,1264.99,5
2024-08-30,1150,1201.15,1150,1201.1,97
2024-09-02,1150.05,1249.98,1150.05,1201.1,69
2024-09-03,1081.01,1200,1081.01,1201.1,6
2024-09-09,1100,1240,1100,1159.16,43
2024-09-10,1160,1160,1160,1159.16,1
2024-09-12,1160,1160,1149,1149.6,43
2024-09-16,1100,1100,1076,1090.89,47
2024-09-18,1120,1159.99,1083,1148.77,24
2024-09-19,1151,1155,1151,1148.77,8
2024-09-23,1235.16,1235.16,1040.1,1148.77,20
2024-09-24,1055.1,1198.98,1055.1,1148.77,2
2024-09-25,1259.98,1259.98,1075.11,1148.77,13
2024-09-26,1247.9,1260,1100.03,1257.62,252
2024-09-27,1279.99,1279.99,1132,1217.39,293
2024-09-30,1221,1221,1200,1217.39,6
2024-10-02,1225,1225,1225,1217.39,3
2024-10-03,1265,1265,1096.11,1163.17,441
2024-10-04,1237,1237,1230,1234.08,285
2024-10-08,1150.02,1220,1150.02,1220,101
2024-10-09,1280,1280,1270,1220,4
2024-10-10,1100,1100,1100,1220,2
2024-10-11,1210,1289,1105.02,1208.48,66
2024-10-14,1240,1240,1219.98,1208.48,17
2024-10-16,1112,1200,1112,1146.41,23
2024-10-17,1148.03,1198.99,1057,1130.08,155
2024-10-18,1148.99,1229,1015.01,1154.13,906
2024-10-21,1153.99,1199,1153.99,1170.94,3071
2024-10-22,1170,1170,1156,1169.94,502
2024-10-23,1170,1180,1170,1171,268
2024-10-24,1171,1175,1171,1175,323
2024-10-25,1075.01,1174.99,1070,1101.53,352
2024-10-28,1168.99,1168.99,1120,1101.53,17
2024-10-29,1174,1174,1075,1101.53,14
2024-10-30,1120.01,1196.99,1030.05,1121.86,234
2024-10-31,1158,1180,1090,1158.58,68
2024-11-01,1151.99,1158.58,1151.99,1158.58,156
2024-11-04,1160,1160,1093.02,1158.58,3
2024-11-05,1159.22,1159.22,1148,1158.58,54
2024-11-07,1159.98,1160,1110.1,1149.81,59
2024-11-08,1063,1063,1063,1149.81,2
2024-11-11,1145,1145,1145,1149.81,1
2024-11-12,1145,1145,1145,1149.81,3
2024-11-14,1152,1160,1152,1156,41
2024-11-15,1230,1230,1121,1122.83,285
2024-11-19,1160,1160,1149,1149.96,29
2024-11-20,1149.99,1150,1149.99,1150,230
2024-11-21,1070,1149,1070,1135.6,25
2024-11-22,1135,1200,1135,1137.11,107
2024-11-25,1102,1102,1102,1137.11,4
2024-11-26,1111,1184.99,1111,1177.99,121
2024-11-27,1169.99,1170,1150,1151.64,1293
2024-11-28,1090,1160,1090,1150,195
2024-11-29,1185,1185,1185,1185,100
2024-12-02,1150,1200,1150,1180,551
2024-12-03,1171.99,1172,1171.99,1172,33
2024-12-04,1172,1180,1172,1179.97,68
2024-12-05,1099,1235,1085,1175,459
2024-12-06,1099,1204.99,1099,1195.86,115
2024-12-09,1200,1200,1180,1200,275
2024-12-10,1180,1200,1180,1200,304
2024-12-11,1200,1230,1185,1213.19,439
2024-12-12,1230,1230,1230,1230,30
