date,open,high,low,close,volume
2023-01-02,42.5,42.5,42.5,42.5,500
2023-01-04,44.65,44.65,38.55,38.55,3500
2023-01-06,41.35,41.35,41.35,41.35,1000
2023-01-10,43.89,43.89,39.4,39.4,3500
2023-01-12,36.45,36.45,36.45,36.45,500
2023-01-13,38.8,38.85,38.8,38.85,1000
2023-01-17,40.5,40.5,38.85,40.5,5000
2023-01-20,36.93,41.97,39.92,41.97,1500
2023-01-27,42,42,42,42,500
2023-02-03,42.7,42.7,36.91,36.91,4000
2023-02-06,39.6,39.6,34.15,37,1500
2023-02-07,34.23,39.77,34.23,37.96,31000
2023-02-08,36,40.25,35.15,39.31,88500
2023-02-10,38.5,40.49,38.5,40.49,16500
2023-02-14,40.49,41.98,37.55,41.34,107000
2023-02-15,38.7,41,38.7,39.85,1000
2023-02-16,38.06,40.49,38.05,40.49,15000
2023-02-17,40.64,40.64,38.99,38.99,57500
2023-02-22,39.29,39.29,39.29,39.29,500
2023-02-24,36.36,41.5,36.36,41.5,13000
2023-02-27,38.51,39.69,38.39,39.69,2500
2023-02-28,36.76,40.44,36.72,40.44,4000
2023-03-02,42.5,42.5,42.5,42.5,500
2023-03-03,39.35,40.55,39.32,40.34,7000
2023-03-06,39.95,39.95,37.75,37.96,6000
2023-03-07,39.55,39.55,35.37,35.56,1500
2023-03-08,34.73,37.73,34.73,37.25,8500
2023-03-09,39.38,39.38,39.38,39.38,3000
2023-03-10,39.55,40.99,37.95,37.95,63000
2023-03-13,37.95,37.95,37.95,37.95,500
2023-03-15,35.11,37.16,35.11,37.16,4500
2023-03-21,35,35,35,35,1500
2023-03-22,32.67,32.99,32.5,32.75,4000
2023-03-27,33.95,34.55,33.95,34.55,52000
2023-03-30,32,34.55,32,32,6000
2023-03-31,33.7,33.75,33.7,33.75,3000
2023-04-03,32,32,32,32,500
2023-04-06,33.8,33.8,33.8,33.8,500
2023-04-10,31.26,31.26,31.26,31.26,500
2023-04-12,28.95,29.45,28.95,29.45,2000
2023-04-13,29.95,29.95,29.95,29.95,2000
2023-04-20,27.76,27.76,27.76,27.76,1000
2023-04-26,29.5,29.5,29.5,29.5,500
2023-05-02,27.3,27.3,27.3,27.3,500
2023-05-25,25.25,28.95,25.25,25.25,5000
2023-05-26,25,25,25,25,500
2023-05-29,23.2,24.95,23.13,23.19,33000
2023-05-30,22,24.15,22,24,9500
2023-05-31,25.75,25.75,23.59,23.59,3000
2023-06-06,22.11,22.11,22.1,22.1,1500
2023-06-12,22.1,22.1,22.1,22.1,500
2023-06-14,23,23,23,23,500
2023-06-23,22.86,22.86,22.86,22.86,500
2023-07-03,21.16,21.16,21.16,21.16,500
2023-07-06,21,21,21,21,11500
2023-07-10,22,22.5,21.5,21.5,1500
2023-07-11,21.06,22,21.06,22,1000
2023-07-13,20.75,20.75,20.75,20.75,6000
2023-07-14,22,22.31,21.35,22.31,32500
2023-07-17,23.85,23.98,22.75,23.5,20000
2023-07-18,23.95,24.85,23.5,23.96,9500
2023-07-19,25.25,25.25,23.9,23.95,6000
2023-07-20,22.21,23.7,22.16,23.05,9500
2023-07-24,22.01,22.95,22,22.21,14500
2023-07-25,22.4,22.48,22.4,22.48,2500
2023-07-26,23.65,23.65,23.65,23.65,2000
2023-08-01,22.01,22.05,21.88,21.88,15000
2023-08-03,20.75,20.75,20.75,20.75,8000
2023-08-04,19.5,22,19.5,21.13,28000
2023-08-07,22.5,22.5,20.75,20.75,2000
2023-08-08,21.35,21.5,20.75,20.75,3000
2023-08-09,19.75,20.75,19.75,20.74,6000
