date,open,high,low,close,volume
2024-01-12,36.48,36.89,36,36.16,16000
2024-01-15,36.6,36.6,36,36.29,14500
2024-01-16,36,36.2,36,36.04,5000
2024-01-17,36.21,36.22,36.21,36.22,3500
2024-01-18,36.22,36.79,36.01,36.01,15500
2024-01-19,37.44,37.44,36.99,36.99,5000
2024-01-22,35.66,36.43,35.66,36.38,8000
2024-01-23,36.2,37,36.2,36.25,20500
2024-01-24,36.11,36.84,36.11,36.84,6500
2024-01-25,36.9,37,36.8,36.8,10500
2024-01-26,37,37,36.98,36.99,10500
2024-01-29,37,37,36.56,36.56,17000
2024-01-30,36.01,36.01,35.21,35.21,6000
2024-01-31,37.1,37.1,35.5,36.24,93500
2024-02-01,36.2,37,36.2,37,11000
2024-02-02,36.5,37.44,36.5,37.01,20000
2024-02-06,36.9,37.3,36.7,36.8,13500
2024-02-07,36.27,37.25,36.27,37.2,5000
2024-02-09,36.9,37,36.9,36.97,2500
2024-02-12,37,37,36,36,4500
2024-02-13,36,36.65,35.29,36.2,40000
2024-02-14,37,37.5,37,37,2500
2024-02-15,36.95,37.5,36.56,36.56,39000
2024-02-16,36.52,37.5,36.11,37.19,52500
2024-02-19,35.99,37.99,35.99,37.01,61500
2024-02-20,37,37.69,36.98,37.1,44500
2024-02-21,37.85,37.9,37,37.35,16000
2024-02-22,37,37.5,37,37.36,22500
2024-02-23,37.9,38.5,37.11,38.01,153000
2024-02-26,38.1,38.48,37.67,37.74,246000
2024-02-27,37.95,38,37.5,37.55,70500
2024-02-28,37.99,38.41,37,37.11,147000
2024-02-29,37.25,38,37,37.1,382000
2024-03-01,37.67,37.94,37.42,37.75,13500
2024-03-04,37.99,37.99,37.25,37.66,48500
2024-03-05,37.52,37.74,37.5,37.74,10500
2024-03-06,37.99,38.1,37.56,38,153500
2024-03-07,38,39.69,37.85,38.98,235000
2024-03-08,39,39.5,39,39,74500
2024-03-11,39.4,39.4,38,38.52,115000
2024-03-12,38.5,38.5,38,38.37,135500
2024-03-13,38.15,38.5,38.1,38.32,90000
2024-03-14,38.5,38.7,38.21,38.52,377000
2024-03-15,34.03,35.75,34.02,35.3,33500
2024-03-18,34.5,35,34.5,34.95,14500
2024-03-19,35.01,35.96,35,35.95,17000
2024-03-20,35.99,36.1,34.5,34.65,38000
2024-03-21,35.92,36.2,34.69,36.06,64500
2024-03-22,36.06,36.06,35.94,35.94,12000
2024-03-25,37.99,38.64,37.5,37.5,122500
2024-03-26,37.01,37.25,35.4,36.09,67500
2024-03-27,36.49,38.75,36,38.63,127500
2024-03-28,39.2,41.53,38.5,41.51,90500
2024-03-29,42,42,40,40.55,16000
2024-04-01,42,42.7,41,41.3,14500
2024-04-02,42,43.99,42,43.99,60000
2024-04-03,43.99,45.5,42.5,43.21,105000
2024-04-04,43.1,45.95,43.1,45.38,30000
2024-04-08,45.6,48.5,45.6,48.45,180000
2024-04-09,49.18,52.08,49,51.93,280500
2024-04-15,53,55.82,52.5,55.81,239500
2024-04-16,56.5,59.9,56.16,57.17,194000
2024-04-17,57.19,57.19,55,55.22,50000
2024-04-18,56.85,57,53.8,56,191000
2024-04-19,56,57,54,55.15,74000
2024-04-22,54.5,55.5,54.5,55.25,29000
2024-04-23,54.12,55,52.6,53.55,89500
2024-04-24,54.85,55.99,53.5,54.71,47500
2024-04-25,56.35,56.35,54.11,54.89,42000
2024-04-26,54.25,54.89,53.51,54,49000
2024-04-29,50.21,54.85,49.95,50.88,99000
2024-04-30,50.88,51.48,50.6,51.2,39500
2024-05-02,51.36,54.4,48,50.37,31000
2024-05-03,50,50.25,49.5,49.5,17000
2024-05-06,50,50.5,48.75,49.36,22500
2024-05-07,49.5,50,49.23,49.8,23500
2024-05-08,48.99,48.99,47,48.45,51000
2024-05-09,47.5,47.99,46,47.58,25000
2024-05-10,47,47,46.11,46.64,8000
2024-05-13,46.02,46.8,46,46.55,15500
2024-05-14,46.55,47.5,46.01,46.4,11500
2024-05-15,47.39,47.48,47,47.41,20500
2024-05-16,48.47,48.99,47.5,47.63,32500
