date,open,high,low,close,volume
2023-01-03,226.83,226.83,226.83,226.83,200
2023-01-04,243.84,243.84,243.84,243.84,200
2023-01-05,262.11,262.11,262.11,262.11,100
2023-01-06,281.76,281.76,281.76,281.76,100
2023-01-09,299.9,299.9,299.9,299.9,100
2023-01-11,277.41,299.9,277.41,277.42,2700
2023-01-12,257.0,257.0,257.0,257.0,100
2023-01-13,250.0,250.0,250.0,250.0,100
2023-01-16,233.4,233.4,233.4,233.4,200
2023-01-17,221.5,221.5,221.5,221.5,200
2023-01-18,215.25,215.25,215.25,215.25,200
2023-01-25,231.39,231.39,215.25,215.25,100
2023-02-06,235.38,235.38,218.96,218.96,100
2023-02-16,235.38,235.38,218.96,218.96,100
2023-02-23,235.38,235.38,218.96,218.96,100
2023-02-24,235.38,235.38,235.38,235.38,500
2023-02-27,226.1,226.1,226.1,226.1,200
2023-02-28,212.0,212.0,212.0,212.0,200
2023-03-07,227.9,227.9,212.0,212.0,200
2023-03-08,227.9,227.9,212.0,212.0,100
2023-03-22,227.9,227.9,227.9,227.9,400
2023-03-24,244.99,244.99,244.99,244.99,400
2023-03-27,263.36,263.36,263.36,263.36,100
2023-03-28,283.11,283.11,283.11,283.11,100
2023-03-29,304.0,304.0,285.0,304.0,1600
2023-03-30,324.0,324.0,281.2,282.0,2400
2023-03-31,262.0,303.15,262.0,286.67,500
2023-04-03,266.1,266.1,266.1,266.1,100
2023-04-04,250.0,250.0,250.0,250.0,100
2023-04-05,233.01,234.01,233.01,233.51,200
2023-04-06,221.0,221.05,221.0,221.03,200
2023-04-28,244.08,244.08,244.08,244.08,200
2023-05-02,262.38,262.38,262.38,262.38,200
2023-05-03,282.05,282.05,281.33,281.33,200
2023-05-04,302.42,302.42,300.0,300.0,400
2023-05-05,322.0,322.0,322.0,322.0,100
2023-05-08,297.85,300.0,297.85,300.0,500
2023-05-09,277.6,300.0,277.6,292.58,1200
2023-05-10,274.1,300.0,274.1,281.1,300
2023-05-11,266.1,300.0,266.1,300.0,600
2023-05-12,280.5,280.5,280.5,280.5,100
2023-05-15,264.0,264.0,264.0,264.0,100
2023-05-16,250.0,250.0,250.0,250.0,100
2023-05-24,255.0,255.0,255.0,255.0,100
2023-06-05,255.0,255.0,255.0,255.0,300
2023-06-14,274.0,274.0,274.0,274.0,200
2023-06-15,294.55,294.55,294.55,294.55,600
2023-06-16,272.46,272.46,272.46,272.46,400
2023-07-03,292.88,292.89,292.88,292.89,300
2023-07-06,314.86,314.86,314.86,314.86,100
2023-07-07,324.9,324.9,324.9,324.9,100
2023-07-10,300.53,300.53,300.53,300.53,900
2023-07-14,278.0,278.0,278.0,278.0,100
2023-07-17,261.61,261.61,261.61,261.61,100
2023-07-18,280.8,280.8,280.8,280.8,100
2023-08-03,261.14,299.99,260.0,265.35,4400
2023-08-10,285.25,285.25,285.25,285.25,100
2023-08-16,280.0,280.0,280.0,280.0,500
2023-08-29,260.0,260.0,260.0,260.0,200
2023-10-05,251.25,265.0,250.0,261.01,600
2023-10-06,260.0,260.0,260.0,260.0,100
2023-10-09,265.25,265.25,265.25,265.25,200
2023-10-10,265.0,265.0,265.0,265.0,200
2023-10-20,246.0,246.0,246.0,265.0,100
2023-10-23,275.0,284.88,275.0,284.88,900
2023-10-24,275.25,275.25,275.25,275.25,100
