date,open,high,low,close,volume
2023-01-10,7.5,7.7,7.5,7.7,3000
2023-01-13,7.7,7.7,7.7,7.7,3500
2023-01-23,6.8,7.79,6.8,7.79,4000
2023-01-26,7.8,7.8,7.8,7.8,500
2023-01-27,7.5,7.79,7.5,7.79,1000
2023-03-06,7.2,7.49,7.2,7.49,2000
2023-03-27,6.5,7,6.5,7,1000
2023-03-29,6.26,7,6.25,7,2500
2023-04-12,7.4,7.4,7.4,7.4,500
2023-04-26,7,7,6.6,6.63,3500
2023-05-02,6.36,6.36,6,6.01,8500
2023-05-03,6.01,6.01,6,6,2000
2023-05-05,6.2,6.2,6.2,6.2,500
2023-05-17,6.43,6.43,6.43,6.43,500
2023-05-18,6.13,6.13,6.08,6.08,6000
2023-05-23,6.49,6.59,6.49,6.59,1000
2023-05-29,6.07,6.07,6.07,6.07,500
2023-05-30,6.7,6.7,6.7,6.7,500
2023-06-07,6.1,6.49,6.1,6.3,1000
2023-06-08,6.4,6.4,6.4,6.4,500
2023-06-20,6.07,6.59,6.07,6.59,1000
2023-06-26,6.06,6.64,6.03,6.64,4500
2023-07-03,6.79,6.79,6.2,6.43,2000
2023-07-04,6.1,6.49,6.1,6.49,1000
2023-07-05,6.03,6.2,6,6.2,6000
2023-07-07,6.24,6.24,6.24,6.24,500
2023-07-13,6.02,6.02,6.02,6.02,500
2023-07-14,6.08,6.24,6.02,6.13,5500
2023-07-20,6.5,6.6,6.48,6.48,3500
2023-07-24,6.4,6.4,6.4,6.4,2000
2023-07-26,6.46,6.5,6.46,6.5,3000
2023-07-27,6.2,6.5,6.2,6.47,2500
2023-08-01,6.2,6.7,6.2,6.7,2500
2023-08-21,6.2,6.44,6.1,6.44,3000
2023-08-22,6.5,6.5,6.5,6.5,1500
2023-08-24,6.59,6.7,6.59,6.7,3500
2023-08-29,6.3,6.49,6.2,6.49,1500
2023-09-07,6.49,6.49,6.49,6.49,2500
2023-09-11,6.5,6.5,6.5,6.5,500
2023-09-25,6.2,6.5,6.2,6.5,1000
2023-09-26,6.59,6.59,6,6.11,7500
2023-09-27,6.1,6.1,6.1,6.1,500
2023-09-28,6.15,6.15,6.15,6.15,500
2023-10-03,6.4,6.5,6.4,6.5,2000
2023-10-04,6.55,6.7,6.55,6.7,5500
2023-10-05,6.79,6.8,6.79,6.8,2500
2023-10-06,6.99,6.99,6.7,6.7,1500
2023-10-09,6.5,6.5,6.3,6.35,3000
2023-10-11,6.69,6.69,6.69,6.69,500
2023-10-12,6.8,6.8,6.8,6.8,500
2023-10-13,6.8,6.9,6.8,6.9,1000
2023-10-17,6.89,7.9,6.85,7.9,88500
2023-10-18,8,8.9,7.5,8.9,24500
2023-10-19,9.9,9.9,9.9,9.9,26000
2023-10-20,10.9,10.9,10.4,10.9,223500
2023-10-23,11,11.9,11,11.9,47000
2023-10-24,12.9,12.9,12.9,12.9,22000
2023-10-25,13.9,13.9,13.9,13.9,12000
2023-10-26,14.94,14.94,14.94,14.94,13000
2023-10-27,16.06,16.06,16.06,16.06,25500
2023-10-30,17.26,17.26,15.51,15.95,314500
2023-10-31,15.02,16.8,14.75,14.75,208000
2023-11-01,14.53,15.86,13.82,14.16,47500
2023-11-02,14,15.22,13.66,14.75,93000
2023-11-03,14.99,15.74,14.16,14.27,46000
2023-11-06,14.06,14.06,13.67,13.67,6000
2023-11-07,13.98,14,12.64,12.64,23000
2023-11-08,12.79,12.79,12.49,12.49,3500
2023-11-10,12.95,13.25,12.7,12.7,15500
2023-11-13,12.89,12.9,12.89,12.9,1000
2023-11-15,12.2,12.94,12.1,12.94,8000
2023-11-17,12.1,12.6,12.1,12.37,3500
2023-11-21,11.99,12,11.7,11.7,7500
2023-11-22,11.9,12,11.9,12,6000
2023-11-23,11.7,11.7,11.5,11.5,2000
2023-11-27,11.5,11.5,11.5,11.5,500
2023-11-28,11.32,11.84,11.21,11.63,2000
2023-11-29,11.25,11.5,11.25,11.38,1000
2023-11-30,11.1,11.7,10.6,11.09,4500
2023-12-01,11.09,12.09,10.8,12.09,51500
2023-12-04,12.5,12.51,12.01,12.01,16000
2023-12-05,12,12.1,12,12.1,2000
2023-12-06,12,12.3,12,12.3,1500
2023-12-07,12.3,12.98,12.3,12.95,19500
2023-12-13,12.1,12.48,12,12.48,5000
2023-12-15,13.48,13.48,13,13,10500
2023-12-18,12.5,12.88,12.5,12.88,1500
2023-12-19,12.5,12.5,12.5,12.5,500
2023-12-21,12.49,12.49,12.49,12.49,500
2023-12-22,11.51,12,11.49,11.49,38500
2023-12-26,10.8,11.49,10.8,11.49,2500
2023-12-28,11,11.65,11,11.65,1000
2024-01-01,10.7,11.74,10.7,11.74,3000
2024-01-04,11.79,11.79,11.79,11.79,500
2024-01-12,10.8,11.79,10.8,11.79,1000
2024-01-15,11.75,11.75,11.75,11.75,1000
2024-01-17,10.76,10.76,10.76,10.76,2000
2024-01-18,11.49,11.5,11.48,11.48,6000
2024-01-19,11.75,11.75,11.75,11.75,1500
2024-01-23,11.7,11.7,11.7,11.7,2000
2024-01-24,11.5,11.5,11.5,11.5,500
2024-01-25,11.4,11.4,11.4,11.4,500
2024-02-06,10.8,11.5,10.8,11.5,1500
2024-02-14,11,11,11,11,500
2024-02-15,10.7,10.79,10.3,10.6,4500
2024-02-20,10.55,10.55,10.51,10.51,1500
2024-02-21,10.8,10.8,10.31,10.56,2500
2024-02-22,10.8,11.5,10.8,11.5,2000
2024-02-27,11.69,12.39,11.3,11.5,10500
2024-02-28,11.8,12.35,11.8,12.08,1000
2024-02-29,11.3,11.3,11.3,11.3,2000
2024-03-04,11,11,10.5,10.99,7000
2024-03-07,10.6,10.8,10.5,10.8,10500
2024-03-12,10.5,10.51,10.5,10.51,1000
2024-03-14,10.8,10.8,10.8,10.8,500
2024-03-15,10.55,10.8,10.5,10.8,2000
2024-03-20,11,11,11,11,500
2024-03-27,10.5,10.7,10.5,10.7,1500
2024-03-28,10.5,10.5,10.5,10.5,500
2024-04-08,10.8,10.8,10.8,10.8,500
2024-04-15,10.75,10.75,10.75,10.75,1000
2024-04-23,10.56,10.56,10.55,10.55,1000
2024-04-24,10.5,10.5,10.5,10.5,2500
2024-04-25,10.8,11.49,10.8,11.25,1500
2024-04-30,10.55,10.8,10.5,10.8,4000
2024-05-03,11,11,11,11,500
2024-05-06,10.5,10.8,10.5,10.8,1500
2024-05-13,11.19,11.19,11.19,11.19,1500
2024-05-20,11.19,11.19,10.5,10.85,6000
2024-05-22,11,11,11,11,500
2024-05-27,11,11,11,11,300
2024-05-30,10.7,11.11,10.5,11.02,4502
2024-05-31,11.3,11.3,11,11.02,3150
2024-06-03,11.8,11.8,11.6,11.78,3800
2024-06-04,11.12,11.4,11.12,11.15,502
2024-06-05,11.46,11.46,11.46,11.15,1
2024-06-07,10.8,10.88,10.5,10.88,11500
2024-06-12,11.2,11.2,11.2,11.2,500
2024-06-24,11,11.45,11,11.04,2550
2024-06-26,10.86,10.9,10.86,10.9,909
2024-06-28,11.2,11.2,11.2,10.9,1
2024-07-01,11.2,11.2,11.2,11.2,500
2024-07-02,11.44,11.6,11.44,11.53,501
2024-07-03,11.5,11.5,11,11.17,704
2024-07-04,11.01,11.01,11.01,11.17,1
2024-07-05,10.9,11.2,10.85,10.85,1002
2024-07-08,10.5,11.2,10.5,11.2,5500
2024-07-09,11.5,11.5,11.32,11.2,11
2024-07-10,11.55,11.55,11.55,11.2,5
2024-07-12,11.2,11.2,10.5,10.54,12000
2024-07-15,10.51,10.9,10.51,10.9,517
2024-07-18,10.9,11.2,10.6,10.9,90
2024-07-22,11,11.2,11,11.2,2999
2024-07-24,11.5,12.3,11.5,11.73,7500
2024-07-25,11.3,12.6,11.3,11.73,2
2024-07-26,11.2,11.2,11.2,11.2,500
2024-07-29,11.45,11.5,11.12,11.12,1007
2024-07-30,11.8,12.23,11.01,11.67,11648
2024-07-31,12.1,12.1,12.1,12.1,1601
2024-08-01,12.49,12.49,12.49,12.1,11
2024-08-07,13.2,13.2,11.31,12.1,12
2024-08-09,12.01,12.01,12.01,12.01,989
2024-08-12,12,12.01,11.7,11.91,4283
2024-08-13,11.6,11.6,11.6,11.6,500
2024-08-21,12,12,12,12,7000
2024-08-22,12,12,11.61,11.98,2008
2024-08-23,11.6,11.9,11,11.5,26821
2024-08-26,11.01,12,11.01,11.5,40
2024-08-27,11.5,11.5,11.5,11.5,9590
2024-08-28,11.5,11.5,11.5,11.5,10000
2024-08-29,11.5,11.6,11.5,11.5,5124
2024-09-02,11.28,11.5,11.28,11.31,2060
2024-09-03,11.2,11.2,11.2,11.31,620
2024-09-04,12,12,11.99,12,27350
2024-09-05,11.97,12,11.97,12,30500
2024-09-09,11.95,11.99,11.95,11.98,6651
2024-09-12,12.38,12.38,12.38,11.98,6
2024-09-13,12.45,12.45,11.98,12,6350
2024-09-16,0,0,0,12,500
2024-09-18,12,12,12,12,10000
2024-09-19,12,12,11.5,12,2
2024-09-27,11.8,11.8,11.8,12,1
2024-10-01,12,13.2,12,13.09,41401
2024-10-02,13.47,13.47,12.51,13,11322
2024-10-03,12.01,12.99,12.01,12.98,1010
2024-10-04,12.01,12.01,12.01,12.01,1000
2024-10-09,12.7,12.7,12,12,1088
2024-10-10,12,12,11.88,12,34
2024-10-11,11.9,11.9,11.9,12,2
2024-10-14,0,0,0,12,500
2024-10-15,11.8,12.89,11.8,12.48,21100
2024-10-17,11.8,12,11.8,12,1006
2024-10-22,11.95,12.5,11.95,12.49,8100
2024-10-23,11.4,11.4,11.4,11.4,500
2024-10-25,11.5,12,11.5,11.98,1400
2024-10-28,11.95,11.95,11.95,11.98,201
2024-10-29,11.59,11.59,11.59,11.98,1
2024-10-30,11.8,11.8,11.78,11.98,601
2024-11-01,0,0,0,11.98,500
2024-11-04,11.7,11.7,11.7,11.98,50
2024-11-05,11.99,12,11.98,11.99,45000
2024-11-06,11.95,11.98,11.5,11.5,5500
2024-11-07,11.71,11.71,11.5,11.5,214
2024-11-08,11.8,11.9,11.3,11.83,1000
2024-11-12,11.3,11.5,11.3,11.5,1929
2024-11-14,0,0,0,11.5,110
2024-11-15,11.11,11.2,11.11,11.5,2
2024-11-19,11.5,11.5,11.49,11.5,2515
2024-11-21,11.75,11.99,11.33,11.46,1250
2024-11-26,11,11,11,11,2412
2024-11-27,11.6,11.6,11.6,11.6,500
2024-11-28,11.25,11.25,11.25,11.25,500
2024-11-29,11,11,11,11,1000
2024-12-03,11.5,11.5,11.5,11.5,500
2024-12-04,11.11,11.99,11,11.87,18010
2024-12-05,11.99,11.99,11.99,11.99,1101
2024-12-06,11.5,11.5,11.5,11.99,100
2024-12-09,11.51,12.01,11.5,12.01,11356
2024-12-10,11.8,12,11.65,12,5500
2024-12-11,11.6,12,11.6,12,23135
2024-12-16,11.7,11.7,11.67,11.67,1000
2024-12-17,11.99,11.99,11.66,11.66,957
2024-12-19,11.55,11.55,11.55,11.55,1006
2024-12-23,11.51,11.7,11.51,11.7,1000
2024-12-26,0,0,0,11.7,10
2024-12-30,11.8,11.8,11.51,11.7,10
2024-12-31,11.51,11.51,11.4,11.4,1500
2025-01-02,11.41,11.41,11,11.3,16000
2025-01-03,11.06,11.5,11.06,11.5,1156
2025-01-06,11.6,11.6,11.6,11.5,100
2025-01-07,0,0,0,11.5,1500
2025-01-08,11.98,12,11.98,12,7500
2025-01-09,12,12,12,12,1000
2025-01-14,11.5,11.5,11.5,12,100
2025-01-15,11.99,11.99,11.99,12,8
2025-01-16,0,0,0,12,92
2025-01-17,12,12.25,12,12.02,7086
2025-01-21,11.99,12.02,11.99,12.02,15600
2025-01-22,12,12,12,12,17420
2025-01-27,11.5,11.9,11.5,11.9,1000
2025-01-28,12,12,12,11.9,1
2025-01-29,11.55,11.55,11.55,11.9,499
2025-02-03,12,12,12,11.9,103
2025-02-04,11.66,11.66,11.66,11.9,10
2025-02-11,11.5,11.88,11.5,11.9,101
2025-02-13,11.5,11.8,11.5,11.8,4000
2025-02-17,11.4,11.8,11.4,11.51,780
2025-02-19,12,12,11.3,12,9008
2025-02-20,11.5,11.9,11.5,12,44
2025-02-26,11.99,11.99,11.99,12,1
2025-02-27,11.33,11.33,11,11.02,18503
2025-02-28,11.4,11.4,11.4,11.4,500
2025-03-03,11.49,11.49,11.45,11.4,107
2025-03-06,10.6,11.4,10.6,11.4,1255
2025-03-17,10.8,11.44,10.8,11.4,28
2025-03-18,10.8,11,10.8,11,1544
2025-03-19,0,0,0,11,10
2025-03-20,11,11,11,11,50
2025-03-24,11,11,11,11,1
2025-04-03,11,11,11,11,1
2025-04-04,10.99,10.99,10.99,11,2
2025-04-08,10.88,11,10.88,10.94,1000
2025-04-09,11,11,10.5,10.5,45049
2025-04-10,10.75,10.75,10.27,10.5,86000
2025-04-11,10.5,10.7,10.5,10.7,18550
2025-04-14,10.95,10.95,10.95,10.7,2
2025-04-16,10.55,10.55,10.55,10.55,1000
2025-04-18,10.95,10.95,10.95,10.55,20
2025-04-23,10.95,10.95,10.55,10.55,550
2025-05-06,10,10.8,10,10.55,16
2025-05-12,10.84,10.84,10.84,10.84,500
2025-05-13,0,0,0,10.84,92
2025-05-19,10.9,10.9,10.9,10.84,1
2025-05-20,10.1,10.2,10.1,10.84,2
2025-05-22,0,0,0,10.84,2
2025-05-23,10.8,10.8,10.8,10.84,94
2025-05-26,10.84,10.84,10.84,10.84,200
2025-05-29,0,0,0,10.84,2
2025-05-30,10.9,10.9,10.9,10.84,1
2025-06-03,10.15,10.6,10.1,10.52,1100
2025-06-05,10.52,10.8,10,10.01,2007
2025-06-10,10.74,10.75,10.74,10.74,500
2025-06-11,10.99,10.99,10.99,10.74,160
2025-06-12,10.59,10.59,10.59,10.59,1500
2025-06-13,10.2,10.3,10.2,10.3,1000
2025-06-17,10.3,10.3,10.3,10.3,318
2025-06-18,10.55,10.55,10.1,10.1,1025
2025-06-19,10.5,10.5,10.5,10.1,200
2025-06-20,10.11,10.6,9.3,10.6,5800
2025-06-24,10.8,11,10.3,10.6,413
2025-06-25,0,0,0,10.6,2
2025-06-26,10.79,11.09,10.79,11.09,21474
2025-06-27,11.22,11.25,11.22,11.09,112
2025-06-30,11.17,11.17,11.17,11.09,25
2025-07-01,10.81,10.81,10.81,11.09,69
2025-07-02,11.3,11.34,11.25,11.33,860
2025-07-04,11.33,11.75,11.33,11.67,4882
2025-07-07,11.67,11.67,11.67,11.67,1142
2025-07-08,11.65,11.99,11.65,11.9,8244
2025-07-10,11.56,12.25,11.56,12.25,2600
2025-07-11,12.25,12.25,12,12.25,53
2025-07-14,11.5,12.47,11.3,12.47,3000
2025-07-15,12,12,11.75,11.75,2003
2025-07-16,11.75,12.25,11.3,11.63,1502
2025-07-17,11.74,11.74,11.74,11.74,1031
2025-07-18,11.2,12.24,11.2,11.29,1100
2025-07-21,11.26,11.26,10.61,11.29,225
2025-07-22,11.75,11.75,11.7,11.7,2118
2025-07-23,11.01,12.5,11.01,12.38,33700
2025-07-24,11.94,12.5,11.94,12.5,15692
2025-07-25,12.88,12.88,12,12.19,801
2025-07-28,12.51,12.51,12,12,12428
2025-07-29,12,12,12,12,3
2025-07-31,11.96,11.96,11.25,11.9,29231
2025-08-01,11.26,12.25,11.25,11.66,2871
2025-08-04,11.11,11.11,11.1,11.66,300
2025-08-05,11.1,11.1,11.1,11.66,100
2025-08-07,11.11,11.11,11.11,11.66,1
2025-08-08,12.4,12.4,11.15,11.66,5
2025-08-11,0,0,0,11.66,1
2025-08-13,11.99,11.99,11.3,11.41,1360
2025-08-15,11.41,11.41,11.41,11.41,40
2025-08-18,11.99,12.15,11.9,12.15,26724
2025-08-19,11.25,13.37,11.25,13.37,55740
2025-08-20,14.71,14.71,14.71,14.71,18365
2025-08-21,16.18,16.18,16.18,16.18,50106
2025-08-22,17.8,17.8,17.8,17.8,16182
2025-08-25,18.41,18.59,16.05,16.5,207297
2025-08-26,16.6,16.6,15.11,15.49,41875
2025-08-27,15.49,15.8,14.01,14.92,12279
2025-08-28,14.5,15.9,14,14.6,14261
2025-08-29,14.5,15.5,14.5,14.92,3157
2025-09-01,14.92,15.25,14.1,14.84,9376
2025-09-02,14.99,14.99,13.85,14.66,15532
2025-09-03,14.67,15.3,14.1,14.61,32319
2025-09-04,14.65,15.49,14.65,14.72,23536
2025-09-05,15.9,15.9,14.55,15.35,2725
2025-09-08,14.46,15.36,14.46,15.21,2577
2025-09-09,15.21,15.29,14.66,15.21,284
2025-09-10,14.85,14.85,14.3,14.75,7078
2025-09-11,15.05,15.75,14.75,14.75,8970
2025-09-12,14.6,16.23,14.6,16.23,48080
2025-09-15,17.85,17.85,16.71,17.85,281620
2025-09-16,18,18.9,17.85,17.88,133398
2025-09-17,17.5,18,17,17.13,16619
2025-09-18,18.49,18.49,17,18.09,34204
2025-09-19,18.87,18.87,17.11,17.73,15047
2025-09-22,18,19.25,17.25,17.95,65086
2025-09-23,18.64,18.64,17.12,17.84,46972
2025-09-24,16.2,18.09,16.2,17.05,12543
2025-09-25,18,18.4,17.5,17.98,7194
2025-09-26,18.1,18.25,18,18,21680
2025-09-29,18.4,18.4,18,18,1701
2025-09-30,18,18,16.61,17.01,5229
2025-10-01,17.01,18.6,17,17.51,3116
2025-10-02,17.06,17.7,16.11,17.04,1248
2025-10-03,17.18,17.18,16,17,8633
2025-10-06,17,17,16,16.02,6817
2025-10-07,16.02,17,16.02,16.99,4437
2025-10-08,17.01,18.69,15.29,15.61,5774122
2025-10-09,15.65,17.17,15.65,17.17,916958
2025-10-10,18.89,18.89,17,18.51,1425058
2025-10-13,18.1,20.36,16.76,20.36,1239876
2025-10-14,22.29,22.4,19.2,20.42,365182
2025-10-15,21,21,18.93,19.33,102080
2025-10-16,19,19,17.66,18.04,140660
2025-10-17,17.58,18.65,17.4,17.62,63765
2025-10-20,18.45,18.45,17.3,17.95,13142
2025-10-21,17.95,17.95,16.87,17.1,29059
2025-10-22,17,17.67,16.09,17.38,19765
2025-10-23,17.43,17.43,17,17.02,2074
2025-10-24,17.05,18,17.05,17.02,190
2025-10-27,16.55,17,16.55,16.73,20355
2025-10-28,16.54,16.79,16,16.12,38942
2025-10-29,16,17,16,16.22,45468
2025-10-30,14.9,16.95,14.9,15.66,35330
2025-10-31,16.9,16.9,16,16.43,124457
2025-11-03,16.43,16.7,15.01,16.22,41555
2025-11-04,16.26,16.39,16,16.39,50096
2025-11-05,15.62,16.6,15.5,15.95,39265
2025-11-06,15.95,16,15.43,15.99,21408
2025-11-07,15.8,17.59,14.52,17.59,177278
2025-11-10,19.35,19.35,19.35,19.35,21852
2025-11-11,21.29,21.29,20.36,21.29,586753
2025-11-12,22.5,22.85,19.26,19.35,409460
2025-11-13,20.5,21.29,19.8,21.29,168762
2025-11-14,21.61,23,20,21.99,275344
2025-11-17,21.6,24.19,20.21,24.19,624208
2025-11-18,25.4,26.61,24.99,26.37,1191768
2025-11-19,26.3,26.49,23.73,23.73,650002
2025-11-20,23.05,23.5,22.08,22.75,65583
2025-11-21,22.73,22.73,20.5,20.84,343918
2025-11-24,20.84,21.7,19.65,19.97,144038
2025-11-25,19.97,20.48,17.97,18.23,396509
2025-11-26,18.69,18.9,17.25,17.56,583189
2025-11-27,17.56,19.32,17.2,19.32,682061
2025-11-28,20.94,21.25,20.94,21.25,537300
2025-12-01,23.38,23.38,23.38,23.38,52769
2025-12-02,25.72,25.72,25.72,25.72,182474
2025-12-03,28.29,28.29,28.29,28.29,205913
2025-12-04,31.12,31.12,31.12,31.12,44126
2025-12-05,34.23,34.23,31.35,34.23,1169906
2025-12-08,37.65,37.65,37.65,37.65,95974
2025-12-09,41.42,41.42,41.42,41.42,35219
2025-12-10,45.56,45.56,37.28,37.4,2510430
2025-12-11,37.4,40.48,33.71,38.53,796661
2025-12-12,38.99,38.99,36.18,37.71,125548
2025-12-15,37,37.5,34.12,34.99,272427
2025-12-16,35.5,35.77,32,34.26,209446
2025-12-17,35,37.69,35,37.69,219454
2025-12-18,40.84,41.46,40,41.46,208344
2025-12-19,43.93,43.93,38.75,39.32,778645
2025-12-22,39.2,40.59,36.31,37.13,97905
2025-12-23,37.98,37.98,35.1,35.55,101787
2025-12-24,36.43,38.8,32.2,36.58,61962
2025-12-26,36,36.97,34.02,35.66,46199
2025-12-29,35.99,35.99,33.55,35.11,37520
2025-12-30,34.05,37.5,34.05,34.99,84544
2025-12-31,34.9,38.49,34.9,38.49,143461
2026-01-01,38.49,41.88,37.5,38,260784
2026-01-02,38.12,38.99,36.25,36.9,49252
2026-01-05,35,36.5,34.21,35.45,88693
2026-01-06,35.49,36,35,35.25,19141
2026-01-07,35.25,35.25,34.1,34.58,55360
2026-01-08,34.25,35.45,34.1,34.29,40821
2026-01-09,34.29,34.99,31.22,32.59,65467
2026-01-12,33.69,35,32.62,33.92,61758
2026-01-13,34.89,35.5,33,34.06,106511
2026-01-14,33.26,34.79,33,33.16,36904
2026-01-15,34.97,34.97,32.5,32.73,15700
2026-01-16,33.98,33.98,32.05,32.88,7751
2026-01-19,32.38,32.7,29.59,31.86,84316
2026-01-20,32.2,33.9,31.02,32.18,54543
2026-01-21,32.98,32.98,30.8,31.04,56862
2026-01-22,31.99,31.99,30.05,30.9,24151
2026-01-23,31.88,31.88,29.27,30.15,19635
2026-01-26,30.15,30.85,28.31,30.44,19551
2026-01-27,30,30.49,28,29.81,43828
2026-01-28,29.61,31.58,28,30,38893
2026-01-29,30.21,30.55,28.02,29.32,23551
2026-01-30,29.32,32.24,28.01,29.95,5576
