date,open,high,low,close,volume
2026-07-13,33.0,33.6,31.1,31.59,7240945
2026-07-14,30.51,30.9,28.6,28.8,3641129
2026-07-15,28.8,31.68,28.8,30.75,4377651
2026-07-16,31.0,31.48,30.19,30.82,3190602
2026-07-17,31.0,31.2,29.9,29.98,1663890
2026-07-20,29.93,29.94,28.9,29.27,906605
2026-07-21,29.33,29.67,29.01,29.09,618204
2026-07-22,29.0,29.39,28.6,28.75,535854
2026-07-23,28.95,28.98,27.9,28.01,617123
2026-07-24,27.74,27.74,26.02,26.92,1395429
2026-07-27,27.9,29.3,27.46,28.57,8175765
2026-07-28,28.7,28.8,27.6,27.76,3322875
2026-07-29,27.76,27.76,27.25,27.27,469081
2026-07-30,27.11,28.02,27.11,27.9,563883
2026-07-31,27.9,28.45,27.75,28.01,1668475
2026-08-03,28.15,28.49,28.06,28.36,1836075
2026-08-04,28.35,28.45,27.65,27.78,691074
2026-08-05,28.01,28.24,27.7,27.78,673640
2026-08-06,27.8,28.0,27.62,27.71,403607
2026-08-07,27.66,27.95,27.55,27.75,361691
2026-08-10,27.75,28.0,27.65,27.69,169184
2026-08-11,27.51,27.52,27.0,27.35,271345
2026-08-12,27.85,27.93,27.25,27.78,752396
2026-08-13,27.85,28.0,27.56,27.84,406429
2026-08-17,27.8,30.62,27.8,30.62,7733810
2026-08-18,30.08,30.62,28.4,29.0,3033244
2026-08-19,28.51,29.54,28.51,28.75,1264692
2026-08-20,28.52,29.6,28.5,28.98,1178113
2026-08-21,29.0,29.49,27.9,28.65,312356
2026-08-24,28.6,28.93,28.07,28.21,203360
2026-08-25,28.5,28.6,27.87,27.99,180372
2026-08-27,28.01,28.47,27.82,27.92,176173
2026-08-28,28.0,28.98,27.85,28.1,382576
