date,open,high,low,close,volume
2023-04-06,990,990,990,990,40
2023-04-07,1050,1060,916.01,1017.88,160
2023-04-10,1015,1015,942.1,942.33,140
2023-04-11,900.1,900.1,900.1,900.1,80
2023-04-12,967.6,967.6,967.6,967.6,240
2023-04-13,967.61,1014.96,967.61,992.83,100
2023-04-17,1066.99,1066.99,920.1,968.88,100
2023-04-18,1010,1041,1010,1040.63,420
2023-04-19,1050,1050,1040.63,1044.53,240
2023-04-26,970.02,971,970.02,970.51,40
2023-04-27,1043.29,1043.29,1043.29,1043.29,200
2023-05-02,1050,1050,1050,1050,200
2023-05-03,971.51,1010,971.5,1000,1100
2023-05-04,1000,1000,1000,1000,100
2023-05-05,1000,1000,1000,1000,40
2023-05-08,1010,1010,1010,1010,100
2023-05-10,934.3,1010,934.3,934.3,80
2023-05-11,866,1004,866,1003.76,1120
2023-05-12,1078.99,1078.99,1078.99,1078.99,40
2023-05-15,1159,1159,1159,1159,40
2023-05-17,1244,1244,1072.08,1072.08,200
2023-05-18,1151.5,1151.5,1090,1131,60
2023-05-24,1099,1100,1050,1099.5,1080
2023-05-25,1139.38,1139.38,1139.38,1099.5,20
2023-05-26,1050.01,1100,1050,1100,420
2023-05-29,1150,1182.5,1150,1182.5,280
2023-05-30,1200,1200,1200,1200,100
2023-06-02,1259.98,1259.98,1259.98,1259.98,20
2023-06-06,1250,1250,1200.01,1225.01,60
2023-06-07,1250,1250,1134,1134,140
2023-06-09,1150,1188,1150,1169,40
2023-06-12,1081.34,1081.34,1081.33,1081.34,40
2023-06-15,1001,1010,1001,1010,120
2023-06-20,1049,1085.75,1049,1083.67,640
2023-06-21,1030,1097.99,1030,1058.85,180
2023-06-23,1099,1116.99,1099,1108,40
2023-06-26,1060.1,1139.9,1031,1118.38,400
2023-07-03,1194.99,1195,1194.99,1195,1880
2023-07-04,1234,1234,1234,1234,2220
2023-07-20,1295,1295,1295,1295,200
2023-07-25,1248,1248,1200,1224,40
2023-08-02,1250,1250,1250,1250,300
2023-08-16,1156.26,1156.26,1156.26,1250,20
2023-08-17,1160,1160,1157,1158.5,40
2023-08-18,1071.61,1071.61,1071.61,1071.61,100
2023-08-24,1070,1070,1070,1070,40
2023-08-30,1147.99,1148,1147.99,1148,40
2023-09-22,1140,1234.1,1140,1205.65,1900
2023-09-25,1125.1,1125.1,1125.1,1205.65,20
2023-09-26,1125.56,1125.56,1115.5,1120.25,140
2023-09-28,1050.01,1120.24,1050.01,1120.24,80
2023-10-02,1120,1120,1120,1120,100
2023-10-06,1036,1040.01,1036,1036.05,200
2023-10-09,1050,1089.99,1025,1075,340
2023-10-10,1144.99,1144.99,1144.99,1144.99,40
2023-10-12,1195,1195,1195,1195,240
2023-10-13,1105.38,1120,1105.38,1112.69,40
2023-10-16,1100,1100,1100,1100,200
2023-10-17,1099,1120,1050,1101.72,1320
2023-10-19,1050,1153,1050,1153,120
2023-10-25,1157,1239.48,1155,1179.19,160
2023-10-26,1100,1100,1090.75,1090.75,120
2023-10-27,1141.99,1172.56,1141.99,1157.33,240
2023-10-30,1101.25,1101.25,1071,1071,620
2023-10-31,1051.01,1051.01,999,1033.67,80
2023-11-01,1099,1111.2,1065.5,1103.17,3520
2023-11-03,1154.99,1185.91,1154.99,1166.89,220
