date,open,high,low,close,volume
2024-01-12,58.45,58.5,57.1,57.65,17500
2024-01-15,57.12,57.49,56.25,57,53000
2024-01-16,55.6,55.75,54.5,54.95,61500
2024-01-17,53.76,55.25,53.76,54.25,20000
2024-01-18,53,53,52,52.29,35500
2024-01-19,53,54,52.25,53.03,39000
2024-01-22,53,55,52.4,54.02,89500
2024-01-23,54,54.6,53.5,54.5,67000
2024-01-24,52.5,55,52.5,54.74,40500
2024-01-25,53.65,55.3,53.5,53.56,88500
2024-01-26,54,54,52.5,52.99,51500
2024-01-29,52.21,52.5,51,51.03,42000
2024-01-30,51,51.5,50,50.13,56000
2024-01-31,51.5,51.97,50.8,51,370000
2024-02-01,51,51,50.5,50.83,9500
2024-02-02,51.97,51.97,50,50,119000
2024-02-06,50.95,52,50.3,51.6,115500
2024-02-07,52,52,51.2,51.25,28500
2024-02-09,50.17,51.99,49,50.23,29000
2024-02-12,49.5,49.5,46.8,48.96,111000
2024-02-13,48.75,50.5,48,49.52,226000
2024-02-14,50.5,52.4,49.99,51.58,170500
2024-02-15,52,52.25,50.5,51.15,155500
2024-02-16,50.6,54.99,49.5,50.38,94000
2024-02-19,48.31,50.6,48.3,49.78,41000
2024-02-20,49.6,50.51,49.6,49.76,29500
2024-02-21,50.55,53.49,49.75,52.53,373500
2024-02-22,53,55,52.01,54.45,166500
2024-02-23,55.99,56,54,54.74,101500
2024-02-26,55.25,55.5,54.5,55.19,72000
2024-02-27,55.49,56,55,55.5,190500
2024-02-28,55.9,56.5,55.55,55.8,78000
2024-02-29,56,56.25,55.4,56,96000
2024-03-01,55.5,56.44,55,55,109000
2024-03-04,56,56,54.35,54.62,85000
2024-03-05,53.75,54.69,53.5,54.09,36500
2024-03-06,54.02,54.2,54,54.03,27000
2024-03-07,53.81,54.05,53.81,54.01,24000
2024-03-08,54.05,58.06,53.83,55.71,141500
2024-03-11,55.76,56.9,55.55,55.95,105500
2024-03-12,56.11,56.11,54.99,55,84500
2024-03-13,54.54,55,53.7,53.82,48000
2024-03-14,54.5,55,54.5,54.96,4500
2024-03-15,54.8,55,54.15,54.58,35000
2024-03-18,55.5,55.5,54.5,54.5,8500
2024-03-19,54.1,54.5,54,54.03,25000
2024-03-20,54.15,54.3,53.99,54.01,53000
2024-03-21,56.9,56.9,53.83,54.5,56000
2024-03-22,54.9,55,53.5,54.75,26000
2024-03-25,53.81,54.5,53.72,54.16,36000
2024-03-26,53.52,54.99,53.52,53.78,32500
2024-03-27,54,54,53.5,53.5,116000
2024-03-28,54,55,54,54.26,49000
2024-03-29,53.55,55.35,53.55,54.77,18000
2024-04-01,55,55.5,53.45,54.1,139000
2024-04-02,54.49,55,54.12,55,138000
2024-04-03,54.25,56.25,54.25,56.02,49000
2024-04-04,56.5,58,56.5,57.08,70500
2024-04-08,57.5,61,57.5,60,124500
2024-04-09,60.92,62.2,60,61.08,185500
2024-04-15,61,62.5,60.5,61.29,80000
2024-04-16,61.25,61.95,60.2,60.55,202500
2024-04-17,60.5,61,59.5,59.68,118000
2024-04-18,55.01,57.5,55.01,56.76,64500
2024-04-19,56,59,55.99,59,105000
2024-04-22,59,61,59,60.09,191000
2024-04-23,60,62,60,60.05,105500
2024-04-24,60.5,60.9,59.85,60.09,69500
2024-04-25,61,63,60.5,60.83,240500
2024-04-26,61,61.5,60.5,61.02,184000
2024-04-29,61.4,65,60.6,61.02,256500
2024-04-30,61.9,61.9,60,60.02,80000
2024-05-02,60,60.1,58.5,59.34,52000
2024-05-03,59.3,60.95,59,59.89,127500
2024-05-06,60,64,60,61.58,221000
2024-05-07,61.65,63.9,61,63.4,343000
2024-05-08,64.45,67.77,64.45,67.77,721500
2024-05-09,67.77,72.85,67.5,69.02,1926500
2024-05-10,68.77,69.48,66.51,68.69,531000
2024-05-13,68.5,73.84,67.77,73.52,1260500
2024-05-14,74.01,75.5,70.65,72.5,473000
2024-05-15,72.99,76.5,71,74.73,661500
2024-05-16,74.5,75.89,72.23,73,321500
2024-05-17,73.5,73.5,72.01,72.47,83000
2024-05-20,72.5,73.5,70.5,71.06,113269
2024-05-21,70.95,76.35,70.95,75.91,455717
2024-05-22,76.25,77.9,74.01,74.55,468795
2024-05-23,72.3,74.99,72.3,73.98,88277
2024-05-24,74,75,73.5,74.28,24074
2024-05-27,74,75,72.71,73.05,74000
2024-05-29,73,77.25,73,76.67,537058
2024-05-30,76.59,82.74,76.59,82.02,384409
2024-05-31,82.5,86.8,82.5,84.2,657041
2024-06-03,85,86.45,83.15,83.58,193192
