date,open,high,low,close,volume
2024-01-15,113.11,115,113.1,114.11,13700
2024-01-16,113.01,114.75,112.5,113.28,19100
2024-01-17,113,115,112,112.22,152500
2024-01-18,111.01,112.5,109.9,112.07,2400
2024-01-19,112,116,111,113.11,16100
2024-01-22,113,115.5,113,113.39,12500
2024-01-23,113,114.99,112,113.83,19100
2024-01-24,116.99,116.99,114,114,3800
2024-01-25,114,114.5,112.25,113.58,27200
2024-01-26,113.44,121.99,113.44,114.1,4200
2024-01-29,113.12,114.9,112,112.61,11200
2024-01-30,112.5,114.9,112,113.55,80800
2024-01-31,112,114,112,113,4000
2024-02-01,113,114.89,113,114.27,13300
2024-02-02,113.5,115.5,113.5,115,3700
2024-02-06,115,115,113,113.74,6700
2024-02-07,114.5,114.5,113.1,113.39,14800
2024-02-09,112.99,113,108,111.04,13100
2024-02-12,112,114.99,109.2,111.19,38100
2024-02-13,111,114.99,110,112.54,7300
2024-02-14,115.87,115.88,114,115.42,4400
2024-02-15,113.5,113.99,110.25,111.5,19900
2024-02-16,113,114.94,109,112.53,28200
2024-02-19,113,114.94,112,113,53700
2024-02-20,113.1,114,110,110.44,19600
2024-02-21,113,113.92,111.5,111.5,2600
2024-02-22,113,113,112.1,112.37,148200
2024-02-23,112.2,114.98,111.11,114.06,157700
2024-02-26,113.5,114.4,113,113.68,3400
2024-02-27,112.3,112.3,112.1,112.23,400
2024-02-28,113,114.45,111.6,112.67,57500
2024-02-29,114,115,112.25,114.96,32600
2024-03-01,114.8,115,113.51,113.93,2400
2024-03-04,113.5,114,113.05,113.36,2700
2024-03-05,113.4,113.5,111.21,111.47,10700
2024-03-06,112.5,112.8,111.25,112,1800
2024-03-07,111.25,114.7,111,112.39,17700
2024-03-08,114,115.2,111.15,112.13,7800
2024-03-11,112,114.95,111.51,113.64,38100
2024-03-12,115.94,115.94,112.01,112.5,3400
2024-03-13,112.5,114.95,112,112.94,102900
2024-03-14,113.5,115,112.61,112.61,6300
2024-03-15,113,113,111.8,111.95,4500
2024-03-18,112,112,111.25,111.65,1200
2024-03-19,111.5,113.2,109,110.43,26600
2024-03-20,112.3,112.3,110.98,111,2300
2024-03-21,111,111,111,111,500
2024-03-22,110,113.99,110,112.01,9100
2024-03-25,113.51,114.9,111.8,113.52,27100
2024-03-26,113.52,113.52,112.5,113,1200
2024-03-27,112.5,114.7,110,113.45,48100
2024-03-28,112.5,114.94,112,112.64,84600
2024-03-29,114.95,114.95,113,113.2,800
2024-04-01,112.5,113.95,110.21,110.57,26800
2024-04-02,111,111.3,110.02,110.4,2600
2024-04-03,110.4,111.05,110,110.05,1900
2024-04-04,111.11,112.5,110,110.86,13500
2024-04-08,110.5,110.5,109.7,109.7,5400
2024-04-09,111,111,109.49,109.49,2200
2024-04-15,109.1,109.1,104,104.63,31200
2024-04-16,105.5,105.5,100.8,101.07,29800
2024-04-17,101.2,102.2,101,102.2,11500
2024-04-18,101.5,102.5,100,100,25300
2024-04-19,100,102,100,100.81,35100
2024-04-22,103.4,103.5,99,100.7,13084
2024-04-23,101,102,101,101.92,4836
2024-04-24,101.5,103,101.5,102.81,7220
2024-04-25,102.3,103,101.8,102.15,4918
2024-04-26,102.99,103.45,101,102.92,10380
2024-04-29,100.51,102.95,99.1,100.89,17734
2024-04-30,100,101.5,98.1,99.09,6552
2024-05-02,98.11,103.99,98.11,99.01,3884
2024-05-03,100,101.1,98,98.08,9313
2024-05-06,99.49,100.75,99.2,99.58,12924
2024-05-07,100,101.98,99,99,9907
2024-05-08,99.5,103,98.55,98.55,7947
2024-05-09,98.01,99,98,98.09,16547
2024-05-10,99,99,97,98,8080
2024-05-13,98,98,95,96.63,34423
2024-05-14,96.96,98,96.5,97,1520
2024-05-15,97.5,98.5,96.8,96.91,6353
2024-05-16,97,97.7,95.8,97.38,10200
2024-05-17,96.8,98.45,96.31,97,1825
2024-05-20,97,97,95.5,95.99,2905
2024-05-21,95.8,96.01,95,95.62,1044
2024-05-22,96.5,97.35,96.5,96.51,1127
2024-05-23,95.01,96.5,95.01,95.63,1990
2024-05-24,96.5,97.95,95.01,96.59,3398
2024-05-27,97.59,98,95.25,97.11,3399
2024-05-29,97.97,99,96,96,14917
2024-05-30,96,98,96,97.35,3103
2024-05-31,98,98,96.16,97.35,3241
2024-06-03,97.98,97.98,95.3,96,17102
2024-06-04,95.5,96,94,94.43,6547
2024-06-05,94.51,96.3,94.51,95.65,843
2024-06-06,96,96,95.9,96,374
2024-06-07,94.01,96.3,93.11,94.99,4054
2024-06-10,95.35,95.35,95,94.99,59
2024-06-11,94.85,96.88,94,95,1431
2024-06-12,95,95,94.5,95,1451
2024-06-13,98.99,98.99,95,95.74,768
2024-06-14,95.74,95.74,95,95,783
2024-06-20,96.2,96.2,94.7,94.93,1229
2024-06-21,96.99,96.99,94.8,94.8,1633
2024-06-24,94.8,95,93.8,93.97,1665
2024-06-25,94,94,93.75,94,1542
2024-06-26,94,94.5,92.04,92.55,6159
2024-06-27,92.21,93,92.15,92.2,1105
2024-06-28,93,94,92,93.42,1522
2024-07-01,93.42,94.5,93.2,93.76,945
2024-07-02,94,94,94,93.76,83
2024-07-03,94.05,94.1,94,94.04,295
2024-07-04,94.2,94.2,93.62,94.02,519
2024-07-05,94,94,92.02,92.84,8606
2024-07-08,94,94,90.01,92.84,247
2024-07-09,93.95,93.95,92,92.34,2818
2024-07-10,91.2,92.91,91.2,92.76,442
2024-07-11,93,93.5,92,93,6855
2024-07-12,92.55,92.55,92,92.31,1682
2024-07-15,93,93,91.21,91.54,3153
2024-07-18,92,92.45,85.25,92,21978
2024-07-19,92,92.79,91,92.03,4083
2024-07-22,92,92.65,91.1,91.9,14537
2024-07-23,90.1,91.75,89.7,89.96,12940
2024-07-24,89.25,91.25,87,90.59,6677
2024-07-25,91.5,91.5,88,88.43,851
2024-07-26,88.44,89.95,87,88.01,15455
2024-07-29,88.9,89.77,88.88,89.01,3330
2024-07-30,89.03,89.8,89.01,89.01,241
2024-07-31,89.9,89.9,88,88.02,1483
2024-08-01,89,94,89,90.42,13039
2024-08-02,90.99,90.99,88,88.8,6207
2024-08-05,88.8,89.96,88.02,88.08,1863
2024-08-06,89.89,89.9,88.01,88.11,2324
2024-08-07,88.02,88.88,88.01,88.18,3686
2024-08-08,87.51,88.26,86.2,87.35,11960
2024-08-09,88,88,88,87.35,174
2024-08-12,87,88.88,86.2,86.79,3205
2024-08-13,87.99,87.99,85.06,87,11946
2024-08-15,87.5,89,87.5,87,43
2024-08-16,88.88,89.99,87,87.11,1496
2024-08-19,86.3,88.99,85,85.33,4960
2024-08-20,86.86,87.5,84.22,87.5,16453
2024-08-21,87.5,89.44,86.73,88.33,1773
2024-08-22,86.2,89.9,86,87.82,357
2024-08-23,88,89.86,85,88.19,41196
2024-08-26,88,88.88,88,88,1898
2024-08-27,87,90.99,86.19,88.01,19694
2024-08-28,89.85,89.85,88,88,6890
2024-08-29,87.05,89.89,87.05,88.07,4317
2024-08-30,88.9,90.99,87.51,89.44,7705
2024-09-02,87.01,91.98,87,90.86,9112
2024-09-03,90,91.94,86.13,91.12,6745
2024-09-04,90.98,92.99,90.98,92.78,5738
2024-09-05,92.94,92.95,90,90.04,2649
2024-09-06,91.9,93.9,88.5,89.02,16177
2024-09-09,89.01,89.02,89,89,4752
2024-09-10,90.89,90.9,89,89,206
2024-09-11,88.5,90.95,88.5,88.54,18109
2024-09-12,88.1,90.88,88.1,90.8,1109
2024-09-13,93.74,93.74,88.5,89.14,556
2024-09-16,91,91,88.5,89.23,13774
2024-09-18,91,92.98,90.09,92.65,5006
2024-09-19,91,91.5,89.02,89.57,14483
2024-09-20,90,93.9,90,90.04,2474
2024-09-23,91,94.78,91,92,8150
2024-09-24,90,93.9,90,93.21,1301
2024-09-25,91.2,92.9,91.1,91.18,1200
2024-09-26,92.5,92.9,90.7,92.03,10416
2024-09-27,92.8,93.75,90.01,92.63,508
2024-09-30,88,88,83.41,84.23,13565
2024-10-01,83.99,86.7,83.99,85,3102
2024-10-02,85,85,83,84.2,13073
2024-10-03,85,85,84.5,84.5,2408
2024-10-04,84.99,87.99,83.5,84.06,12575
2024-10-07,84.85,84.85,80.11,82.38,6228
2024-10-08,84.84,86,83,83.76,13784
2024-10-09,82.25,83.83,82.25,83.11,3155
2024-10-10,83.2,84.5,83,83.26,1593
2024-10-11,83.01,84,82.24,82.73,5852
2024-10-14,83.9,83.9,82.82,83.2,370
2024-10-15,83.8,84.99,83.45,84,10369
2024-10-16,85,86.9,83.7,84,6797
2024-10-17,85,86,83,83,10750
2024-10-18,84,84,83,83.03,1536
2024-10-21,84,85.95,83.99,85.5,17873
2024-10-22,86,87.99,86,86.46,13980
2024-10-23,86,88.01,85.9,86.12,14025
2024-10-24,87,87.96,83.06,86.17,7954
2024-10-25,87,88.1,87,87.75,13953
2024-10-28,88.4,88.88,84.2,86.98,32924
2024-10-29,87,95.68,86.01,92.57,88744
2024-10-30,92,92.5,86.5,87.2,3800
2024-10-31,86.1,89,86.1,87.11,17891
2024-11-01,87.88,88.99,87.5,88,6591
2024-11-04,89.99,89.99,87,87,6125
2024-11-05,87,87.95,86,86.17,6013
2024-11-06,87,87,85.01,86.35,10408
2024-11-07,87.85,88,84,84.06,5264
2024-11-08,85.05,89,85,88.41,4538
2024-11-11,88.5,95.99,88,94.49,59980
2024-11-12,93,95.5,92.01,92.98,11579
2024-11-13,94.95,94.95,92,93.93,830
2024-11-14,94,95,93.01,94.44,10014
2024-11-15,94,103.88,93,99.81,19177
2024-11-18,98.02,103,98.01,100.98,7102
2024-11-19,100.98,101,99.25,100,11151
2024-11-20,100,108,100,105,54913
2024-11-21,106,106,103.99,104.07,2810
2024-11-22,106.75,108,98.01,103.44,43869
2024-11-25,101,102,99.12,101.87,17967
2024-11-26,100.03,102.5,97.05,97.4,25077
2024-11-27,97.2,101,97.2,99.04,10235
2024-11-28,102,108.94,97.31,105.31,41861
2024-11-29,107.5,115,104.01,105.73,95453
2024-12-02,105.73,108.5,104.17,108.23,36421
2024-12-03,108,109.5,103.02,107.73,11643
2024-12-04,108,108.98,106,106.01,52355
2024-12-05,106.95,110.45,106,109.53,36299
2024-12-06,109.5,113.5,109,110.2,36450
2024-12-09,110.2,116,110.2,113.52,30134
2024-12-10,116,116.94,110,110.53,51432
2024-12-11,110.53,117.55,110,115.9,29401
2024-12-12,116,118,113.11,115.01,16557
2024-12-13,114.99,120.27,113,119.36,37435
2024-12-16,115.1,127.99,115.1,126.57,44330
2024-12-17,127.24,139.23,125.63,139.23,111825
2024-12-18,145,151,136,136.75,59619
2024-12-19,135.01,135.01,123.08,123.33,29939
2024-12-20,125.98,126,117.01,124.16,11215
2024-12-23,126.9,130.99,126,130.2,14543
2024-12-24,127.27,127.27,121.01,123.54,8821
2024-12-26,124,124,120,120.89,11106
2024-12-27,120.02,124,120,120,4676
2024-12-30,120.01,127.26,120,124.3,6029
2024-12-31,122.2,135.95,122.2,132.2,19149
2025-01-01,134.99,134.99,118.98,127.33,10311
2025-01-02,128.78,128.78,125,126,2795
2025-01-03,123.02,124,117.1,122,21670
2025-01-06,120.01,121,118.56,119.04,6598
2025-01-07,117.11,119.99,116.01,118.64,8916
2025-01-08,119,121.99,116.1,116.94,7143
2025-01-09,116.08,116.08,114.06,115.13,8313
2025-01-10,115,115,113.05,114.78,3689
2025-01-13,113.51,116.99,113.51,114.82,4826
2025-01-14,115,125.49,115,123.69,24057
2025-01-15,120.01,136.06,120.01,136.06,96244
2025-01-16,137.99,142.5,130.55,133.76,72274
2025-01-17,135.9,137,132,134.5,14322
2025-01-20,132.01,136.75,125.1,136.02,6706
2025-01-21,136,136.99,133,134.09,3127
2025-01-22,132.01,145,132.01,138,44399
2025-01-23,142.94,142.94,134.01,134.71,472
2025-01-24,138.98,148.18,138,148.15,71444
2025-01-27,148,151.6,146.6,147.38,9505
2025-01-28,146.01,146.01,137.01,137.87,5207
2025-01-29,137.01,145,134,141.11,11460
2025-01-30,143,147.25,139.01,145.44,15019
2025-01-31,142.01,147,140,144.34,10153
2025-02-03,144,144,139,139.71,874
2025-02-04,138.08,139.99,135.1,135.59,3174
2025-02-06,135.59,140,122.03,124.73,33719
2025-02-07,121.01,126,119.01,120.92,4034
2025-02-10,123.8,123.99,114.02,117.59,5725
2025-02-11,119.99,126.98,115.35,120.99,8251
2025-02-12,120.03,122.99,118.01,120.5,2086
2025-02-13,120.5,122,119,121.09,1648
2025-02-14,120.02,122.98,120.01,120.96,399
2025-02-17,120,120,118.5,118.58,703
2025-02-18,118.6,118.6,114,116.99,9551
2025-02-19,118.98,121,118.98,120.99,5984
2025-02-20,121.98,122,118.1,119.54,3538
2025-02-21,122,124.99,121.99,123.79,1573
2025-02-24,123,123.99,119.01,122.32,3846
2025-02-25,119.02,122,119.01,120.57,6253
2025-02-26,117,123.5,117,120,13991
2025-02-27,125.98,125.98,119,119.59,22542
2025-02-28,118.01,121.89,118,118.39,731
2025-03-03,122,122,118.4,118.41,4528
2025-03-04,119.98,119.98,119.98,118.41,1
2025-03-05,120,120.16,118,118.05,1126
2025-03-06,119,119,119,119,337
2025-03-07,120,120,117.01,119,121
2025-03-10,119,120.82,118,119.4,4152
2025-03-11,120,120,117.02,120,1600
2025-03-12,117.51,121.5,117.51,120,15847
2025-03-13,120,121.99,120,120.29,2680
2025-03-14,120.01,125.99,120,123.77,3531
2025-03-17,123.77,125,121.01,121.01,697
2025-03-18,123.99,123.99,121,121.03,630
2025-03-19,120.75,122,120.02,121.8,1609
2025-03-20,120.03,129.99,120,120.22,10763
2025-03-21,121,123.99,121,122.76,1377
2025-03-24,124,124,124,122.76,6
2025-03-25,122,122,120,120.26,2373
2025-03-26,122.95,123,121,120.26,205
2025-03-27,122,126,122,124.66,4548
2025-04-03,129.95,131.75,124.1,125.5,22829
2025-04-04,125.5,125.5,125,125,12107
2025-04-07,124.99,125,114.01,123.65,50181
2025-04-08,121.99,128.99,121.99,125.02,18618
2025-04-09,124.01,124.01,123.01,123.36,341
2025-04-10,125,127,125,123.36,87
2025-04-11,125,127.8,125,127.49,22832
2025-04-14,127.3,127.3,125,125.09,5680
2025-04-15,125.1,130.98,125,129.78,35890
2025-04-16,130.99,135.05,126.02,134.94,11994
2025-04-17,135.9,148.43,135.9,148.43,23796
2025-04-18,154.99,163,151.01,160.02,43177
2025-04-21,163.26,176.02,151.11,175.74,52568
