date,open,high,low,close,volume
2024-01-02,141.01,141.49,139.51,141.49,1600
2024-01-03,141.3,143.98,140,142.29,24700
2024-01-04,141.99,141.99,140.01,140.01,1500
2024-01-10,139.5,139.5,139.5,139.5,200
2024-01-11,139.5,142.75,136.22,139.99,6100
2024-01-12,139.99,139.99,139,139,800
2024-01-15,139.5,139.5,139.5,139.5,2500
2024-01-16,139,140,139,140,21900
2024-01-17,139,140,139,139.49,162500
2024-01-19,139.1,140,139,139.67,1600
2024-01-22,143,143,136.2,141.5,800
2024-01-23,140.5,140.5,138.35,138.55,1200
2024-01-24,138.5,144.2,138.5,144.2,44900
2024-01-25,140,140,139.99,139.99,3500
2024-01-26,139,139,138,138.06,1700
2024-01-29,138,139.4,134.52,136.68,1700
2024-01-30,135.01,138.49,135,137.33,1000
2024-02-01,137,137,137,137,200
2024-02-06,135.5,136,135,135.26,1400
2024-02-07,137,139.45,136.8,137.2,21800
2024-02-09,135,135,133.69,133.69,3100
2024-02-12,137,137,130,130,6000
2024-02-13,130,134,130,133.79,1400
2024-02-14,134.99,134.99,134.99,134.99,500
2024-02-15,135,135,135,134.99,100
2024-02-21,139,139,139,139,500
2024-02-22,138.75,139,138,138.91,2100
2024-02-23,139.99,139.99,139,139,500
2024-02-26,136,138.99,135.01,135.67,800
2024-02-27,140,140,138.99,139.53,2300
2024-02-28,139.5,139.5,139,139.25,1400
2024-02-29,137,140,137,140,7300
2024-03-01,138,139.97,138,138.99,200
2024-03-04,137.01,139.49,137,139.42,4600
2024-03-05,135.15,138.99,128.96,131.73,6900
2024-03-06,132.02,136.9,131.1,136.07,6400
2024-03-07,134.01,135.5,132.85,135.5,2500
2024-03-08,132.01,135,132.01,134.5,700
2024-03-11,134.49,139,125.5,135.85,5400
2024-03-12,131.5,139,131.5,136.06,5700
2024-03-13,131.06,133.99,130.05,132,13100
2024-03-14,132,137.5,132,133.5,7500
2024-03-15,132.11,136.49,132,133.08,2200
2024-03-18,132.1,134.94,132.1,134,500
2024-03-19,132.02,134.4,132.02,132.85,1500
2024-03-20,132.01,134.9,132.01,133.13,2700
2024-03-21,133.13,135.88,132,133.51,3600
2024-03-22,139,139,133.15,134.6,500
2024-03-25,134.1,135.5,134.1,135.38,3200
2024-03-26,135.1,140,134.5,137.9,2300
2024-03-27,134,140,134,138.71,15300
2024-03-28,137.01,139,136.1,138.66,28400
2024-03-29,135,140,134.99,138.02,21900
2024-04-01,135.01,136.5,135.01,136.33,5200
2024-04-02,132.06,139.7,132.06,135,7500
2024-04-03,135.5,136.5,135,136.5,7600
2024-04-04,134.02,136.5,134.02,136.5,600
2024-04-08,136.2,140,136,139.86,24500
2024-04-09,135.06,137.89,135.06,137.5,16900
2024-04-15,136.5,137.5,136.5,136.54,5800
2024-04-16,135.5,136,135.5,136,600
2024-04-17,133.05,136,133.05,135.15,17300
2024-04-18,135.28,139.97,135.28,139.97,900
2024-04-19,133.03,138,133.03,136.79,6600
2024-04-22,131.05,135.94,131.05,134.89,11412
2024-04-23,135,135.02,133.6,134.35,8200
2024-04-24,134,135,133.5,134.04,26526
2024-04-25,134.8,134.8,132,132.37,12628
2024-04-26,131,135,131,134,23281
2024-04-29,134,134,131.51,131.74,9694
2024-04-30,132.73,133.48,131,132.93,5177
2024-05-02,131,132.75,125.18,128.97,24563
2024-05-03,132,132,130,131.95,17991
2024-05-06,131.95,134.55,131.95,134.46,7632
2024-05-07,137.99,137.99,132,133.69,21055
2024-05-08,136.98,136.98,130.1,131.47,9117
2024-05-09,133.98,134,130.15,132,28360
2024-05-10,132.7,136.3,130.16,134.99,35379
2024-05-13,137.78,142,132.5,139.91,65058
2024-05-14,142.88,142.88,137,140,20681
2024-05-15,139.7,143.9,139.7,141.1,7498
2024-05-16,142,142,140,140,12051
2024-05-17,141,142,138.3,138.67,813
2024-05-20,137.5,137.5,136.05,137,13704
2024-05-21,136.11,147.28,135,147.28,247833
2024-05-22,151.88,157.5,145,150.14,102176
2024-05-23,145.5,151.98,145.5,147.15,15184
2024-05-24,150.99,151,148,150.76,38033
